,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,192.168.1.4-192.168.1.11-20002-45060-6,192.168.1.11,45060,192.168.1.4,20002,6,14/05/2020 11:30:01 PM,119779389,66,70,1236.0,2079.0,27.0,18.0,18.727272727272727,2.1735858677483906,292.0,17.0,29.70000000000001,53.44409241902003,27.675880029743684,1.1354207191689716,887254.7333333334,971920.1130720045,2000844.0,217.0,117778493.0,1811976.8153846157,493809.705813981,2001446.0,80898.0,119779389.0,1735933.1739130432,607450.3069291046,2001615.0,217.0,0,1,0,0,2112,2240,0.551012996067295,0.5844077231016765,17.0,292.0,24.328467153284674,38.49371787727781,1481.766316015457,0,0,0,1,1,0,0,0,1.0,24.507352941176467,18.727272727272727,29.7,0,0,0,0,0,0,66,1236,70,2079,-1,227,66,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
1,192.168.1.3-192.168.1.11-20002-33783-6,192.168.1.11,33783,192.168.1.3,20002,6,14/05/2020 11:30:01 PM,119779237,66,70,1236.0,2079.0,27.0,18.0,18.727272727272727,2.1735858677483906,292.0,17.0,29.70000000000001,53.44409241902003,27.675915150469688,1.1354221600192695,887253.6074074074,971958.6080914616,2000541.0,413.0,117777736.0,1811965.1692307696,494236.1761001315,2001264.0,77093.0,119779237.0,1735930.9710144924,607793.6243413542,2001224.0,413.0,0,1,0,0,2112,2240,0.551013695303469,0.5844084647158004,17.0,292.0,24.328467153284674,38.49371787727781,1481.766316015457,0,0,0,1,1,0,0,0,1.0,24.507352941176467,18.727272727272727,29.7,0,0,0,0,0,0,66,1236,70,2079,-1,227,66,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
2,192.168.1.8-192.168.1.11-20002-39169-6,192.168.1.11,39169,192.168.1.8,20002,6,14/05/2020 11:30:01 PM,119779540,66,70,1236.0,2079.0,27.0,18.0,18.727272727272727,2.1735858677483906,292.0,17.0,29.70000000000001,53.44409241902003,27.675845140163336,1.1354192878015728,887255.8518518517,971926.4010697958,2000694.0,347.0,117778678.0,1811979.6615384612,494083.9927212616,2001938.0,78739.0,119779540.0,1735935.362318841,607617.3840367357,2001520.0,347.0,0,1,0,0,2112,2240,0.5510123014331162,0.5844069863684566,17.0,292.0,24.328467153284674,38.49371787727781,1481.766316015457,0,0,0,1,1,0,0,0,1.0,24.507352941176467,18.727272727272727,29.7,0,0,0,0,0,0,66,1236,70,2079,-1,227,66,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
3,192.168.1.5-192.168.1.11-20002-39574-6,192.168.1.11,39574,192.168.1.5,20002,6,14/05/2020 11:30:01 PM,119779422,66,70,1236.0,2079.0,27.0,18.0,18.727272727272727,2.1735858677483906,292.0,17.0,29.70000000000001,53.44409241902003,27.675872404861003,1.1354204063532716,887254.9777777778,971987.8010687836,2000848.0,406.0,117778325.0,1811974.2307692312,494302.6376098504,2001619.0,76366.0,119779422.0,1735933.6521739138,607841.18174264,2001453.0,406.0,0,1,0,0,2112,2240,0.5510128442596759,0.5844075620935957,17.0,292.0,24.328467153284674,38.49371787727781,1481.766316015457,0,0,0,1,1,0,0,0,1.0,24.507352941176467,18.727272727272727,29.7,0,0,0,0,0,0,66,1236,70,2079,-1,227,66,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
4,192.168.1.9-192.168.1.11-20002-34422-6,192.168.1.11,34422,192.168.1.9,20002,6,14/05/2020 11:30:01 PM,119780489,66,70,1236.0,2079.0,27.0,18.0,18.727272727272727,2.1735858677483906,292.0,17.0,29.70000000000001,53.44409241902003,27.675625869251547,1.1354102920718585,887262.8814814816,971783.3745821954,2000388.0,404.0,117778644.0,1811979.1384615388,493695.22520556883,2001220.0,81861.0,119780489.0,1735949.115942029,607426.1196109884,2001850.0,404.0,0,1,0,0,2112,2240,0.5510079358584018,0.5844023562134564,17.0,292.0,24.328467153284674,38.49371787727781,1481.766316015457,0,0,0,1,1,0,0,0,1.0,24.507352941176467,18.727272727272727,29.7,0,0,0,0,0,0,66,1236,70,2079,-1,227,66,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
5,192.168.1.10-192.168.1.11-20002-36479-6,192.168.1.11,36479,192.168.1.10,20002,6,14/05/2020 11:30:01 PM,119736357,66,70,1236.0,2079.0,27.0,18.0,18.727272727272727,2.1735858677483906,292.0,17.0,29.70000000000001,53.44409241902003,27.685826452862603,1.1358287775533376,886935.9777777779,971037.0816457736,2000973.0,456.0,117734604.0,1811301.6000000003,491602.88553563494,2001674.0,82204.0,119736357.0,1735309.52173913,605676.8690144405,2001709.0,456.0,0,1,0,0,2112,2240,0.5512110244008843,0.5846177531524531,17.0,292.0,24.328467153284674,38.49371787727781,1481.766316015457,0,0,0,1,1,0,0,0,1.0,24.507352941176467,18.727272727272727,29.7,0,0,0,0,0,0,66,1236,70,2079,-1,227,66,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
6,192.168.1.7-192.168.1.11-20002-41065-6,192.168.1.11,41065,192.168.1.7,20002,6,14/05/2020 11:30:01 PM,119736505,66,70,1236.0,2079.0,27.0,18.0,18.727272727272727,2.1735858677483906,292.0,17.0,29.70000000000001,53.44409241902003,27.6857922318678,1.1358273736150892,886937.0740740739,971101.6160904362,2000643.0,410.0,117734698.0,1811303.0461538462,492111.043924585,2001458.0,77128.0,119736505.0,1735311.666666667,606067.5068796008,2001426.0,410.0,0,1,0,0,2112,2240,0.551210343077911,0.5846170305371783,17.0,292.0,24.328467153284674,38.49371787727781,1481.766316015457,0,0,0,1,1,0,0,0,1.0,24.507352941176467,18.727272727272727,29.7,0,0,0,0,0,0,66,1236,70,2079,-1,227,66,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
7,192.168.1.6-192.168.1.11-20002-54308-6,192.168.1.11,54308,192.168.1.6,20002,6,14/05/2020 11:30:01 PM,119707431,66,70,1236.0,2079.0,27.0,18.0,18.727272727272727,2.1735858677483906,292.0,17.0,29.70000000000001,53.44409241902003,27.69251643199995,1.136103238235895,886721.711111111,969689.4046468005,2000429.0,314.0,117705556.0,1810854.7076923081,487506.13698415115,2004970.0,103039.0,119707431.0,1734890.3043478262,602611.9155860131,2004977.0,314.0,0,1,0,0,2112,2240,0.5513442185556551,0.5847590196802402,17.0,292.0,24.328467153284674,38.49371787727781,1481.766316015457,0,0,0,1,1,0,0,0,1.0,24.507352941176467,18.727272727272727,29.7,0,0,0,0,0,0,66,1236,70,2079,-1,227,66,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
8,192.168.1.4-192.168.1.11-20002-45060-6,192.168.1.11,45060,192.168.1.4,20002,6,14/05/2020 11:32:01 PM,118045242,64,68,1188.0,2045.0,27.0,18.0,18.5625,1.991051409252336,292.0,17.0,30.073529411764714,54.1901891700214,27.387804414853075,1.1182153364554919,901108.7175572524,979483.2889532686,2000904.0,268.0,116042970.0,1841951.9047619053,466489.1012643729,2001485.0,128015.0,118045242.0,1761869.2835820897,593689.9208125811,2001588.0,268.0,0,1,0,0,2048,2176,0.5421650116147841,0.5760503248407081,17.0,292.0,24.443609022556394,39.061996863927654,1525.8395989974929,0,0,0,1,1,0,0,0,1.0,24.62878787878788,18.5625,30.073529411764714,0,0,0,0,0,0,64,1188,68,2045,-1,227,64,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
9,192.168.1.8-192.168.1.11-20002-39169-6,192.168.1.11,39169,192.168.1.8,20002,6,14/05/2020 11:32:01 PM,118044662,64,68,1188.0,2045.0,27.0,18.0,18.5625,1.991051409252336,292.0,17.0,30.073529411764714,54.1901891700214,27.387938981942273,1.1182208306886423,901104.2900763352,979459.3727892129,2000604.0,387.0,116042970.0,1841951.9047619046,466809.72277711704,2001676.0,125225.0,118044662.0,1761860.6268656715,593909.5801466965,2001953.0,387.0,0,1,0,0,2048,2176,0.5421676754854022,0.57605315520324,17.0,292.0,24.443609022556394,39.061996863927654,1525.8395989974929,0,0,0,1,1,0,0,0,1.0,24.62878787878788,18.5625,30.073529411764714,0,0,0,0,0,0,64,1188,68,2045,-1,227,64,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
