,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,192.168.1.1-192.168.1.5-40070-20001-6,192.168.1.1,40070,192.168.1.5,20001,6,14/05/2020 11:30:00 PM,118056507,66,70,1236.0,2079.0,27.0,18.0,18.727272727272727,2.1735858677483906,292.0,17.0,29.7,53.44409241902003,28.07977369684502,1.151990715768001,874492.6444444446,964204.3896227364,2001213.0,114.0,116055256.0,1785465.476923077,510138.1028760161,2001516.0,140056.0,118056507.0,1710963.8695652175,616968.709975705,2001431.0,239.0,0,1,0,0,2112,2240,0.5590543179462357,0.5929363978217651,17.0,292.0,24.328467153284674,38.49371787727781,1481.7663160154568,0,0,0,1,1,0,0,0,1.0,24.507352941176467,18.727272727272727,29.7,0,0,0,0,0,0,66,1236,70,2079,-1,227,66,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
1,192.168.1.5-192.168.1.11-20002-39574-6,192.168.1.11,39574,192.168.1.5,20002,6,14/05/2020 11:30:01 PM,119778979,66,70,1236.0,2079.0,27.0,18.0,18.727272727272727,2.1735858677483906,292.0,17.0,29.70000000000001,53.44409241902003,27.675974763484998,1.135424605681436,887251.6962962961,972415.6293069451,2001213.0,179.0,117778394.0,1811975.2923076919,494314.89978121244,2001538.0,76301.0,119778979.0,1735927.231884058,607857.8225821385,2001436.0,197.0,0,1,0,0,2112,2240,0.5510148821689321,0.5844097235125038,17.0,292.0,24.328467153284674,38.49371787727781,1481.766316015457,0,0,0,1,1,0,0,0,1.0,24.507352941176467,18.727272727272727,29.7,0,0,0,0,0,0,66,1236,70,2079,-1,227,66,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
2,192.168.1.5-192.168.1.12-20003-34359-6,192.168.1.12,34359,192.168.1.5,20003,6,14/05/2020 11:30:02 PM,118045435,65,69,1212.0,2062.0,27.0,18.0,18.646153846153844,2.0873934795484863,292.0,17.0,29.88405797101449,53.813276360973155,27.735083529490147,1.1351561371263532,887559.6616541352,971206.9055083573,2001095.0,144.0,116044109.0,1813189.203125,486912.22573902656,2001334.0,119345.0,118045435.0,1735962.279411765,603835.8378912404,2001495.0,311.0,0,1,0,0,2080,2208,0.5506354396508429,0.5845206974755102,17.0,292.0,24.385185185185186,38.774700396310735,1503.47739082366,0,0,0,1,1,0,0,0,1.0,24.56716417910448,18.646153846153847,29.88405797101449,0,0,0,0,0,0,65,1212,69,2062,-1,227,65,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
3,192.168.1.2-192.168.1.5-50319-20000-6,192.168.1.2,50319,192.168.1.5,20000,6,14/05/2020 11:30:02 PM,118059757,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.342591913008928,1.0672561353823555,944478.056,997907.7674754777,2001272.0,129.0,116058513.0,1934308.55,333239.74949319236,2001538.0,147772.0,118059757.0,1844683.703125001,523521.5331865441,2001636.0,171.0,0,1,0,0,1952,2080,0.5166874941136801,0.5505686412686754,17.0,292.0,24.62992125984252,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
4,192.168.1.1-192.168.1.5-40070-20001-6,192.168.1.1,40070,192.168.1.5,20001,6,14/05/2020 11:32:00 PM,118056398,64,68,1188.0,2045.0,27.0,18.0,18.5625,1.991051409252336,292.0,17.0,30.073529411764717,54.1901891700214,27.385216343802053,1.118109668228231,901193.8778625955,975873.1612787122,2001294.0,142.0,116055162.0,1842145.4285714282,448328.1666812076,2001554.0,194364.0,118056398.0,1762035.7910447756,580480.900946415,2001838.0,178.0,0,1,0,0,2048,2176,0.5421137785349001,0.5759958896933312,17.0,292.0,24.44360902255639,39.061996863927654,1525.8395989974933,0,0,0,1,1,0,0,0,1.0,24.62878787878788,18.5625,30.073529411764714,0,0,0,0,0,0,64,1188,68,2045,-1,227,64,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
5,192.168.1.5-192.168.1.11-20002-39574-6,192.168.1.11,39574,192.168.1.5,20002,6,14/05/2020 11:32:01 PM,118043097,64,68,1188.0,2045.0,27.0,18.0,18.5625,1.991051409252336,292.0,17.0,30.073529411764714,54.1901891700214,27.388302087668876,1.1182356559147206,901092.3435114508,979867.7877314704,2000983.0,213.0,116041936.0,1841935.4920634925,467126.94077775365,2001791.0,122304.0,118043097.0,1761837.2686567162,594160.7042973378,2001657.0,318.0,0,1,0,0,2048,2176,0.542174863473804,0.5760607924409167,17.0,292.0,24.443609022556394,39.061996863927654,1525.8395989974929,0,0,0,1,1,0,0,0,1.0,24.62878787878788,18.5625,30.073529411764714,0,0,0,0,0,0,64,1188,68,2045,-1,227,64,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
6,192.168.1.5-192.168.1.12-20003-34359-6,192.168.1.12,34359,192.168.1.5,20003,6,14/05/2020 11:32:02 PM,118043370,64,68,1188.0,2045.0,27.0,18.0,18.5625,1.991051409252336,292.0,17.0,30.073529411764714,54.1901891700214,27.38823874648784,1.118233069760716,901094.4274809158,977398.811859252,2000881.0,189.0,116042104.0,1841938.1587301583,455924.5118853313,2001339.0,162666.0,118043370.0,1761841.3432835822,585977.9204561703,2001222.0,324.0,0,1,0,0,2048,2176,0.5421736095809532,0.5760594601797627,17.0,292.0,24.44360902255639,39.061996863927654,1525.8395989974933,0,0,0,1,1,0,0,0,1.0,24.62878787878788,18.5625,30.073529411764714,0,0,0,0,0,0,64,1188,68,2045,-1,227,64,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
7,192.168.1.2-192.168.1.5-50319-20000-6,192.168.1.2,50319,192.168.1.5,20000,6,14/05/2020 11:32:02 PM,118057378,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.34312274833005,1.0672776418937575,944459.024,996386.9386778077,2001276.0,175.0,116055748.0,1934262.4666666668,323903.12089696736,2001572.0,204428.0,118057378.0,1844646.53125,517997.4456593872,2001587.0,310.0,0,1,0,0,1952,2080,0.5166979059961844,0.5505797358975735,17.0,292.0,24.62992125984252,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
8,192.168.1.1-192.168.1.5-40070-20001-6,192.168.1.1,40070,192.168.1.5,20001,6,14/05/2020 11:34:01 PM,118054637,65,69,1212.0,2062.0,27.0,18.0,18.646153846153847,2.0873934795484863,292.0,17.0,29.8840579710145,53.813276360973155,27.732921664059674,1.1350676551569931,887628.8496240607,967273.3925328023,2001721.0,131.0,116052535.0,1813320.8593749998,469776.8975509872,2001940.0,248431.0,118054637.0,1736097.6029411762,590961.9236345058,2001897.0,248.0,0,1,0,0,2080,2208,0.5505925192925712,0.5844751358644218,17.0,292.0,24.38518518518519,38.774700396310735,1503.4773908236596,0,0,0,1,1,0,0,0,1.0,24.56716417910448,18.646153846153847,29.88405797101449,0,0,0,0,0,0,65,1212,69,2062,-1,227,65,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
9,192.168.1.5-192.168.1.11-20002-39574-6,192.168.1.11,39574,192.168.1.5,20002,6,14/05/2020 11:34:01 PM,118058388,64,68,1188.0,2045.0,27.0,18.0,18.5625,1.991051409252336,292.0,17.0,30.073529411764714,54.1901891700214,27.384754736783293,1.1180908212976786,901209.0687022895,980887.1349541402,2001045.0,222.0,116056912.0,1842173.2063492062,471035.4713370478,2001916.0,166042.0,118058388.0,1762065.4925373134,597104.4095714821,2001741.0,279.0,0,1,0,0,2048,2176,0.5421046406291775,0.5759861806685012,17.0,292.0,24.44360902255639,39.061996863927654,1525.8395989974936,0,0,0,1,1,0,0,0,1.0,24.62878787878788,18.5625,30.073529411764714,0,0,0,0,0,0,64,1188,68,2045,-1,227,64,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
