,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE,Label
0,192.168.1.11-192.168.1.9-34422-20002,192.168.1.11,192.168.1.9,34422,20002,6, 14/05/2020  23:30:01 ,44018717.0,26,27,229,203,151,633,606,498,17,8,8.807692307692307,2.332710539595185,16,7,7.8076923076923075,2.332710539595185,14,5,5.807692307692308,2.332710539595185,282,7,23.444444444444446,61.04370019365907,281,6,22.444444444444446,61.04370019365907,277,2,18.444444444444443,61.04370019365907,19.58257892886792,18.3785456536591,14.743728219066448,1.2040332752088163,846513.7884615384,967322.1217117669,2000388.0,478.0,44017949.0,1760717.96,561123.0114116749,2001169.0,81861.0,44017929.0,1692997.269230769,649242.9343915917,2001850.0,515.0,260,26,52,270,27,108,0.590657833121306,0.6133754420875102,16.264150943396228,7,282,43.82182058474286,1920.351959361393,15.264150943396224,6,281,43.82182058474286,1920.351959361393,12.245283018867926,2,277,43.66300390507406,1906.4579100145127,0,0,0,0,0,0,0,0,3,17,53,MASTER,1,129,0,0,0,26,27,DISABLE_UNSOLICITED
1,192.168.1.11-192.168.1.4-45060-20002,192.168.1.11,192.168.1.4,45060,20002,6, 14/05/2020  23:30:01 ,44017770.0,26,27,229,203,151,633,606,498,17,8,8.807692307692307,2.332710539595185,16,7,7.8076923076923075,2.332710539595185,14,5,5.807692307692308,2.332710539595185,282,7,23.444444444444446,61.04370019365907,281,6,22.444444444444446,61.04370019365907,277,2,18.444444444444443,61.04370019365907,19.583000229225608,18.378941050398513,14.744045416203502,1.2040591788270965,846495.5769230769,967604.3163838213,2000844.0,217.0,44017248.0,1760689.92,561566.6207663254,2001446.0,80898.0,44017169.0,1692968.0384615385,649610.3855127614,2001615.0,217.0,260,26,52,270,27,108,0.5906705405566888,0.6133886382704077,16.264150943396228,7,282,43.82182058474286,1920.351959361393,15.264150943396224,6,281,43.82182058474286,1920.351959361393,12.245283018867926,2,277,43.66300390507406,1906.4579100145127,0,0,0,0,0,0,0,0,3,12,53,MASTER,1,129,0,0,0,26,27,DISABLE_UNSOLICITED
2,192.168.1.11-192.168.1.8-39169-20002,192.168.1.11,192.168.1.8,39169,20002,6, 14/05/2020  23:30:01 ,44018403.0,26,27,229,203,151,633,606,498,17,8,8.807692307692307,2.332710539595185,16,7,7.8076923076923075,2.332710539595185,14,5,5.807692307692308,2.332710539595185,282,7,23.444444444444446,61.04370019365907,281,6,22.444444444444446,61.04370019365907,277,2,18.444444444444443,61.04370019365907,19.582718618846762,18.378676754810932,14.743833391683927,1.2040418640358217,846507.75,967615.8221800687,2000694.0,347.0,44017254.0,1760690.16,561727.2585385396,2001474.0,78739.0,44017904.0,1692996.3076923075,649789.9583476352,2001520.0,347.0,260,26,52,270,27,108,0.5906620465081389,0.6133798175276827,16.264150943396228,7,282,43.82182058474286,1920.351959361393,15.264150943396224,6,281,43.82182058474286,1920.351959361393,12.245283018867926,2,277,43.66300390507406,1906.4579100145127,0,0,0,0,0,0,0,0,3,16,53,MASTER,1,129,0,0,0,26,27,DISABLE_UNSOLICITED
3,192.168.1.11-192.168.1.5-39574-20002,192.168.1.11,192.168.1.5,39574,20002,6, 14/05/2020  23:30:01 ,44017756.0,26,27,229,203,151,633,606,498,17,8,8.807692307692307,2.332710539595185,16,7,7.8076923076923075,2.332710539595185,14,5,5.807692307692308,2.332710539595185,282,7,23.444444444444446,61.04370019365907,281,6,22.444444444444446,61.04370019365907,277,2,18.444444444444443,61.04370019365907,19.583006457666766,18.378946895884468,14.744050105598294,1.2040595617822951,846495.3076923076,967712.1239499012,2000848.0,542.0,44017168.0,1760686.72,562050.4543325803,2001619.0,76366.0,44017204.0,1692969.3846153843,650042.0549864803,2001453.0,587.0,260,26,52,270,27,108,0.5906707284215034,0.613388833360792,16.264150943396228,7,282,43.82182058474286,1920.351959361393,15.264150943396224,6,281,43.82182058474286,1920.351959361393,12.245283018867926,2,277,43.66300390507406,1906.4579100145127,0,0,0,0,0,0,0,0,3,13,53,MASTER,1,129,0,0,0,26,27,DISABLE_UNSOLICITED
4,192.168.1.11-192.168.1.3-33783-20002,192.168.1.11,192.168.1.3,33783,20002,6, 14/05/2020  23:30:01 ,44018237.0,26,27,229,203,151,633,606,498,17,8,8.807692307692307,2.332710539595185,16,7,7.8076923076923075,2.332710539595185,14,5,5.807692307692308,2.332710539595185,282,7,23.444444444444446,61.04370019365907,281,6,22.444444444444446,61.04370019365907,277,2,18.444444444444443,61.04370019365907,19.58279246849436,18.37874606381896,14.743888993100748,1.2040464046754076,846504.5576923076,967671.5886068974,2000541.0,451.0,44017357.0,1760694.28,561961.1728629865,2001264.0,77093.0,44017580.0,1692983.8461538462,649968.0351598032,2001213.0,451.0,260,26,52,270,27,108,0.5906642739917094,0.6133821306836982,16.264150943396228,7,282,43.82182058474286,1920.351959361393,15.264150943396224,6,281,43.82182058474286,1920.351959361393,12.245283018867926,2,277,43.66300390507406,1906.4579100145127,0,0,0,0,0,0,0,0,3,11,53,MASTER,1,129,0,0,0,26,27,DISABLE_UNSOLICITED
5,192.168.1.11-192.168.1.7-41065-20002,192.168.1.11,192.168.1.7,41065,20002,6, 14/05/2020  23:30:01 ,44019841.0,26,27,229,203,151,633,606,498,17,8,8.807692307692307,2.332710539595185,16,7,7.8076923076923075,2.332710539595185,14,5,5.807692307692308,2.332710539595185,282,7,23.444444444444446,61.04370019365907,281,6,22.444444444444446,61.04370019365907,277,2,18.444444444444443,61.04370019365907,19.58207890846312,18.378076376968288,14.74335175358766,1.2040025314948322,846535.4038461539,966728.888840402,2000643.0,410.0,44019083.0,1760763.32,558649.1628185736,2001458.0,77128.0,44018973.0,1693037.4230769232,647204.6337529528,2001402.0,410.0,260,26,52,270,27,108,0.5906427512993516,0.6133597801954805,16.264150943396228,7,282,43.82182058474286,1920.351959361393,15.264150943396224,6,281,43.82182058474286,1920.351959361393,12.245283018867926,2,277,43.66300390507406,1906.4579100145127,0,0,0,0,0,0,0,0,3,15,53,MASTER,1,129,0,0,0,26,27,DISABLE_UNSOLICITED
6,192.168.1.11-192.168.1.10-36479-20002,192.168.1.11,192.168.1.10,36479,20002,6, 14/05/2020  23:30:01 ,44019606.0,26,27,229,203,151,633,606,498,17,8,8.807692307692307,2.332710539595185,16,7,7.8076923076923075,2.332710539595185,14,5,5.807692307692308,2.332710539595185,282,7,23.444444444444446,61.04370019365907,281,6,22.444444444444446,61.04370019365907,277,2,18.444444444444443,61.04370019365907,19.58218344798452,18.378174488885698,14.743430461417578,1.204008959098816,846530.8846153845,966651.2747433622,2000973.0,456.0,44018935.0,1760757.4,558180.3549800608,2001674.0,82204.0,44018925.0,1693035.5769230768,646811.8461429832,2001709.0,456.0,260,26,52,270,27,108,0.5906459044635701,0.6133630546352459,16.264150943396228,7,282,43.82182058474286,1920.351959361393,15.264150943396224,6,281,43.82182058474286,1920.351959361393,12.245283018867926,2,277,43.66300390507406,1906.4579100145127,0,0,0,0,0,0,0,0,3,18,53,MASTER,1,129,0,0,0,26,27,DISABLE_UNSOLICITED
7,192.168.1.11-192.168.1.6-54308-20002,192.168.1.11,192.168.1.6,54308,20002,6, 14/05/2020  23:30:01 ,44018118.0,26,27,229,203,151,633,606,498,17,8,8.807692307692307,2.332710539595185,16,7,7.8076923076923075,2.332710539595185,14,5,5.807692307692308,2.332710539595185,282,7,23.444444444444446,61.04370019365907,281,6,22.444444444444446,61.04370019365907,277,2,18.444444444444443,61.04370019365907,19.582845409247163,18.378795749513873,14.743928852205812,1.2040496597332944,846502.2692307692,965132.7544990005,2000429.0,346.0,44017096.0,1760683.84,553031.4454539543,2001172.0,103039.0,44016901.0,1692957.730769231,642905.1786989778,2004754.0,346.0,260,26,52,270,27,108,0.5906658708125595,0.6133837889207349,16.264150943396228,7,282,43.82182058474286,1920.351959361393,15.264150943396224,6,281,43.82182058474286,1920.351959361393,12.245283018867926,2,277,43.66300390507406,1906.4579100145127,0,0,0,0,0,0,0,0,3,14,53,MASTER,1,129,0,0,0,26,27,DISABLE_UNSOLICITED
8,192.168.1.11-192.168.1.4-45060-20002,192.168.1.11,192.168.1.4,45060,20002,6, 14/05/2020  23:30:47 ,44018704.0,26,27,229,203,151,633,606,498,17,8,8.807692307692307,2.332710539595185,16,7,7.8076923076923075,2.332710539595185,14,5,5.807692307692308,2.332710539595185,282,7,23.444444444444446,61.04370019365907,281,6,22.444444444444446,61.04370019365907,277,2,18.444444444444443,61.04370019365907,19.58258471217145,18.378551081376678,14.743732573317015,1.204033630794764,846513.5384615384,965888.7054033624,2000390.0,287.0,44018014.0,1760720.56,555316.9085539565,2001161.0,105077.0,44017910.0,1692996.5384615385,644441.6159290913,2001184.0,287.0,260,26,52,270,27,108,0.5906580075596956,0.6133756232350684,16.264150943396228,7,282,43.82182058474286,1920.351959361393,15.264150943396224,6,281,43.82182058474286,1920.351959361393,12.245283018867926,2,277,43.66300390507406,1906.4579100145127,0,0,0,0,0,0,0,0,3,12,53,MASTER,1,129,0,0,0,26,27,DISABLE_UNSOLICITED
9,192.168.1.11-192.168.1.9-34422-20002,192.168.1.11,192.168.1.9,34422,20002,6, 14/05/2020  23:30:47 ,44018878.0,26,27,229,203,151,633,606,498,17,8,8.807692307692307,2.332710539595185,16,7,7.8076923076923075,2.332710539595185,14,5,5.807692307692308,2.332710539595185,282,7,23.444444444444446,61.04370019365907,281,6,22.444444444444446,61.04370019365907,277,2,18.444444444444443,61.04370019365907,19.582507305161208,18.378478433730184,14.743674293561046,1.2040288714310254,846516.8846153845,965844.751910312,2000333.0,404.0,44018052.0,1760722.08,555486.1054386599,2001220.0,104134.0,44018086.0,1693003.3076923075,644763.3048482686,2001264.0,404.0,260,26,52,270,27,108,0.5906556727774842,0.6133731986535413,16.264150943396228,7,282,43.82182058474286,1920.351959361393,15.264150943396224,6,281,43.82182058474286,1920.351959361393,12.245283018867926,2,277,43.66300390507406,1906.4579100145127,0,0,0,0,0,0,0,0,3,17,53,MASTER,1,129,0,0,0,26,27,DISABLE_UNSOLICITED
