,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,192.168.1.1-192.168.1.3-45480-20001-6,192.168.1.1,45480,192.168.1.3,20001,6,14/05/2020 11:30:00 PM,118052253,66,70,1236.0,2079.0,27.0,18.0,18.727272727272727,2.1735858677483906,292.0,17.0,29.7,53.44409241902003,28.080785548413047,1.1520322276272017,874461.1333333338,966449.0289692824,2000640.0,367.0,116050898.0,1785398.4307692312,520755.8251391664,2001544.0,112958.0,118052253.0,1710902.217391304,625257.6187098419,2001322.0,367.0,0,1,0,0,2112,2240,0.5590744634073185,0.5929577642198832,17.0,292.0,24.328467153284674,38.49371787727781,1481.7663160154568,0,0,0,1,1,0,0,0,1.0,24.507352941176467,18.727272727272727,29.7,0,0,0,0,0,0,66,1236,70,2079,-1,227,66,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
1,192.168.1.1-192.168.1.4-37319-20001-6,192.168.1.1,37319,192.168.1.4,20001,6,14/05/2020 11:30:00 PM,118052438,66,70,1236.0,2079.0,27.0,18.0,18.727272727272727,2.1735858677483906,292.0,17.0,29.7,53.44409241902003,28.080741543008198,1.1520304222772595,874462.5037037043,966477.0537781302,2000672.0,418.0,116050696.0,1785395.3230769231,520909.7564408082,2001371.0,111439.0,118052438.0,1710904.8985507246,625355.4770856368,2001361.0,418.0,0,1,0,0,2112,2240,0.5590735872816113,0.5929568349956483,17.0,292.0,24.328467153284674,38.49371787727781,1481.7663160154568,0,0,0,1,1,0,0,0,1.0,24.507352941176467,18.727272727272727,29.7,0,0,0,0,0,0,66,1236,70,2079,-1,227,66,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
2,192.168.1.1-192.168.1.9-49367-20001-6,192.168.1.1,49367,192.168.1.9,20001,6,14/05/2020 11:30:00 PM,118058053,66,70,1236.0,2079.0,27.0,18.0,18.727272727272727,2.1735858677483906,292.0,17.0,29.7,53.44409241902003,28.07940598512157,1.1519756301588338,874504.0962962962,966121.023948538,2000471.0,438.0,116056611.0,1785486.3230769224,519912.3431773472,2001203.0,117958.0,118058053.0,1710986.275362319,624575.3825200879,2001538.0,438.0,0,1,0,0,2112,2240,0.5590469969888459,0.5929286331699879,17.0,292.0,24.328467153284674,38.49371787727781,1481.7663160154568,0,0,0,1,1,0,0,0,1.0,24.507352941176467,18.727272727272727,29.7,0,0,0,0,0,0,66,1236,70,2079,-1,227,66,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
3,192.168.1.1-192.168.1.6-41489-20001-6,192.168.1.1,41489,192.168.1.6,20001,6,14/05/2020 11:30:00 PM,118061045,66,70,1236.0,2079.0,27.0,18.0,18.727272727272727,2.1735858677483906,292.0,17.0,29.7,53.44409241902003,28.07869437374539,1.1519464358459643,874526.2592592592,965639.5782207084,2000675.0,376.0,116056970.0,1785491.846153847,517923.6818587281,2002904.0,122001.0,118061045.0,1711029.6376811587,623062.9434183565,2003234.0,376.0,0,1,0,0,2112,2240,0.5590328291605415,0.5929136066854228,17.0,292.0,24.328467153284674,38.49371787727781,1481.7663160154568,0,0,0,1,1,0,0,0,1.0,24.507352941176467,18.727272727272727,29.7,0,0,0,0,0,0,66,1236,70,2079,-1,227,66,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
4,192.168.1.1-192.168.1.5-40070-20001-6,192.168.1.1,40070,192.168.1.5,20001,6,14/05/2020 11:30:00 PM,118056731,66,70,1236.0,2079.0,27.0,18.0,18.727272727272727,2.1735858677483906,292.0,17.0,29.7,53.44409241902003,28.079720418482534,1.1519885299890271,874494.3037037038,963695.2586646002,2000698.0,429.0,116055036.0,1785462.0923076922,510129.19419764756,2001600.0,140036.0,118056731.0,1710967.115942029,616969.1907031962,2001419.0,429.0,0,1,0,0,2112,2240,0.5590532572005572,0.5929352727884698,17.0,292.0,24.328467153284674,38.49371787727781,1481.7663160154568,0,0,0,1,1,0,0,0,1.0,24.507352941176467,18.727272727272727,29.7,0,0,0,0,0,0,66,1236,70,2079,-1,227,66,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
5,192.168.1.1-192.168.1.7-43417-20001-6,192.168.1.1,43417,192.168.1.7,20001,6,14/05/2020 11:30:00 PM,118059641,66,70,1236.0,2079.0,27.0,18.0,18.727272727272727,2.1735858677483906,292.0,17.0,29.7,53.44409241902003,28.07902829384345,1.151960135132039,874515.8592592591,963692.3135818166,2000704.0,435.0,116057891.0,1785506.0153846156,510210.4766375984,2001623.0,136689.0,118059641.0,1711009.2898550718,617015.0652505814,2001556.0,435.0,0,1,0,0,2112,2240,0.5590394773434895,0.5929206577885494,17.0,292.0,24.328467153284674,38.49371787727781,1481.7663160154568,0,0,0,1,1,0,0,0,1.0,24.507352941176467,18.727272727272727,29.7,0,0,0,0,0,0,66,1236,70,2079,-1,227,66,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
6,192.168.1.1-192.168.1.10-36758-20001-6,192.168.1.1,36758,192.168.1.10,20001,6,14/05/2020 11:30:00 PM,118059855,66,70,1236.0,2079.0,27.0,18.0,18.727272727272727,2.1735858677483906,292.0,17.0,29.7,53.44409241902003,28.078977396677303,1.1519580470431714,874517.4444444445,962315.9792323285,2000617.0,385.0,116057701.0,1785503.0923076924,504583.9028721996,2001428.0,192019.0,118059855.0,1711012.3913043472,612602.0326053789,2001385.0,385.0,0,1,0,0,2112,2240,0.559038464006245,0.5929195830369265,17.0,292.0,24.328467153284674,38.49371787727781,1481.7663160154568,0,0,0,1,1,0,0,0,1.0,24.507352941176467,18.727272727272727,29.7,0,0,0,0,0,0,66,1236,70,2079,-1,227,66,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
7,192.168.1.1-192.168.1.8-39909-20001-6,192.168.1.1,39909,192.168.1.8,20001,6,14/05/2020 11:30:00 PM,118059852,66,70,1236.0,2079.0,27.0,18.0,18.727272727272727,2.1735858677483906,292.0,17.0,29.7,53.44409241902003,28.078978110187702,1.151958076315393,874517.4222222219,963658.0031743508,2000973.0,441.0,116057878.0,1785505.8153846152,510103.5984711186,2001794.0,137294.0,118059852.0,1711012.347826087,616922.8986028591,2001725.0,441.0,0,1,0,0,2112,2240,0.5590384782118819,0.5929195981035109,17.0,292.0,24.328467153284674,38.49371787727781,1481.7663160154568,0,0,0,1,1,0,0,0,1.0,24.507352941176467,18.727272727272727,29.7,0,0,0,0,0,0,66,1236,70,2079,-1,227,66,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
8,192.168.1.1-192.168.1.4-37319-20001-6,192.168.1.1,37319,192.168.1.4,20001,6,14/05/2020 11:32:00 PM,118057994,64,68,1188.0,2045.0,27.0,18.0,18.5625,1.991051409252336,292.0,17.0,30.073529411764717,54.1901891700214,27.38484612909821,1.1180945527500663,901206.0610687026,977362.6142199279,2000671.0,391.0,116056311.0,1842163.6666666672,457058.4596963853,2001345.0,166466.0,118057994.0,1762059.6119402992,586850.1188105857,2001713.0,391.0,0,1,0,0,2048,2176,0.542106449818214,0.5759881029318523,17.0,292.0,24.44360902255639,39.061996863927654,1525.8395989974933,0,0,0,1,1,0,0,0,1.0,24.62878787878788,18.5625,30.073529411764714,0,0,0,0,0,0,64,1188,68,2045,-1,227,64,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
9,192.168.1.1-192.168.1.3-45480-20001-6,192.168.1.1,45480,192.168.1.3,20001,6,14/05/2020 11:32:00 PM,118057862,64,68,1188.0,2045.0,27.0,18.0,18.5625,1.991051409252336,292.0,17.0,30.073529411764717,54.1901891700214,27.38487674797973,1.1180958028868928,901205.0534351148,977390.3823213144,2000712.0,463.0,116055907.0,1842157.253968254,456895.1338906275,2001427.0,167081.0,118057862.0,1762057.6417910447,586699.3534178562,2001542.0,517.0,0,1,0,0,2048,2176,0.5421070559451602,0.5759887469417327,17.0,292.0,24.44360902255639,39.061996863927654,1525.8395989974933,0,0,0,1,1,0,0,0,1.0,24.62878787878788,18.5625,30.073529411764714,0,0,0,0,0,0,64,1188,68,2045,-1,227,64,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
