,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,192.168.1.2-192.168.1.8-38899-20000-6,192.168.1.2,38899,192.168.1.8,20000,6,14/05/2020 11:30:00 PM,118059783,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.342586111648195,1.0672559003433033,944478.2640000002,996906.0087450986,2000416.0,315.0,116058205.0,1934303.4166666672,330430.90355921467,2001173.0,163869.0,118059783.0,1844684.109375,521818.97595649905,2001430.0,315.0,0,1,0,0,1952,2080,0.5166873803249326,0.5505685200183708,17.0,292.0,24.62992125984253,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
1,192.168.1.2-192.168.1.3-47658-20000-6,192.168.1.2,47658,192.168.1.3,20000,6,14/05/2020 11:30:00 PM,118059742,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.342595259948983,1.067256270981856,944477.936,997729.6671299807,2000421.0,379.0,116057886.0,1934298.100000001,335684.57523000037,2001241.0,133017.0,118059742.0,1844683.46875,524942.3356354901,2001486.0,379.0,0,1,0,0,1952,2080,0.5166875597610573,0.5505687112207988,17.0,292.0,24.62992125984253,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
2,192.168.1.2-192.168.1.4-48768-20000-6,192.168.1.2,48768,192.168.1.4,20000,6,14/05/2020 11:30:02 PM,118059904,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.342559113041464,1.0672548065090752,944479.2320000001,996666.5616916278,2000543.0,396.0,116057806.0,1934296.7666666668,328885.0613296521,2001187.0,173031.0,118059904.0,1844686.0000000002,520911.7328039915,2001358.0,396.0,0,1,0,0,1952,2080,0.5166868507702665,0.5505679557388087,17.0,292.0,24.62992125984252,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
3,192.168.1.2-192.168.1.6-52786-20000-6,192.168.1.2,52786,192.168.1.6,20000,6,14/05/2020 11:30:02 PM,118066903,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.340997527478127,1.0671915396984708,944535.224,995827.8533169619,2000487.0,427.0,116064854.0,1934414.2333333332,324278.0090242388,2008214.0,198081.0,118066903.0,1844795.3593750002,518168.10753140546,2007624.0,427.0,0,1,0,0,1952,2080,0.5166562216000533,0.5505353180984175,17.0,292.0,24.62992125984252,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
4,192.168.1.2-192.168.1.9-49592-20000-6,192.168.1.2,49592,192.168.1.9,20000,6,14/05/2020 11:30:02 PM,118055893,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.34345411287516,1.0672910669524984,944447.1440000001,998065.386857589,2000508.0,429.0,116053859.0,1934230.9833333327,337581.78775071056,2001201.0,122873.0,118055893.0,1844623.3281249998,526099.072466456,2001391.0,429.0,0,1,0,0,1952,2080,0.5167044054293842,0.5505866615231143,17.0,292.0,24.62992125984252,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
5,192.168.1.2-192.168.1.10-40064-20000-6,192.168.1.2,40064,192.168.1.10,20000,6,14/05/2020 11:30:02 PM,118059963,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.342545948451644,1.067254273152703,944479.704,997301.0592194285,2000784.0,387.0,116058018.0,1934300.3,332686.2809029358,2001490.0,150929.0,118059963.0,1844686.921875,523199.8431653661,2001519.0,387.0,0,1,0,0,1952,2080,0.5166865925580546,0.5505676805946483,17.0,292.0,24.62992125984252,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
6,192.168.1.2-192.168.1.5-50319-20000-6,192.168.1.2,50319,192.168.1.5,20000,6,14/05/2020 11:30:02 PM,118059783,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.342586111648195,1.0672559003433033,944478.2640000001,997365.0454761606,2000797.0,406.0,116057926.0,1934298.7666666661,333228.0413090868,2001569.0,147779.0,118059783.0,1844684.109375,523483.3509810536,2001635.0,406.0,0,1,0,0,1952,2080,0.5166873803249326,0.5505685200183708,17.0,292.0,24.62992125984252,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
7,192.168.1.2-192.168.1.7-33429-20000-6,192.168.1.2,33429,192.168.1.7,20000,6,14/05/2020 11:30:02 PM,118060694,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.34238284250641,1.0672476650018676,944485.552,997151.5080508116,2000639.0,359.0,116058523.0,1934308.7166666668,332010.68556359736,2001465.0,154062.0,118060694.0,1844698.3437499998,522765.8505566609,2001539.0,359.0,0,1,0,0,1952,2080,0.51668339337392,0.5505642716279476,17.0,292.0,24.62992125984252,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
8,192.168.1.2-192.168.1.8-38899-20000-6,192.168.1.2,38899,192.168.1.8,20000,6,14/05/2020 11:32:01 PM,118058708,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.34282597773305,1.0672656183904707,944469.6640000001,995446.2369237287,2000445.0,338.0,116056861.0,1934281.0166666668,320900.16554086143,2001219.0,221921.0,118058708.0,1844667.3125,516206.6670498304,2001409.0,338.0,0,1,0,0,1952,2080,0.5166920850937993,0.5505735332966714,17.0,292.0,24.62992125984253,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
9,192.168.1.2-192.168.1.3-47658-20000-6,192.168.1.2,47658,192.168.1.3,20000,6,14/05/2020 11:32:01 PM,118058343,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.34290742162966,1.0672689180467323,944466.744,996246.665158088,2000394.0,373.0,116055906.0,1934265.1000000003,326120.51838965237,2001196.0,190121.0,118058343.0,1844661.609375,519271.82039530564,2001413.0,373.0,0,1,0,0,1952,2080,0.5166936825464339,0.5505752355002984,17.0,292.0,24.62992125984253,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
