,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,192.168.1.2-192.168.1.6-52786-20000-6,192.168.1.2,52786,192.168.1.6,20000,6,14/05/2020 11:30:00 PM,118066044,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.34118917374753,1.0671993041453984,944528.3519999998,996562.1945163754,2007535.0,158.0,116064771.0,1934412.85,324274.3763367748,2007806.0,198087.0,118066044.0,1844781.9374999998,518238.98096218717,2007779.0,300.0,0,1,0,0,1952,2080,0.5166599805783278,0.5505393235670706,17.0,292.0,24.62992125984253,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
1,192.168.1.6-192.168.1.12-20003-57231-6,192.168.1.12,57231,192.168.1.6,20003,6,14/05/2020 11:30:00 PM,118044822,65,69,1212.0,2062.0,27.0,18.0,18.646153846153844,2.0873934795484863,292.0,17.0,29.88405797101449,53.813276360973155,27.73522755619048,1.1351620319271607,887555.0526315786,970548.9176579115,2003986.0,97.0,116043614.0,1813181.4687499998,483659.3750828395,2004107.0,138015.0,118044822.0,1735953.2647058822,601371.6786114796,2004090.0,261.0,0,1,0,0,2080,2208,0.5506382990691451,0.5845237328580156,17.0,292.0,24.385185185185186,38.774700396310735,1503.47739082366,0,0,0,1,1,0,0,0,1.0,24.56716417910448,18.646153846153847,29.88405797101449,0,0,0,0,0,0,65,1212,69,2062,-1,227,65,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
2,192.168.1.1-192.168.1.6-41489-20001-6,192.168.1.1,41489,192.168.1.6,20001,6,14/05/2020 11:30:00 PM,118059788,66,70,1236.0,2079.0,27.0,18.0,18.727272727272727,2.1735858677483906,292.0,17.0,29.7,53.44409241902003,28.078993331751537,1.1519587007898069,874516.9481481481,966239.8647077351,2002923.0,105.0,116058203.0,1785510.8153846152,517937.66798479523,2003086.0,122076.0,118059788.0,1711011.420289855,623061.2279604867,2003096.0,177.0,0,1,0,0,2112,2240,0.5590387812656414,0.5929199195241652,17.0,292.0,24.328467153284674,38.49371787727781,1481.7663160154568,0,0,0,1,1,0,0,0,1.0,24.507352941176467,18.727272727272727,29.7,0,0,0,0,0,0,66,1236,70,2079,-1,227,66,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
3,192.168.1.6-192.168.1.11-20002-54308-6,192.168.1.11,54308,192.168.1.6,20002,6,14/05/2020 11:30:01 PM,119705945,66,70,1236.0,2079.0,27.0,18.0,18.727272727272727,2.1735858677483906,292.0,17.0,29.70000000000001,53.44409241902003,27.69286020005105,1.136117341540556,886710.703703704,970345.7946244676,2005185.0,154.0,117704887.0,1810844.415384615,487689.749874981,2005479.0,103004.0,119705945.0,1734868.768115942,602663.7705774439,2005405.0,218.0,0,1,0,0,2112,2240,0.5513510628064463,0.5847662787341097,17.0,292.0,24.328467153284674,38.49371787727781,1481.766316015457,0,0,0,1,1,0,0,0,1.0,24.507352941176467,18.727272727272727,29.7,0,0,0,0,0,0,66,1236,70,2079,-1,227,66,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
4,192.168.1.6-192.168.1.12-20003-57231-6,192.168.1.12,57231,192.168.1.6,20003,6,14/05/2020 11:32:00 PM,118048017,64,68,1188.0,2045.0,27.0,18.0,18.5625,1.991051409252336,292.0,17.0,30.073529411764714,54.1901891700214,27.38716059923311,1.1181890501388092,901129.9007633588,976733.5835776214,2001249.0,99.0,116046723.0,1842011.476190476,452373.26660170656,2001431.0,182462.0,118048017.0,1761910.7014925373,583398.0828825466,2001800.0,140.0,0,1,0,0,2048,2176,0.5421522667339681,0.5760367834048411,17.0,292.0,24.44360902255639,39.061996863927654,1525.8395989974938,0,0,0,1,1,0,0,0,1.0,24.62878787878788,18.5625,30.073529411764714,0,0,0,0,0,0,64,1188,68,2045,-1,227,64,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
5,192.168.1.2-192.168.1.6-52786-20000-6,192.168.1.2,52786,192.168.1.6,20000,6,14/05/2020 11:32:00 PM,118059179,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.34272088238052,1.0672613605080212,944473.4319999996,995042.0020297192,2001656.0,106.0,116057858.0,1934297.633333333,314648.32187644014,2001964.0,260885.0,118059179.0,1844674.6718749998,512628.5578107028,2001878.0,340.0,0,1,0,0,1952,2080,0.5166900237380102,0.5505713367700109,17.0,292.0,24.62992125984253,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
6,192.168.1.1-192.168.1.6-41489-20001-6,192.168.1.1,41489,192.168.1.6,20001,6,14/05/2020 11:32:00 PM,118054781,64,68,1188.0,2045.0,27.0,18.0,18.5625,1.991051409252336,292.0,17.0,30.073529411764717,54.1901891700214,27.3855914399604,1.1181249830110649,901181.534351145,977107.2807082084,2002875.0,137.0,116053393.0,1842117.349206349,453886.819880746,2003298.0,182093.0,118054781.0,1762011.6567164182,584516.461945063,2003052.0,160.0,0,1,0,0,2048,2176,0.5421212038841527,0.5760037791269123,17.0,292.0,24.44360902255639,39.061996863927654,1525.8395989974933,0,0,0,1,1,0,0,0,1.0,24.62878787878788,18.5625,30.073529411764714,0,0,0,0,0,0,64,1188,68,2045,-1,227,64,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
7,192.168.1.6-192.168.1.11-20002-54308-6,192.168.1.11,54308,192.168.1.6,20002,6,14/05/2020 11:32:01 PM,118037623,64,68,1188.0,2045.0,27.0,18.0,18.5625,1.991051409252336,292.0,17.0,30.073529411764714,54.1901891700214,27.3895722213925,1.1182875141428423,901050.5572519081,978263.2315601279,2001147.0,154.0,116036122.0,1841843.2063492062,459769.8972079599,2001402.0,149591.0,118037623.0,1761755.5671641792,588768.0346080957,2001816.0,282.0,0,1,0,0,2048,2176,0.5422000068571358,0.5760875072857067,17.0,292.0,24.443609022556394,39.061996863927654,1525.8395989974929,0,0,0,1,1,0,0,0,1.0,24.62878787878788,18.5625,30.073529411764714,0,0,0,0,0,0,64,1188,68,2045,-1,227,64,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
8,192.168.1.2-192.168.1.6-52786-20000-6,192.168.1.2,52786,192.168.1.6,20000,6,14/05/2020 11:34:00 PM,118056012,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.34342755877609,1.0672899911272626,944448.0960000005,993852.4130748169,2001507.0,103.0,116054511.0,1934241.85,306985.13029703184,2001902.0,313910.0,118056012.0,1844625.1875000002,508226.52126286,2002715.0,131.0,0,1,0,0,1952,2080,0.5167038845933573,0.5505861065339053,17.0,292.0,24.62992125984253,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
9,192.168.1.6-192.168.1.12-20003-57231-6,192.168.1.12,57231,192.168.1.6,20003,6,14/05/2020 11:34:00 PM,118057273,65,69,1212.0,2062.0,27.0,18.0,18.646153846153844,2.0873934795484863,292.0,17.0,29.88405797101449,53.813276360973155,27.732302439342302,1.1350423112009371,887648.6691729325,968589.6070923428,2001700.0,108.0,116055220.0,1813362.8125,475279.3556550056,2002023.0,230039.0,118057273.0,1736136.3676470583,595086.6497344286,2001954.0,280.0,0,1,0,0,2080,2208,0.5505802255825442,0.5844620856183931,17.0,292.0,24.38518518518518,38.77470039631073,1503.4773908236593,0,0,0,1,1,0,0,0,1.0,24.56716417910448,18.646153846153847,29.88405797101449,0,0,0,0,0,0,65,1212,69,2062,-1,227,65,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
