,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE, Label
0,192.168.1.12-192.168.1.10-42776-20003,192.168.1.12,192.168.1.10,42776,20003,6, 14/05/2020  23:30:00 ,118053218.0,66,68,570,504,372,1364,1296,1024,17,8,8.636363636363637,2.0728008820201462,16,7,7.636363636363638,2.0728008820201462,14,5,5.636363636363638,2.0728008820201462,282,7,20.058823529411768,54.193650107997826,281,6,19.058823529411768,54.193650107997826,277,2,15.058823529411766,54.193650107997826,16.382442027120344,15.247360728447065,11.825175320506725,1.1350812986732814,887618.1804511278,971506.8181807706,2001309.0,111.0,118052925.0,1816198.8461538462,484621.615200916,2001699.0,100895.0,118052957.0,1761984.4328358208,569851.5462395294,2001693.0,517.0,660,66,132,680,68,272,0.5590698933763923,0.5760114052968891,14.432835820895527,7,282,38.91622924519502,1514.472898664572,13.432835820895527,6,281,38.91622924519502,1514.472898664572,10.417910447761194,2,277,38.781108979064214,1503.9744136460556,0,0,0,0,0,0,0,0,4,18,134,MASTER,1,129,0,0,0,66,68,DISABLE_UNSOLICITED
1,192.168.1.2-192.168.1.10-40064-20000,192.168.1.2,192.168.1.10,40064,20000,6, 14/05/2020  23:30:00 ,118059242.0,62,64,514,452,328,1336,1272,1016,17,8,8.290322580645162,1.6031433955497778,16,7,7.290322580645161,1.6031433955497778,14,5,5.290322580645161,1.6031433955497778,282,7,20.875,55.784591375402535,281,6,19.875,55.784591375402535,277,2,15.875,55.784591375402535,15.670098915254767,14.602838124269848,11.38411510383914,1.0672607909849192,944473.936,997793.6258318678,2001184.0,204.0,118058986.0,1935393.213114754,330028.7905117327,2001437.0,150816.0,118058905.0,1873950.8730158731,471634.103215019,2001560.0,467.0,620,62,124,640,64,256,0.5251600717544841,0.5421007192304352,14.682539682539682,7,282,40.11935209719136,1609.562412698413,13.682539682539682,6,281,40.11935209719136,1609.562412698413,10.666666666666666,2,277,39.973591282245344,1597.888,0,0,0,0,0,0,0,0,1,18,126,MASTER,1,129,0,0,0,62,64,NORMAL
2,192.168.1.1-192.168.1.10-36758-20001,192.168.1.1,192.168.1.10,36758,20001,6, 14/05/2020  23:30:00 ,118059390.0,67,69,584,517,383,1371,1302,1026,17,8,8.716417910447761,2.1588855861809377,16,7,7.7164179104477615,2.1588855861809377,14,5,5.7164179104477615,2.1588855861809377,282,7,19.869565217391305,53.816658541504495,281,6,18.869565217391305,53.816658541504495,277,2,14.869565217391305,53.816658541504495,16.55946214866941,15.407499564414149,11.934671185409309,1.1519625842552634,874514.0,962771.2781893208,2001110.0,186.0,118058975.0,1788772.3484848484,501389.3575331372,2001404.0,192029.0,118059095.0,1736163.161764706,580163.8163259056,2001405.0,475.0,670,67,134,690,69,276,0.5675109790081078,0.5844516052471557,14.375,7,282,38.63215653466058,1492.4435185185184,13.375,6,281,38.63215653466058,1492.4435185185184,10.360294117647056,2,277,38.499576292833,1482.2173747276684,0,0,0,0,0,0,0,0,2,18,136,MASTER,1,129,0,0,0,67,69,DISABLE_UNSOLICITED
3,192.168.1.11-192.168.1.10-36479-20002,192.168.1.11,192.168.1.10,36479,20002,6, 14/05/2020  23:30:01 ,119735755.0,67,69,584,517,383,1371,1302,1026,17,8,8.716417910447761,2.1588855861809377,16,7,7.7164179104477615,2.1588855861809377,14,5,5.7164179104477615,2.1588855861809377,282,7,19.869565217391305,53.816658541504495,281,6,18.869565217391305,53.816658541504495,277,2,14.869565217391305,53.816658541504495,16.32762076791515,15.191786279712355,11.767579366748054,1.1358344882027929,886931.5185185184,971445.1499590226,2001364.0,203.0,119735435.0,1814173.2575757576,488360.0287472446,2001666.0,82172.0,119735430.0,1760815.1470588238,571621.5184389282,2001702.0,562.0,670,67,134,690,69,276,0.5595655199234347,0.5762689682793581,14.375,7,282,38.63215653466058,1492.4435185185184,13.375,6,281,38.63215653466058,1492.4435185185184,10.360294117647056,2,277,38.499576292833,1482.2173747276684,0,0,0,0,0,0,0,0,3,18,136,MASTER,1,129,0,0,0,67,69,DISABLE_UNSOLICITED
4,192.168.1.12-192.168.1.10-42776-20003,192.168.1.12,192.168.1.10,42776,20003,6, 14/05/2020  23:32:00 ,118058255.0,65,67,556,491,361,1357,1290,1022,17,8,8.553846153846154,1.9766667747654227,16,7,7.553846153846153,1.9766667747654227,14,5,5.553846153846153,1.9766667747654227,282,7,20.253731343283587,54.57864586402792,281,6,19.253731343283587,54.57864586402792,277,2,15.25373134328358,54.57864586402792,16.203864778451962,15.085772697555118,11.714555665760095,1.118092080896842,901208.0534351146,977428.2400257423,2001478.0,187.0,118057970.0,1844655.78125,452231.8442217502,2001772.0,150823.0,118057992.0,1788757.4545454546,547514.7310807875,2001739.0,514.0,650,65,130,670,67,268,0.5505756458961721,0.5675164350006698,14.492424242424242,7,282,39.206732599147905,1537.167881101087,13.492424242424242,6,281,39.206732599147905,1537.167881101087,10.477272727272727,2,277,39.069025998931735,1526.3887925052038,0,0,0,0,0,0,0,0,4,18,132,MASTER,1,129,0,0,0,65,67,DISABLE_UNSOLICITED
5,192.168.1.2-192.168.1.10-40064-20000,192.168.1.2,192.168.1.10,40064,20000,6, 14/05/2020  23:32:00 ,118058246.0,62,64,514,452,328,1336,1272,1016,17,8,8.290322580645162,1.6031433955497778,16,7,7.290322580645161,1.6031433955497778,14,5,5.290322580645161,1.6031433955497778,282,7,20.875,55.784591375402535,281,6,19.875,55.784591375402535,277,2,15.875,55.784591375402535,15.670231116257648,14.602961321312533,11.384211146081233,1.0672697949451155,944465.968,996304.7784289556,2001195.0,210.0,118058009.0,1935377.1967213117,320723.11094721674,2001455.0,207317.0,118057908.0,1873935.047619048,465350.0746443453,2001498.0,449.0,620,62,124,640,64,256,0.5251645022745807,0.5421052926705349,14.682539682539682,7,282,40.11935209719136,1609.562412698413,13.682539682539682,6,281,40.11935209719136,1609.562412698413,10.666666666666666,2,277,39.973591282245344,1597.888,0,0,0,0,0,0,0,0,1,18,126,MASTER,1,129,0,0,0,62,64,NORMAL
6,192.168.1.1-192.168.1.10-36758-20001,192.168.1.1,192.168.1.10,36758,20001,6, 14/05/2020  23:32:00 ,118052949.0,65,67,556,491,361,1357,1290,1022,17,8,8.553846153846154,1.9766667747654227,16,7,7.553846153846153,1.9766667747654227,14,5,5.553846153846153,1.9766667747654227,282,7,20.253731343283587,54.578645864027926,281,6,19.253731343283587,54.578645864027926,277,2,15.25373134328358,54.578645864027926,16.20459307628139,15.086450741692188,11.715082187400505,1.118142334589202,901167.5496183208,974521.663356993,2001147.0,192.0,118052757.0,1844574.328125,439298.4870806352,2001442.0,250267.0,118052611.0,1788675.9242424243,537203.2088197398,2001443.0,536.0,650,65,130,670,67,268,0.5506003920325616,0.5675419425566404,14.492424242424242,7,282,39.206732599147905,1537.1678811010872,13.492424242424242,6,281,39.206732599147905,1537.1678811010872,10.477272727272727,2,277,39.069025998931735,1526.3887925052038,0,0,0,0,0,0,0,0,2,18,132,MASTER,1,129,0,0,0,65,67,DISABLE_UNSOLICITED
7,192.168.1.11-192.168.1.10-36479-20002,192.168.1.11,192.168.1.10,36479,20002,6, 14/05/2020  23:32:01 ,118044804.0,65,67,556,491,361,1357,1290,1022,17,8,8.553846153846154,1.9766667747654227,16,7,7.553846153846153,1.9766667747654227,14,5,5.553846153846153,1.9766667747654227,282,7,20.253731343283587,54.578645864027926,281,6,19.253731343283587,54.578645864027926,277,2,15.25373134328358,54.578645864027926,16.20571118064629,15.087491695102479,11.715890518993108,1.118219485543811,901105.3740458016,979539.4261598295,2000865.0,220.0,118044510.0,1844445.46875,462049.496665481,2001102.0,114201.0,118044412.0,1788551.6969696968,555377.0720370626,2001160.0,402.0,650,65,130,670,67,268,0.5506383830329372,0.5675811025108738,14.492424242424242,7,282,39.206732599147905,1537.1678811010872,13.492424242424242,6,281,39.206732599147905,1537.1678811010872,10.477272727272727,2,277,39.069025998931735,1526.3887925052038,0,0,0,0,0,0,0,0,3,18,132,MASTER,1,129,0,0,0,65,67,DISABLE_UNSOLICITED
8,192.168.1.12-192.168.1.10-42776-20003,192.168.1.12,192.168.1.10,42776,20003,6, 14/05/2020  23:34:00 ,118055650.0,66,68,570,504,372,1364,1296,1024,17,8,8.636363636363637,2.0728008820201462,16,7,7.636363636363638,2.0728008820201462,14,5,5.636363636363638,2.0728008820201462,282,7,20.058823529411768,54.193650107997826,281,6,19.058823529411768,54.193650107997826,277,2,15.058823529411766,54.193650107997826,16.382104541375195,15.24704662589211,11.824931716525214,1.135057915483079,887636.4661654134,968669.36538746,2001191.0,204.0,118055371.0,1816236.476923077,472662.7876308895,2001477.0,202302.0,118055391.0,1762020.7611940296,560038.026997791,2001576.0,421.0,660,66,132,680,68,272,0.5590583762827107,0.5759995392003686,14.432835820895527,7,282,38.91622924519502,1514.472898664572,13.432835820895527,6,281,38.91622924519502,1514.472898664572,10.417910447761194,2,277,38.781108979064214,1503.9744136460556,0,0,0,0,0,0,0,0,4,18,134,MASTER,1,129,0,0,0,66,68,DISABLE_UNSOLICITED
9,192.168.1.2-192.168.1.10-40064-20000,192.168.1.2,192.168.1.10,40064,20000,6, 14/05/2020  23:34:00 ,118057409.0,62,64,514,452,328,1336,1272,1016,17,8,8.290322580645162,1.6031433955497778,16,7,7.290322580645161,1.6031433955497778,14,5,5.290322580645161,1.6031433955497778,282,7,20.875,55.784591375402535,281,6,19.875,55.784591375402535,277,2,15.875,55.784591375402535,15.670342214608487,14.603064852964886,11.384291857531785,1.0672773616436049,944459.272,994988.7666273356,2001289.0,206.0,118057096.0,1935362.229508197,312110.2855804015,2001534.0,261181.0,118057116.0,1873922.476190476,459642.50901367096,2001585.0,436.0,620,62,124,640,64,256,0.5251682255706628,0.5421091360729422,14.682539682539682,7,282,40.11935209719136,1609.562412698413,13.682539682539682,6,281,40.11935209719136,1609.562412698413,10.666666666666666,2,277,39.973591282245344,1597.888,0,0,0,0,0,0,0,0,1,18,126,MASTER,1,129,0,0,0,62,64,NORMAL
