,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE,Label
0,192.168.1.11-192.168.1.9-34422-20002,192.168.1.11,192.168.1.9,34422,20002,6, 14/05/2020  23:30:01 ,58023770.0,34,35,299,265,197,689,654,514,17,8,8.794117647058824,2.2533397673124824,16,7,7.794117647058822,2.2533397673124824,14,5,5.794117647058822,2.2533397673124824,282,7,19.68571428571429,53.83895999594882,281,6,18.68571428571429,53.83895999594882,277,2,14.685714285714285,53.83895999594882,17.027504417586105,15.838336598949015,12.253598826825625,1.1891678186370862,853290.7352941177,958746.8349184304,2000388.0,478.0,58022958.0,1758271.4545454546,535450.7561364239,2001169.0,81861.0,58022982.0,1706558.294117647,607423.7093684615,2001850.0,515.0,340,34,68,350,35,140,0.5859667512124772,0.6032010674246089,14.318840579710145,7,282,38.49503128885719,1481.8674339300933,13.318840579710145,6,281,38.49503128885719,1481.8674339300933,10.304347826086957,2,277,38.364468989136476,1471.8324808184145,0,0,0,0,0,0,0,0,3,17,69,MASTER,1,129,0,0,0,34,35,DISABLE_UNSOLICITED
1,192.168.1.11-192.168.1.4-45060-20002,192.168.1.11,192.168.1.4,45060,20002,6, 14/05/2020  23:30:01 ,58021926.0,34,35,299,265,197,689,654,514,17,8,8.794117647058824,2.2533397673124824,16,7,7.794117647058822,2.2533397673124824,14,5,5.794117647058822,2.2533397673124824,282,7,19.68571428571429,53.83895999594882,281,6,18.68571428571429,53.83895999594882,277,2,14.685714285714285,53.83895999594882,17.02804557022116,15.838839958535676,12.253988259541746,1.189205611685486,853263.6176470588,958956.3650547016,2000844.0,217.0,58021128.0,1758216.0,535765.57785326,2001446.0,80898.0,58021325.0,1706509.5588235294,607696.9758102974,2001615.0,217.0,340,34,68,350,35,140,0.5859853738740075,0.6032202378114784,14.318840579710145,7,282,38.49503128885719,1481.8674339300933,13.318840579710145,6,281,38.49503128885719,1481.8674339300933,10.304347826086957,2,277,38.364468989136476,1471.8324808184145,0,0,0,0,0,0,0,0,3,12,69,MASTER,1,129,0,0,0,34,35,DISABLE_UNSOLICITED
2,192.168.1.11-192.168.1.8-39169-20002,192.168.1.11,192.168.1.8,39169,20002,6, 14/05/2020  23:30:01 ,58022747.0,34,35,299,265,197,689,654,514,17,8,8.794117647058824,2.2533397673124824,16,7,7.794117647058822,2.2533397673124824,14,5,5.794117647058822,2.2533397673124824,282,7,19.68571428571429,53.83895999594882,281,6,18.68571428571429,53.83895999594882,277,2,14.685714285714285,53.83895999594882,17.027804629794588,15.838615844920268,12.253814870226671,1.1891887848743183,853275.6911764706,958977.984923288,2000694.0,347.0,58022059.0,1758244.2121212122,535958.0198650566,2001474.0,78739.0,58022248.0,1706536.705882353,607872.2581606309,2001520.0,347.0,340,34,68,350,35,140,0.585977082401838,0.6032117024724802,14.318840579710145,7,282,38.49503128885719,1481.8674339300933,13.318840579710145,6,281,38.49503128885719,1481.8674339300933,10.304347826086957,2,277,38.364468989136476,1471.8324808184145,0,0,0,0,0,0,0,0,3,16,69,MASTER,1,129,0,0,0,34,35,DISABLE_UNSOLICITED
3,192.168.1.11-192.168.1.5-39574-20002,192.168.1.11,192.168.1.5,39574,20002,6, 14/05/2020  23:30:01 ,58021857.0,34,35,299,265,197,689,654,514,17,8,8.794117647058824,2.2533397673124824,16,7,7.794117647058822,2.2533397673124824,14,5,5.794117647058822,2.2533397673124824,282,7,19.68571428571429,53.83895999594882,281,6,18.68571428571429,53.83895999594882,277,2,14.685714285714285,53.83895999594882,17.028065820092593,15.838858794195435,12.254002832070679,1.1892070258971543,853262.6029411765,959045.333502084,2000848.0,542.0,58021093.0,1758214.9393939397,536175.1707849859,2001619.0,76366.0,58021305.0,1706508.9705882354,608061.9118474739,2001453.0,587.0,340,34,68,350,35,140,0.5859860707319313,0.6032209551652233,14.318840579710145,7,282,38.49503128885719,1481.8674339300933,13.318840579710145,6,281,38.49503128885719,1481.8674339300933,10.304347826086957,2,277,38.364468989136476,1471.8324808184145,0,0,0,0,0,0,0,0,3,13,69,MASTER,1,129,0,0,0,34,35,DISABLE_UNSOLICITED
4,192.168.1.11-192.168.1.3-33783-20002,192.168.1.11,192.168.1.3,33783,20002,6, 14/05/2020  23:30:01 ,58022746.0,34,35,299,265,197,689,654,514,17,8,8.794117647058824,2.2533397673124824,16,7,7.794117647058822,2.2533397673124824,14,5,5.794117647058822,2.2533397673124824,282,7,19.68571428571429,53.83895999594882,281,6,18.68571428571429,53.83895999594882,277,2,14.685714285714285,53.83895999594882,17.027804923262337,15.838616117892801,12.25381508141652,1.1891888053695356,853275.6764705881,959016.0508036964,2000541.0,451.0,58021874.0,1758238.606060606,536186.7022299661,2001264.0,77093.0,58022089.0,1706532.0294117646,608066.9544504915,2001213.0,451.0,340,34,68,350,35,140,0.5859770925009306,0.6032117128686051,14.318840579710145,7,282,38.49503128885719,1481.8674339300933,13.318840579710145,6,281,38.49503128885719,1481.8674339300933,10.304347826086957,2,277,38.364468989136476,1471.8324808184145,0,0,0,0,0,0,0,0,3,11,69,MASTER,1,129,0,0,0,34,35,DISABLE_UNSOLICITED
5,192.168.1.11-192.168.1.7-41065-20002,192.168.1.11,192.168.1.7,41065,20002,6, 14/05/2020  23:30:01 ,58024817.0,34,35,299,265,197,689,654,514,17,8,8.794117647058824,2.2533397673124824,16,7,7.794117647058822,2.2533397673124824,14,5,5.794117647058822,2.2533397673124824,282,7,19.68571428571429,53.83895999594882,281,6,18.68571428571429,53.83895999594882,277,2,14.685714285714285,53.83895999594882,17.0271971732371,15.838050811948275,12.253377722845727,1.1891463612888258,853306.1323529412,958641.224017338,2000643.0,410.0,58024056.0,1758304.7272727273,534895.7462710767,2001458.0,77128.0,58023949.0,1706586.7352941176,606973.979552981,2001426.0,410.0,340,34,68,350,35,140,0.5859561780263779,0.6031901832624479,14.318840579710145,7,282,38.49503128885719,1481.8674339300933,13.318840579710145,6,281,38.49503128885719,1481.8674339300933,10.304347826086957,2,277,38.364468989136476,1471.8324808184145,0,0,0,0,0,0,0,0,3,15,69,MASTER,1,129,0,0,0,34,35,DISABLE_UNSOLICITED
6,192.168.1.11-192.168.1.10-36479-20002,192.168.1.11,192.168.1.10,36479,20002,6, 14/05/2020  23:30:01 ,58024599.0,34,35,299,265,197,689,654,514,17,8,8.794117647058824,2.2533397673124824,16,7,7.794117647058822,2.2533397673124824,14,5,5.794117647058822,2.2533397673124824,282,7,19.68571428571429,53.83895999594882,281,6,18.68571428571429,53.83895999594882,277,2,14.685714285714285,53.83895999594882,17.027261144880985,15.838110315936866,12.253423759119814,1.1891508289441173,853302.9264705881,958596.5614679559,2000973.0,456.0,58023899.0,1758299.9696969697,534490.078831654,2001674.0,82204.0,58023918.0,1706585.8235294118,606605.4761396691,2001709.0,456.0,340,34,68,350,35,140,0.58595837947971,0.6031924494644073,14.318840579710145,7,282,38.49503128885719,1481.8674339300933,13.318840579710145,6,281,38.49503128885719,1481.8674339300933,10.304347826086957,2,277,38.364468989136476,1471.8324808184145,0,0,0,0,0,0,0,0,3,18,69,MASTER,1,129,0,0,0,34,35,DISABLE_UNSOLICITED
7,192.168.1.11-192.168.1.6-54308-20002,192.168.1.11,192.168.1.6,54308,20002,6, 14/05/2020  23:30:01 ,58020572.0,34,35,299,265,197,689,654,514,17,8,8.794117647058824,2.2533397673124824,16,7,7.794117647058822,2.2533397673124824,14,5,5.794117647058822,2.2533397673124824,282,7,19.68571428571429,53.83895999594882,281,6,18.68571428571429,53.83895999594882,277,2,14.685714285714285,53.83895999594882,17.028442946064025,15.839209582421903,12.254274225355791,1.1892333636421233,853243.705882353,957627.7807348096,2000429.0,346.0,58019065.0,1758153.4848484846,531383.3641439531,2001172.0,103039.0,58019355.0,1706451.6176470588,604230.2420122505,2004754.0,346.0,340,34,68,350,35,140,0.5859990487511912,0.6032343148909322,14.318840579710145,7,282,38.49503128885719,1481.8674339300933,13.318840579710145,6,281,38.49503128885719,1481.8674339300933,10.304347826086957,2,277,38.364468989136476,1471.8324808184145,0,0,0,0,0,0,0,0,3,14,69,MASTER,1,129,0,0,0,34,35,DISABLE_UNSOLICITED
8,192.168.1.11-192.168.1.4-45060-20002,192.168.1.11,192.168.1.4,45060,20002,6, 14/05/2020  23:31:01 ,59757235.0,33,34,285,252,186,682,648,512,17,8,8.636363636363637,2.088931871468374,16,7,7.636363636363638,2.088931871468374,14,5,5.636363636363638,2.088931871468374,282,7,20.058823529411768,54.60266459058713,281,6,19.058823529411768,54.60266459058713,277,2,15.058823529411766,54.60266459058713,16.18214095749243,15.060937809455204,11.680593989999704,1.1212031480372209,905412.6515151516,989391.3403125951,2000402.0,287.0,59756689.0,1867396.53125,448183.6420098628,2001128.0,105077.0,59756489.0,1810802.6969696968,547977.094822886,2001184.0,287.0,330,33,66,340,34,136,0.5522343863466909,0.56896876169053,14.432835820895527,7,282,39.06336107146836,1525.9461781999094,13.432835820895527,6,281,39.06336107146836,1525.9461781999094,10.417910447761194,2,277,38.927729951847695,1515.3681592039802,0,0,0,0,0,0,0,0,3,12,67,MASTER,1,129,0,0,0,33,34,DISABLE_UNSOLICITED
9,192.168.1.11-192.168.1.5-39574-20002,192.168.1.11,192.168.1.5,39574,20002,6, 14/05/2020  23:31:01 ,59757310.0,33,34,285,252,186,682,648,512,17,8,8.636363636363637,2.088931871468374,16,7,7.636363636363638,2.088931871468374,14,5,5.636363636363638,2.088931871468374,282,7,20.058823529411768,54.60266459058713,281,6,19.058823529411768,54.60266459058713,277,2,15.058823529411766,54.60266459058713,16.18212064766637,15.060918906824956,11.6805793299598,1.1212017408414134,905413.7878787878,989439.0072578037,2000408.0,406.0,59756490.0,1867390.3125,448799.1876723743,2001201.0,100393.0,59756516.0,1810803.5151515154,548474.3104427339,2001290.0,406.0,330,33,66,340,34,136,0.5522336932502484,0.568968047591165,14.432835820895527,7,282,39.06336107146836,1525.9461781999094,13.432835820895527,6,281,39.06336107146836,1525.9461781999094,10.417910447761194,2,277,38.927729951847695,1515.3681592039802,0,0,0,0,0,0,0,0,3,13,67,MASTER,1,129,0,0,0,33,34,DISABLE_UNSOLICITED
