,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,192.168.1.4-192.168.1.12-20003-56526-6,192.168.1.12,56526,192.168.1.4,20003,6,15/05/2020 06:20:01 PM,118059638,63,67,1146.0,2028.0,27.0,15.0,18.19047619047619,1.6930326184112965,292.0,17.0,30.268656716417908,54.575103128639014,26.884717366319556,1.1011383924453504,915190.992248062,985427.3269179222,2000719.0,370.0,116058136.0,1871905.4193548386,430195.5957407125,2001526.0,71719.0,118059638.0,1788782.393939394,573264.0642869265,2001543.0,370.0,0,1,0,0,2016,2144,0.5336286055696697,0.5675097868756805,15.0,292.0,24.36641221374045,39.373205669859814,1550.2493247210807,0,0,0,1,1,0,0,0,1.0,24.553846153846155,18.19047619047619,30.268656716417908,0,0,0,0,0,0,63,1146,67,2028,-1,227,63,0,0,0,0,0,0,0,0,0,COLD_RESTART
1,192.168.1.3-192.168.1.12-20003-46578-6,192.168.1.12,46578,192.168.1.3,20003,6,15/05/2020 06:20:01 PM,118060947,63,67,1146.0,2028.0,27.0,15.0,18.19047619047619,1.6930326184112965,292.0,17.0,30.268656716417908,54.575103128639014,26.884419282186517,1.101126183580418,915201.1395348836,985113.302602142,2000357.0,340.0,116059018.0,1871919.64516129,429072.95840302546,2001381.0,79008.0,118060947.0,1788802.2272727273,572473.930262809,2001504.0,340.0,0,1,0,0,2016,2144,0.5336226889658949,0.5675034946145231,15.0,292.0,24.36641221374045,39.373205669859814,1550.2493247210807,0,0,0,1,1,0,0,0,1.0,24.553846153846155,18.19047619047619,30.268656716417908,0,0,0,0,0,0,63,1146,67,2028,-1,227,63,0,0,0,0,0,0,0,0,0,COLD_RESTART
2,192.168.1.5-192.168.1.12-20003-37363-6,192.168.1.12,37363,192.168.1.5,20003,6,15/05/2020 06:20:01 PM,118059888,63,67,1146.0,2028.0,27.0,15.0,18.19047619047619,1.6930326184112965,292.0,17.0,30.268656716417908,54.575103128639014,26.88466043606614,1.1011360607084428,915192.9302325584,978528.0574444148,2000978.0,229.0,116057926.0,1871902.0322580645,395587.6396582588,2001616.0,195637.0,118059888.0,1788786.1818181819,549362.8910745445,2001917.0,229.0,0,1,0,0,2016,2144,0.5336274755740917,0.5675085851343514,15.0,292.0,24.36641221374045,39.373205669859814,1550.2493247210807,0,0,0,1,1,0,0,0,1.0,24.553846153846155,18.19047619047619,30.268656716417908,0,0,0,0,0,0,63,1146,67,2028,-1,227,63,0,0,0,0,0,0,0,0,0,COLD_RESTART
3,192.168.1.8-192.168.1.12-20003-43941-6,192.168.1.12,43941,192.168.1.8,20003,6,15/05/2020 06:20:01 PM,118055895,63,67,1146.0,2028.0,27.0,15.0,18.19047619047619,1.6930326184112965,292.0,17.0,30.268656716417908,54.575103128639014,26.885569754902964,1.1011733043911105,915161.9767441859,987303.3174117316,2000535.0,461.0,116053937.0,1871837.693548387,439343.60306053853,2001355.0,59867.0,118055895.0,1788725.6818181826,579713.9824673798,2001455.0,461.0,0,1,0,0,2016,2144,0.533645524435692,0.5675277799554186,15.0,292.0,24.36641221374045,39.373205669859814,1550.2493247210807,0,0,0,1,1,0,0,0,1.0,24.553846153846155,18.19047619047619,30.268656716417908,0,0,0,0,0,0,63,1146,67,2028,-1,227,63,0,0,0,0,0,0,0,0,0,COLD_RESTART
4,192.168.1.10-192.168.1.12-20003-55149-6,192.168.1.12,55149,192.168.1.10,20003,6,15/05/2020 06:20:01 PM,118057963,63,67,1146.0,2028.0,27.0,15.0,18.19047619047619,1.6930326184112965,292.0,17.0,30.268656716417908,54.575103128639014,26.885098805236886,1.1011540153373645,915178.007751938,987328.6741685198,2001158.0,397.0,116056026.0,1871871.3870967743,439280.8372982157,2001968.0,62919.0,118057963.0,1788757.0151515154,579647.7145450567,2001948.0,397.0,0,1,0,0,2016,2144,0.5336361766634921,0.5675178386738724,15.0,292.0,24.36641221374045,39.373205669859814,1550.2493247210807,0,0,0,1,1,0,0,0,1.0,24.553846153846155,18.19047619047619,30.268656716417908,0,0,0,0,0,0,63,1146,67,2028,-1,227,63,0,0,0,0,0,0,0,0,0,COLD_RESTART
5,192.168.1.7-192.168.1.12-20003-52856-6,192.168.1.12,52856,192.168.1.7,20003,6,15/05/2020 06:20:01 PM,118058847,63,67,1146.0,2028.0,27.0,15.0,18.19047619047619,1.6930326184112965,292.0,17.0,30.268656716417908,54.575103128639014,26.884897495229644,1.101145770125978,915184.8604651162,978482.3734986536,2000715.0,436.0,116057130.0,1871889.1935483876,395470.9078477985,2001534.0,187970.0,118058847.0,1788770.4090909085,549262.0276390432,2001527.0,436.0,0,1,0,0,2016,2144,0.5336321809072047,0.5675135892187733,15.0,292.0,24.36641221374045,39.373205669859814,1550.2493247210807,0,0,0,1,1,0,0,0,1.0,24.553846153846155,18.19047619047619,30.268656716417908,0,0,0,0,0,0,63,1146,67,2028,-1,227,63,0,0,0,0,0,0,0,0,0,COLD_RESTART
6,192.168.1.9-192.168.1.12-20003-57817-6,192.168.1.12,57817,192.168.1.9,20003,6,15/05/2020 06:20:01 PM,118061594,63,67,1146.0,2028.0,27.0,15.0,18.19047619047619,1.6930326184112965,292.0,17.0,30.268656716417908,54.575103128639014,26.884271950453247,1.1011201491994085,915206.1550387592,987181.333481187,2000819.0,415.0,116059500.0,1871927.4193548388,438891.78947982704,2001754.0,64126.0,118061594.0,1788812.0303030303,579448.8061806528,2001712.0,415.0,0,1,0,0,2016,2144,0.5336197646120211,0.5675003845873875,15.0,292.0,24.36641221374045,39.373205669859814,1550.2493247210807,0,0,0,1,1,0,0,0,1.0,24.553846153846155,18.19047619047619,30.268656716417908,0,0,0,0,0,0,63,1146,67,2028,-1,227,63,0,0,0,0,0,0,0,0,0,COLD_RESTART
7,192.168.1.6-192.168.1.12-20003-36519-6,192.168.1.12,36519,192.168.1.6,20003,6,15/05/2020 06:20:01 PM,118061724,63,67,1146.0,2028.0,27.0,15.0,18.19047619047619,1.6930326184112965,292.0,17.0,30.268656716417908,54.575103128639014,26.88424234767231,1.1011189367351606,915207.1627906973,978195.4478650484,2000637.0,328.0,116060109.0,1871937.241935484,394583.6954239026,2001948.0,173924.0,118061724.0,1788814.0,548635.0113794724,2002409.0,328.0,0,1,0,0,2016,2144,0.5336191770331933,0.5674997597019674,15.0,292.0,24.36641221374045,39.373205669859814,1550.2493247210807,0,0,0,1,1,0,0,0,1.0,24.553846153846155,18.19047619047619,30.268656716417908,0,0,0,0,0,0,63,1146,67,2028,-1,227,63,0,0,0,0,0,0,0,0,0,COLD_RESTART
8,192.168.1.4-192.168.1.12-20003-56526-6,192.168.1.12,56526,192.168.1.4,20003,6,15/05/2020 06:22:01 PM,118059558,65,69,1176.0,2062.0,27.0,15.0,18.092307692307685,1.7564441789724359,292.0,17.0,29.88405797101449,53.813276360973155,27.426834852287012,1.1350203428679615,887665.8496240603,969553.307354408,2001118.0,289.0,116057787.0,1813402.9218750002,481521.3375310179,2001893.0,130044.0,118059558.0,1736169.9705882354,599788.3557886407,2002049.0,289.0,0,1,0,0,2080,2208,0.5505695693016232,0.5844507735663385,15.0,292.0,24.118518518518513,38.80761039608733,1506.0306246545053,0,0,0,1,1,0,0,0,1.0,24.298507462686572,18.09230769230769,29.88405797101449,0,0,0,0,0,0,65,1176,69,2062,-1,227,65,0,0,0,0,0,0,0,0,0,COLD_RESTART
9,192.168.1.3-192.168.1.12-20003-46578-6,192.168.1.12,46578,192.168.1.3,20003,6,15/05/2020 06:22:01 PM,118060946,65,69,1176.0,2062.0,27.0,15.0,18.092307692307685,1.7564441789724359,292.0,17.0,29.88405797101449,53.813276360973155,27.426512404872646,1.1350069988427842,887676.2857142859,969502.1742208778,2000392.0,488.0,116058981.0,1813421.5781249998,481645.28157051076,2001942.0,136942.0,118060946.0,1736190.3823529403,599877.1738823253,2001756.0,488.0,0,1,0,0,2080,2208,0.5505630964535894,0.5844439023891949,15.0,292.0,24.118518518518513,38.80761039608733,1506.0306246545053,0,0,0,1,1,0,0,0,1.0,24.298507462686572,18.09230769230769,29.88405797101449,0,0,0,0,0,0,65,1176,69,2062,-1,227,65,0,0,0,0,0,0,0,0,0,COLD_RESTART
