,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,192.168.1.2-192.168.1.7-59268-20000-6,192.168.1.2,59268,192.168.1.7,20000,6,15/05/2020 06:20:00 PM,118058487,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648825,26.342875290278787,1.0672676162620989,944467.8959999998,1000456.5794058556,2001230.0,192.0,116057404.0,1934290.0666666662,349175.4952039314,2001551.0,57291.0,118058487.0,1844663.859375,533161.0280397253,2001510.0,317.0,0,1,0,0,1952,2080,0.5166930523173654,0.5505745639447336,17.0,292.0,24.62992125984253,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
1,192.168.1.7-192.168.1.11-20002-55278-6,192.168.1.11,55278,192.168.1.7,20002,6,15/05/2020 06:20:00 PM,118050227,63,67,1146.0,2028.0,27.0,15.0,18.19047619047619,1.6930326184112958,292.0,17.0,30.268656716417908,54.575103128639014,26.88686062416466,1.101226175532894,915118.03875969,988405.0279727688,2003672.0,193.0,116049294.0,1871762.806451613,442260.10733295704,2003997.0,36044.0,118050227.0,1788639.8030303032,581813.8535695792,2004037.0,287.0,0,1,0,0,2016,2144,0.5336711466044025,0.5675550289284915,15.0,292.0,24.366412213740453,39.373205669859814,1550.2493247210807,0,0,0,1,1,0,0,0,1.0,24.553846153846155,18.19047619047619,30.268656716417908,0,0,0,0,0,0,63,1146,67,2028,-1,227,63,0,0,0,0,0,0,0,0,0,COLD_RESTART
2,192.168.1.1-192.168.1.7-59904-20001-6,192.168.1.1,59904,192.168.1.7,20001,6,15/05/2020 06:20:01 PM,118061438,64,68,1161.0,2045.0,27.0,15.0,18.140625,1.7262417890567108,292.0,17.0,30.0735294117647,54.1901891700214,27.155352791823525,1.1180619365317237,901232.3511450379,978949.0569996431,2001909.0,199.0,116060155.0,1842224.6825396826,462105.15679354616,2002110.0,62128.0,118061438.0,1762111.014925373,590531.9167894184,2002176.0,284.0,0,1,0,0,2048,2176,0.542090635894169,0.5759713006375545,15.0,292.0,24.24060150375939,39.08734399062583,1527.8204602415128,0,0,0,1,1,0,0,0,1.0,24.424242424242426,18.140625,30.073529411764714,0,0,0,0,0,0,64,1161,68,2045,-1,227,64,0,0,0,0,0,0,0,0,0,COLD_RESTART
3,192.168.1.7-192.168.1.12-20003-52856-6,192.168.1.12,52856,192.168.1.7,20003,6,15/05/2020 06:20:01 PM,118058425,63,67,1146.0,2028.0,27.0,15.0,18.19047619047619,1.6930326184112965,292.0,17.0,30.268656716417908,54.575103128639014,26.88499359533214,1.1011497061730242,915181.5891472866,978972.2157529757,2001246.0,196.0,116057226.0,1871890.741935484,395457.81303574506,2001604.0,188188.0,118058425.0,1788764.0151515154,549281.4815007944,2001540.0,273.0,0,1,0,0,2016,2144,0.5336340883761578,0.5675156177968662,15.0,292.0,24.36641221374045,39.373205669859814,1550.2493247210807,0,0,0,1,1,0,0,0,1.0,24.553846153846155,18.19047619047619,30.268656716417908,0,0,0,0,0,0,63,1146,67,2028,-1,227,63,0,0,0,0,0,0,0,0,0,COLD_RESTART
4,192.168.1.2-192.168.1.7-59268-20000-6,192.168.1.2,59268,192.168.1.7,20000,6,15/05/2020 06:22:00 PM,118061363,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648825,26.342233572214475,1.0672416173951846,944490.9040000004,998808.3997618429,2001784.0,217.0,116060025.0,1934333.75,338985.94561750005,2002141.0,113956.0,118061363.0,1844708.7968749998,526982.9615470754,2002094.0,300.0,0,1,0,0,1952,2080,0.5166804655643353,0.5505611518308492,17.0,292.0,24.62992125984253,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
5,192.168.1.7-192.168.1.11-20002-55278-6,192.168.1.11,55278,192.168.1.7,20002,6,15/05/2020 06:22:00 PM,118775800,66,70,1191.0,2079.0,27.0,15.0,18.045454545454547,1.7839611774131976,292.0,17.0,29.7,53.44409241902003,27.530860663535837,1.1450143884528663,879820.7407407408,965195.0867295429,2001039.0,179.0,118000145.0,1815386.8461538462,477463.4741459691,2001326.0,85782.0,118775800.0,1721388.4057971009,605728.0268777768,2001266.0,288.0,0,1,0,0,2112,2240,0.5556687473374206,0.5893456411154461,15.0,292.0,24.0,38.53378960310639,1484.8529411764707,0,0,0,1,1,0,0,0,1.0,24.176470588235286,18.045454545454547,29.7,0,0,0,0,0,0,66,1191,70,2079,-1,227,66,0,0,0,0,0,0,0,0,0,COLD_RESTART
6,192.168.1.1-192.168.1.7-59904-20001-6,192.168.1.1,59904,192.168.1.7,20001,6,15/05/2020 06:22:01 PM,118059001,65,69,1176.0,2062.0,27.0,15.0,18.0923076923077,1.7564441789724357,292.0,17.0,29.884057971014485,53.813276360973155,27.42696425154402,1.1350256978711857,887661.6616541354,968535.77740943,2002258.0,198.0,116057695.0,1813401.484375,475187.6133250146,2002548.0,121904.0,118059001.0,1736161.7794117646,595015.4623970267,2002456.0,262.0,0,1,0,0,2080,2208,0.550572166877814,0.5844535309933717,15.0,292.0,24.11851851851852,38.80761039608732,1506.0306246545051,0,0,0,1,1,0,0,0,1.0,24.298507462686572,18.09230769230769,29.88405797101449,0,0,0,0,0,0,65,1176,69,2062,-1,227,65,0,0,0,0,0,0,0,0,0,COLD_RESTART
7,192.168.1.7-192.168.1.12-20003-52856-6,192.168.1.12,52856,192.168.1.7,20003,6,15/05/2020 06:22:02 PM,118057393,65,69,1176.0,2062.0,27.0,15.0,18.092307692307685,1.7564441789724359,292.0,17.0,29.88405797101449,53.813276360973155,27.427337820343023,1.1350411574817685,887649.5714285716,972703.363651018,2001530.0,161.0,116055963.0,1813374.421875,492787.5713573221,2001782.0,112732.0,118057393.0,1736138.132352941,608313.9072984061,2001822.0,331.0,0,1,0,0,2080,2208,0.5505796659426487,0.5844614915391194,15.0,292.0,24.118518518518513,38.80761039608733,1506.0306246545053,0,0,0,1,1,0,0,0,1.0,24.298507462686572,18.09230769230769,29.88405797101449,0,0,0,0,0,0,65,1176,69,2062,-1,227,65,0,0,0,0,0,0,0,0,0,COLD_RESTART
8,192.168.1.2-192.168.1.7-59268-20000-6,192.168.1.2,59268,192.168.1.7,20000,6,15/05/2020 06:24:00 PM,118060085,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648825,26.34251872679916,1.067253170281895,944480.6800000002,997260.6015892994,2001854.0,202.0,116058695.0,1934311.583333333,329336.0232890934,2002100.0,171464.0,118060085.0,1844688.8281250002,521211.81258771365,2002245.0,308.0,0,1,0,0,1952,2080,0.5166860586285364,0.5505671116533586,17.0,292.0,24.62992125984253,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
9,192.168.1.7-192.168.1.11-20002-55278-6,192.168.1.11,55278,192.168.1.7,20002,6,15/05/2020 06:24:00 PM,118036690,64,68,1161.0,2045.0,27.0,15.0,18.140625000000004,1.726241789056711,292.0,17.0,30.073529411764714,54.1901891700214,27.161046281457068,1.11829635344739,901043.4351145041,980011.1408932841,2001322.0,203.0,116035441.0,1841832.3968253962,467697.3937803381,2001588.0,126968.0,118036690.0,1761741.6417910452,594598.8821970836,2001671.0,298.0,0,1,0,0,2048,2176,0.5422042925805527,0.5760920608668373,15.0,292.0,24.240601503759397,39.08734399062583,1527.820460241513,0,0,0,1,1,0,0,0,1.0,24.424242424242426,18.140625,30.073529411764714,0,0,0,0,0,0,64,1161,68,2045,-1,227,64,0,0,0,0,0,0,0,0,0,COLD_RESTART
10,192.168.1.1-192.168.1.7-59904-20001-6,192.168.1.1,59904,192.168.1.7,20001,6,15/05/2020 06:24:01 PM,118062573,64,68,1161.0,2045.0,27.0,15.0,18.140625000000007,1.726241789056711,292.0,17.0,30.0735294117647,54.1901891700214,27.155091732584893,1.1180511879916424,901241.0152671755,977887.3893004169,2002150.0,195.0,116061198.0,1842241.2380952372,457446.6690098603,2002456.0,179314.0,118062573.0,1762127.9552238802,587119.6402095322,2002500.0,370.0,0,1,0,0,2048,2176,0.5420854244807963,0.575965763510846,15.0,292.0,24.240601503759397,39.08734399062583,1527.820460241513,0,0,0,1,1,0,0,0,1.0,24.424242424242426,18.140625,30.073529411764714,0,0,0,0,0,0,64,1161,68,2045,-1,227,64,0,0,0,0,0,0,0,0,0,COLD_RESTART
11,192.168.1.7-192.168.1.12-20003-52856-6,192.168.1.12,52856,192.168.1.7,20003,6,15/05/2020 06:24:02 PM,118057476,65,69,1176.0,2062.0,27.0,15.0,18.09230769230769,1.7564441789724357,292.0,17.0,29.884057971014485,53.813276360973155,27.42731853762485,1.1350403594940486,887650.1954887218,967224.482061182,2001407.0,194.0,117968971.0,1843265.171875,415899.5807333882,2001634.0,78886.0,118057476.0,1736139.3529411769,590846.1280797217,2001685.0,362.0,0,1,0,0,2080,2208,0.5505792788590534,0.5844610806349951,15.0,292.0,24.118518518518513,38.80761039608733,1506.0306246545053,0,0,0,1,1,0,0,0,1.0,24.298507462686572,18.09230769230769,29.88405797101449,0,0,0,0,0,0,65,1176,69,2062,-1,227,65,0,0,0,0,0,0,0,0,0,COLD_RESTART
12,192.168.1.2-192.168.1.7-59268-20000-6,192.168.1.2,59268,192.168.1.7,20000,6,15/05/2020 06:26:00 PM,118060424,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648825,26.342443086601147,1.0672501057594033,944483.392,995788.0228120836,2001631.0,215.0,116059270.0,1934321.1666666663,319818.03950086224,2001876.0,228301.0,118060424.0,1844694.1250000002,515628.00456760026,2001852.0,234.0,0,1,0,0,1952,2080,0.5166845750105048,0.5505655307488986,17.0,292.0,24.62992125984253,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
13,192.168.1.7-192.168.1.11-20002-55278-6,192.168.1.11,55278,192.168.1.7,20002,6,15/05/2020 06:26:00 PM,118034364,65,69,1176.0,2062.0,27.0,15.0,18.092307692307685,1.7564441789724359,292.0,17.0,29.88405797101449,53.813276360973155,27.43268900910925,1.1352626087772202,887476.4210526319,973054.78451138,2000964.0,185.0,116034059.0,1813032.171875,494963.89088948903,2001252.0,154689.0,118034364.0,1735799.4705882347,609903.4734849925,2001294.0,260.0,0,1,0,0,2080,2208,0.5506870863471589,0.5845755224300612,15.0,292.0,24.11851851851852,38.80761039608733,1506.0306246545053,0,0,0,1,1,0,0,0,1.0,24.298507462686572,18.09230769230769,29.88405797101449,0,0,0,0,0,0,65,1176,69,2062,-1,227,65,0,0,0,0,0,0,0,0,0,COLD_RESTART
14,192.168.1.1-192.168.1.7-59904-20001-6,192.168.1.1,59904,192.168.1.7,20001,6,15/05/2020 06:26:01 PM,118058023,65,69,1176.0,2062.0,27.0,15.0,18.092307692307696,1.7564441789724354,292.0,17.0,29.88405797101449,53.813276360973155,27.427191458220506,1.1350351004946102,887654.3082706769,969315.6822312231,2001628.0,181.0,116056414.0,1813381.46875,478608.73950792424,2001909.0,234143.0,118058023.0,1736147.397058823,597573.0220634661,2001935.0,186.0,0,1,0,0,2080,2208,0.5505767278518631,0.5844583726427471,15.0,292.0,24.11851851851852,38.80761039608732,1506.0306246545051,0,0,0,1,1,0,0,0,1.0,24.298507462686572,18.09230769230769,29.88405797101449,0,0,0,0,0,0,65,1176,69,2062,-1,227,65,0,0,0,0,0,0,0,0,0,COLD_RESTART
