,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE, Label
0,192.168.1.11-192.168.1.4-57101-20002,192.168.1.11,192.168.1.4,57101,20002,6, 15/05/2020  18:20:00 ,118049791.0,64,66,524,460,332,1350,1284,1020,17,5,8.1875,1.6797108594721206,16,4,7.1875,1.6797108594721206,14,2,5.1875,1.6797108594721206,282,7,20.454545454545453,54.971931808089906,281,6,19.454545454545453,54.971931808089906,277,2,15.454545454545455,54.971931808089906,15.874657499393626,14.773427256639529,11.452794524642572,1.1012302427540934,915114.6589147288,988058.2647679213,2000639.0,286.0,118049073.0,1873794.809523809,439101.1630691048,2002917.0,34921.0,118049212.0,1816141.723076923,541472.7538631188,2003675.0,286.0,640,64,128,660,66,264,0.5421441195097075,0.5590861232443859,14.415384615384614,5,282,39.52151501493497,1561.9501490757307,13.415384615384614,4,281,39.52151501493497,1561.9501490757307,10.4,2,277,39.377638954264434,1550.5984496124029,0,0,0,0,0,0,0,0,3,12,130,MASTER,1,129,0,0,0,64,66,COLD_RESTART
1,192.168.1.11-192.168.1.7-55278-20002,192.168.1.11,192.168.1.7,55278,20002,6, 15/05/2020  18:20:00 ,118050369.0,64,66,524,460,332,1350,1284,1020,17,5,8.1875,1.6797108594721206,16,4,7.1875,1.6797108594721206,14,2,5.1875,1.6797108594721206,282,7,20.454545454545453,54.971931808089906,281,6,19.454545454545453,54.971931808089906,277,2,15.454545454545455,54.971931808089906,15.874579773655768,14.773354922761824,11.45273844929701,1.1012248508939433,915119.1395348836,987941.9083592476,2000391.0,452.0,118049745.0,1873805.476190476,438978.9320127561,2004062.0,35971.0,118049717.0,1816149.4923076925,541353.6674655582,2004087.0,452.0,640,64,128,660,66,264,0.5421414650554798,0.5590833858384635,14.415384615384614,5,282,39.52151501493497,1561.9501490757307,13.415384615384614,4,281,39.52151501493497,1561.9501490757307,10.4,2,277,39.377638954264434,1550.5984496124029,0,0,0,0,0,0,0,0,3,15,130,MASTER,1,129,0,0,0,64,66,COLD_RESTART
2,192.168.1.11-192.168.1.9-39338-20002,192.168.1.11,192.168.1.9,39338,20002,6, 15/05/2020  18:20:00 ,118043782.0,64,66,524,460,332,1350,1284,1020,17,5,8.1875,1.6797108594721206,16,4,7.1875,1.6797108594721206,14,2,5.1875,1.6797108594721206,282,7,20.454545454545453,54.971931808089906,281,6,19.454545454545453,54.971931808089906,277,2,15.454545454545455,54.971931808089906,15.87546559631578,14.774179295610844,11.453377527331345,1.1012863007049367,915068.0775193798,988345.707101444,2000472.0,448.0,118043004.0,1873698.476190476,440979.81822446897,2001225.0,22978.0,118042868.0,1816044.1230769232,542935.2396673771,2001664.0,448.0,640,64,128,660,66,264,0.5421717172701227,0.5591145834348141,14.415384615384614,5,282,39.52151501493497,1561.9501490757307,13.415384615384614,4,281,39.52151501493497,1561.9501490757307,10.4,2,277,39.377638954264434,1550.5984496124029,0,0,0,0,0,0,0,0,3,17,130,MASTER,1,129,0,0,0,64,66,COLD_RESTART
3,192.168.1.11-192.168.1.10-58689-20002,192.168.1.11,192.168.1.10,58689,20002,6, 15/05/2020  18:20:00 ,118041687.0,64,66,524,460,332,1350,1284,1020,17,5,8.1875,1.6797108594721206,16,4,7.1875,1.6797108594721206,14,2,5.1875,1.6797108594721206,282,7,20.454545454545453,54.971931808089906,281,6,19.454545454545453,54.971931808089906,277,2,15.454545454545455,54.971931808089906,15.875747353559936,14.774441507261754,11.453580801501086,1.101305846298181,915051.8372093023,988102.8568959635,2000453.0,359.0,118041081.0,1873667.9523809524,439747.6717762434,2001188.0,30972.0,118040783.0,1816012.0461538462,541930.5744470247,2001125.0,359.0,640,64,128,660,66,264,0.5421813397160277,0.5591245065821535,14.415384615384614,5,282,39.52151501493497,1561.9501490757307,13.415384615384614,4,281,39.52151501493497,1561.9501490757307,10.4,2,277,39.377638954264434,1550.5984496124029,0,0,0,0,0,0,0,0,3,18,130,MASTER,1,129,0,0,0,64,66,COLD_RESTART
4,192.168.1.11-192.168.1.5-42312-20002,192.168.1.11,192.168.1.5,42312,20002,6, 15/05/2020  18:20:00 ,118037818.0,64,66,524,460,332,1350,1284,1020,17,5,8.1875,1.6797108594721206,16,4,7.1875,1.6797108594721206,14,2,5.1875,1.6797108594721206,282,7,20.454545454545453,54.971931808089906,281,6,19.454545454545453,54.971931808089906,277,2,15.454545454545455,54.971931808089906,15.87626772294283,14.774925778448393,11.453956222742104,1.1013419444944328,915021.8449612404,988453.1546556123,2000539.0,297.0,118037117.0,1873605.031746032,441576.44617084134,2001309.0,18075.0,118037284.0,1815958.2153846156,543389.9213361747,2001300.0,297.0,640,64,128,660,66,264,0.542199111135721,0.5591428333587122,14.415384615384614,5,282,39.52151501493497,1561.9501490757307,13.415384615384614,4,281,39.52151501493497,1561.9501490757307,10.4,2,277,39.377638954264434,1550.5984496124029,0,0,0,0,0,0,0,0,3,13,130,MASTER,1,129,0,0,0,64,66,COLD_RESTART
5,192.168.1.11-192.168.1.8-49537-20002,192.168.1.11,192.168.1.8,49537,20002,6, 15/05/2020  18:20:00 ,118036577.0,64,66,524,460,332,1350,1284,1020,17,5,8.1875,1.6797108594721206,16,4,7.1875,1.6797108594721206,14,2,5.1875,1.6797108594721206,282,7,20.454545454545453,54.971931808089906,281,6,19.454545454545453,54.971931808089906,277,2,15.454545454545455,54.971931808089906,15.876434641102815,14.775081117440402,11.45407664608912,1.1013535236624152,915012.2248062015,988420.9472286248,2000478.0,348.0,118035872.0,1873585.2698412696,441262.48739169224,2001298.0,20105.0,118035876.0,1815936.5538461541,543129.3315200703,2001284.0,348.0,640,64,128,660,66,264,0.5422048116491891,0.5591487120132262,14.415384615384614,5,282,39.52151501493497,1561.9501490757307,13.415384615384614,4,281,39.52151501493497,1561.9501490757307,10.4,2,277,39.377638954264434,1550.5984496124029,0,0,0,0,0,0,0,0,3,16,130,MASTER,1,129,0,0,0,64,66,COLD_RESTART
6,192.168.1.11-192.168.1.3-51222-20002,192.168.1.11,192.168.1.3,51222,20002,6, 15/05/2020  18:20:00 ,118047576.0,64,66,524,460,332,1350,1284,1020,17,5,8.1875,1.6797108594721206,16,4,7.1875,1.6797108594721206,14,2,5.1875,1.6797108594721206,282,7,20.454545454545453,54.971931808089906,281,6,19.454545454545453,54.971931808089906,277,2,15.454545454545455,54.971931808089906,15.87495536545367,14.773704459632444,11.453009420540747,1.101250905821226,915097.4883720932,987386.4989549281,2000365.0,337.0,118046940.0,1873760.9523809524,436658.1260738247,2001155.0,47008.0,118046696.0,1816103.0153846156,539534.195992898,2001224.0,337.0,640,64,128,660,66,264,0.5421542920966035,0.5590966137246223,14.415384615384614,5,282,39.52151501493497,1561.9501490757307,13.415384615384614,4,281,39.52151501493497,1561.9501490757307,10.4,2,277,39.377638954264434,1550.5984496124029,0,0,0,0,0,0,0,0,3,11,130,MASTER,1,129,0,0,0,64,66,COLD_RESTART
7,192.168.1.11-192.168.1.6-56247-20002,192.168.1.11,192.168.1.6,56247,20002,6, 15/05/2020  18:20:00 ,118032507.0,64,66,524,460,332,1350,1284,1020,17,5,8.1875,1.6797108594721206,16,4,7.1875,1.6797108594721206,14,2,5.1875,1.6797108594721206,282,7,20.454545454545453,54.971931808089906,281,6,19.454545454545453,54.971931808089906,277,2,15.454545454545455,54.971931808089906,15.876982092738233,14.775590592174748,11.45447160586024,1.101391500563485,914980.6744186048,986500.9315510694,2000367.0,410.0,118032036.0,1873524.3809523808,432673.85116365424,2002020.0,75989.0,118031945.0,1815876.0769230768,536422.937956851,2002438.0,410.0,640,64,128,660,66,264,0.5422235079697155,0.5591679925937691,14.415384615384614,5,282,39.52151501493497,1561.9501490757307,13.415384615384614,4,281,39.52151501493497,1561.9501490757307,10.4,2,277,39.377638954264434,1550.5984496124029,0,0,0,0,0,0,0,0,3,14,130,MASTER,1,129,0,0,0,64,66,COLD_RESTART
8,192.168.1.11-192.168.1.8-49537-20002,192.168.1.11,192.168.1.8,49537,20002,6, 15/05/2020  18:22:00 ,118776796.0,67,69,539,472,338,1371,1302,1026,17,5,8.044776119402988,1.770403445039846,16,4,7.044776119402986,1.7704034450398458,14,2,5.044776119402986,1.7704034450398458,282,7,19.869565217391305,53.816658541504495,281,6,18.869565217391305,53.816658541504495,277,2,14.869565217391305,53.816658541504495,16.080581934538795,14.935577147576874,11.48372448100048,1.1450047869619246,879828.1185185184,965262.4409316896,2000666.0,470.0,118776053.0,1799637.166666667,492688.6633007653,2001293.0,69044.0,118776043.0,1746706.5147058824,573897.2311543606,2001408.0,470.0,670,67,134,690,69,276,0.5640832406356541,0.5809215463262707,14.044117647058822,5,282,38.6727710980332,1495.5832244008716,13.044117647058822,4,281,38.6727710980332,1495.5832244008716,10.029411764705884,2,277,38.53155343380003,1484.6806100217866,0,0,0,0,0,0,0,0,3,16,136,MASTER,1,129,0,0,0,67,69,COLD_RESTART
9,192.168.1.11-192.168.1.7-55278-20002,192.168.1.11,192.168.1.7,55278,20002,6, 15/05/2020  18:22:00 ,118776609.0,67,69,539,472,338,1371,1302,1026,17,5,8.044776119402988,1.770403445039846,16,4,7.044776119402986,1.7704034450398458,14,2,5.044776119402986,1.7704034450398458,282,7,19.869565217391305,53.816658541504495,281,6,18.869565217391305,53.816658541504495,277,2,14.869565217391305,53.816658541504495,16.080607251550678,14.935600661911474,11.483742560793262,1.145006589639211,879826.7333333333,964781.5895020604,2000584.0,411.0,118775939.0,1799635.4393939397,490770.8319911609,2001432.0,85789.0,118775899.0,1746704.3970588238,572294.7407293828,2001227.0,411.0,670,67,134,690,69,276,0.5640841287193171,0.5809224609198937,14.044117647058822,5,282,38.6727710980332,1495.5832244008716,13.044117647058822,4,281,38.6727710980332,1495.5832244008716,10.029411764705884,2,277,38.53155343380003,1484.6806100217866,0,0,0,0,0,0,0,0,3,15,136,MASTER,1,129,0,0,0,67,69,COLD_RESTART
