,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,192.168.1.2-192.168.1.4-33135-20000-6,192.168.1.2,33135,192.168.1.4,20000,6,15/05/2020 11:10:01 PM,118061042,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.342305194968553,1.0672445191530666,944488.3360000001,993794.5719108894,2001384.0,340.0,116058994.0,1934316.5666666662,309473.08940133336,2002113.0,293789.0,118061042.0,1844703.78125,509646.03685344936,2002157.0,340.0,0,1,0,0,1952,2080,0.5166818703836275,0.5505626487694392,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
1,192.168.1.2-192.168.1.10-39624-20000-6,192.168.1.2,39624,192.168.1.10,20000,6,15/05/2020 11:10:01 PM,118061629,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.342174221566943,1.067239212835188,944493.0320000001,993708.1567895231,2000901.0,367.0,116059541.0,1934325.683333333,309167.7188754137,2001668.0,296114.0,118061629.0,1844712.953125,509470.5856139519,2001823.0,367.0,0,1,0,0,1952,2080,0.5166793014519561,0.5505599113832319,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
2,192.168.1.2-192.168.1.7-51208-20000-6,192.168.1.2,51208,192.168.1.7,20000,6,15/05/2020 11:10:01 PM,118060721,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.342376818112093,1.0672474209267282,944485.7679999996,993885.0378489792,2000908.0,333.0,116059071.0,1934317.85,310188.470126608,2001880.0,289438.0,118060721.0,1844698.7656250002,510060.0087395177,2001748.0,333.0,0,1,0,0,1952,2080,0.5166832752105588,0.5505641457161692,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
3,192.168.1.2-192.168.1.3-41164-20000-6,192.168.1.2,41164,192.168.1.3,20000,6,15/05/2020 11:10:01 PM,118062409,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.34200018737548,1.067232161932254,944499.272,993570.2971512787,2000973.0,465.0,116061266.0,1934354.433333333,308588.49916744983,2001906.0,299052.0,118062409.0,1844725.140625,509135.48164485843,2001948.0,465.0,0,1,0,0,1952,2080,0.5166758879195833,0.5505562740126707,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
4,192.168.1.2-192.168.1.9-39535-20000-6,192.168.1.2,39535,192.168.1.9,20000,6,15/05/2020 11:10:01 PM,118062390,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.34200442664256,1.067232333683911,944499.1200000001,993718.812374747,2000769.0,439.0,116060421.0,1934340.350000001,309582.9136065372,2001827.0,294151.0,118062390.0,1844724.84375,509704.6126116832,2001848.0,439.0,0,1,0,0,1952,2080,0.5166759710691949,0.5505563626147159,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
5,192.168.1.2-192.168.1.8-51021-20000-6,192.168.1.2,51021,192.168.1.8,20000,6,15/05/2020 11:10:01 PM,118061792,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.34213785269327,1.067237739369567,944494.3359999999,993530.510823778,2000904.0,434.0,116060218.0,1934336.9666666663,308179.03474463423,2001995.0,303131.0,118061792.0,1844715.4999999998,508917.46980207507,2002018.0,434.0,0,1,0,0,1952,2080,0.5166785881074887,0.5505591512620781,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
6,192.168.1.2-192.168.1.5-41037-20000-6,192.168.1.2,41037,192.168.1.5,20000,6,15/05/2020 11:10:01 PM,118063792,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.341691617020054,1.0672196603680153,944510.336,993812.3643156814,2000853.0,428.0,116061893.0,1934364.883333333,310221.35624192504,2002087.0,289240.0,118063792.0,1844746.75,510079.278512384,2001843.0,428.0,0,1,0,0,1952,2080,0.5166698355749915,0.5505498247930237,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
7,192.168.1.2-192.168.1.6-53664-20000-6,192.168.1.2,53664,192.168.1.6,20000,6,15/05/2020 11:10:01 PM,118061681,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.34216261921597,1.0672387427720942,944493.448,992877.2701904614,2000434.0,515.0,116060032.0,1934333.8666666662,304145.5132942106,2004009.0,332854.0,118061681.0,1844713.765625,506774.6785613348,2004252.0,515.0,0,1,0,0,1952,2080,0.516679073881728,0.5505596688903659,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
8,192.168.1.2-192.168.1.8-51021-20000-6,192.168.1.2,51021,192.168.1.8,20000,6,15/05/2020 11:12:01 PM,118057711,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.343048443485408,1.067274631472399,944461.6880000004,992292.9174014451,2000765.0,464.0,116055723.0,1934262.05,299737.7618119684,2001649.0,361814.0,118057711.0,1844651.734375,504194.86835476366,2001464.0,464.0,0,1,0,0,1952,2080,0.516696448569971,0.5505781829024281,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
9,192.168.1.2-192.168.1.7-51208-20000-6,192.168.1.2,51208,192.168.1.7,20000,6,15/05/2020 11:12:01 PM,118058518,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.34286837312323,1.0672673360172114,944468.1439999995,992593.0912758969,2000986.0,376.0,116056898.0,1934281.633333333,301636.3882368557,2001739.0,347204.0,118058518.0,1844664.34375,505219.6138383694,2001772.0,376.0,0,1,0,0,1952,2080,0.5166929166432531,0.5505744193739582,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
