,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,192.168.1.10-192.168.1.12-20003-48221-6,192.168.1.12,48221,192.168.1.10,20003,6,15/05/2020 11:10:00 PM,118063884,64,68,1161.0,2045.0,27.0,15.0,18.140625000000007,1.7262417890567108,292.0,17.0,30.073529411764714,54.1901891700214,27.154790198160853,1.1180387729748074,901251.022900763,967672.0530409723,2001741.0,219.0,116062716.0,1842265.333333333,409326.9401798912,2002026.0,159928.0,118063884.0,1762147.5223880594,552714.302069681,2002038.0,438.0,0,1,0,0,2048,2176,0.5420794050786945,0.5759593678961129,15.0,292.0,24.240601503759397,39.08734399062583,1527.820460241513,0,0,0,1,1,0,0,0,1.0,24.424242424242426,18.140625,30.073529411764714,0,0,0,0,0,0,64,1161,68,2045,-1,227,64,0,0,0,0,0,0,0,0,0,WARM_RESTART
1,192.168.1.10-192.168.1.11-20002-32935-6,192.168.1.11,32935,192.168.1.10,20002,6,15/05/2020 11:10:00 PM,118048824,64,68,1161.0,2045.0,27.0,15.0,18.140625000000004,1.7262417890567112,292.0,17.0,30.073529411764714,54.1901891700214,27.158254452411995,1.1181814060256967,901136.0610687024,980193.2725636836,2001023.0,195.0,116047349.0,1842021.4126984125,468089.7185113346,2001339.0,141350.0,118048824.0,1761922.7462686559,594920.7131678656,2001356.0,257.0,0,1,0,0,2048,2176,0.5421485604973074,0.5760328455283892,15.0,292.0,24.24060150375939,39.08734399062583,1527.8204602415124,0,0,0,1,1,0,0,0,1.0,24.424242424242426,18.140625,30.073529411764714,0,0,0,0,0,0,64,1161,68,2045,-1,227,64,0,0,0,0,0,0,0,0,0,WARM_RESTART
2,192.168.1.1-192.168.1.10-38734-20001-6,192.168.1.1,38734,192.168.1.10,20001,6,15/05/2020 11:10:01 PM,118058765,64,68,1161.0,2045.0,27.0,15.0,18.140625000000007,1.7262417890567112,292.0,17.0,30.073529411764714,54.19018917002141,27.15596762341195,1.1180872508703612,901211.9465648857,975344.0625963135,2001432.0,223.0,116058237.0,1842194.238095238,446029.44075297326,2001787.0,257914.0,118058765.0,1762071.119402985,578796.2568372167,2001773.0,251.0,0,1,0,0,2048,2176,0.5421029095129023,0.5759843413574588,15.0,292.0,24.240601503759393,39.08734399062583,1527.820460241513,0,0,0,1,1,0,0,0,1.0,24.424242424242426,18.140625,30.073529411764714,0,0,0,0,0,0,64,1161,68,2045,-1,227,64,0,0,0,0,0,0,0,0,0,WARM_RESTART
3,192.168.1.2-192.168.1.10-39624-20000-6,192.168.1.2,39624,192.168.1.10,20000,6,15/05/2020 11:10:01 PM,118061178,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.342274850078148,1.0672432897459316,944489.424,994191.7904512192,2001391.0,215.0,116059670.0,1934327.833333333,309158.0570295344,2001631.0,296149.0,118061178.0,1844705.90625,509488.23233268404,2001703.0,311.0,0,1,0,0,1952,2080,0.5166812751944589,0.5505620145514727,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
4,192.168.1.10-192.168.1.12-20003-48221-6,192.168.1.12,48221,192.168.1.10,20003,6,15/05/2020 11:12:00 PM,118060618,65,69,1176.0,2062.0,27.0,15.0,18.09230769230769,1.7564441789724354,292.0,17.0,29.88405797101449,53.813276360973155,27.42658860213657,1.1350101521575977,887673.8195488723,970614.0512779731,2002048.0,209.0,116059427.0,1813428.546875,484014.1301960371,2002376.0,97458.0,118060618.0,1736185.5588235292,601630.5590758517,2002319.0,296.0,0,1,0,0,2080,2208,0.5505646260465958,0.5844455261110016,15.0,292.0,24.118518518518513,38.80761039608733,1506.0306246545053,0,0,0,1,1,0,0,0,1.0,24.298507462686572,18.09230769230769,29.88405797101449,0,0,0,0,0,0,65,1176,69,2062,-1,227,65,0,0,0,0,0,0,0,0,0,WARM_RESTART
5,192.168.1.10-192.168.1.11-20002-32935-6,192.168.1.11,32935,192.168.1.10,20002,6,15/05/2020 11:12:00 PM,118040131,65,69,1176.0,2062.0,27.0,15.0,18.09230769230769,1.7564441789724357,292.0,17.0,29.88405797101449,53.813276360973155,27.43134875036694,1.135207144085599,887519.7819548873,967478.3611446831,2001468.0,197.0,116038819.0,1813106.5468750002,471257.76034433604,2001807.0,172275.0,118040131.0,1735884.2794117646,592017.5607723652,2001753.0,263.0,0,1,0,0,2080,2208,0.5506601818325667,0.5845469622530324,15.0,292.0,24.11851851851852,38.80761039608733,1506.0306246545053,0,0,0,1,1,0,0,0,1.0,24.298507462686572,18.09230769230769,29.88405797101449,0,0,0,0,0,0,65,1176,69,2062,-1,227,65,0,0,0,0,0,0,0,0,0,WARM_RESTART
6,192.168.1.1-192.168.1.10-38734-20001-6,192.168.1.1,38734,192.168.1.10,20001,6,15/05/2020 11:12:01 PM,118066858,65,69,1176.0,2062.0,27.0,15.0,18.092307692307692,1.7564441789724357,292.0,17.0,29.8840579710145,53.813276360973155,27.425139068238774,1.1349501652699183,887720.7368421048,965509.0066688636,2003574.0,188.0,116063483.0,1813491.921875,461888.4240731086,2003823.0,322810.0,118066858.0,1736277.3235294116,585090.4205696768,2003854.0,292.0,0,1,0,0,2080,2208,0.5505355279294379,0.5844146373404805,15.0,292.0,24.11851851851852,38.80761039608733,1506.0306246545053,0,0,0,1,1,0,0,0,1.0,24.298507462686572,18.09230769230769,29.88405797101449,0,0,0,0,0,0,65,1176,69,2062,-1,227,65,0,0,0,0,0,0,0,0,0,WARM_RESTART
7,192.168.1.2-192.168.1.10-39624-20000-6,192.168.1.2,39624,192.168.1.10,20000,6,15/05/2020 11:12:01 PM,118059010,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.34275859165683,1.0672628882793445,944472.0799999995,992944.0709466584,2001213.0,219.0,116057973.0,1934299.5500000003,300818.01349700714,2001507.0,353853.0,118059010.0,1844672.03125,504799.09724100365,2001552.0,250.0,0,1,0,0,1952,2080,0.5166907633733334,0.5505721249060109,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
8,192.168.1.10-192.168.1.12-20003-48221-6,192.168.1.12,48221,192.168.1.10,20003,6,15/05/2020 11:14:00 PM,118057898,65,69,1176.0,2062.0,27.0,15.0,18.092307692307696,1.7564441789724357,292.0,17.0,29.88405797101449,53.813276360973155,27.427220498199958,1.1350363022726355,887653.3684210527,972485.2626027956,2001267.0,182.0,116056890.0,1813388.9062499998,491863.3336925994,2001573.0,36314.0,118057898.0,1736145.5588235296,607588.3529076461,2001550.0,308.0,0,1,0,0,2080,2208,0.5505773108038905,0.5844589914687452,15.0,292.0,24.11851851851852,38.80761039608733,1506.0306246545053,0,0,0,1,1,0,0,0,1.0,24.298507462686572,18.09230769230769,29.88405797101449,0,0,0,0,0,0,65,1176,69,2062,-1,227,65,0,0,0,0,0,0,0,0,0,WARM_RESTART
9,192.168.1.10-192.168.1.11-20002-32935-6,192.168.1.11,32935,192.168.1.10,20002,6,15/05/2020 11:14:00 PM,118054621,65,69,1176.0,2062.0,27.0,15.0,18.09230769230769,1.7564441789724357,292.0,17.0,29.88405797101449,53.813276360973155,27.42798183224018,1.1350678089932629,887628.7293233084,966702.7701792384,2008253.0,204.0,116054286.0,1813348.21875,467493.9077105276,2008499.0,207171.0,118054621.0,1736097.3676470588,589239.6269506341,2008583.0,247.0,0,1,0,0,2080,2208,0.5505925939146423,0.5844752150786203,15.0,292.0,24.118518518518513,38.80761039608733,1506.0306246545053,0,0,0,1,1,0,0,0,1.0,24.298507462686572,18.09230769230769,29.88405797101449,0,0,0,0,0,0,65,1176,69,2062,-1,227,65,0,0,0,0,0,0,0,0,0,WARM_RESTART
