,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE, Label
0,192.168.1.12-192.168.1.5-56527-20003,192.168.1.12,192.168.1.5,56527,20003,6, 15/05/2020  23:10:00 ,118065859.0,65,67,529,464,334,1357,1290,1022,17,5,8.138461538461538,1.7127912441841375,16,4,7.138461538461539,1.7127912441841378,14,2,5.138461538461539,1.7127912441841378,282,7,20.253731343283587,54.578645864027926,281,6,19.253731343283587,54.578645864027926,277,2,15.25373134328358,54.578645864027926,15.974135249378062,14.856115178901973,11.485115269436188,1.1180200704760892,901266.0992366412,967224.3989219705,2001066.0,363.0,118064787.0,1844762.296875,406664.1148188351,2002138.0,160686.0,118065156.0,1788866.0,511635.03593942674,2001898.0,363.0,650,65,130,670,67,268,0.5505401862192862,0.5674798842568028,14.287878787878787,5,282,39.23243133873497,1539.1836687485538,13.287878787878787,4,281,39.23243133873497,1539.1836687485538,10.272727272727273,2,277,39.089463039922656,1527.9861207494796,0,0,0,0,0,0,0,0,4,13,132,MASTER,1,129,0,0,0,65,67,WARM_RESTART
1,192.168.1.12-192.168.1.3-50547-20003,192.168.1.12,192.168.1.3,50547,20003,6, 15/05/2020  23:10:00 ,118065826.0,65,67,529,464,334,1357,1290,1022,17,5,8.138461538461538,1.7127912441841375,16,4,7.138461538461539,1.7127912441841378,14,2,5.138461538461539,1.7127912441841378,282,7,20.253731343283587,54.578645864027926,281,6,19.253731343283587,54.578645864027926,277,2,15.25373134328358,54.578645864027926,15.974139714230265,14.856119331261866,11.485118479584429,1.118020382968396,901265.8473282442,967074.1245008651,2001032.0,401.0,118064804.0,1844762.5625,406638.3315958733,2002546.0,158970.0,118065116.0,1788865.393939394,511651.7375280506,2002121.0,401.0,650,65,130,670,67,268,0.5505403400980737,0.5674800428703222,14.287878787878787,5,282,39.23243133873497,1539.1836687485538,13.287878787878787,4,281,39.23243133873497,1539.1836687485538,10.272727272727273,2,277,39.089463039922656,1527.9861207494796,0,0,0,0,0,0,0,0,4,11,132,MASTER,1,129,0,0,0,65,67,WARM_RESTART
2,192.168.1.12-192.168.1.8-43137-20003,192.168.1.12,192.168.1.8,43137,20003,6, 15/05/2020  23:10:00 ,118064082.0,65,67,529,464,334,1357,1290,1022,17,5,8.138461538461538,1.7127912441841375,16,4,7.138461538461539,1.7127912441841378,14,2,5.138461538461539,1.7127912441841378,282,7,20.253731343283587,54.578645864027926,281,6,19.253731343283587,54.578645864027926,277,2,15.25373134328358,54.578645864027926,15.974375678455706,14.8563387804938,11.485288133608663,1.118036897961905,901252.534351145,967167.0453431292,2001598.0,312.0,118063031.0,1844734.859375,406642.339187445,2002320.0,159067.0,118063332.0,1788838.3636363638,511657.84177107544,2002421.0,312.0,650,65,130,670,67,268,0.5505484724812412,0.5674884254806639,14.287878787878787,5,282,39.23243133873497,1539.1836687485538,13.287878787878787,4,281,39.23243133873497,1539.1836687485538,10.272727272727273,2,277,39.089463039922656,1527.9861207494796,0,0,0,0,0,0,0,0,4,16,132,MASTER,1,129,0,0,0,65,67,WARM_RESTART
3,192.168.1.12-192.168.1.9-46269-20003,192.168.1.12,192.168.1.9,46269,20003,6, 15/05/2020  23:10:00 ,118065759.0,65,67,529,464,334,1357,1290,1022,17,5,8.138461538461538,1.7127912441841375,16,4,7.138461538461539,1.7127912441841378,14,2,5.138461538461539,1.7127912441841378,282,7,20.253731343283587,54.578645864027926,281,6,19.253731343283587,54.578645864027926,277,2,15.25373134328358,54.578645864027926,15.974148779240894,14.856127761817884,11.485124997163654,1.1180210174230107,901265.3358778626,967144.8661753164,2000851.0,523.0,118064635.0,1844759.921875,406775.90882416326,2001695.0,159064.0,118064716.0,1788859.333333333,511710.665104753,2002041.0,523.0,650,65,130,670,67,268,0.5505406525189068,0.567480364904104,14.287878787878787,5,282,39.23243133873497,1539.1836687485538,13.287878787878787,4,281,39.23243133873497,1539.1836687485538,10.272727272727273,2,277,39.089463039922656,1527.9861207494796,0,0,0,0,0,0,0,0,4,17,132,MASTER,1,129,0,0,0,65,67,WARM_RESTART
4,192.168.1.12-192.168.1.7-59969-20003,192.168.1.12,192.168.1.7,59969,20003,6, 15/05/2020  23:10:00 ,118063532.0,65,67,529,464,334,1357,1290,1022,17,5,8.138461538461538,1.7127912441841375,16,4,7.138461538461539,1.7127912441841378,14,2,5.138461538461539,1.7127912441841378,282,7,20.253731343283587,54.578645864027926,281,6,19.253731343283587,54.578645864027926,277,2,15.25373134328358,54.578645864027926,15.974450095225002,14.856407988878395,11.485341637924233,1.1180421063466066,901248.3358778626,967263.4023252531,2001889.0,375.0,118062714.0,1844729.90625,407116.56176309095,2002979.0,159866.0,118062854.0,1788831.1212121209,512013.5946637029,2002743.0,375.0,650,65,130,670,67,268,0.5505510372161321,0.5674910691304746,14.287878787878787,5,282,39.23243133873497,1539.1836687485538,13.287878787878787,4,281,39.23243133873497,1539.1836687485538,10.272727272727273,2,277,39.089463039922656,1527.9861207494796,0,0,0,0,0,0,0,0,4,15,132,MASTER,1,129,0,0,0,65,67,WARM_RESTART
5,192.168.1.12-192.168.1.10-48221-20003,192.168.1.12,192.168.1.10,48221,20003,6, 15/05/2020  23:10:00 ,118064504.0,65,67,529,464,334,1357,1290,1022,17,5,8.138461538461538,1.7127912441841375,16,4,7.138461538461539,1.7127912441841378,14,2,5.138461538461539,1.7127912441841378,282,7,20.253731343283587,54.578645864027926,281,6,19.253731343283587,54.578645864027926,277,2,15.25373134328358,54.578645864027926,15.974318580968248,14.856285679224975,11.48524708154451,1.1180329017432709,901255.7557251907,967139.2968602028,2001205.0,420.0,118063592.0,1844743.625,406549.93247740297,2002151.0,159945.0,118063426.0,1788839.7878787878,511599.313997661,2002074.0,420.0,650,65,130,670,67,268,0.5505465046463076,0.5674863970969632,14.287878787878787,5,282,39.23243133873497,1539.1836687485538,13.287878787878787,4,281,39.23243133873497,1539.1836687485538,10.272727272727273,2,277,39.089463039922656,1527.9861207494796,0,0,0,0,0,0,0,0,4,18,132,MASTER,1,129,0,0,0,65,67,WARM_RESTART
6,192.168.1.12-192.168.1.4-34770-20003,192.168.1.12,192.168.1.4,34770,20003,6, 15/05/2020  23:10:00 ,118064441.0,65,67,529,464,334,1357,1290,1022,17,5,8.138461538461538,1.7127912441841375,16,4,7.138461538461539,1.7127912441841378,14,2,5.138461538461539,1.7127912441841378,282,7,20.253731343283587,54.578645864027926,281,6,19.253731343283587,54.578645864027926,277,2,15.25373134328358,54.578645864027926,15.974327104974813,14.856293606641474,11.485253210151566,1.1180334983333382,901255.2748091605,967372.5015689587,2001703.0,377.0,118063575.0,1844743.359375,407231.6690817682,2002441.0,160414.0,118063800.0,1788845.4545454546,512112.80049722776,2002335.0,377.0,650,65,130,670,67,268,0.5505467984217195,0.5674866999116186,14.287878787878787,5,282,39.23243133873497,1539.1836687485538,13.287878787878787,4,281,39.23243133873497,1539.1836687485538,10.272727272727273,2,277,39.089463039922656,1527.9861207494796,0,0,0,0,0,0,0,0,4,12,132,MASTER,1,129,0,0,0,65,67,WARM_RESTART
7,192.168.1.12-192.168.1.6-53837-20003,192.168.1.12,192.168.1.6,53837,20003,6, 15/05/2020  23:10:00 ,118070536.0,65,67,529,464,334,1357,1290,1022,17,5,8.138461538461538,1.7127912441841375,16,4,7.138461538461539,1.7127912441841378,14,2,5.138461538461539,1.7127912441841378,282,7,20.253731343283587,54.578645864027926,281,6,19.253731343283587,54.578645864027926,277,2,15.25373134328358,54.578645864027926,15.973502483295238,14.855526699734806,11.484660322029875,1.1179757835604305,901301.8015267176,967068.7425352123,2000737.0,420.0,118069868.0,1844841.6875,406883.345263584,2006079.0,92618.0,118069861.0,1788937.2878787878,511828.6025043259,2005986.0,420.0,650,65,130,670,67,268,0.5505183782683937,0.5674574052920366,14.287878787878787,5,282,39.23243133873497,1539.1836687485538,13.287878787878787,4,281,39.23243133873497,1539.1836687485538,10.272727272727273,2,277,39.089463039922656,1527.9861207494796,0,0,0,0,0,0,0,0,4,14,132,MASTER,1,129,0,0,0,65,67,WARM_RESTART
8,192.168.1.12-192.168.1.7-59969-20003,192.168.1.12,192.168.1.7,59969,20003,6, 15/05/2020  23:12:00 ,118060351.0,66,68,534,468,336,1364,1296,1024,17,5,8.090909090909092,1.7429177369463646,16,4,7.090909090909091,1.7429177369463649,14,2,5.090909090909091,1.7429177369463649,282,7,20.058823529411768,54.193650107997826,281,6,19.058823529411768,54.193650107997826,277,2,15.058823529411766,54.193650107997826,16.076523438423454,14.941510719377751,11.51953207389668,1.1350127190457024,887671.8120300751,970193.4592649564,2000922.0,393.0,118059578.0,1816301.2,481009.27657661255,2002024.0,100403.0,118059399.0,1762080.5820895522,566836.5838508764,2001750.0,393.0,660,66,132,680,68,272,0.5590361153508683,0.5759766036948339,14.164179104477613,5,282,38.949590330516294,1517.070586915049,13.164179104477613,4,281,38.949590330516294,1517.070586915049,10.149253731343284,2,277,38.80750788973479,1506.0226686118274,0,0,0,0,0,0,0,0,4,15,134,MASTER,1,129,0,0,0,66,68,WARM_RESTART
9,192.168.1.12-192.168.1.8-43137-20003,192.168.1.12,192.168.1.8,43137,20003,6, 15/05/2020  23:12:00 ,118060890.0,66,68,534,468,336,1364,1296,1024,17,5,8.090909090909092,1.7429177369463646,16,4,7.090909090909091,1.7429177369463649,14,2,5.090909090909091,1.7429177369463649,282,7,20.058823529411768,54.193650107997826,281,6,19.058823529411768,54.193650107997826,277,2,15.058823529411766,54.193650107997826,16.076450042007984,14.941442504795617,11.51947948215535,1.1350075372123656,887675.8646616541,970100.58881678,2000817.0,363.0,118060205.0,1816310.8461538462,480753.9672032824,2001853.0,97897.0,118060183.0,1762092.2835820897,566618.4600094485,2001504.0,363.0,660,66,132,680,68,272,0.559033563104598,0.5759739741077676,14.164179104477613,5,282,38.949590330516294,1517.070586915049,13.164179104477613,4,281,38.949590330516294,1517.070586915049,10.149253731343284,2,277,38.80750788973479,1506.0226686118274,0,0,0,0,0,0,0,0,4,16,134,MASTER,1,129,0,0,0,66,68,WARM_RESTART
