,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE, Label
0,192.168.1.11-192.168.1.4-49714-20002,192.168.1.11,192.168.1.4,49714,20002,6, 15/05/2020  23:10:00 ,118050373.0,65,67,529,464,334,1357,1290,1022,17,5,8.138461538461538,1.7127912441841375,16,4,7.138461538461539,1.7127912441841378,14,2,5.138461538461539,1.7127912441841378,282,7,20.253731343283587,54.57864586402792,281,6,19.253731343283587,54.57864586402792,277,2,15.25373134328358,54.57864586402792,15.9762307570176,14.858064023228456,11.486621901652105,1.1181667337891428,901147.8854961832,979825.9173042593,2000801.0,278.0,118049821.0,1844528.453125,464402.6724204968,2001514.0,139462.0,118049771.0,1788632.893939394,557274.9201422698,2001372.0,278.0,650,65,130,670,67,268,0.5506124067901081,0.5675543269990346,14.287878787878787,5,282,39.23243133873497,1539.1836687485538,13.287878787878787,4,281,39.23243133873497,1539.1836687485538,10.272727272727273,2,277,39.089463039922656,1527.9861207494794,0,0,0,0,0,0,0,0,3,12,132,MASTER,1,129,0,0,0,65,67,WARM_RESTART
1,192.168.1.11-192.168.1.8-55668-20002,192.168.1.11,192.168.1.8,55668,20002,6, 15/05/2020  23:10:00 ,118050402.0,65,67,529,464,334,1357,1290,1022,17,5,8.138461538461538,1.7127912441841375,16,4,7.138461538461539,1.7127912441841378,14,2,5.138461538461539,1.7127912441841378,282,7,20.253731343283587,54.57864586402792,281,6,19.253731343283587,54.57864586402792,277,2,15.25373134328358,54.57864586402792,15.976226832332175,14.858060373229394,11.486619079874036,1.1181664591027822,901148.106870229,979838.4591260264,2001385.0,318.0,118049634.0,1844525.53125,464800.98920799344,2002116.0,138725.0,118049806.0,1788633.4242424243,557607.7521852425,2001905.0,318.0,650,65,130,670,67,268,0.5506122715278852,0.5675541875748971,14.287878787878787,5,282,39.23243133873497,1539.1836687485538,13.287878787878787,4,281,39.23243133873497,1539.1836687485538,10.272727272727273,2,277,39.089463039922656,1527.9861207494794,0,0,0,0,0,0,0,0,3,16,132,MASTER,1,129,0,0,0,65,67,WARM_RESTART
2,192.168.1.11-192.168.1.5-36435-20002,192.168.1.11,192.168.1.5,36435,20002,6, 15/05/2020  23:10:00 ,118050792.0,65,67,529,464,334,1357,1290,1022,17,5,8.138461538461538,1.7127912441841375,16,4,7.138461538461539,1.7127912441841378,14,2,5.138461538461539,1.7127912441841378,282,7,20.253731343283587,54.57864586402792,281,6,19.253731343283587,54.57864586402792,277,2,15.25373134328358,54.57864586402792,15.976174052267265,14.858011287209322,11.486581131958859,1.1181627650579422,901151.0839694656,979525.5871819477,2000812.0,424.0,118049858.0,1844529.03125,463748.8147613646,2001650.0,145109.0,118050061.0,1788637.2878787878,556788.4649763324,2001750.0,424.0,650,65,130,670,67,268,0.5506104524906533,0.5675523125672888,14.287878787878787,5,282,39.23243133873497,1539.1836687485538,13.287878787878787,4,281,39.23243133873497,1539.1836687485538,10.272727272727273,2,277,39.089463039922656,1527.9861207494794,0,0,0,0,0,0,0,0,3,13,132,MASTER,1,129,0,0,0,65,67,WARM_RESTART
3,192.168.1.11-192.168.1.3-37147-20002,192.168.1.11,192.168.1.3,37147,20002,6, 15/05/2020  23:10:00 ,118050522.0,65,67,529,464,334,1357,1290,1022,17,5,8.138461538461538,1.7127912441841375,16,4,7.138461538461539,1.7127912441841378,14,2,5.138461538461539,1.7127912441841378,282,7,20.253731343283587,54.57864586402792,281,6,19.253731343283587,54.57864586402792,277,2,15.25373134328358,54.57864586402792,15.976210592275061,14.85804526980406,11.486607403565738,1.118165322471001,901149.0229007631,979665.5695561344,2000590.0,469.0,118049716.0,1844526.8125,464394.618079771,2001381.0,140636.0,118049716.0,1788632.0606060603,557301.1786807472,2001385.0,469.0,650,65,130,670,67,268,0.5506117118228414,0.5675536106481596,14.287878787878787,5,282,39.23243133873497,1539.1836687485538,13.287878787878787,4,281,39.23243133873497,1539.1836687485538,10.272727272727273,2,277,39.089463039922656,1527.9861207494794,0,0,0,0,0,0,0,0,3,11,132,MASTER,1,129,0,0,0,65,67,WARM_RESTART
4,192.168.1.11-192.168.1.9-43333-20002,192.168.1.11,192.168.1.9,43333,20002,6, 15/05/2020  23:10:00 ,118049628.0,65,67,529,464,334,1357,1290,1022,17,5,8.138461538461538,1.7127912441841375,16,4,7.138461538461539,1.7127912441841378,14,2,5.138461538461539,1.7127912441841378,282,7,20.253731343283587,54.57864586402792,281,6,19.253731343283587,54.57864586402792,277,2,15.25373134328358,54.57864586402792,15.976331581493845,14.858157791060552,11.486694392632902,1.1181737904332911,901142.1984732824,979861.3571984514,2000730.0,454.0,118048746.0,1844511.65625,465168.181157529,2001642.0,139349.0,118049016.0,1788621.4545454546,557926.8235516797,2001517.0,454.0,650,65,130,670,67,268,0.5506158816527571,0.5675579087805342,14.287878787878787,5,282,39.23243133873497,1539.1836687485538,13.287878787878787,4,281,39.23243133873497,1539.1836687485538,10.272727272727273,2,277,39.089463039922656,1527.9861207494794,0,0,0,0,0,0,0,0,3,17,132,MASTER,1,129,0,0,0,65,67,WARM_RESTART
5,192.168.1.11-192.168.1.7-40107-20002,192.168.1.11,192.168.1.7,40107,20002,6, 15/05/2020  23:10:00 ,118049350.0,65,67,529,464,334,1357,1290,1022,17,5,8.138461538461538,1.7127912441841375,16,4,7.138461538461539,1.7127912441841378,14,2,5.138461538461539,1.7127912441841378,282,7,20.253731343283587,54.57864586402792,281,6,19.253731343283587,54.57864586402792,277,2,15.25373134328358,54.57864586402792,15.976369204913027,14.858192781239369,11.486721443193035,1.1181764236736584,901140.076335878,979821.721635457,2000679.0,381.0,118048640.0,1844510.0,464637.016863292,2001288.0,138960.0,118048665.0,1788616.1363636362,557496.9949203557,2001301.0,381.0,650,65,130,670,67,268,0.55061717832415,0.5675592453495085,14.287878787878787,5,282,39.23243133873497,1539.1836687485538,13.287878787878787,4,281,39.23243133873497,1539.1836687485538,10.272727272727273,2,277,39.089463039922656,1527.9861207494794,0,0,0,0,0,0,0,0,3,15,132,MASTER,1,129,0,0,0,65,67,WARM_RESTART
6,192.168.1.11-192.168.1.10-32935-20002,192.168.1.11,192.168.1.10,32935,20002,6, 15/05/2020  23:10:00 ,118049221.0,65,67,529,464,334,1357,1290,1022,17,5,8.138461538461538,1.7127912441841375,16,4,7.138461538461539,1.7127912441841378,14,2,5.138461538461539,1.7127912441841378,282,7,20.253731343283587,54.57864586402792,281,6,19.253731343283587,54.57864586402792,277,2,15.25373134328358,54.57864586402792,15.976386663322414,14.858209017745233,11.486733995474651,1.1181776455771784,901139.0916030534,979840.333608456,2000658.0,449.0,118048414.0,1844506.46875,464782.9603229218,2001338.0,141411.0,118048710.0,1788616.8181818181,557583.0660833598,2001317.0,449.0,650,65,130,670,67,268,0.5506177800190651,0.5675598655581132,14.287878787878787,5,282,39.23243133873497,1539.1836687485538,13.287878787878787,4,281,39.23243133873497,1539.1836687485538,10.272727272727273,2,277,39.089463039922656,1527.9861207494794,0,0,0,0,0,0,0,0,3,18,132,MASTER,1,129,0,0,0,65,67,WARM_RESTART
7,192.168.1.11-192.168.1.6-43510-20002,192.168.1.11,192.168.1.6,43510,20002,6, 15/05/2020  23:10:00 ,118058517.0,65,67,529,464,334,1357,1290,1022,17,5,8.138461538461538,1.7127912441841375,16,4,7.138461538461539,1.7127912441841378,14,2,5.138461538461539,1.7127912441841378,282,7,20.253731343283587,54.57864586402792,281,6,19.253731343283587,54.57864586402792,277,2,15.25373134328358,54.57864586402792,15.975128672842807,14.857039073258901,11.485829522998328,1.1180895995839082,901210.0534351146,971798.6593017356,2000548.0,204.0,118057802.0,1844653.15625,429063.4216638375,2003942.0,351183.0,118057712.0,1788753.2121212122,529071.5418587696,2003679.0,204.0,650,65,130,670,67,268,0.5505744240375305,0.5675151755463775,14.287878787878787,5,282,39.23243133873497,1539.1836687485538,13.287878787878787,4,281,39.23243133873497,1539.1836687485538,10.272727272727273,2,277,39.089463039922656,1527.9861207494794,0,0,0,0,0,0,0,0,3,14,132,MASTER,1,129,0,0,0,65,67,WARM_RESTART
8,192.168.1.11-192.168.1.9-43333-20002,192.168.1.11,192.168.1.9,43333,20002,6, 15/05/2020  23:12:00 ,118045611.0,66,68,534,468,336,1364,1296,1024,17,5,8.090909090909092,1.7429177369463646,16,4,7.090909090909091,1.7429177369463649,14,2,5.090909090909091,1.7429177369463649,282,7,20.058823529411768,54.193650107997826,281,6,19.058823529411768,54.193650107997826,277,2,15.058823529411766,54.193650107997826,16.078530865497402,14.943376420831099,11.520970483180436,1.1351544446663078,887560.984962406,967114.3306187959,2000395.0,370.0,118044877.0,1816075.030769231,468456.0437071768,2001204.0,170228.0,118044687.0,1761861.0,556569.586014075,2001833.0,370.0,660,66,132,680,68,272,0.559105920507286,0.576048524159022,14.164179104477613,5,282,38.949590330516294,1517.070586915049,13.164179104477613,4,281,38.949590330516294,1517.070586915049,10.149253731343284,2,277,38.80750788973479,1506.0226686118276,0,0,0,0,0,0,0,0,3,17,134,MASTER,1,129,0,0,0,66,68,WARM_RESTART
9,192.168.1.11-192.168.1.7-40107-20002,192.168.1.11,192.168.1.7,40107,20002,6, 15/05/2020  23:12:00 ,118040515.0,66,68,534,468,336,1364,1296,1024,17,5,8.090909090909092,1.7429177369463646,16,4,7.090909090909091,1.7429177369463649,14,2,5.090909090909091,1.7429177369463649,282,7,20.058823529411768,54.193650107997826,281,6,19.058823529411768,54.193650107997826,277,2,15.058823529411766,54.193650107997826,16.079225001686922,14.944021550566768,11.521467862114966,1.1352034511201514,887522.6691729324,966924.177188894,2000515.0,313.0,118039981.0,1815999.7076923081,467315.5175518705,2001210.0,179102.0,118039712.0,1761786.7462686568,555642.4389057513,2001149.0,313.0,660,66,132,680,68,272,0.559130058014403,0.5760733931057485,14.164179104477613,5,282,38.949590330516294,1517.070586915049,13.164179104477613,4,281,38.949590330516294,1517.070586915049,10.149253731343284,2,277,38.80750788973479,1506.0226686118276,0,0,0,0,0,0,0,0,3,15,134,MASTER,1,129,0,0,0,66,68,WARM_RESTART
