,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE,Label
0,192.168.1.12-192.168.1.8-43137-20003,192.168.1.12,192.168.1.8,43137,20003,6, 15/05/2020  23:10:00 ,238124154.0,131,135,1063,932,670,2721,2586,2046,17,5,8.114503816793894,1.7215432315403072,16,4,7.114503816793892,1.7215432315403072,14,2,5.114503816793894,1.7215432315403072,282,7,20.155555555555555,54.181820306642464,281,6,19.155555555555555,54.181820306642464,277,2,15.155555555555555,54.181820306642464,15.890870104676573,14.773805768565586,11.405814800291115,1.117064336110985,898581.7132075472,967912.7955330751,2002067.0,180.0,238123925.0,1831722.5,442545.3283622415,2002377.0,97924.0,238123810.0,1777043.3582089553,536504.7346355967,2002404.0,483.0,1310,131,262,1350,135,540,0.5501331880847333,0.5669311480262519,14.225563909774435,5,282,39.016419676820504,1522.2810043977868,13.225563909774435,4,281,39.016419676820504,1522.2810043977868,10.210526315789474,2,277,38.87416615747439,1511.2007944389272,0,0,0,0,0,0,0,0,4,16,266,MASTER,1,129,0,0,0,131,135,WARM_RESTART
1,192.168.1.11-192.168.1.8-55668-20002,192.168.1.11,192.168.1.8,55668,20002,6, 15/05/2020  23:10:00 ,238091722.0,131,135,1063,932,670,2721,2586,2046,17,5,8.114503816793894,1.7215432315403072,16,4,7.114503816793892,1.7215432315403072,14,2,5.114503816793894,1.7215432315403072,282,7,20.155555555555555,54.181820306642464,281,6,19.155555555555555,54.181820306642464,277,2,15.155555555555555,54.181820306642464,15.893034701979266,14.7758182033729,11.407368459454462,1.1172164986063648,898459.3283018869,972474.5042326194,2001768.0,182.0,238091402.0,1831472.3230769231,463050.0113665327,2002064.0,138685.0,238091415.0,1776801.6044776118,553033.2114540304,2001987.0,365.0,1310,131,262,1350,135,540,0.5502081252535105,0.5670083733528544,14.225563909774435,5,282,39.016419676820504,1522.2810043977868,13.225563909774435,4,281,39.016419676820504,1522.2810043977868,10.210526315789474,2,277,38.87416615747439,1511.2007944389272,0,0,0,0,0,0,0,0,3,16,266,MASTER,1,129,0,0,0,131,135,WARM_RESTART
2,192.168.1.1-192.168.1.8-36736-20001,192.168.1.1,192.168.1.8,36736,20001,6, 15/05/2020  23:10:01 ,238125177.0,131,135,1063,932,670,2721,2586,2046,17,5,8.114503816793894,1.7215432315403072,16,4,7.114503816793892,1.7215432315403072,14,2,5.114503816793894,1.7215432315403072,282,7,20.155555555555555,54.181820306642464,281,6,19.155555555555555,54.181820306642464,277,2,15.155555555555555,54.181820306642464,15.890801836548345,14.773742299412547,11.405765800228677,1.1170595371357979,898585.5735849056,969180.5871838505,2002117.0,193.0,238124974.0,1831730.569230769,448181.8319217584,2002388.0,256998.0,238124831.0,1777050.9776119404,541033.525521967,2002426.0,420.0,1310,131,262,1350,135,540,0.5501308246796599,0.5669287124561381,14.225563909774435,5,282,39.016419676820504,1522.2810043977868,13.225563909774435,4,281,39.016419676820504,1522.2810043977868,10.210526315789474,2,277,38.874166157474384,1511.200794438927,0,0,0,0,0,0,0,0,2,16,266,MASTER,1,129,0,0,0,131,135,WARM_RESTART
3,192.168.1.2-192.168.1.8-51021-20000,192.168.1.2,192.168.1.8,51021,20000,6, 15/05/2020  23:10:01 ,238119609.0,124,128,1028,904,656,2672,2544,2032,17,8,8.290322580645162,1.5966132527433068,16,7,7.290322580645161,1.5966132527433068,14,5,5.290322580645161,1.5966132527433068,282,7,20.875,55.564532957945815,281,6,19.875,55.564532957945815,277,2,15.875,55.564532957945815,15.538409522585768,14.480117846993439,11.2884445396515,1.0582916755923282,948683.7011952192,991685.0175014738,2001660.0,170.0,238119408.0,1935930.1463414638,299153.70748279174,2001954.0,303098.0,238119393.0,1874955.8503937009,449324.0560161396,2002018.0,537.0,1240,124,248,1280,128,512,0.5207466975136852,0.5375449780786429,14.682539682539682,7,282,40.0393533095208,1603.1498134446344,13.682539682539682,6,281,40.0393533095208,1603.1498134446344,10.666666666666666,2,277,39.89388314454481,1591.5219123505972,0,0,0,0,0,0,0,0,1,16,252,MASTER,1,129,0,0,0,124,128,NORMAL
4,192.168.1.12-192.168.1.8-43137-20003,192.168.1.12,192.168.1.8,43137,20003,6, 15/05/2020  23:14:00 ,238114301.0,130,134,1058,928,668,2714,2580,2044,17,5,8.138461538461538,1.706139602573741,16,4,7.138461538461539,1.7061396025737412,14,2,5.138461538461539,1.7061396025737412,282,7,20.253731343283587,54.37307584595372,281,6,19.253731343283587,54.37307584595372,277,2,15.25373134328358,54.37307584595372,15.841131692463946,14.73242046054176,11.389488109746086,1.108711231922185,905377.5703422051,973457.1242362604,2001758.0,192.0,238114013.0,1845845.062015504,437343.6004245144,2002020.0,7022.0,238114052.0,1790331.218045113,534407.6068352261,2002116.0,471.0,1300,130,260,1340,134,536,0.5459562884465305,0.5627549434756546,14.287878787878787,5,282,39.157773932664725,1533.3312593616772,13.287878787878787,4,281,39.157773932664725,1533.3312593616772,10.272727272727273,2,277,39.01507769556196,1522.1762875907364,0,0,0,0,0,0,0,0,4,16,264,MASTER,1,129,0,0,0,130,134,WARM_RESTART
5,192.168.1.11-192.168.1.8-55668-20002,192.168.1.11,192.168.1.8,55668,20002,6, 15/05/2020  23:14:00 ,238104220.0,131,135,1063,932,670,2721,2586,2046,17,5,8.114503816793894,1.7215432315403072,16,4,7.114503816793892,1.7215432315403072,14,2,5.114503816793894,1.7215432315403072,282,7,20.155555555555555,54.181820306642464,281,6,19.155555555555555,54.181820306642464,277,2,15.155555555555555,54.181820306642464,15.892200482628994,14.775042626291967,11.406769691020177,1.1171578563370277,898506.4905660377,968897.5467538659,2008390.0,176.0,238103999.0,1831569.223076923,447261.1388123207,2008666.0,212161.0,238103938.0,1776895.0597014925,540286.2998622197,2008825.0,275.0,1310,131,262,1350,135,540,0.5501792450381602,0.5669786112988674,14.225563909774435,5,282,39.016419676820504,1522.2810043977868,13.225563909774435,4,281,39.016419676820504,1522.2810043977868,10.210526315789474,2,277,38.87416615747439,1511.2007944389272,0,0,0,0,0,0,0,0,3,16,266,MASTER,1,129,0,0,0,131,135,WARM_RESTART
6,192.168.1.1-192.168.1.8-36736-20001,192.168.1.1,192.168.1.8,36736,20001,6, 15/05/2020  23:14:01 ,238118142.0,131,135,1063,932,670,2721,2586,2046,17,5,8.114503816793894,1.7215432315403072,16,4,7.114503816793892,1.7215432315403072,14,2,5.114503816793894,1.7215432315403072,282,7,20.155555555555555,54.181820306642464,281,6,19.155555555555555,54.181820306642464,277,2,15.155555555555555,54.181820306642464,15.89127131690789,14.774178777188675,11.406102773975114,1.1170925397192122,898559.0264150944,967268.2941380759,2001750.0,183.0,238117778.0,1831675.2153846156,439917.3235347572,2002601.0,378943.0,238117843.0,1776998.828358209,534383.1459867954,2003448.0,417.0,1310,131,262,1350,135,540,0.5501470778316421,0.5669454618875701,14.225563909774435,5,282,39.016419676820504,1522.2810043977868,13.225563909774435,4,281,39.016419676820504,1522.2810043977868,10.210526315789474,2,277,38.87416615747439,1511.2007944389272,0,0,0,0,0,0,0,0,2,16,266,MASTER,1,129,0,0,0,131,135,WARM_RESTART
7,192.168.1.2-192.168.1.8-51021-20000,192.168.1.2,192.168.1.8,51021,20000,6, 15/05/2020  23:14:01 ,238123544.0,124,128,1028,904,656,2672,2544,2032,17,8,8.290322580645162,1.5966132527433068,16,7,7.290322580645161,1.5966132527433068,14,5,5.290322580645161,1.5966132527433068,282,7,20.875,55.564532957945815,281,6,19.875,55.564532957945815,277,2,15.875,55.564532957945815,15.538152749817968,14.479878562533068,11.288257997705596,1.0582741872848995,948699.3784860558,989505.6544862613,2001983.0,170.0,238123226.0,1935961.18699187,283907.74046927004,2002177.0,417034.0,238123312.0,1874986.7086614168,439629.5887624019,2002876.0,478.0,1240,124,248,1280,128,512,0.5207380921560616,0.5375360951288378,14.682539682539682,7,282,40.0393533095208,1603.1498134446344,13.682539682539682,6,281,40.0393533095208,1603.1498134446344,10.666666666666666,2,277,39.89388314454481,1591.5219123505972,0,0,0,0,0,0,0,0,1,16,252,MASTER,1,129,0,0,0,124,128,NORMAL
8,192.168.1.12-192.168.1.8-43137-20003,192.168.1.12,192.168.1.8,43137,20003,6, 15/05/2020  23:18:00 ,238143794.0,131,135,1063,932,670,2721,2586,2046,17,5,8.114503816793894,1.7215432315403072,16,4,7.114503816793892,1.7215432315403072,14,2,5.114503816793894,1.7215432315403072,282,7,20.155555555555555,54.181820306642464,281,6,19.155555555555555,54.181820306642464,277,2,15.155555555555555,54.181820306642464,15.88955956584785,14.772587355352204,11.404874149271345,1.116972210495647,898655.8264150944,968594.7768192448,2001657.0,177.0,238143507.0,1831873.130769231,445292.71407060174,2002091.0,21710.0,238143615.0,1777191.1567164182,538711.4647516515,2001975.0,443.0,1310,131,262,1350,135,540,0.5500878179508637,0.5668843925447832,14.225563909774435,5,282,39.016419676820504,1522.2810043977868,13.225563909774435,4,281,39.016419676820504,1522.2810043977868,10.210526315789474,2,277,38.87416615747439,1511.2007944389272,0,0,0,0,0,0,0,0,4,16,266,MASTER,1,129,0,0,0,131,135,WARM_RESTART
9,192.168.1.11-192.168.1.8-55668-20002,192.168.1.11,192.168.1.8,55668,20002,6, 15/05/2020  23:18:00 ,238097313.0,130,134,1058,928,668,2714,2580,2044,17,5,8.138461538461538,1.706139602573741,16,4,7.138461538461539,1.7061396025737412,14,2,5.138461538461539,1.7061396025737412,282,7,20.253731343283587,54.37307584595372,281,6,19.253731343283587,54.37307584595372,277,2,15.25373134328358,54.37307584595372,15.84226194102409,14.73347160368836,11.390300738085186,1.1087903373357262,905312.9771863116,970579.4272131448,2001265.0,179.0,238097055.0,1845713.6046511629,424327.22142359545,2001958.0,313286.0,238097052.0,1790203.3984962406,524152.78127547615,2002158.0,334.0,1300,130,260,1340,134,536,0.5459952418698651,0.5627950954658609,14.287878787878787,5,282,39.157773932664725,1533.3312593616772,13.287878787878787,4,281,39.157773932664725,1533.3312593616772,10.272727272727273,2,277,39.01507769556196,1522.1762875907364,0,0,0,0,0,0,0,0,3,16,264,MASTER,1,129,0,0,0,130,134,WARM_RESTART
