,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,192.168.1.8-192.168.1.11-20002-49537-6,192.168.1.11,49537,192.168.1.8,20002,6,15/05/2020 06:20:00 PM,118036577,63,67,1146.0,2028.0,27.0,15.0,18.19047619047619,1.6930326184112958,292.0,17.0,30.268656716417908,54.575103128639014,26.88996987772697,1.1013535236624152,915012.2248062014,988420.947228625,2000478.0,348.0,116035137.0,1871534.4677419355,444561.90111849346,2001298.0,20105.0,118036577.0,1788432.984848485,583418.0555224131,2001284.0,348.0,0,1,0,0,2016,2144,0.5337328614671705,0.5676206621952448,15.0,292.0,24.366412213740453,39.373205669859814,1550.2493247210807,0,0,0,1,1,0,0,0,1.0,24.553846153846155,18.19047619047619,30.268656716417908,0,0,0,0,0,0,63,1146,67,2028,-1,227,63,0,0,0,0,0,0,0,0,0,COLD_RESTART
1,192.168.1.7-192.168.1.11-20002-55278-6,192.168.1.11,55278,192.168.1.7,20002,6,15/05/2020 06:20:00 PM,118050369,63,67,1146.0,2028.0,27.0,15.0,18.19047619047619,1.6930326184112958,292.0,17.0,30.268656716417908,54.575103128639014,26.886828282595204,1.1012248508939433,915119.1395348836,987941.9083592471,2000391.0,452.0,116049062.0,1871759.0645161287,442259.4302226333,2004062.0,35971.0,118050369.0,1788641.9545454541,581803.2187626389,2004087.0,452.0,0,1,0,0,2016,2144,0.5336705046639879,0.5675543462299555,15.0,292.0,24.366412213740453,39.373205669859814,1550.2493247210807,0,0,0,1,1,0,0,0,1.0,24.553846153846155,18.19047619047619,30.268656716417908,0,0,0,0,0,0,63,1146,67,2028,-1,227,63,0,0,0,0,0,0,0,0,0,COLD_RESTART
2,192.168.1.4-192.168.1.11-20002-57101-6,192.168.1.11,57101,192.168.1.4,20002,6,15/05/2020 06:20:00 PM,118049791,63,67,1146.0,2028.0,27.0,15.0,18.19047619047619,1.6930326184112958,292.0,17.0,30.268656716417908,54.575103128639014,26.88695992693456,1.1012302427540934,915114.6589147288,988058.2647679213,2000639.0,286.0,116049002.0,1871758.0967741932,442385.609605122,2002917.0,34921.0,118049791.0,1788633.1969696968,581915.4063571894,2003675.0,286.0,0,1,0,0,2016,2144,0.5336731176423684,0.5675571251117251,15.0,292.0,24.366412213740453,39.373205669859814,1550.2493247210807,0,0,0,1,1,0,0,0,1.0,24.553846153846155,18.19047619047619,30.268656716417908,0,0,0,0,0,0,63,1146,67,2028,-1,227,63,0,0,0,0,0,0,0,0,0,COLD_RESTART
3,192.168.1.5-192.168.1.11-20002-42312-6,192.168.1.11,42312,192.168.1.5,20002,6,15/05/2020 06:20:00 PM,118037818,63,67,1146.0,2028.0,27.0,15.0,18.19047619047619,1.6930326184112958,292.0,17.0,30.268656716417908,54.575103128639014,26.889687167887157,1.1013419444944328,915021.84496124,988453.1546556128,2000539.0,297.0,116037120.0,1871566.4516129037,444882.23519288655,2001309.0,18075.0,118037818.0,1788451.7878787876,583665.8167960767,2001300.0,297.0,0,1,0,0,2016,2144,0.5337272500242253,0.5676146944702078,15.0,292.0,24.366412213740453,39.373205669859814,1550.2493247210807,0,0,0,1,1,0,0,0,1.0,24.553846153846155,18.19047619047619,30.268656716417908,0,0,0,0,0,0,63,1146,67,2028,-1,227,63,0,0,0,0,0,0,0,0,0,COLD_RESTART
4,192.168.1.10-192.168.1.11-20002-58689-6,192.168.1.11,58689,192.168.1.10,20002,6,15/05/2020 06:20:00 PM,118041687,63,67,1146.0,2028.0,27.0,15.0,18.19047619047619,1.6930326184112958,292.0,17.0,30.268656716417908,54.575103128639014,26.888805816541748,1.101305846298181,915051.8372093022,988102.8568959638,2000453.0,359.0,116040118.0,1871614.8064516129,443032.98058718146,2001188.0,30972.0,118041687.0,1788510.4090909087,582313.4051457428,2001125.0,359.0,0,1,0,0,2016,2144,0.5337097562829647,0.5675960900152164,15.0,292.0,24.366412213740453,39.373205669859814,1550.2493247210807,0,0,0,1,1,0,0,0,1.0,24.553846153846155,18.19047619047619,30.268656716417908,0,0,0,0,0,0,63,1146,67,2028,-1,227,63,0,0,0,0,0,0,0,0,0,COLD_RESTART
5,192.168.1.9-192.168.1.11-20002-39338-6,192.168.1.11,39338,192.168.1.9,20002,6,15/05/2020 06:20:00 PM,118043782,63,67,1146.0,2028.0,27.0,15.0,18.19047619047619,1.6930326184112958,292.0,17.0,30.268656716417908,54.575103128639014,26.88832860336515,1.1012863007049367,915068.07751938,988345.707101444,2000472.0,448.0,116042032.0,1871645.6774193547,444276.1397282792,2001225.0,22978.0,118043782.0,1788542.1515151518,583235.179810083,2001664.0,448.0,0,1,0,0,2016,2144,0.533700284187777,0.5675860165171598,15.0,292.0,24.366412213740453,39.373205669859814,1550.2493247210807,0,0,0,1,1,0,0,0,1.0,24.553846153846155,18.19047619047619,30.268656716417908,0,0,0,0,0,0,63,1146,67,2028,-1,227,63,0,0,0,0,0,0,0,0,0,COLD_RESTART
6,192.168.1.3-192.168.1.11-20002-51222-6,192.168.1.11,51222,192.168.1.3,20002,6,15/05/2020 06:20:00 PM,118047576,63,67,1146.0,2028.0,27.0,15.0,18.19047619047619,1.6930326184112958,292.0,17.0,30.268656716417908,54.575103128639014,26.88746442366593,1.101250905821226,915097.4883720926,987386.4989549285,2000365.0,337.0,116045992.0,1871709.548387096,439916.5778781125,2001155.0,47008.0,118047576.0,1788599.636363636,580123.6916158124,2001224.0,337.0,0,1,0,0,2016,2144,0.5336831312825939,0.5675677745386317,15.0,292.0,24.366412213740453,39.373205669859814,1550.2493247210807,0,0,0,1,1,0,0,0,1.0,24.553846153846155,18.19047619047619,30.268656716417908,0,0,0,0,0,0,63,1146,67,2028,-1,227,63,0,0,0,0,0,0,0,0,0,COLD_RESTART
7,192.168.1.6-192.168.1.11-20002-56247-6,192.168.1.11,56247,192.168.1.6,20002,6,15/05/2020 06:20:00 PM,118032507,63,67,1146.0,2028.0,27.0,15.0,18.19047619047619,1.6930326184112958,292.0,17.0,30.268656716417908,54.575103128639014,26.89089709837308,1.101391500563485,914980.6744186044,986500.931551069,2000367.0,410.0,116032098.0,1871485.451612904,435900.704219668,2002020.0,75989.0,118032507.0,1788371.3181818184,577280.1985649911,2002438.0,410.0,0,1,0,0,2016,2144,0.5337512656576887,0.5676402349057961,15.0,292.0,24.366412213740453,39.373205669859814,1550.2493247210807,0,0,0,1,1,0,0,0,1.0,24.553846153846155,18.19047619047619,30.268656716417908,0,0,0,0,0,0,63,1146,67,2028,-1,227,63,0,0,0,0,0,0,0,0,0,COLD_RESTART
8,192.168.1.6-192.168.1.11-20002-56247-6,192.168.1.11,56247,192.168.1.6,20002,6,15/05/2020 06:22:00 PM,118746637,66,70,1191.0,2079.0,27.0,15.0,18.045454545454547,1.7839611774131976,292.0,17.0,29.7,53.44409241902003,27.537621970717375,1.1452955926659212,879604.7185185187,964648.061940043,2000488.0,374.0,118000523.0,1815392.6615384612,476648.1287249628,2003012.0,94014.0,118746637.0,1720965.7536231882,605780.961513789,2002602.0,374.0,0,1,0,0,2112,2240,0.5558052140878734,0.5894903785780476,15.0,292.0,24.0,38.53378960310639,1484.8529411764707,0,0,0,1,1,0,0,0,1.0,24.176470588235286,18.045454545454547,29.7,0,0,0,0,0,0,66,1191,70,2079,-1,227,66,0,0,0,0,0,0,0,0,0,COLD_RESTART
9,192.168.1.4-192.168.1.11-20002-57101-6,192.168.1.11,57101,192.168.1.4,20002,6,15/05/2020 06:22:00 PM,118776556,66,70,1191.0,2079.0,27.0,15.0,18.045454545454547,1.7839611774131976,292.0,17.0,29.7,53.44409241902003,27.530685432569708,1.1450071005594742,879826.3407407409,964886.4728233864,2000624.0,207.0,118000666.0,1815394.861538461,477477.0182637025,2001275.0,84986.0,118776556.0,1721399.362318841,605770.5097165868,2001361.0,207.0,0,1,0,0,2112,2240,0.5556652105656271,0.5893418899938471,15.0,292.0,24.0,38.53378960310639,1484.8529411764707,0,0,0,1,1,0,0,0,1.0,24.176470588235286,18.045454545454547,29.7,0,0,0,0,0,0,66,1191,70,2079,-1,227,66,0,0,0,0,0,0,0,0,0,COLD_RESTART
