,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,192.168.1.2-192.168.1.4-60224-20000-6,192.168.1.2,60224,192.168.1.4,20000,6,15/05/2020 06:20:00 PM,118058629,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648825,26.342843605273448,1.0672663325609175,944469.032,1000126.5075689731,2001158.0,136.0,116058241.0,1934304.0166666668,346881.4301368888,2001411.0,69875.0,118058629.0,1844666.078125,531782.999976384,2001451.0,143.0,0,1,0,0,1952,2080,0.516692430842984,0.5505739017179337,17.0,292.0,24.62992125984253,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
1,192.168.1.4-192.168.1.11-20002-57101-6,192.168.1.11,57101,192.168.1.4,20002,6,15/05/2020 06:20:00 PM,118049348,63,67,1146.0,2028.0,27.0,15.0,18.19047619047619,1.6930326184112958,292.0,17.0,30.268656716417908,54.575103128639014,26.887060824766262,1.1012343753054867,915111.2248062014,988536.0957789605,2003620.0,88.0,116049132.0,1871760.1935483871,442405.62693464616,2003921.0,34879.0,118049348.0,1788626.4848484846,581923.3017342311,2003782.0,176.0,0,1,0,0,2016,2144,0.5336751203403513,0.5675592549651355,15.0,292.0,24.366412213740453,39.373205669859814,1550.2493247210807,0,0,0,1,1,0,0,0,1.0,24.553846153846155,18.19047619047619,30.268656716417908,0,0,0,0,0,0,63,1146,67,2028,-1,227,63,0,0,0,0,0,0,0,0,0,COLD_RESTART
2,192.168.1.1-192.168.1.4-45297-20001-6,192.168.1.1,45297,192.168.1.4,20001,6,15/05/2020 06:20:01 PM,118061217,64,68,1161.0,2045.0,27.0,15.0,18.140625,1.7262417890567108,292.0,17.0,30.0735294117647,54.1901891700214,27.15540362420625,1.1180640294433015,901230.6641221372,978844.8767592545,2002843.0,121.0,116060916.0,1842236.761904762,461534.34402519284,2003177.0,65466.0,118061217.0,1762107.7164179096,590129.0352534571,2003111.0,210.0,0,1,0,0,2048,2176,0.5420916506391764,0.575972378804125,15.0,292.0,24.24060150375939,39.08734399062583,1527.8204602415128,0,0,0,1,1,0,0,0,1.0,24.424242424242426,18.140625,30.073529411764714,0,0,0,0,0,0,64,1161,68,2045,-1,227,64,0,0,0,0,0,0,0,0,0,COLD_RESTART
3,192.168.1.4-192.168.1.12-20003-56526-6,192.168.1.12,56526,192.168.1.4,20003,6,15/05/2020 06:20:01 PM,118058939,63,67,1146.0,2028.0,27.0,15.0,18.19047619047619,1.6930326184112965,292.0,17.0,30.268656716417908,54.575103128639014,26.884876544587613,1.1011449120341494,915185.5736434108,985992.3700825142,2001246.0,124.0,116058019.0,1871903.532258065,430199.9652703539,2001482.0,71787.0,118058939.0,1788771.8030303032,573279.5792880768,2001502.0,195.0,0,1,0,0,2016,2144,0.5336317650627032,0.5675131469714462,15.0,292.0,24.36641221374045,39.373205669859814,1550.2493247210807,0,0,0,1,1,0,0,0,1.0,24.553846153846155,18.19047619047619,30.268656716417908,0,0,0,0,0,0,63,1146,67,2028,-1,227,63,0,0,0,0,0,0,0,0,0,COLD_RESTART
4,192.168.1.2-192.168.1.4-60224-20000-6,192.168.1.2,60224,192.168.1.4,20000,6,15/05/2020 06:22:00 PM,118061360,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648825,26.34223424158421,1.0672416445143442,944490.8800000001,998491.032932732,2002271.0,137.0,116059854.0,1934330.9,336648.98804141954,2002498.0,127716.0,118061360.0,1844708.75,525577.1980224022,2002531.0,199.0,0,1,0,0,1952,2080,0.5166804786934523,0.5505611658208918,17.0,292.0,24.62992125984253,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
5,192.168.1.4-192.168.1.11-20002-57101-6,192.168.1.11,57101,192.168.1.4,20002,6,15/05/2020 06:22:00 PM,118775408,66,70,1191.0,2079.0,27.0,15.0,18.045454545454547,1.7839611774131976,292.0,17.0,29.7,53.44409241902003,27.53095152491499,1.1450181673970758,879817.8370370372,965306.2486061031,2001149.0,105.0,118000022.0,1815384.953846154,477477.76271601865,2001364.0,84983.0,118775408.0,1721382.724637681,605791.4159952466,2001359.0,178.0,0,1,0,0,2112,2240,0.5556705812368163,0.5893475861602597,15.0,292.0,24.0,38.53378960310639,1484.8529411764707,0,0,0,1,1,0,0,0,1.0,24.176470588235286,18.045454545454547,29.7,0,0,0,0,0,0,66,1191,70,2079,-1,227,66,0,0,0,0,0,0,0,0,0,COLD_RESTART
6,192.168.1.1-192.168.1.4-45297-20001-6,192.168.1.1,45297,192.168.1.4,20001,6,15/05/2020 06:22:01 PM,118059060,65,69,1176.0,2062.0,27.0,15.0,18.0923076923077,1.7564441789724357,292.0,17.0,29.884057971014485,53.813276360973155,27.426950544922175,1.1350251306422396,887662.105263158,968456.6226904324,2001518.0,125.0,116058054.0,1813407.09375,474647.7395937449,2001779.0,126890.0,118059060.0,1736162.6470588231,594613.6170224829,2001777.0,189.0,0,1,0,0,2080,2208,0.5505718917294445,0.584453238912795,15.0,292.0,24.11851851851852,38.80761039608732,1506.0306246545051,0,0,0,1,1,0,0,0,1.0,24.298507462686572,18.09230769230769,29.88405797101449,0,0,0,0,0,0,65,1176,69,2062,-1,227,65,0,0,0,0,0,0,0,0,0,COLD_RESTART
7,192.168.1.4-192.168.1.12-20003-56526-6,192.168.1.12,56526,192.168.1.4,20003,6,15/05/2020 06:22:01 PM,118059025,65,69,1176.0,2062.0,27.0,15.0,18.092307692307685,1.7564441789724359,292.0,17.0,29.88405797101449,53.813276360973155,27.426958675967377,1.1350254671339188,887661.8421052627,970097.3659283322,2001708.0,88.0,116057384.0,1813396.6250000002,481544.51889332774,2001923.0,129979.0,118059025.0,1736162.1323529412,599808.0680221588,2001978.0,195.0,0,1,0,0,2080,2208,0.5505720549530203,0.5844534121808985,15.0,292.0,24.118518518518513,38.80761039608733,1506.0306246545053,0,0,0,1,1,0,0,0,1.0,24.298507462686572,18.09230769230769,29.88405797101449,0,0,0,0,0,0,65,1176,69,2062,-1,227,65,0,0,0,0,0,0,0,0,0,COLD_RESTART
8,192.168.1.2-192.168.1.4-60224-20000-6,192.168.1.2,60224,192.168.1.4,20000,6,15/05/2020 06:24:00 PM,118059993,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648825,26.34253925459745,1.0672540019547518,944479.944,996894.5504922608,2001781.0,98.0,116058901.0,1934315.0166666661,326605.21422916336,2001950.0,187290.0,118059993.0,1844687.390625,519599.104205321,2002085.0,244.0,0,1,0,0,1952,2080,0.5166864612638085,0.5505675406909434,17.0,292.0,24.62992125984253,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
9,192.168.1.4-192.168.1.11-20002-57101-6,192.168.1.11,57101,192.168.1.4,20002,6,15/05/2020 06:24:00 PM,118033498,64,68,1161.0,2045.0,27.0,15.0,18.140625000000004,1.726241789056711,292.0,17.0,30.073529411764714,54.1901891700214,27.16178080226005,1.1183265957262405,901019.06870229,980178.9719668956,2001209.0,91.0,116032388.0,1841783.9365079368,468002.5639650221,2001430.0,125074.0,118033498.0,1761694.0,594831.055980247,2001579.0,193.0,0,1,0,0,2048,2176,0.5422189555036317,0.5761076402226087,15.0,292.0,24.240601503759397,39.08734399062583,1527.820460241513,0,0,0,1,1,0,0,0,1.0,24.424242424242426,18.140625,30.073529411764714,0,0,0,0,0,0,64,1161,68,2045,-1,227,64,0,0,0,0,0,0,0,0,0,COLD_RESTART
