,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,192.168.1.1-192.168.1.3-38324-20000-6,192.168.1.1,38324,192.168.1.3,20000,6,16/05/2020 03:44:31 PM,152,0,2,0.0,1027.0,0,0,0,0,1010.0,17.0,513.5,702.1570337182417,6756578.947368421,13157.894736842105,152.0,0.0,152.0,152.0,0,0,0,0,0,152.0,152.0,0.0,152.0,152.0,0,1,0,0,0,64,0.0,13157.894736842105,17.0,1010.0,679.0,573.3088173052984,328683.0,0,0,0,1,1,0,0,0,0.0,1018.5,0.0,513.5,0,0,0,0,0,0,0,0,2,1027,-1,227,0,0,0,0,0,0,0,0,0,0,DNP3_ENUMERATE
1,192.168.1.1-192.168.1.3-38872-20000-6,192.168.1.1,38872,192.168.1.3,20000,6,16/05/2020 04:43:06 PM,117,0,2,0.0,1027.0,0,0,0,0,1010.0,17.0,513.5,702.1570337182417,8777777.777777778,17094.017094017094,117.0,0.0,117.0,117.0,0,0,0,0,0,117.0,117.0,0.0,117.0,117.0,0,1,0,0,0,64,0.0,17094.017094017094,17.0,1010.0,679.0,573.3088173052984,328683.0,0,0,0,1,1,0,0,0,0.0,1018.5,0.0,513.5,0,0,0,0,0,0,0,0,2,1027,-1,227,0,0,0,0,0,0,0,0,0,0,DNP3_ENUMERATE
2,192.168.1.1-192.168.1.3-37892-20000-6,192.168.1.1,37892,192.168.1.3,20000,6,16/05/2020 02:58:05 PM,175,0,2,0.0,1027.0,0,0,0,0,1010.0,17.0,513.5,702.1570337182417,5868571.428571428,11428.57142857143,175.0,0.0,175.0,175.0,0,0,0,0,0,175.0,175.0,0.0,175.0,175.0,0,1,0,0,0,64,0.0,11428.571428571431,17.0,1010.0,679.0,573.3088173052984,328683.0,0,0,0,1,1,0,0,0,0.0,1018.5,0.0,513.5,0,0,0,0,0,0,0,0,2,1027,-1,227,0,0,0,0,0,0,0,0,0,0,DNP3_ENUMERATE
3,192.168.1.1-192.168.1.3-39852-20000-6,192.168.1.1,39852,192.168.1.3,20000,6,16/05/2020 06:27:58 PM,79,0,2,0.0,1027.0,0,0,0,0,1010.0,17.0,513.5,702.1570337182417,1.3E7,25316.455696202534,79.0,0.0,79.0,79.0,0,0,0,0,0,79.0,79.0,0.0,79.0,79.0,0,1,0,0,0,64,0.0,25316.455696202534,17.0,1010.0,679.0,573.3088173052984,328683.0,0,0,0,1,1,0,0,0,0.0,1018.5,0.0,513.5,0,0,0,0,0,0,0,0,2,1027,-1,227,0,0,0,0,0,0,0,0,0,0,DNP3_ENUMERATE
4,192.168.1.1-192.168.1.3-37860-20000-6,192.168.1.1,37860,192.168.1.3,20000,6,16/05/2020 02:54:34 PM,118,0,2,0.0,1027.0,0,0,0,0,1010.0,17.0,513.5,702.1570337182417,8703389.830508474,16949.15254237288,118.0,0.0,118.0,118.0,0,0,0,0,0,118.0,118.0,0.0,118.0,118.0,0,1,0,0,0,64,0.0,16949.15254237288,17.0,1010.0,679.0,573.3088173052984,328683.0,0,0,0,1,1,0,0,0,0.0,1018.5,0.0,513.5,0,0,0,0,0,0,0,0,2,1027,-1,227,0,0,0,0,0,0,0,0,0,0,DNP3_ENUMERATE
5,192.168.1.1-192.168.1.3-39336-20000-6,192.168.1.1,39336,192.168.1.3,20000,6,16/05/2020 05:32:41 PM,51,0,2,0.0,1027.0,0,0,0,0,1010.0,17.0,513.5,702.1570337182417,2.0137254901960783E7,39215.686274509804,51.0,0.0,51.0,51.0,0,0,0,0,0,51.0,51.0,0.0,51.0,51.0,0,1,0,0,0,64,0.0,39215.68627450981,17.0,1010.0,679.0,573.3088173052984,328683.0,0,0,0,1,1,0,0,0,0.0,1018.5,0.0,513.5,0,0,0,0,0,0,0,0,2,1027,-1,227,0,0,0,0,0,0,0,0,0,0,DNP3_ENUMERATE
6,192.168.1.1-192.168.1.3-38840-20000-6,192.168.1.1,38840,192.168.1.3,20000,6,16/05/2020 04:39:58 PM,32,0,2,0.0,1027.0,0,0,0,0,1010.0,17.0,513.5,702.1570337182417,3.209375E7,62500.0,32.0,0.0,32.0,32.0,0,0,0,0,0,32.0,32.0,0.0,32.0,32.0,0,1,0,0,0,64,0.0,62500.0,17.0,1010.0,679.0,573.3088173052984,328683.0,0,0,0,1,1,0,0,0,0.0,1018.5,0.0,513.5,0,0,0,0,0,0,0,0,2,1027,-1,227,0,0,0,0,0,0,0,0,0,0,DNP3_ENUMERATE
7,192.168.1.1-192.168.1.3-39978-20000-6,192.168.1.1,39978,192.168.1.3,20000,6,16/05/2020 06:40:56 PM,22,0,2,0.0,1027.0,0,0,0,0,1010.0,17.0,513.5,702.1570337182417,4.668181818181818E7,90909.09090909091,22.0,0.0,22.0,22.0,0,0,0,0,0,22.0,22.0,0.0,22.0,22.0,0,1,0,0,0,64,0.0,90909.09090909091,17.0,1010.0,679.0,573.3088173052984,328683.0,0,0,0,1,1,0,0,0,0.0,1018.5,0.0,513.5,0,0,0,0,0,0,0,0,2,1027,-1,227,0,0,0,0,0,0,0,0,0,0,DNP3_ENUMERATE
8,192.168.1.1-192.168.1.3-39728-20000-6,192.168.1.1,39728,192.168.1.3,20000,6,16/05/2020 06:14:18 PM,80,0,2,0.0,1027.0,0,0,0,0,1010.0,17.0,513.5,702.1570337182417,1.2837499999999998E7,24999.999999999996,80.0,0.0,80.0,80.0,0,0,0,0,0,80.0,80.0,0.0,80.0,80.0,0,1,0,0,0,64,0.0,25000.0,17.0,1010.0,679.0,573.3088173052984,328683.0,0,0,0,1,1,0,0,0,0.0,1018.5,0.0,513.5,0,0,0,0,0,0,0,0,2,1027,-1,227,0,0,0,0,0,0,0,0,0,0,DNP3_ENUMERATE
9,192.168.1.1-192.168.1.3-39460-20000-6,192.168.1.1,39460,192.168.1.3,20000,6,16/05/2020 05:46:16 PM,298,0,2,0.0,1027.0,0,0,0,0,1010.0,17.0,513.5,702.1570337182417,3446308.724832215,6711.4093959731545,298.0,0.0,298.0,298.0,0,0,0,0,0,298.0,298.0,0.0,298.0,298.0,0,1,0,0,0,64,0.0,6711.4093959731545,17.0,1010.0,679.0,573.3088173052984,328683.0,0,0,0,1,1,0,0,0,0.0,1018.5,0.0,513.5,0,0,0,0,0,0,0,0,2,1027,-1,227,0,0,0,0,0,0,0,0,0,0,DNP3_ENUMERATE
