,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,192.168.1.2-192.168.1.4-50358-20000-6,192.168.1.4,20000,192.168.1.2,50358,6,16/05/2020 03:04:19 PM,22450084,14,15,682.0,275.0,292.0,17.0,48.714285714285715,83.25348555551807,27.0,15.0,18.33333333333333,2.5260547066428267,42.627902862189735,1.2917546321875677,801788.7142857142,953135.0968622741,2001434.0,205.0,22011311.0,1693177.769230769,650794.6511334117,2001639.0,553.0,22449789.0,1603556.3571428573,709630.5638814528,2001769.0,667.0,0,1,0,0,448,480,0.6236056845043431,0.6681489476832247,15.0,292.0,32.46666666666667,57.87187592422165,3349.1540229885054,0,0,0,1,1,0,0,0,1.0,33.586206896551715,48.714285714285715,18.33333333333333,0,0,0,0,0,0,14,682,15,275,-1,245,14,0,0,0,0,0,0,0,0,0,NORMAL
1,192.168.1.2-192.168.1.4-54883-20000-6,192.168.1.4,20000,192.168.1.2,54883,6,16/05/2020 05:14:38 PM,21924687,11,13,187.0,230.0,17.0,17.0,17.0,0.0,18.0,15.0,17.69230769230769,0.8548504142651102,19.019655788016497,1.0946564482311651,953247.2608695652,1017810.7824362864,2000922.0,207.0,20009988.0,2000998.8,211.42626768371412,2001306.0,2000481.0,21924389.0,1827032.4166666663,575714.8785077335,2001319.0,627.0,0,1,0,0,352,416,0.5017175387726174,0.5929389094585479,15.0,18.0,17.359999999999996,0.7000000000000004,0.4900000000000005,0,0,0,1,1,0,0,0,1.0,18.08333333333333,17.0,17.69230769230769,0,0,0,0,0,0,11,187,13,230,-1,229,11,0,0,0,0,0,0,0,0,0,NORMAL
2,192.168.1.2-192.168.1.4-43721-20000-6,192.168.1.4,20000,192.168.1.2,43721,6,16/05/2020 05:39:02 PM,30007574,15,17,255.0,302.0,17.0,17.0,17.0,0.0,18.0,15.0,17.764705882352942,0.7524469885568252,18.561980385352044,1.0663974368604405,967986.2580645159,1015991.2350424408,2001054.0,180.0,28014248.0,2001017.714285714,167.58760215364734,2001257.0,2000708.0,30007271.0,1875454.4375,500001.6236324263,2001269.0,465.0,0,1,0,0,480,544,0.4998737985283315,0.5665236383321091,15.0,18.0,17.393939393939394,0.6585682358056163,0.43371212121212177,0,0,0,1,1,0,0,0,1.0,17.9375,17.0,17.764705882352942,0,0,0,0,0,0,15,255,17,302,-1,229,15,0,0,0,0,0,0,0,0,0,NORMAL
3,192.168.1.2-192.168.1.4-43456-20000-6,192.168.1.4,20000,192.168.1.2,43456,6,16/05/2020 05:54:59 PM,28345848,15,17,255.0,302.0,17.0,17.0,17.0,0.0,18.0,15.0,17.764705882352942,0.7524469885568252,19.650144176318168,1.1289131304168427,914382.1935483869,1003865.2111003888,2000937.0,197.0,28013696.0,2000978.285714286,152.7121115399465,2001209.0,2000619.0,28345586.0,1771599.125,629704.96079332,2001158.0,602.0,0,1,0,0,480,544,0.5291780298828951,0.5997351005339476,15.0,18.0,17.393939393939394,0.6585682358056163,0.43371212121212177,0,0,0,1,1,0,0,0,1.0,17.9375,17.0,17.764705882352942,0,0,0,0,0,0,15,255,17,302,-1,229,15,0,0,0,0,0,0,0,0,0,NORMAL
4,192.168.1.2-192.168.1.4-55599-20000-6,192.168.1.4,20000,192.168.1.2,55599,6,16/05/2020 03:50:59 PM,20412703,11,13,187.0,230.0,17.0,17.0,17.0,0.0,18.0,15.0,17.69230769230769,0.8548504142651102,20.42845575130349,1.1757384605066756,887508.8260869565,1001717.5928232492,2000940.0,184.0,20009966.0,2000996.6,202.7846148010308,2001281.0,2000559.0,20412444.0,1701037.0,705792.0215964989,2001325.0,469.0,0,1,0,0,352,416,0.5388801277322264,0.6368583327744493,15.0,18.0,17.359999999999996,0.7000000000000004,0.4900000000000005,0,0,0,1,1,0,0,0,1.0,18.08333333333333,17.0,17.69230769230769,0,0,0,0,0,0,11,187,13,230,-1,229,11,0,0,0,0,0,0,0,0,0,NORMAL
5,192.168.1.2-192.168.1.4-47377-20000-6,192.168.1.4,20000,192.168.1.2,47377,6,16/05/2020 05:23:30 PM,19572819,12,13,648.0,239.0,292.0,17.0,54.0,89.31965069345043,27.0,15.0,18.384615384615387,2.7245324228345904,45.317948324153,1.2772815198464769,815534.125,983494.882417238,2000843.0,215.0,18008902.0,1637172.9090909092,793275.6765439684,2001116.0,27098.0,19572500.0,1631041.6666666663,765640.9455123006,2001136.0,534.0,0,1,0,0,384,416,0.613095129526309,0.664186390320168,15.0,292.0,34.76923076923076,61.99697263080363,3843.624615384615,0,0,0,1,1,0,0,0,1.0,36.16,54.0,18.384615384615387,0,0,0,0,0,0,12,648,13,239,-1,245,12,0,0,0,0,0,0,0,0,0,NORMAL
6,192.168.1.2-192.168.1.4-51604-20000-6,192.168.1.4,20000,192.168.1.2,51604,6,16/05/2020 03:49:31 PM,29988890,17,18,733.0,329.0,292.0,17.0,43.11764705882353,76.07141574939727,27.0,15.0,18.277777777777782,2.2959185155543653,35.41311465679456,1.1670988822860733,882026.1764705881,998586.1652567342,2000914.0,173.0,28013771.0,1750860.6874999998,654507.6934281439,2001134.0,546.0,29988669.0,1764039.3529411762,636087.993602098,2001208.0,427.0,0,1,0,0,544,576,0.5668765999675213,0.6002222823185519,15.0,292.0,29.972222222222218,52.98166049876456,2807.056349206349,0,0,0,1,1,0,0,0,1.0,30.82857142857143,43.11764705882353,18.277777777777782,0,0,0,0,0,0,17,733,18,329,-1,245,17,0,0,0,0,0,0,0,0,0,NORMAL
7,192.168.1.4-192.168.1.11-20000-38106-6,192.168.1.4,20000,192.168.1.11,38106,6,16/05/2020 05:57:05 PM,112,0,2,0.0,1027.0,0.0,0.0,0.0,0.0,1010.0,17.0,513.5,702.1570337182417,9169642.857142858,17857.14285714286,112.0,0.0,112.0,112.0,0.0,0.0,0.0,0.0,0.0,112.0,112.0,0.0,112.0,112.0,0,1,0,0,0,64,0.0,17857.14285714286,17.0,1010.0,348.0,573.3088173052984,328683.0,0,0,0,1,1,0,0,0,0.0,522.0,0.0,513.5,0,0,0,0,0,0,0,0,2,1027,-1,229,0,0,0,0,0,0,0,0,0,0,DNP3_ENUMERATE
8,192.168.1.4-192.168.1.11-20000-36570-6,192.168.1.11,36570,192.168.1.4,20000,6,16/05/2020 03:12:56 PM,56,0,2,0.0,1027.0,0.0,0.0,0.0,0.0,1010.0,17.0,513.5,702.1570337182417,1.8339285714285716E7,35714.28571428572,56.0,0.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,56.0,56.0,0.0,56.0,56.0,0,1,0,0,0,64,0.0,35714.28571428572,17.0,1010.0,679.0,573.3088173052984,328683.0,0,0,0,1,1,0,0,0,0.0,1018.5,0.0,513.5,0,0,0,0,0,0,0,0,2,1027,-1,243,0,0,0,0,0,0,0,0,0,0,DNP3_ENUMERATE
9,192.168.1.2-192.168.1.4-37362-20000-6,192.168.1.4,20000,192.168.1.2,37362,6,16/05/2020 05:25:03 PM,29491825,15,17,255.0,302.0,17.0,17.0,17.0,0.0,18.0,15.0,17.764705882352942,0.7524469885568252,18.88658975834829,1.0850464493126486,951349.193548387,1002747.1050340466,2000944.0,207.0,28014044.0,2001003.1428571432,193.02365623967242,2001297.0,2000539.0,29491572.0,1843223.25,508499.1579974018,2001190.0,391.0,0,1,0,0,480,544,0.508615523115304,0.5764309261973446,15.0,18.0,17.393939393939394,0.6585682358056163,0.43371212121212177,0,0,0,1,1,0,0,0,1.0,17.9375,17.0,17.764705882352942,0,0,0,0,0,0,15,255,17,302,-1,229,15,0,0,0,0,0,0,0,0,0,NORMAL
