,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE, Label
0,192.168.1.12-192.168.1.5-37608-20000,192.168.1.12,192.168.1.5,37608,20000,6, 16/05/2020  14:46:01 ,315.0,1,1,1000,999,997,7,6,2,1000,1000,1000.0,-1.0,999,999,999.0,-1.0,997,997,997.0,-1.0,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,3196825.396825397,3190476.1904761908,3171428.571428572,6349.206349206349,315.0,-1.0,315.0,315.0,0,0,0,0,0,0,0,0,0,0,10,1,2,10,1,4,3174.6031746031745,3174.6031746031745,503.5,7,1000,702.1570337182417,493024.5,502.5,6,999,702.1570337182417,493024.5,499.5,2,997,703.5712472806148,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_ENUMERATE
1,192.168.1.12-192.168.1.5-37612-20000,192.168.1.12,192.168.1.5,37612,20000,6, 16/05/2020  14:46:26 ,175.0,1,1,1000,999,997,7,6,2,1000,1000,1000.0,-1.0,999,999,999.0,-1.0,997,997,997.0,-1.0,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,5754285.714285715,5742857.142857143,5708571.428571427,11428.571428571431,175.0,-1.0,175.0,175.0,0,0,0,0,0,0,0,0,0,0,10,1,2,10,1,4,5714.285714285716,5714.285714285716,503.5,7,1000,702.1570337182417,493024.5,502.5,6,999,702.1570337182417,493024.5,499.5,2,997,703.5712472806148,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_ENUMERATE
2,192.168.1.12-192.168.1.5-37616-20000,192.168.1.12,192.168.1.5,37616,20000,6, 16/05/2020  14:46:47 ,413.0,1,1,1000,999,997,7,6,2,1000,1000,1000.0,-1.0,999,999,999.0,-1.0,997,997,997.0,-1.0,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,2438256.6585956416,2433414.043583535,2418886.198547216,4842.615012106538,413.0,-1.0,413.0,413.0,0,0,0,0,0,0,0,0,0,0,10,1,2,10,1,4,2421.307506053269,2421.307506053269,503.5,7,1000,702.1570337182417,493024.5,502.5,6,999,702.1570337182417,493024.5,499.5,2,997,703.5712472806148,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_ENUMERATE
3,192.168.1.12-192.168.1.5-37620-20000,192.168.1.12,192.168.1.5,37620,20000,6, 16/05/2020  14:47:09 ,182.0,1,1,1000,999,997,7,6,2,1000,1000,1000.0,-1.0,999,999,999.0,-1.0,997,997,997.0,-1.0,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,5532967.032967033,5521978.021978022,5489010.989010989,10989.010989010987,182.0,-1.0,182.0,182.0,0,0,0,0,0,0,0,0,0,0,10,1,2,10,1,4,5494.5054945054935,5494.5054945054935,503.5,7,1000,702.1570337182417,493024.5,502.5,6,999,702.1570337182417,493024.5,499.5,2,997,703.5712472806148,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_ENUMERATE
4,192.168.1.12-192.168.1.5-37624-20000,192.168.1.12,192.168.1.5,37624,20000,6, 16/05/2020  14:47:37 ,71.0,1,1,1000,999,997,7,6,2,1000,1000,1000.0,-1.0,999,999,999.0,-1.0,997,997,997.0,-1.0,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,14183098.591549294,14154929.577464787,14070422.535211267,28169.014084507042,71.0,-1.0,71.0,71.0,0,0,0,0,0,0,0,0,0,0,10,1,2,10,1,4,14084.507042253521,14084.507042253521,503.5,7,1000,702.1570337182417,493024.5,502.5,6,999,702.1570337182417,493024.5,499.5,2,997,703.5712472806148,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_ENUMERATE
5,192.168.1.12-192.168.1.5-37628-20000,192.168.1.12,192.168.1.5,37628,20000,6, 16/05/2020  14:48:05 ,158.0,1,1,1000,999,997,7,6,2,1000,1000,1000.0,-1.0,999,999,999.0,-1.0,997,997,997.0,-1.0,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,6373417.721518988,6360759.493670886,6322784.810126582,12658.227848101267,158.0,-1.0,158.0,158.0,0,0,0,0,0,0,0,0,0,0,10,1,2,10,1,4,6329.113924050634,6329.113924050634,503.5,7,1000,702.1570337182417,493024.5,502.5,6,999,702.1570337182417,493024.5,499.5,2,997,703.5712472806148,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_ENUMERATE
6,192.168.1.12-192.168.1.5-37632-20000,192.168.1.12,192.168.1.5,37632,20000,6, 16/05/2020  14:48:34 ,321.0,1,1,1000,999,997,7,6,2,1000,1000,1000.0,-1.0,999,999,999.0,-1.0,997,997,997.0,-1.0,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,3137071.6510903426,3130841.121495327,3112149.5327102807,6230.529595015576,321.0,-1.0,321.0,321.0,0,0,0,0,0,0,0,0,0,0,10,1,2,10,1,4,3115.264797507788,3115.264797507788,503.5,7,1000,702.1570337182417,493024.5,502.5,6,999,702.1570337182417,493024.5,499.5,2,997,703.5712472806148,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_ENUMERATE
7,192.168.1.12-192.168.1.5-37636-20000,192.168.1.12,192.168.1.5,37636,20000,6, 16/05/2020  14:48:58 ,510.0,1,1,1000,999,997,7,6,2,1000,1000,1000.0,-1.0,999,999,999.0,-1.0,997,997,997.0,-1.0,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,1974509.8039215684,1970588.2352941176,1958823.5294117646,3921.5686274509803,510.0,-1.0,510.0,510.0,0,0,0,0,0,0,0,0,0,0,10,1,2,10,1,4,1960.7843137254904,1960.7843137254904,503.5,7,1000,702.1570337182417,493024.5,502.5,6,999,702.1570337182417,493024.5,499.5,2,997,703.5712472806148,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_ENUMERATE
8,192.168.1.12-192.168.1.5-37640-20000,192.168.1.12,192.168.1.5,37640,20000,6, 16/05/2020  14:49:27 ,179.0,1,1,1000,999,997,7,6,2,1000,1000,1000.0,-1.0,999,999,999.0,-1.0,997,997,997.0,-1.0,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,5625698.324022347,5614525.139664805,5581005.586592179,11173.184357541899,179.0,-1.0,179.0,179.0,0,0,0,0,0,0,0,0,0,0,10,1,2,10,1,4,5586.592178770949,5586.592178770949,503.5,7,1000,702.1570337182417,493024.5,502.5,6,999,702.1570337182417,493024.5,499.5,2,997,703.5712472806148,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_ENUMERATE
9,192.168.1.12-192.168.1.5-37644-20000,192.168.1.12,192.168.1.5,37644,20000,6, 16/05/2020  14:49:49 ,311.0,1,1,1000,999,997,7,6,2,1000,1000,1000.0,-1.0,999,999,999.0,-1.0,997,997,997.0,-1.0,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,3237942.122186495,3231511.2540192925,3212218.649517685,6430.868167202572,311.0,-1.0,311.0,311.0,0,0,0,0,0,0,0,0,0,0,10,1,2,10,1,4,3215.434083601286,3215.434083601286,503.5,7,1000,702.1570337182417,493024.5,502.5,6,999,702.1570337182417,493024.5,499.5,2,997,703.5712472806148,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_ENUMERATE
