,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE,Label
0,192.168.1.2-192.168.1.4-51746-20000,192.168.1.2,192.168.1.4,51746,20000,6, 16/05/2020  14:45:01 ,30015884.0,16,16,128,112,80,112,96,32,8,8,8.0,0.0,7,7,7.0,0.0,5,5,5.0,0.0,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,7.995766508159479,6.9296643070715485,3.731357703807757,1.0661022010879306,968254.3225806452,1015662.52196483,2000448.0,714.0,30015044.0,2001002.933333333,80.83975919475925,2001162.0,2000849.0,30015124.0,2001008.2666666661,222.961709290012,2001335.0,2000638.0,160,16,32,160,16,64,0.5330511005439653,0.5330511005439653,7.5,7,8,0.508000508000762,0.25806451612903225,6.5,6,7,0.508000508000762,0.25806451612903225,3.5,2,5,1.524001524002286,2.3225806451612905,0,0,0,0,0,0,0,0,1,12,32,MASTER,1,129,0,0,0,16,16,NORMAL
1,192.168.1.2-192.168.1.5-50347-20000,192.168.1.2,192.168.1.5,50347,20000,6, 16/05/2020  14:45:01 ,44022765.0,24,25,201,177,129,619,594,494,17,8,8.375,1.837117307087384,16,7,7.375,1.837117307087384,14,5,5.375,1.837117307087384,282,7,24.76,63.34448147497408,281,6,23.76,63.34448147497408,277,2,19.76,63.34448147497408,18.62672642211365,17.513665940792226,14.15176897680098,1.113060481321425,917140.9375,1002214.2757785034,2000287.0,617.0,44021951.0,1913997.8695652173,393525.3620738965,2001190.0,111949.0,44021828.0,1834242.833333333,548464.3950720931,2001570.0,617.0,240,24,48,250,25,100,0.5451724806472288,0.5678880006741966,16.73469387755102,7,282,45.56715534525392,2076.365646258504,15.734693877551019,6,281,45.56715534525392,2076.365646258504,12.714285714285715,2,277,45.39456648836584,2060.666666666667,0,0,0,0,0,0,0,0,1,13,49,MASTER,1,129,0,0,0,24,25,NORMAL
2,192.168.1.2-192.168.1.3-36985-20000,192.168.1.2,192.168.1.3,36985,20000,6, 16/05/2020  14:45:01 ,44022754.0,24,25,201,177,129,619,594,494,17,8,8.375,1.837117307087384,16,7,7.375,1.837117307087384,14,5,5.375,1.837117307087384,282,7,24.76,63.34448147497408,281,6,23.76,63.34448147497408,277,2,19.76,63.34448147497408,18.62673107638836,17.513670316945642,14.151772512914572,1.1130607594427189,917140.7083333335,1001901.1200130279,2000332.0,459.0,44021944.0,1913997.5652173916,391648.0505169296,2001201.0,121116.0,44021827.0,1834242.791666667,547183.4603459538,2001394.0,459.0,240,24,48,250,25,100,0.5451726168699033,0.5678881425728158,16.73469387755102,7,282,45.56715534525392,2076.365646258504,15.734693877551019,6,281,45.56715534525392,2076.365646258504,12.714285714285715,2,277,45.39456648836584,2060.666666666667,0,0,0,0,0,0,0,0,1,11,49,MASTER,1,129,0,0,0,24,25,NORMAL
3,192.168.1.4-192.168.1.2-20000-41401,192.168.1.4,192.168.1.2,20000,41401,6, 16/05/2020  14:45:33 ,26630525.0,17,16,563,546,478,134,118,86,282,7,33.117647058823536,76.07141574939727,281,6,32.117647058823536,76.07141574939727,277,2,28.117647058823533,76.07141574939727,17,5,8.375,2.4186773244895647,16,4,7.375,2.4186773244895647,14,2,5.375,2.4186773244895647,26.172972556868487,24.933793081435685,21.178703761942362,1.2391794754327976,832203.90625,979151.8719656134,2000372.0,228.0,26630525.0,1664407.8125,711996.5049936897,2001230.0,507.0,26629280.0,1775285.333333333,576349.1242867428,2001182.0,135907.0,170,17,68,160,16,32,0.6383651843138655,0.6008142911189321,21.12121212121212,5,282,55.26173946307561,3053.859848484848,20.12121212121212,4,281,55.26173946307561,3053.859848484848,17.09090909090909,2,277,55.039964818963384,3029.3977272727266,0,0,0,0,0,0,0,0,12,1,33,OUTSTATION,1,129,0,0,0,16,17,NORMAL
4,192.168.1.2-192.168.1.5-50347-20000,192.168.1.2,192.168.1.5,50347,20000,6, 16/05/2020  14:45:47 ,12006953.0,7,7,56,49,35,49,42,14,8,8,8.0,0.0,7,7,7.0,0.0,5,5,5.0,0.0,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,8.744933040047712,7.578941968041351,4.080968752022266,1.1659910720063618,923611.7692307692,1037304.6483737035,2000257.0,793.0,12005990.0,2000998.333333333,107.26726745222264,2001166.0,2000884.0,12005787.0,2000964.5,208.847073237812,2001194.0,2000665.0,70,7,14,70,7,28,0.5829955360031809,0.5829955360031809,7.5,7,8,0.5188745216627708,0.2692307692307692,6.5,6,7,0.5188745216627708,0.2692307692307692,3.5,2,5,1.5566235649883124,2.4230769230769234,0,0,0,0,0,0,0,0,1,13,14,MASTER,1,129,0,0,0,7,7,NORMAL
5,192.168.1.2-192.168.1.3-36985-20000,192.168.1.2,192.168.1.3,36985,20000,6, 16/05/2020  14:45:47 ,10006051.0,6,6,48,42,30,42,36,12,8,8,8.0,0.0,7,7,7.0,0.0,5,5,5.0,0.0,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,8.994557393321301,7.795283074211795,4.197460116883274,1.199274319109507,909641.0,1044002.4556024759,2000143.0,915.0,10005111.0,2001022.2,100.29805581365973,2001133.0,2000870.0,10005122.0,2001024.4,94.82773855787134,2001144.0,2000882.0,60,6,12,60,6,24,0.5996371595547535,0.5996371595547535,7.5,7,8,0.5222329678670935,0.2727272727272727,6.5,6,7,0.5222329678670935,0.2727272727272727,3.5,2,5,1.5666989036012806,2.4545454545454546,0,0,0,0,0,0,0,0,1,11,12,MASTER,1,129,0,0,0,6,6,NORMAL
6,192.168.1.3-192.168.1.2-20000-39998,192.168.1.3,192.168.1.2,20000,39998,6, 16/05/2020  14:45:58 ,25654854.0,14,14,98,84,28,109,95,67,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,8,5,7.7857142857142865,0.8017837257372733,7,4,6.7857142857142865,0.8017837257372733,5,2,4.785714285714286,0.8017837257372733,8.068648529436183,6.97723713415013,3.7030029482919686,1.0914113952860538,950179.7777777779,1006240.6171747672,2000360.0,128.0,25654854.0,1973450.3076923082,99394.04383595679,2001479.0,1642648.0,25653880.0,1973375.3846153843,99635.3668997932,2001189.0,1641769.0,140,14,56,140,14,28,0.5457056976430269,0.5457056976430269,7.392857142857142,5,8,0.6852566815265062,0.4695767195767196,6.392857142857142,4,7,0.6852566815265062,0.4695767195767196,3.3928571428571432,2,5,1.5236235005501102,2.321428571428572,0,0,0,0,0,0,0,0,11,1,28,OUTSTATION,1,129,0,0,0,14,14,NORMAL
7,192.168.1.4-192.168.1.2-20000-53344,192.168.1.4,192.168.1.2,20000,53344,6, 16/05/2020  14:46:00 ,21106594.0,12,12,84,72,24,93,81,57,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,8,5,7.75,0.8660254037844386,7,4,6.75,0.8660254037844386,5,2,4.75,0.8660254037844386,8.386004866536021,7.248919460904019,3.83766324400801,1.137085405632003,917678.0,996318.5987179822,2000292.0,192.0,21106594.0,1918781.2727272727,272668.8147757609,2001202.0,1096654.0,21105673.0,1918697.5454545454,272962.38545094954,2001068.0,1095685.0,120,12,48,120,12,24,0.5685427028160015,0.5685427028160015,7.375,5,8,0.7109393663377318,0.5054347826086957,6.375,4,7,0.7109393663377318,0.5054347826086957,3.375,2,5,1.5269321331121546,2.3315217391304346,0,0,0,0,0,0,0,0,12,1,24,OUTSTATION,1,129,0,0,0,12,12,NORMAL
8,192.168.1.5-192.168.1.2-20000-39423,192.168.1.5,192.168.1.2,20000,39423,6, 16/05/2020  14:46:01 ,24067154.0,14,14,98,84,28,109,95,67,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,8,5,7.7857142857142865,0.8017837257372733,7,4,6.7857142857142865,0.8017837257372733,5,2,4.785714285714286,0.8017837257372733,8.60093387028645,7.437522525513403,3.947288491194264,1.1634113447730463,891376.074074074,1010572.414476679,2000309.0,198.0,24067154.0,1851319.5384615385,539738.6020151507,2001350.0,54961.0,24066053.0,1851234.8461538462,540000.0713112368,2001177.0,54006.0,140,14,56,140,14,28,0.5817056723865232,0.5817056723865232,7.392857142857142,5,8,0.6852566815265062,0.4695767195767196,6.392857142857142,4,7,0.6852566815265062,0.4695767195767196,3.3928571428571432,2,5,1.5236235005501102,2.321428571428572,0,0,0,0,0,0,0,0,13,1,28,OUTSTATION,1,129,0,0,0,14,14,NORMAL
9,192.168.1.4-192.168.1.2-20000-58407,192.168.1.4,192.168.1.2,20000,58407,6, 16/05/2020  14:46:22 ,19560130.0,13,12,535,522,470,102,90,66,282,7,41.153846153846146,86.13056576485702,281,6,40.153846153846146,86.13056576485702,277,2,36.153846153846146,86.13056576485702,17,5,8.5,2.8123105996832765,16,4,7.5,2.8123105996832765,14,2,5.5,2.8123105996832765,32.566245725360716,31.288135610550647,27.40268086152801,1.2781101148100753,815005.4166666665,974973.8457424928,2000352.0,315.0,19560130.0,1630010.833333333,735742.1892324206,2001287.0,376.0,19559098.0,1778099.8181818181,552751.0414955033,2001099.0,164856.0,130,13,52,120,12,24,0.6646172597012392,0.6134928551088361,25.48,5,282,63.16718557394601,3990.0933333333332,24.48,4,281,63.16718557394601,3990.0933333333332,21.44,2,277,62.90606753989104,3957.1733333333336,0,0,0,0,0,0,0,0,12,1,25,OUTSTATION,1,129,0,0,0,12,13,NORMAL
