,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,192.168.1.2-192.168.1.5-37415-20000-6,192.168.1.5,20000,192.168.1.2,37415,6,16/05/2020 03:08:24 PM,19844389,12,13,648.0,239.0,292.0,17.0,54.0,89.31965069345043,27.0,15.0,18.384615384615387,2.724532422834591,44.69777325973604,1.2598019520782424,826849.5416666665,960264.067682652,2000338.0,151.0,18008956.0,1637177.8181818184,693102.2092267226,2001380.0,403.0,19843512.0,1653625.9999999998,663321.7953241097,2001331.0,151.0,0,1,0,0,384,416,0.6047049369975563,0.6550970150806861,15.0,292.0,34.76923076923076,61.99697263080363,3843.624615384615,0,0,0,1,1,0,0,0,1.0,36.16,54.0,18.384615384615387,0,0,0,0,0,0,12,648,13,239,-1,245,12,0,0,0,0,0,0,0,0,0,NORMAL
1,192.168.1.2-192.168.1.5-57763-20000-6,192.168.1.5,20000,192.168.1.2,57763,6,16/05/2020 02:47:09 PM,26059267,16,17,716.0,311.0,292.0,17.0,44.74999999999999,78.25811991949034,27.0,15.0,18.294117647058822,2.3654995741479468,39.410164529953974,1.2663441377687257,814352.0937499999,986547.1873795041,2000354.0,121.0,26013275.0,1734218.333333333,672095.2555414903,2001243.0,471.0,26058247.0,1628640.4375000002,774503.7630215422,2001338.0,121.0,0,1,0,0,512,544,0.6139850364939275,0.652359101274798,15.0,292.0,30.705882352941174,54.47186063200901,2967.1836007130128,0,0,0,1,1,0,0,0,1.0,31.63636363636364,44.75,18.294117647058822,0,0,0,0,0,0,16,716,17,311,-1,245,16,0,0,0,0,0,0,0,0,0,NORMAL
2,192.168.1.2-192.168.1.4-50358-20000-6,192.168.1.4,20000,192.168.1.2,50358,6,16/05/2020 03:04:19 PM,22450247,14,15,682.0,275.0,292.0,17.0,48.714285714285715,83.25348555551807,27.0,15.0,18.33333333333333,2.5260547066428267,42.627593362335844,1.2917452534041165,801794.5357142857,952571.6972993757,2000643.0,233.0,22011478.0,1693190.6153846157,650818.2972061068,2001349.0,452.0,22449363.0,1603525.9285714286,709702.2751892802,2002016.0,233.0,0,1,0,0,448,480,0.6236011568157802,0.6681440965883361,15.0,292.0,32.46666666666667,57.87187592422165,3349.1540229885054,0,0,0,1,1,0,0,0,1.0,33.586206896551715,48.714285714285715,18.33333333333333,0,0,0,0,0,0,14,682,15,275,-1,245,14,0,0,0,0,0,0,0,0,0,NORMAL
3,192.168.1.2-192.168.1.5-54501-20000-6,192.168.1.5,20000,192.168.1.2,54501,6,16/05/2020 03:00:02 PM,27583728,14,16,238.0,284.0,17.0,17.0,17.0,0.0,18.0,15.0,17.75,0.7745966692414832,18.924200528659505,1.0875977315321554,951163.0344827586,1004131.5819492795,2000414.0,159.0,26012915.0,2000993.4615384613,180.59051995450204,2001358.0,2000745.0,27582780.0,1838852.0,520647.3879476534,2001271.0,159.0,0,1,0,0,448,512,0.5075456080483393,0.5800521234838163,15.0,18.0,17.387096774193548,0.6672040844618543,0.4451612903225812,0,0,0,1,1,0,0,0,1.0,17.966666666666665,17.0,17.75,0,0,0,0,0,0,14,238,16,284,-1,229,14,0,0,0,0,0,0,0,0,0,NORMAL
4,192.168.1.2-192.168.1.3-51721-20000-6,192.168.1.3,20000,192.168.1.2,51721,6,16/05/2020 03:55:30 PM,25160213,15,16,699.0,293.0,292.0,17.0,46.6,80.64188915020708,27.0,15.0,18.3125,2.441823089414956,39.427329172451756,1.2321040366391176,838673.7666666668,981786.7723906696,2000354.0,231.0,24012290.0,1715163.5714285714,712266.175156204,2001258.0,313.0,25159381.0,1677292.066666667,701922.2369933731,2001112.0,231.0,0,1,0,0,480,512,0.5961793725673149,0.6359246640718026,15.0,292.0,31.53125,56.09495657566556,3146.644153225805,0,0,0,1,1,0,0,0,1.0,32.54838709677419,46.6,18.3125,0,0,0,0,0,0,15,699,16,293,-1,245,15,0,0,0,0,0,0,0,0,0,NORMAL
5,192.168.1.2-192.168.1.4-54883-20000-6,192.168.1.4,20000,192.168.1.2,54883,6,16/05/2020 05:14:38 PM,21924674,11,13,187.0,230.0,17.0,17.0,17.0,0.0,18.0,15.0,17.69230769230769,0.8548504142651102,19.019667065517144,1.0946570972959506,953246.6956521737,1017264.6121263109,2000298.0,180.0,20010104.0,2001010.4,220.37352129711758,2001299.0,2000485.0,21923765.0,1826980.416666667,575841.7395557817,2001138.0,180.0,0,1,0,0,352,416,0.5017178362606439,0.5929392610353066,15.0,18.0,17.359999999999996,0.7000000000000004,0.4900000000000005,0,0,0,1,1,0,0,0,1.0,18.08333333333333,17.0,17.69230769230769,0,0,0,0,0,0,11,187,13,230,-1,229,11,0,0,0,0,0,0,0,0,0,NORMAL
6,192.168.1.2-192.168.1.4-43721-20000-6,192.168.1.4,20000,192.168.1.2,43721,6,16/05/2020 05:39:02 PM,30007717,15,17,255.0,302.0,17.0,17.0,17.0,0.0,18.0,15.0,17.764705882352942,0.7524469885568252,18.561891929332713,1.0663923550065473,967990.870967742,1015450.0017767408,2000613.0,148.0,28014474.0,2001033.8571428568,173.20013196960483,2001288.0,2000724.0,30006616.0,1875413.5,500075.4464542325,2001375.0,148.0,0,1,0,0,480,544,0.499871416409319,0.5665209385972282,15.0,18.0,17.393939393939394,0.6585682358056163,0.43371212121212177,0,0,0,1,1,0,0,0,1.0,17.9375,17.0,17.764705882352942,0,0,0,0,0,0,15,255,17,302,-1,229,15,0,0,0,0,0,0,0,0,0,NORMAL
7,192.168.1.2-192.168.1.4-43456-20000-6,192.168.1.4,20000,192.168.1.2,43456,6,16/05/2020 05:54:59 PM,28345849,15,17,255.0,302.0,17.0,17.0,17.0,0.0,18.0,15.0,17.764705882352942,0.7524469885568252,19.650143483089884,1.1289130905904423,914382.2258064519,1003307.1773759923,2000339.0,241.0,28013675.0,2000976.785714286,158.75921708988037,2001231.0,2000640.0,28344952.0,1771559.5000000002,629824.3476579798,2001135.0,241.0,0,1,0,0,480,544,0.5291780112142699,0.5997350793761724,15.0,18.0,17.393939393939394,0.6585682358056163,0.43371212121212177,0,0,0,1,1,0,0,0,1.0,17.9375,17.0,17.764705882352942,0,0,0,0,0,0,15,255,17,302,-1,229,15,0,0,0,0,0,0,0,0,0,NORMAL
8,192.168.1.2-192.168.1.4-55599-20000-6,192.168.1.4,20000,192.168.1.2,55599,6,16/05/2020 03:50:59 PM,20412806,11,13,187.0,230.0,17.0,17.0,17.0,0.0,18.0,15.0,17.69230769230769,0.8548504142651102,20.42835267233716,1.1757325279042972,887513.3043478263,1001135.82174541,2000330.0,240.0,20009986.0,2000998.6,245.20748583824096,2001426.0,2000559.0,20411977.0,1700998.083333333,705884.6699015949,2001151.0,240.0,0,1,0,0,352,416,0.5388774086228028,0.6368551192814942,15.0,18.0,17.359999999999996,0.7000000000000004,0.4900000000000005,0,0,0,1,1,0,0,0,1.0,18.08333333333333,17.0,17.69230769230769,0,0,0,0,0,0,11,187,13,230,-1,229,11,0,0,0,0,0,0,0,0,0,NORMAL
9,192.168.1.2-192.168.1.3-34240-20000-6,192.168.1.3,20000,192.168.1.2,34240,6,16/05/2020 05:36:54 PM,28436556,15,17,255.0,302.0,17.0,17.0,17.0,0.0,18.0,15.0,17.764705882352942,0.7524469885568252,19.58746340449948,1.1253120806893775,917308.2580645159,1001657.7085762705,2000236.0,255.0,28013900.0,2000992.8571428568,148.11526547975373,2001231.0,2000680.0,28435656.0,1777228.5,616285.0220438591,2001114.0,255.0,0,1,0,0,480,544,0.5274900378231456,0.5978220428662318,15.0,18.0,17.393939393939394,0.6585682358056163,0.43371212121212177,0,0,0,1,1,0,0,0,1.0,17.9375,17.0,17.764705882352942,0,0,0,0,0,0,15,255,17,302,-1,229,15,0,0,0,0,0,0,0,0,0,NORMAL
