,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,192.168.1.2-192.168.1.3-51721-20000-6,192.168.1.3,20000,192.168.1.2,51721,6,16/05/2020 03:55:30 PM,25160141,15,16,699.0,293.0,292.0,17.0,46.6,80.64188915020708,27.0,15.0,18.3125,2.441823089414956,39.4274420004244,1.2321075625132625,838671.3666666666,982292.1065402464,2000882.0,189.0,24012184.0,1715156.0,712222.4479144356,2001157.0,452.0,25159900.0,1677326.666666667,701858.345754191,2001137.0,533.0,0,1,0,0,480,512,0.5961810786354497,0.6359264838778129,15.0,292.0,31.53125,56.09495657566556,3146.644153225805,0,0,0,1,1,0,0,0,1.0,32.54838709677419,46.6,18.3125,0,0,0,0,0,0,15,699,16,293,-1,245,15,0,0,0,0,0,0,0,0,0,NORMAL
1,192.168.1.2-192.168.1.3-34240-20000-6,192.168.1.3,20000,192.168.1.2,34240,6,16/05/2020 05:36:54 PM,28436482,15,17,255.0,302.0,17.0,17.0,17.0,0.0,18.0,15.0,17.764705882352942,0.7524469885568252,19.587514376778394,1.1253150090788304,917305.870967742,1002172.8295811969,2000825.0,253.0,28013884.0,2000991.7142857143,130.04521614329792,2001167.0,2000724.0,28436198.0,1777262.375,616173.1618611633,2001223.0,598.0,0,1,0,0,480,544,0.5274914105057018,0.5978235985731287,15.0,18.0,17.393939393939394,0.6585682358056163,0.43371212121212177,0,0,0,1,1,0,0,0,1.0,17.9375,17.0,17.764705882352942,0,0,0,0,0,0,15,255,17,302,-1,229,15,0,0,0,0,0,0,0,0,0,NORMAL
2,192.168.1.2-192.168.1.3-44760-20000-6,192.168.1.3,20000,192.168.1.2,44760,6,16/05/2020 05:11:53 PM,22667725,12,14,204.0,248.0,17.0,17.0,17.0,0.0,18.0,15.0,17.714285714285715,0.8254203058555569,19.94024543706967,1.1470052685040073,906709.0,998060.2633770836,2000892.0,251.0,22010809.0,2000982.636363636,158.31441673281532,2001210.0,2000620.0,22667445.0,1743649.615384615,642254.6183215993,2001143.0,533.0,0,1,0,0,384,448,0.5293870470018496,0.6176182215021577,15.0,18.0,17.370370370370367,0.6877023141843231,0.4729344729344734,0,0,0,1,1,0,0,0,1.0,18.03846153846154,17.0,17.714285714285715,0,0,0,0,0,0,12,204,14,248,-1,229,12,0,0,0,0,0,0,0,0,0,NORMAL
3,192.168.1.1-192.168.1.3-38324-20000-6,192.168.1.3,20000,192.168.1.1,38324,6,16/05/2020 03:44:31 PM,223,0,2,0.0,1027.0,0.0,0.0,0.0,0.0,1010.0,17.0,513.5,702.1570337182417,4605381.1659192825,8968.609865470851,223.0,0.0,223.0,223.0,0.0,0.0,0.0,0.0,0.0,223.0,223.0,0.0,223.0,223.0,0,1,0,0,0,64,0.0,8968.609865470851,17.0,1010.0,348.0,573.3088173052984,328683.0,0,0,0,1,1,0,0,0,0.0,522.0,0.0,513.5,0,0,0,0,0,0,0,0,2,1027,-1,229,0,0,0,0,0,0,0,0,0,0,DNP3_ENUMERATE
4,192.168.1.1-192.168.1.3-38872-20000-6,192.168.1.3,20000,192.168.1.1,38872,6,16/05/2020 04:43:06 PM,197,0,2,0.0,1027.0,0.0,0.0,0.0,0.0,1010.0,17.0,513.5,702.1570337182417,5213197.969543148,10152.284263959393,197.0,0.0,197.0,197.0,0.0,0.0,0.0,0.0,0.0,197.0,197.0,0.0,197.0,197.0,0,1,0,0,0,64,0.0,10152.284263959393,17.0,1010.0,348.0,573.3088173052984,328683.0,0,0,0,1,1,0,0,0,0.0,522.0,0.0,513.5,0,0,0,0,0,0,0,0,2,1027,-1,229,0,0,0,0,0,0,0,0,0,0,DNP3_ENUMERATE
5,192.168.1.1-192.168.1.3-37860-20000-6,192.168.1.3,20000,192.168.1.1,37860,6,16/05/2020 02:54:34 PM,148,0,2,0.0,1027.0,0.0,0.0,0.0,0.0,1010.0,17.0,513.5,702.1570337182417,6939189.189189189,13513.513513513513,148.0,0.0,148.0,148.0,0.0,0.0,0.0,0.0,0.0,148.0,148.0,0.0,148.0,148.0,0,1,0,0,0,64,0.0,13513.513513513513,17.0,1010.0,348.0,573.3088173052984,328683.0,0,0,0,1,1,0,0,0,0.0,522.0,0.0,513.5,0,0,0,0,0,0,0,0,2,1027,-1,229,0,0,0,0,0,0,0,0,0,0,DNP3_ENUMERATE
6,192.168.1.1-192.168.1.3-39336-20000-6,192.168.1.3,20000,192.168.1.1,39336,6,16/05/2020 05:32:41 PM,284,0,2,0.0,1027.0,0.0,0.0,0.0,0.0,1010.0,17.0,513.5,702.1570337182417,3616197.183098592,7042.253521126761,284.0,0.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,284.0,284.0,0.0,284.0,284.0,0,1,0,0,0,64,0.0,7042.253521126761,17.0,1010.0,348.0,573.3088173052984,328683.0,0,0,0,1,1,0,0,0,0.0,522.0,0.0,513.5,0,0,0,0,0,0,0,0,2,1027,-1,229,0,0,0,0,0,0,0,0,0,0,DNP3_ENUMERATE
7,192.168.1.2-192.168.1.3-44019-20000-6,192.168.1.3,20000,192.168.1.2,44019,6,16/05/2020 04:36:38 PM,26511838,14,16,238.0,284.0,17.0,17.0,17.0,0.0,18.0,15.0,17.75,0.7745966692414832,19.689317655003773,1.1315699801726309,914201.3103448277,1000821.4512502112,2000946.0,196.0,26012691.0,2000976.230769231,103.04784798507738,2001256.0,2000857.0,26511593.0,1767439.5333333337,623465.4857895807,2001161.0,430.0,0,1,0,0,448,512,0.5280659907472277,0.6035039894254031,15.0,18.0,17.387096774193548,0.6672040844618543,0.4451612903225812,0,0,0,1,1,0,0,0,1.0,17.966666666666665,17.0,17.75,0,0,0,0,0,0,14,238,16,284,-1,229,14,0,0,0,0,0,0,0,0,0,NORMAL
8,192.168.1.2-192.168.1.3-35391-20000-6,192.168.1.3,20000,192.168.1.2,35391,6,16/05/2020 05:10:37 PM,26430869,16,17,716.0,311.0,292.0,17.0,44.75,78.25811991949034,27.0,15.0,18.294117647058822,2.3654995741479463,38.856081500763366,1.2485401066457558,825964.65625,985482.4358806856,2000870.0,204.0,26012807.0,1734187.133333333,690182.1335053386,2001232.0,30146.0,26430665.0,1651916.5624999998,750377.458394904,2001220.0,599.0,0,1,0,0,512,544,0.6053527789797604,0.6431873276659954,15.0,292.0,30.70588235294117,54.471860632009,2967.1836007130114,0,0,0,1,1,0,0,0,1.0,31.63636363636364,44.75,18.294117647058822,0,0,0,0,0,0,16,716,17,311,-1,245,16,0,0,0,0,0,0,0,0,0,NORMAL
9,192.168.1.2-192.168.1.3-37038-20000-6,192.168.1.3,20000,192.168.1.2,37038,6,16/05/2020 04:27:15 PM,21552090,13,14,665.0,257.0,292.0,17.0,51.15384615384616,86.13056576485702,27.0,15.0,18.357142857142858,2.619663597227201,42.780073765467755,1.2527787328282316,828926.5384615384,986156.3329965579,2000802.0,288.0,20085451.0,1673787.583333333,764203.4156083955,2001180.0,36109.0,21512239.0,1654787.6153846157,741149.1949752243,2001136.0,515.0,0,1,0,0,416,448,0.60318976025063,0.6495889725776015,15.0,292.0,33.535714285714285,59.8284474284025,3579.443121693122,0,0,0,1,1,0,0,0,1.0,34.77777777777778,51.153846153846146,18.357142857142858,0,0,0,0,0,0,13,665,14,257,-1,229,13,0,0,0,0,0,0,0,0,0,NORMAL
