,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE,Label
0,192.168.1.2-192.168.1.3-44772-20000,192.168.1.2,192.168.1.3,44772,20000,6, 16/05/2020  19:05:01 ,26013484.0,14,14,112,98,70,98,84,28,8,8,8.0,0.0,7,7,7.0,0.0,5,5,5.0,0.0,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,8.072736431613697,6.996371574065203,3.7672770014197257,1.0763648575484928,963462.3703703705,1018563.3769253766,2000885.0,231.0,26013091.0,2001007.0,109.56885202160936,2001190.0,2000785.0,26013215.0,2001016.5384615385,141.66193053923328,2001264.0,2000660.0,140,14,28,140,14,56,0.5381824287742465,0.5381824287742465,7.5,7,8,0.5091750772173156,0.25925925925925924,6.5,6,7,0.5091750772173156,0.25925925925925924,3.5,2,5,1.5275252316519468,2.333333333333333,0,0,0,0,0,0,0,0,1,11,28,MASTER,1,129,0,0,0,14,14,NORMAL
1,192.168.1.1-192.168.1.3-40040-20000,192.168.1.1,192.168.1.3,40040,20000,6, 16/05/2020  19:05:27 ,267.0,1,1,1000,999,997,7,6,2,1000,1000,1000.0,-1.0,999,999,999.0,-1.0,997,997,997.0,-1.0,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,3771535.580524345,3764044.943820225,3741573.0337078655,7490.636704119851,267.0,-1.0,267.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,2,10,1,4,3745.3183520599255,3745.3183520599255,503.5,7,1000,702.1570337182417,493024.5,502.5,6,999,702.1570337182417,493024.5,499.5,2,997,703.5712472806148,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_INFO
2,192.168.1.3-192.168.1.2-20000-41209,192.168.1.3,192.168.1.2,20000,41209,6, 16/05/2020  19:05:27 ,25772961.0,16,15,556,540,476,126,111,81,282,7,34.75,78.25811991949034,281,6,33.75,78.25811991949034,277,2,29.75,78.25811991949034,17,5,8.4,2.5014281634983755,16,4,7.4,2.5014281634983755,14,2,5.4,2.5014281634983755,26.46184115205079,25.25903019059393,21.611796952627987,1.202810961456854,859098.7,995023.3903628164,2000824.0,243.0,25772961.0,1718197.4,686152.5758328933,2001089.0,30932.0,25772076.0,1840862.5714285716,524840.5681915685,2001191.0,30977.0,160,16,64,150,15,30,0.6208056575261182,0.5820053039307358,22.0,5,282,56.95846439877629,3244.266666666667,21.0,4,281,56.95846439877629,3244.266666666667,17.967741935483872,2,277,56.728290338517894,3218.0989247311823,0,0,0,0,0,0,0,0,11,1,31,OUTSTATION,1,129,0,0,0,15,16,NORMAL
3,192.168.1.3-192.168.1.1-20000-40042,192.168.1.3,192.168.1.1,20000,40042,6, 16/05/2020  19:05:54 ,77.0,1,1,7,6,2,1000,999,997,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,1000,1000,1000.0,-1.0,999,999,999.0,-1.0,997,997,997.0,-1.0,13077922.077922078,13051948.051948052,12974025.974025976,25974.02597402597,77.0,-1.0,77.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,4,10,1,2,12987.012987012988,12987.012987012988,503.5,7,1000,702.1570337182417,493024.5,502.5,6,999,702.1570337182417,493024.5,499.5,2,997,703.5712472806148,495012.5,0,0,0,0,0,0,0,0,11,1,2,OUTSTATION,5,130,0,0,0,1,1,DNP3_INFO
4,192.168.1.3-192.168.1.2-20000-37234,192.168.1.3,192.168.1.2,20000,37234,6, 16/05/2020  19:05:54 ,24941862.0,14,14,98,84,28,109,95,67,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,8,5,7.7857142857142865,0.8017837257372733,7,4,6.7857142857142865,0.8017837257372733,5,2,4.785714285714286,0.8017837257372733,8.299300188574534,7.176689535047545,3.8088575744665736,1.12261065352699,923772.6666666665,997203.6628350377,2000865.0,225.0,24941862.0,1918604.7692307688,296760.04777349264,2001140.0,930928.0,24940937.0,1918533.6153846157,297036.7232008916,2001109.0,929936.0,140,14,56,140,14,28,0.561305326763495,0.561305326763495,7.392857142857142,5,8,0.6852566815265062,0.4695767195767196,6.392857142857142,4,7,0.6852566815265062,0.4695767195767196,3.3928571428571432,2,5,1.5236235005501102,2.321428571428572,0,0,0,0,0,0,0,0,11,1,28,OUTSTATION,1,129,0,0,0,14,14,NORMAL
5,192.168.1.1-192.168.1.3-40044-20000,192.168.1.1,192.168.1.3,40044,20000,6, 16/05/2020  19:06:21 ,194.0,1,1,1000,999,997,7,6,2,1000,1000,1000.0,-1.0,999,999,999.0,-1.0,997,997,997.0,-1.0,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,5190721.649484537,5180412.37113402,5149484.5360824745,10309.278350515464,194.0,-1.0,194.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,2,10,1,4,5154.639175257732,5154.639175257732,503.5,7,1000,702.1570337182417,493024.5,502.5,6,999,702.1570337182417,493024.5,499.5,2,997,703.5712472806148,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_INFO
6,192.168.1.3-192.168.1.2-20000-60876,192.168.1.3,192.168.1.2,20000,60876,6, 16/05/2020  19:06:21 ,28099896.0,18,17,570,552,480,142,125,91,282,7,31.66666666666667,74.05641728558349,281,6,30.66666666666667,74.05641728558349,277,2,26.66666666666667,74.05641728558349,17,5,8.352941176470589,2.3436397032870757,16,4,7.352941176470589,2.343639703287076,14,2,5.352941176470588,2.343639703287076,25.338172070103035,24.09261585879179,20.32035990453488,1.2455562113112446,826467.5294117647,994763.9092509319,2000869.0,188.0,28099896.0,1652935.0588235294,768429.8692787838,2001211.0,445.0,28098894.0,1756180.875,660878.0074495721,2001140.0,42048.0,180,18,72,170,17,34,0.6405717658172115,0.6049844454940331,20.34285714285714,5,282,53.70778389042103,2884.526050420168,19.34285714285714,4,281,53.70778389042103,2884.526050420168,16.314285714285713,2,277,53.493689253181685,2861.574789915966,0,0,0,0,0,0,0,0,11,1,35,OUTSTATION,1,129,0,0,0,17,18,NORMAL
7,192.168.1.1-192.168.1.3-40046-20000,192.168.1.1,192.168.1.3,40046,20000,6, 16/05/2020  19:06:50 ,91.0,1,1,1000,999,997,7,6,2,1000,1000,1000.0,-1.0,999,999,999.0,-1.0,997,997,997.0,-1.0,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,11065934.065934066,11043956.043956043,10978021.978021976,21978.021978021974,91.0,-1.0,91.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,2,10,1,4,10989.010989010987,10989.010989010987,503.5,7,1000,702.1570337182417,493024.5,502.5,6,999,702.1570337182417,493024.5,499.5,2,997,703.5712472806148,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_INFO
8,192.168.1.3-192.168.1.2-20000-34265,192.168.1.3,192.168.1.2,20000,34265,6, 16/05/2020  19:06:50 ,19262322.0,11,11,77,66,22,85,74,52,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,8,5,7.727272727272727,0.9045340337332908,7,4,6.727272727272728,0.9045340337332908,5,2,4.727272727272728,0.9045340337332908,8.410201013148882,7.268074949634836,3.8416967590926987,1.1421260635140456,917253.4285714284,998112.4146560631,2000783.0,210.0,19262322.0,1926232.2,236109.89550292038,2001065.0,1254252.0,19261632.0,1926163.2,236346.0357967623,2001122.0,1253511.0,110,11,44,110,11,22,0.5710630317570228,0.5710630317570228,7.363636363636362,5,8,0.7267314002700916,0.5281385281385281,6.363636363636362,4,7,0.7267314002700916,0.5281385281385281,3.363636363636364,2,5,1.5289415743128767,2.337662337662338,0,0,0,0,0,0,0,0,11,1,22,OUTSTATION,1,129,0,0,0,11,11,NORMAL
9,192.168.1.1-192.168.1.3-40048-20000,192.168.1.1,192.168.1.3,40048,20000,6, 16/05/2020  19:07:11 ,132.0,1,1,1000,999,997,7,6,2,1000,1000,1000.0,-1.0,999,999,999.0,-1.0,997,997,997.0,-1.0,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,7628787.878787877,7613636.363636362,7568181.818181817,15151.515151515148,132.0,-1.0,132.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,2,10,1,4,7575.757575757574,7575.757575757574,503.5,7,1000,702.1570337182417,493024.5,502.5,6,999,702.1570337182417,493024.5,499.5,2,997,703.5712472806148,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_INFO
