,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE, Label
0,192.168.1.4-192.168.1.2-20000-48649,192.168.1.4,192.168.1.2,20000,48649,6, 16/05/2020  19:05:00 ,22638191.0,13,13,91,78,26,101,88,62,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,8,5,7.769230769230768,0.8320502943378437,7,4,6.769230769230768,0.8320502943378437,5,2,4.769230769230768,0.8320502943378437,8.481243046319381,7.332741383796965,3.8872363962297167,1.1485016625224165,905527.64,997936.0593332486,2000491.0,164.0,22638191.0,1886515.916666667,396689.7442019297,2001417.0,626857.0,22637004.0,1886417.0,396922.4378874863,2001141.0,626019.0,130,13,52,130,13,26,0.5742508312612081,0.5742508312612081,7.384615384615384,5,8,0.6972473349922867,0.4861538461538462,6.384615384615384,4,7,0.6972473349922867,0.4861538461538462,3.3846153846153846,2,5,1.525173382325382,2.326153846153846,0,0,0,0,0,0,0,0,12,1,26,OUTSTATION,1,129,0,0,0,13,13,NORMAL
1,192.168.1.2-192.168.1.3-44772-20000,192.168.1.2,192.168.1.3,44772,20000,6, 16/05/2020  19:05:01 ,26013993.0,14,14,112,98,70,98,84,28,8,8,8.0,0.0,7,7,7.0,0.0,5,5,5.0,0.0,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,8.072578477283361,6.996234680312246,3.7672032893989016,1.0763437969711147,963481.2222222221,1017968.1415913132,2000356.0,745.0,26012985.0,2000998.8461538462,82.74241773303275,2001141.0,2000855.0,26013172.0,2001013.230769231,163.60784101327675,2001288.0,2000638.0,140,14,28,140,14,56,0.5381718984855574,0.5381718984855574,7.5,7,8,0.5091750772173156,0.25925925925925924,6.5,6,7,0.5091750772173156,0.25925925925925924,3.5,2,5,1.5275252316519468,2.333333333333333,0,0,0,0,0,0,0,0,1,11,28,MASTER,1,129,0,0,0,14,14,NORMAL
2,192.168.1.2-192.168.1.5-33285-20000,192.168.1.2,192.168.1.5,33285,20000,6, 16/05/2020  19:05:01 ,22011698.0,12,12,96,84,60,84,72,24,8,8,8.0,0.0,7,7,7.0,0.0,5,5,5.0,0.0,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,8.177469997998339,7.087140664931892,3.816152665732557,1.090329333066445,957030.3478260869,1021087.6357938407,2000217.0,720.0,22010978.0,2000998.0,33.25657829663178,2001055.0,2000955.0,22010887.0,2000989.7272727275,173.44745077924372,2001357.0,2000746.0,120,12,24,120,12,48,0.5451646665332225,0.5451646665332225,7.5,7,8,0.5107539184552492,0.2608695652173913,6.5,6,7,0.5107539184552492,0.2608695652173913,3.5,2,5,1.5322617553657476,2.347826086956522,0,0,0,0,0,0,0,0,1,13,24,MASTER,1,129,0,0,0,12,12,NORMAL
3,192.168.1.4-192.168.1.2-20000-42852,192.168.1.4,192.168.1.2,20000,42852,6, 16/05/2020  19:05:23 ,21892857.0,14,13,542,528,472,110,97,71,282,7,38.714285714285715,83.25348555551807,281,6,37.714285714285715,83.25348555551807,277,2,33.714285714285715,83.25348555551807,17,5,8.461538461538463,2.6961511028187517,16,4,7.461538461538463,2.6961511028187517,14,2,5.461538461538462,2.6961511028187517,29.781403130710626,28.548124166708803,24.80261027603661,1.2332789640018205,842032.9615384616,997364.8697752084,2000354.0,286.0,21892857.0,1684065.9230769232,734401.5187687933,2001178.0,22824.0,21891718.0,1824309.833333333,568326.7964333122,2001249.0,22920.0,140,14,56,130,13,26,0.6394779813342772,0.5938009826675431,24.14814814814815,5,282,60.87863317460386,3706.2079772079774,23.14814814814815,4,281,60.87863317460386,3706.2079772079774,20.11111111111111,2,277,60.6289682814395,3675.8717948717963,0,0,0,0,0,0,0,0,12,1,27,OUTSTATION,1,129,0,0,0,13,14,NORMAL
4,192.168.1.5-192.168.1.2-20000-34405,192.168.1.5,192.168.1.2,20000,34405,6, 16/05/2020  19:05:24 ,24736712.0,16,15,556,540,476,126,111,81,282,7,34.75,78.25811991949034,281,6,33.75,78.25811991949034,277,2,29.75,78.25811991949034,17,5,8.4,2.5014281634983755,16,4,7.4,2.5014281634983755,14,2,5.4,2.5014281634983755,27.57035777430727,26.31715969365694,22.51713970716884,1.2531980806503304,824557.0666666668,980975.8367737331,2000260.0,182.0,24736712.0,1649114.133333333,734728.3584971938,2001233.0,17743.0,24735715.0,1766836.7857142857,607385.6695945308,2001137.0,18056.0,160,16,64,150,15,30,0.646811912593719,0.6063861680566115,22.0,5,282,56.95846439877629,3244.266666666667,21.0,4,281,56.95846439877629,3244.266666666667,17.967741935483872,2,277,56.728290338517894,3218.0989247311823,0,0,0,0,0,0,0,0,13,1,31,OUTSTATION,1,129,0,0,0,15,16,NORMAL
5,192.168.1.3-192.168.1.2-20000-41209,192.168.1.3,192.168.1.2,20000,41209,6, 16/05/2020  19:05:27 ,25773108.0,16,15,556,540,476,126,111,81,282,7,34.75,78.25811991949034,281,6,33.75,78.25811991949034,277,2,29.75,78.25811991949034,17,5,8.4,2.5014281634983755,16,4,7.4,2.5014281634983755,14,2,5.4,2.5014281634983755,26.461690223778987,25.258886122698122,21.611673687162604,1.202804101080863,859103.6,994563.29393616,2000257.0,196.0,25773108.0,1718207.2,686160.9951395413,2001156.0,30943.0,25772044.0,1840860.2857142857,524840.4367246266,2001167.0,30987.0,160,16,64,150,15,30,0.620802116686897,0.582001984393966,22.0,5,282,56.95846439877629,3244.266666666667,21.0,4,281,56.95846439877629,3244.266666666667,17.967741935483872,2,277,56.728290338517894,3218.0989247311823,0,0,0,0,0,0,0,0,11,1,31,OUTSTATION,1,129,0,0,0,15,16,NORMAL
6,192.168.1.4-192.168.1.2-20000-33896,192.168.1.4,192.168.1.2,20000,33896,6, 16/05/2020  19:05:46 ,25118197.0,14,14,98,84,28,109,95,67,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,8,5,7.7857142857142865,0.8017837257372733,7,4,6.7857142857142865,0.8017837257372733,5,2,4.785714285714286,0.8017837257372733,8.241037364266234,7.1263076724814285,3.782118597127016,1.1147296917848046,930303.5925925927,997191.7235357757,2000344.0,195.0,25118197.0,1932169.0,248117.31864617325,2001302.0,1106385.0,25116845.0,1932065.0,248561.30586671503,2001107.0,1104803.0,140,14,56,140,14,28,0.5573648458924023,0.5573648458924023,7.392857142857142,5,8,0.6852566815265062,0.4695767195767196,6.392857142857142,4,7,0.6852566815265062,0.4695767195767196,3.3928571428571432,2,5,1.5236235005501102,2.321428571428572,0,0,0,0,0,0,0,0,12,1,28,OUTSTATION,1,129,0,0,0,14,14,NORMAL
7,192.168.1.5-192.168.1.2-20000-60809,192.168.1.5,192.168.1.2,20000,60809,6, 16/05/2020  19:05:50 ,26959438.0,15,15,105,90,30,117,102,72,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,8,5,7.8,0.7745966692414836,7,4,6.8,0.7745966692414836,5,2,4.8,0.7745966692414836,8.234593020818906,7.121810180167702,3.7834616582140916,1.1127828406512037,929635.7931034481,997028.5391362169,2000236.0,172.0,26959438.0,1925674.1428571432,281874.9791850873,2001286.0,946329.0,26958254.0,1925589.5714285716,282154.23621125385,2001119.0,945274.0,150,15,60,150,15,30,0.5563914203256017,0.5563914203256017,7.4,5,8,0.6746646676632054,0.4551724137931034,6.4,4,7,0.6746646676632054,0.4551724137931034,3.4,2,5,1.5222487902147743,2.3172413793103455,0,0,0,0,0,0,0,0,13,1,30,OUTSTATION,1,129,0,0,0,15,15,NORMAL
8,192.168.1.3-192.168.1.2-20000-37234,192.168.1.3,192.168.1.2,20000,37234,6, 16/05/2020  19:05:54 ,24941989.0,14,14,98,84,28,109,95,67,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,8,5,7.7857142857142865,0.8017837257372733,7,4,6.7857142857142865,0.8017837257372733,5,2,4.785714285714286,0.8017837257372733,8.299257930071255,7.176652992670312,3.808838180467484,1.1226049374009426,923777.3703703705,996694.0009672805,2000371.0,240.0,24941989.0,1918614.5384615385,296792.7062826891,2001176.0,930829.0,24940942.0,1918534.0,297020.94276638696,2001136.0,929989.0,140,14,56,140,14,28,0.5613024687004713,0.5613024687004713,7.392857142857142,5,8,0.6852566815265062,0.4695767195767196,6.392857142857142,4,7,0.6852566815265062,0.4695767195767196,3.3928571428571432,2,5,1.5236235005501102,2.321428571428572,0,0,0,0,0,0,0,0,11,1,28,OUTSTATION,1,129,0,0,0,14,14,NORMAL
9,192.168.1.4-192.168.1.2-20000-35755,192.168.1.4,192.168.1.2,20000,35755,6, 16/05/2020  19:06:12 ,27372112.0,15,15,105,90,30,117,102,72,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,8,5,7.8,0.7745966692414836,7,4,6.8,0.7745966692414836,5,2,4.8,0.7745966692414836,8.110444674492053,7.014438637398532,3.7264205261179697,1.0960060370935203,943865.9310344828,1000210.1761029648,2000291.0,213.0,27372112.0,1955150.8571428568,171437.27350566135,2001178.0,1359510.0,27371084.0,1955077.4285714286,171844.96286734482,2001099.0,1358020.0,150,15,60,150,15,30,0.5480030185467603,0.5480030185467603,7.4,5,8,0.6746646676632054,0.4551724137931034,6.4,4,7,0.6746646676632054,0.4551724137931034,3.4,2,5,1.5222487902147743,2.3172413793103455,0,0,0,0,0,0,0,0,12,1,30,OUTSTATION,1,129,0,0,0,15,15,NORMAL
