,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,192.168.1.2-192.168.1.4-48649-20000-6,192.168.1.4,20000,192.168.1.2,48649,6,16/05/2020 07:05:00 PM,22638191,12,14,204.0,248.0,17.0,17.0,17.0,0.0,18.0,15.0,17.714285714285715,0.8254203058555569,19.966259671543547,1.1485016625224165,905527.64,997936.0593332488,2000491.0,164.0,22011334.0,2001030.363636364,235.4048736654707,2001417.0,2000717.0,22637168.0,1741320.6153846157,646611.9088450633,2001141.0,164.0,0,1,0,0,384,448,0.5300776903949613,0.6184239721274549,15.0,18.0,17.370370370370367,0.6877023141843231,0.4729344729344734,0,0,0,1,1,0,0,0,1.0,18.03846153846154,17.0,17.714285714285715,0,0,0,0,0,0,12,204,14,248,-1,229,12,0,0,0,0,0,0,0,0,0,NORMAL
1,192.168.1.2-192.168.1.3-49004-20000-6,192.168.1.3,20000,192.168.1.2,49004,6,16/05/2020 07:21:07 PM,28169269,15,17,255.0,302.0,17.0,17.0,17.0,0.0,18.0,15.0,17.764705882352942,0.7524469885568252,19.773321061331057,1.13598971986103,908686.0967741936,1007191.2724012043,2000288.0,238.0,28013252.0,2000946.5714285716,281.34531596097906,2001194.0,2000058.0,28168417.0,1760526.0625,657516.5632862764,2001079.0,238.0,0,1,0,0,480,544,0.5324951811848578,0.6034945386761722,15.0,18.0,17.393939393939394,0.6585682358056163,0.43371212121212177,0,0,0,1,1,0,0,0,1.0,17.9375,17.0,17.764705882352942,0,0,0,0,0,0,15,255,17,302,-1,229,15,0,0,0,0,0,0,0,0,0,NORMAL
2,192.168.1.2-192.168.1.5-44204-20000-6,192.168.1.5,20000,192.168.1.2,44204,6,16/05/2020 07:56:06 PM,27015333,14,16,238.0,284.0,17.0,17.0,17.0,0.0,18.0,15.0,17.75,0.7745966692414832,19.32236037956667,1.1104804815842917,931563.2068965519,997110.4398283779,2000275.0,146.0,26012982.0,2000998.6153846157,219.7170674835944,2001357.0,2000684.0,27014429.0,1800961.933333333,560784.8073854643,2001130.0,146.0,0,1,0,0,448,512,0.518224224739336,0.5922562568449554,15.0,18.0,17.387096774193548,0.6672040844618543,0.4451612903225812,0,0,0,1,1,0,0,0,1.0,17.966666666666665,17.0,17.75,0,0,0,0,0,0,14,238,16,284,-1,229,14,0,0,0,0,0,0,0,0,0,NORMAL
3,192.168.1.2-192.168.1.4-34729-20000-6,192.168.1.4,20000,192.168.1.2,34729,6,16/05/2020 08:22:26 PM,21617046,13,14,665.0,257.0,292.0,17.0,51.153846153846146,86.13056576485702,27.0,15.0,18.357142857142858,2.6196635972272015,42.65152602256571,1.2490143195328354,831424.8461538461,986374.0404717751,2000474.0,158.0,20010449.0,1667537.4166666663,761872.3711424802,2001285.0,34789.0,21616113.0,1662777.9230769232,738210.3768169638,2001114.0,158.0,0,1,0,0,416,448,0.6013772649602541,0.6476370545725814,15.0,292.0,33.535714285714285,59.8284474284025,3579.4431216931207,0,0,0,1,1,0,0,0,1.0,34.77777777777778,51.153846153846146,18.357142857142858,0,0,0,0,0,0,13,665,14,257,-1,245,13,0,0,0,0,0,0,0,0,0,NORMAL
4,192.168.1.2-192.168.1.4-52794-20000-6,192.168.1.4,20000,192.168.1.2,52794,6,16/05/2020 07:24:01 PM,27042583,14,16,238.0,284.0,17.0,17.0,17.0,0.0,18.0,15.0,17.75,0.7745966692414832,19.30288981640548,1.1093614837014645,932502.8620689651,997198.9583170926,2000410.0,200.0,26013404.0,2001031.0769230768,220.21105843352515,2001428.0,2000712.0,27041498.0,1802766.5333333332,558075.264224391,2001167.0,200.0,0,1,0,0,448,512,0.5177020257273499,0.5916594579741143,15.0,18.0,17.387096774193548,0.6672040844618543,0.4451612903225812,0,0,0,1,1,0,0,0,1.0,17.966666666666665,17.0,17.75,0,0,0,0,0,0,14,238,16,284,-1,229,14,0,0,0,0,0,0,0,0,0,NORMAL
5,192.168.1.2-192.168.1.5-46082-20000-6,192.168.1.5,20000,192.168.1.2,46082,6,16/05/2020 09:04:18 PM,29034891,17,18,733.0,329.0,292.0,17.0,43.11764705882353,76.07141574939727,27.0,15.0,18.277777777777782,2.2959185155543653,36.576682860631365,1.2054462336366272,853967.382352941,986084.2585944152,2000194.0,236.0,28013998.0,1750874.8750000002,675656.1658929662,2001222.0,393.0,29034071.0,1707886.5294117646,677884.688182577,2001076.0,236.0,0,1,0,0,544,576,0.5855024563377903,0.6199437772988368,15.0,292.0,29.97222222222223,52.98166049876456,2807.056349206349,0,0,0,1,1,0,0,0,1.0,30.82857142857143,43.11764705882353,18.277777777777782,0,0,0,0,0,0,17,733,18,329,-1,245,17,0,0,0,0,0,0,0,0,0,NORMAL
6,192.168.1.2-192.168.1.3-48785-20000-6,192.168.1.3,20000,192.168.1.2,48785,6,16/05/2020 08:39:47 PM,20812498,11,13,187.0,230.0,17.0,17.0,17.0,0.0,18.0,15.0,17.69230769230769,0.8548504142651102,20.036037961421066,1.15315326396668,904891.2173913042,995704.5103352224,2000313.0,162.0,20009827.0,2000982.7,215.21413109324,2001262.0,2000676.0,20811543.0,1734295.25,645858.0379492532,2001217.0,162.0,0,1,0,0,352,416,0.5285285793180616,0.6246246846486183,15.0,18.0,17.359999999999996,0.7000000000000004,0.4900000000000005,0,0,0,1,1,0,0,0,1.0,18.08333333333333,17.0,17.69230769230769,0,0,0,0,0,0,11,187,13,230,-1,229,11,0,0,0,0,0,0,0,0,0,NORMAL
7,192.168.1.2-192.168.1.5-46827-20000-6,192.168.1.5,20000,192.168.1.2,46827,6,16/05/2020 08:43:23 PM,28962671,17,18,733.0,329.0,292.0,17.0,43.11764705882353,76.07141574939727,27.0,15.0,18.277777777777782,2.2959185155543653,36.667888814536475,1.2084520795751192,851843.2647058825,983842.2636079271,2000320.0,224.0,28014025.0,1750876.5624999998,669568.7007385147,2001437.0,33146.0,28961560.0,1703621.1764705882,683921.7116098008,2001098.0,224.0,0,1,0,0,544,576,0.5869624386507722,0.6214896409243471,15.0,292.0,29.97222222222223,52.98166049876456,2807.056349206349,0,0,0,1,1,0,0,0,1.0,30.82857142857143,43.11764705882353,18.277777777777782,0,0,0,0,0,0,17,733,18,329,-1,245,17,0,0,0,0,0,0,0,0,0,NORMAL
8,192.168.1.2-192.168.1.3-34846-20000-6,192.168.1.3,20000,192.168.1.2,34846,6,16/05/2020 07:28:52 PM,27442543,14,16,238.0,284.0,17.0,17.0,17.0,0.0,18.0,15.0,17.75,0.7745966692414832,19.021560793400234,1.0931931490459903,946294.5862068966,1001352.3342301905,2000328.0,171.0,26013322.0,2001024.7692307688,187.70773108131598,2001359.0,2000703.0,27441469.0,1829431.2666666661,527110.6606856812,2001180.0,171.0,0,1,0,0,448,512,0.5101568028881288,0.5830363461578615,15.0,18.0,17.387096774193548,0.6672040844618543,0.4451612903225812,0,0,0,1,1,0,0,0,1.0,17.966666666666665,17.0,17.75,0,0,0,0,0,0,14,238,16,284,-1,229,14,0,0,0,0,0,0,0,0,0,NORMAL
9,192.168.1.2-192.168.1.3-42754-20000-6,192.168.1.3,20000,192.168.1.2,42754,6,16/05/2020 08:46:28 PM,20551737,13,14,665.0,257.0,292.0,17.0,51.153846153846146,86.13056576485702,27.0,15.0,18.357142857142858,2.6196635972272015,44.86238803075379,1.3137575670611201,790451.423076923,976268.298014687,2000397.0,204.0,20010684.0,1667557.0,765729.9454120409,2001364.0,18013.0,20550961.0,1580843.1538461538,804992.328860742,2001196.0,204.0,0,1,0,0,416,448,0.6325499396960949,0.6812076273650252,15.0,292.0,33.535714285714285,59.8284474284025,3579.4431216931207,0,0,0,1,1,0,0,0,1.0,34.77777777777778,51.153846153846146,18.357142857142858,0,0,0,0,0,0,13,665,14,257,-1,245,13,0,0,0,0,0,0,0,0,0,NORMAL
