,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,192.168.1.2-192.168.1.4-48649-20000-6,192.168.1.4,20000,192.168.1.2,48649,6,16/05/2020 07:05:00 PM,22638153,12,14,204.0,248.0,17.0,17.0,17.0,0.0,18.0,15.0,17.714285714285715,0.8254203058555569,19.966293186551038,1.1485035903768301,905526.12,998439.4132833552,2001005.0,212.0,22011191.0,2001017.3636363638,177.6914588421864,2001321.0,2000793.0,22637727.0,1741363.6153846157,646509.0232472321,2001217.0,505.0,0,1,0,0,384,448,0.5300785801739214,0.6184250102029084,15.0,18.0,17.370370370370367,0.6877023141843231,0.4729344729344734,0,0,0,1,1,0,0,0,1.0,18.03846153846154,17.0,17.714285714285715,0,0,0,0,0,0,12,204,14,248,-1,229,12,0,0,0,0,0,0,0,0,0,NORMAL
1,192.168.1.2-192.168.1.4-34729-20000-6,192.168.1.4,20000,192.168.1.2,34729,6,16/05/2020 08:22:26 PM,21616903,13,14,665.0,257.0,292.0,17.0,51.153846153846146,86.13056576485702,27.0,15.0,18.357142857142858,2.6196635972272015,42.65180817067088,1.2490225820044618,831419.3461538461,986854.871594722,2000909.0,200.0,20010283.0,1667523.583333333,761854.7278741959,2001246.0,34798.0,21616543.0,1662811.0,738183.4436580337,2001163.0,464.0,0,1,0,0,416,448,0.6013812431873335,0.6476413388171284,15.0,292.0,33.535714285714285,59.8284474284025,3579.4431216931207,0,0,0,1,1,0,0,0,1.0,34.77777777777778,51.153846153846146,18.357142857142858,0,0,0,0,0,0,13,665,14,257,-1,245,13,0,0,0,0,0,0,0,0,0,NORMAL
2,192.168.1.2-192.168.1.4-52794-20000-6,192.168.1.4,20000,192.168.1.2,52794,6,16/05/2020 07:24:01 PM,27042394,14,16,238.0,284.0,17.0,17.0,17.0,0.0,18.0,15.0,17.75,0.7745966692414832,19.303024724808022,1.1093692370579322,932496.3448275862,997830.940298122,2001107.0,212.0,26013287.0,2001022.0769230768,186.21379358971143,2001370.0,2000784.0,27042062.0,1802804.133333333,557996.2965989325,2001319.0,504.0,0,1,0,0,448,512,0.5177056439603682,0.5916635930975638,15.0,18.0,17.387096774193548,0.6672040844618543,0.4451612903225812,0,0,0,1,1,0,0,0,1.0,17.966666666666665,17.0,17.75,0,0,0,0,0,0,14,238,16,284,-1,229,14,0,0,0,0,0,0,0,0,0,NORMAL
3,192.168.1.2-192.168.1.4-57798-20000-6,192.168.1.4,20000,192.168.1.2,57798,6,16/05/2020 07:37:10 PM,30472644,16,18,272.0,320.0,17.0,17.0,17.0,0.0,18.0,15.0,17.777777777777782,0.7320844981409594,19.42726072604661,1.1157548389959204,923413.4545454548,1001747.5747263221,2001013.0,222.0,30015057.0,2001003.8,133.45100759669688,2001274.0,2000805.0,30472422.0,1792495.4117647056,594103.8236497535,2001268.0,495.0,0,1,0,0,512,576,0.5250611007039626,0.5906937382919579,15.0,18.0,17.400000000000002,0.6507913734559689,0.4235294117647064,0,0,0,1,1,0,0,0,1.0,17.91176470588235,17.0,17.777777777777782,0,0,0,0,0,0,16,272,18,320,-1,229,16,0,0,0,0,0,0,0,0,0,NORMAL
4,192.168.1.2-192.168.1.4-54349-20000-6,192.168.1.4,20000,192.168.1.2,54349,6,16/05/2020 09:32:33 PM,22564154,14,15,682.0,275.0,292.0,17.0,48.714285714285715,83.25348555551807,27.0,15.0,18.33333333333333,2.5260547066428267,42.41240331899879,1.2852243429999637,805862.6428571428,980695.4707962672,2000794.0,242.0,22010632.0,1693125.5384615385,741276.4826255919,2001112.0,529.0,22563912.0,1611708.0,774718.537874339,2001107.0,622.0,0,1,0,0,448,480,0.6204531311034307,0.6647712118965329,15.0,292.0,32.46666666666667,57.87187592422166,3349.154022988506,0,0,0,1,1,0,0,0,1.0,33.586206896551715,48.714285714285715,18.33333333333333,0,0,0,0,0,0,14,682,15,275,-1,245,14,0,0,0,0,0,0,0,0,0,NORMAL
5,192.168.1.4-192.168.1.11-20000-38980-6,192.168.1.11,38980,192.168.1.4,20000,6,16/05/2020 08:28:05 PM,115,0,2,0.0,1027.0,0.0,0.0,0.0,0.0,1010.0,17.0,513.5,702.1570337182417,8930434.782608695,17391.304347826088,115.0,0.0,115.0,115.0,0.0,0.0,0.0,0.0,0.0,115.0,115.0,0.0,115.0,115.0,0,1,0,0,0,64,0.0,17391.304347826088,17.0,1010.0,679.0,573.3088173052984,328683.0,0,0,0,1,1,0,0,0,0.0,1018.5,0.0,513.5,0,0,0,0,0,0,0,0,2,1027,-1,243,0,0,0,0,0,0,0,0,0,0,DNP3_INFO
6,192.168.1.4-192.168.1.11-20000-39320-6,192.168.1.11,39320,192.168.1.4,20000,6,16/05/2020 09:41:05 PM,157,0,2,0.0,1027.0,0.0,0.0,0.0,0.0,1010.0,17.0,513.5,702.1570337182417,6541401.273885352,12738.853503184711,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.0,157.0,157.0,0.0,157.0,157.0,0,1,0,0,0,64,0.0,12738.853503184711,17.0,1010.0,679.0,573.3088173052984,328683.0,0,0,0,1,1,0,0,0,0.0,1018.5,0.0,513.5,0,0,0,0,0,0,0,0,2,1027,-1,243,0,0,0,0,0,0,0,0,0,0,DNP3_INFO
7,192.168.1.4-192.168.1.11-20000-39366-6,192.168.1.11,39366,192.168.1.4,20000,6,16/05/2020 09:51:05 PM,130,0,2,0.0,1027.0,0.0,0.0,0.0,0.0,1010.0,17.0,513.5,702.1570337182417,7900000.000000001,15384.615384615388,130.0,0.0,130.0,130.0,0.0,0.0,0.0,0.0,0.0,130.0,130.0,0.0,130.0,130.0,0,1,0,0,0,64,0.0,15384.615384615388,17.0,1010.0,679.0,573.3088173052984,328683.0,0,0,0,1,1,0,0,0,0.0,1018.5,0.0,513.5,0,0,0,0,0,0,0,0,2,1027,-1,243,0,0,0,0,0,0,0,0,0,0,DNP3_INFO
8,192.168.1.4-192.168.1.11-20000-38818-6,192.168.1.11,38818,192.168.1.4,20000,6,16/05/2020 07:53:08 PM,196,0,2,0.0,1027.0,0.0,0.0,0.0,0.0,1010.0,17.0,513.5,702.1570337182417,5239795.918367347,10204.081632653062,196.0,0.0,196.0,196.0,0.0,0.0,0.0,0.0,0.0,196.0,196.0,0.0,196.0,196.0,0,1,0,0,0,64,0.0,10204.081632653062,17.0,1010.0,679.0,573.3088173052984,328683.0,0,0,0,1,1,0,0,0,0.0,1018.5,0.0,513.5,0,0,0,0,0,0,0,0,2,1027,-1,243,0,0,0,0,0,0,0,0,0,0,DNP3_INFO
9,192.168.1.2-192.168.1.4-45293-20000-6,192.168.1.4,20000,192.168.1.2,45293,6,16/05/2020 11:02:22 PM,22493097,12,14,204.0,248.0,17.0,17.0,17.0,0.0,18.0,15.0,17.714285714285715,0.8254203058555569,20.09505405147188,1.15591018880148,899723.88,1000494.571519436,2000842.0,230.0,22010972.0,2000997.4545454544,118.32190299042908,2001197.0,2000837.0,22492821.0,1730217.0000000002,668207.6264353268,2001142.0,477.0,0,1,0,0,384,448,0.5334970102160677,0.6224131785854122,15.0,18.0,17.370370370370367,0.6877023141843231,0.4729344729344734,0,0,0,1,1,0,0,0,1.0,18.03846153846154,17.0,17.714285714285715,0,0,0,0,0,0,12,204,14,248,-1,229,12,0,0,0,0,0,0,0,0,0,NORMAL
