,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,192.168.1.4-192.168.1.11-20002-58807-6,192.168.1.11,58807,192.168.1.4,20002,6,18/05/2020 11:40:01 PM,118407701,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923085,55.37009224648823,26.26518354578981,1.0641199764532208,947261.608,994136.1405101584,2077013.0,261.0,116406012.0,1940100.2,292703.3119263791,2077811.0,351033.0,118407701.0,1850120.328125,501273.3421176943,2077706.0,261.0,0,1,0,0,1952,2080,0.5151691949495751,0.5489507815036456,17.0,292.0,24.62992125984252,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,INIT_DATA
1,192.168.1.4-192.168.1.11-20002-58807-6,192.168.1.11,58807,192.168.1.4,20002,6,18/05/2020 11:42:02 PM,118789871,63,65,1152.0,1994.0,27.0,18.0,18.285714285714292,1.59058288594172,292.0,17.0,30.676923076923085,55.37009224648823,26.483739510079946,1.077532948916158,935353.3149606298,988049.270452689,2082156.0,286.0,116788088.0,1883678.8387096776,410988.80296566937,2082156.0,121942.0,118789871.0,1856091.734375,488136.8379059963,2206995.0,286.0,0,1,0,0,2016,2080,0.5303482482946715,0.5471847006214865,17.0,292.0,24.527131782945727,39.65930642661706,1572.8605862403094,0,0,0,1,1,0,0,0,1.0,24.71875,18.285714285714285,30.676923076923078,0,0,0,0,0,0,63,1152,65,1994,-1,227,63,0,0,0,0,0,0,0,0,0,INIT_DATA
2,192.168.1.4-192.168.1.11-20002-58807-6,192.168.1.11,58807,192.168.1.4,20002,6,18/05/2020 11:44:02 PM,118419035,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923085,55.37009224648823,26.26266967975208,1.064018128504425,947352.28,997703.6159556976,2077370.0,305.0,116403046.0,1940050.7666666668,316606.7667925403,2078078.0,176985.0,118419035.0,1850297.4218749998,514695.4866370344,2078179.0,305.0,0,1,0,0,1952,2080,0.5151198876092852,0.5488982408951399,17.0,292.0,24.62992125984252,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,INIT_DATA
3,192.168.1.4-192.168.1.11-20002-58807-6,192.168.1.11,58807,192.168.1.4,20002,6,18/05/2020 11:46:03 PM,118439725,62,65,1134.0,1994.0,27.0,18.0,18.290322580645164,1.6031433955497774,292.0,17.0,30.676923076923078,55.37009224648825,26.410057942974788,1.0722753704468666,939997.817460317,997715.6369433721,2092389.0,325.0,116438928.0,1908834.8852459013,401536.5865209585,2093054.0,23926.0,118439725.0,1850620.703125,525249.261037404,2205977.0,325.0,0,1,0,0,1984,2080,0.5234730154937459,0.5488023549531207,17.0,292.0,24.578125000000004,39.810893411878716,1584.9072342519687,0,0,0,1,1,0,0,0,1.0,24.771653543307085,18.29032258064516,30.676923076923078,0,0,0,0,0,0,62,1134,65,1994,-1,227,62,0,0,0,0,0,0,0,0,0,INIT_DATA
4,192.168.1.4-192.168.1.11-20002-58807-6,192.168.1.11,58807,192.168.1.4,20002,6,18/05/2020 11:48:03 PM,118541705,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648825,26.235492394849558,1.0629170552254164,948333.64,992090.6822346495,2200956.0,257.0,116540050.0,1942334.1666666663,269822.8975503123,2201786.0,577010.0,118541705.0,1852214.1406249998,489478.19060871657,2201884.0,257.0,0,1,0,0,1952,2080,0.5145868283234158,0.5483302269020005,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,INIT_DATA
5,192.168.1.4-192.168.1.11-20002-58807-6,192.168.1.11,58807,192.168.1.4,20002,6,18/05/2020 11:50:04 PM,118415617,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648825,26.26342773690061,1.0640488407876134,947324.9360000005,989406.2013288965,2077904.0,415.0,116413972.0,1940232.8666666662,256953.19854853122,2078709.0,787970.0,118415617.0,1850244.015625001,482542.3239346675,2078785.0,415.0,0,1,0,0,1952,2080,0.5151347562543207,0.5489140845332926,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,INIT_DATA
6,192.168.1.4-192.168.1.11-20002-58807-6,192.168.1.11,58807,192.168.1.4,20002,6,18/05/2020 11:52:04 PM,118424996,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648825,26.26134773101449,1.0639645704526772,947399.9679999995,995518.2046317592,2071168.0,245.0,116403051.0,1940050.85,301622.9758356617,2072015.0,285955.0,118424996.0,1850390.5625,506251.35054449295,2072087.0,245.0,0,1,0,0,1952,2080,0.5150939587112167,0.5488706117414605,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,INIT_DATA
7,192.168.1.4-192.168.1.11-20002-58807-6,192.168.1.11,58807,192.168.1.4,20002,6,18/05/2020 11:54:05 PM,118497590,62,64,1134.0,1533.0,27.0,18.0,18.290322580645164,1.6031433955497774,292.0,17.0,23.953125,40.05806487472825,22.506786846888613,1.0633127644199345,947980.7199999995,1000360.6649308036,2074157.0,214.0,116495967.0,1909769.9508196719,410501.3875051836,2074862.0,73047.0,118497590.0,1880914.1269841262,480186.73635359725,2204006.0,214.0,0,1,0,0,1984,2048,0.5232173920161582,0.5400953724037763,17.0,292.0,21.14173228346456,28.489687471319748,811.6622922134732,0,0,0,1,1,0,0,0,1.0,21.30952380952381,18.29032258064516,23.953125,0,0,0,0,0,0,62,1134,64,1533,-1,227,62,0,0,0,0,0,0,0,0,0,INIT_DATA
8,192.168.1.4-192.168.1.11-20002-58807-6,192.168.1.11,58807,192.168.1.4,20002,6,18/05/2020 11:56:05 PM,118602005,62,65,1134.0,1994.0,27.0,18.0,18.290322580645164,1.6031433955497774,292.0,17.0,30.676923076923078,55.37009224648823,26.373921756213146,1.0708082042963776,941285.7539682541,990155.30832709,2074982.0,279.0,116600032.0,1911475.9344262297,353203.35258506384,2075764.0,161696.0,118602005.0,1853156.3281250002,491854.1145888704,2205976.0,279.0,0,1,0,0,1984,2080,0.5227567611525623,0.5480514431438153,17.0,292.0,24.578125,39.810893411878716,1584.9072342519687,0,0,0,1,1,0,0,0,1.0,24.771653543307085,18.29032258064516,30.676923076923078,0,0,0,0,0,0,62,1134,65,1994,-1,227,62,0,0,0,0,0,0,0,0,0,INIT_DATA
9,192.168.1.4-192.168.1.11-20002-58807-6,192.168.1.11,58807,192.168.1.4,20002,6,18/05/2020 11:58:06 PM,118439797,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.258065943831358,1.063831610586094,947518.3759999999,989543.4942386042,2101298.0,353.0,116437973.0,1940632.883333333,256192.78656247753,2102029.0,829021.0,118439797.0,1850621.828125,482222.54509854596,2102094.0,353.0,0,1,0,0,1952,2080,0.5150295892519978,0.5488020213340961,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334328,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,INIT_DATA
10,192.168.1.4-192.168.1.11-20002-58807-6,192.168.1.11,58807,192.168.1.4,20002,6,19/05/2020 12:00:06 AM,118729996,62,64,1134.0,1533.0,27.0,18.0,18.290322580645164,1.6031433955497774,292.0,17.0,23.953125,40.05806487472825,22.46273132191464,1.0612314010353374,949839.9680000001,994159.4750451008,2203099.0,340.0,116728121.0,1913575.754098361,368408.22722959815,2203809.0,177720.0,118729996.0,1884603.1111111115,448595.6539174409,2206283.0,340.0,0,1,0,0,1984,2048,0.5221932290808803,0.539038171954457,17.0,292.0,21.141732283464567,28.489687471319748,811.6622922134732,0,0,0,1,1,0,0,0,1.0,21.30952380952381,18.29032258064516,23.953125,0,0,0,0,0,0,62,1134,64,1533,-1,227,62,0,0,0,0,0,0,0,0,0,INIT_DATA
11,192.168.1.4-192.168.1.11-20002-58807-6,192.168.1.11,58807,192.168.1.4,20002,6,19/05/2020 12:02:07 AM,118400707,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.266735045762857,1.0641828346514857,947205.6559999995,1000594.52087262,2076922.0,322.0,116398900.0,1939981.666666667,336084.5173166844,2077780.0,67940.0,118400707.0,1850011.046875,526144.0794151057,2077769.0,322.0,0,1,0,0,1952,2080,0.5151996262995288,0.5489832083519569,17.0,292.0,24.62992125984253,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,INIT_DATA
12,192.168.1.4-192.168.1.11-20002-58807-6,192.168.1.11,58807,192.168.1.4,20002,6,19/05/2020 12:04:07 AM,118785750,63,65,1152.0,1994.0,27.0,18.0,18.285714285714292,1.59058288594172,292.0,17.0,30.676923076923078,55.37009224648823,26.484658302868823,1.0775703314581084,935320.8661417323,988492.3916314719,2074156.0,362.0,116784061.0,1883613.8870967743,413478.83122562437,2074960.0,133738.0,118785750.0,1856027.34375,490688.98249823146,2205923.0,362.0,0,1,0,0,2016,2080,0.5303666475145378,0.5472036839435707,17.0,292.0,24.527131782945727,39.65930642661707,1572.86058624031,0,0,0,1,1,0,0,0,1.0,24.71875,18.285714285714285,30.676923076923078,0,0,0,0,0,0,63,1152,65,1994,-1,227,63,0,0,0,0,0,0,0,0,0,INIT_DATA
13,192.168.1.4-192.168.1.11-20002-58807-6,192.168.1.11,58807,192.168.1.4,20002,6,19/05/2020 12:06:08 AM,118420886,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.26225917613891,1.0640014971683291,947367.0880000005,989999.818311078,2074110.0,322.0,116391945.0,1939865.75,260614.2351376725,2074849.0,677944.0,118420886.0,1850326.34375,484454.0422832473,2074695.0,322.0,0,1,0,0,1952,2080,0.515111835930699,0.54888966123763,17.0,292.0,24.62992125984253,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,INIT_DATA
14,192.168.1.4-192.168.1.11-20002-58807-6,192.168.1.11,58807,192.168.1.4,20002,6,19/05/2020 12:08:09 AM,118492597,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.246365416398124,1.0633575699248117,947940.7760000002,997083.829302998,2077136.0,292.0,116491022.0,1941517.0333333327,308691.61108453374,2078039.0,190014.0,118492597.0,1851446.8281250002,510378.98321443616,2078105.0,292.0,0,1,0,0,1952,2080,0.5148000933762976,0.5485574765485138,17.0,292.0,24.62992125984253,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,INIT_DATA
15,192.168.1.4-192.168.1.11-20002-58807-6,192.168.1.11,58807,192.168.1.4,20002,6,19/05/2020 12:10:09 AM,118399748,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923085,55.37009224648823,26.266947797895646,1.0641914541912707,947197.9839999998,1001854.7493786772,2078177.0,372.0,116397986.0,1939966.433333333,344222.3109368282,2079101.0,11804.0,118399748.0,1849996.0625,531044.7612588829,2078945.0,372.0,0,1,0,0,1952,2080,0.5152037992513295,0.5489876549399413,17.0,292.0,24.62992125984253,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,INIT_DATA
16,192.168.1.4-192.168.1.11-20002-58807-6,192.168.1.11,58807,192.168.1.4,20002,6,19/05/2020 12:12:10 AM,118455644,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923085,55.37009224648823,26.254553138894764,1.063689291157794,947645.1519999999,993289.2187760455,2203188.0,254.0,116453849.0,1940897.4833333332,283420.34437691397,2203902.0,522099.0,118455644.0,1850869.4375,496363.63300721685,2203906.0,254.0,0,1,0,0,1952,2080,0.5149606885763923,0.5487286025814017,17.0,292.0,24.62992125984253,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,INIT_DATA
17,192.168.1.4-192.168.1.11-20002-58807-6,192.168.1.11,58807,192.168.1.4,20002,6,19/05/2020 12:14:10 AM,118148868,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923085,55.37009224648823,26.322723633712684,1.0664511825877163,945190.944,987243.8911707952,2075866.0,288.0,116147054.0,1935784.2333333332,256414.3138934916,2076809.0,774926.0,118148868.0,1846076.0625,481486.8616348531,2076631.0,288.0,0,1,0,0,1952,2080,0.5162977947448468,0.5501533878428696,17.0,292.0,24.62992125984253,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,INIT_DATA
