,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE, Label
0,192.168.1.2-192.168.1.4-58174-20000,192.168.1.2,192.168.1.4,58174,20000,6, 18/05/2020  23:40:01 ,118059003.0,62,64,514,452,328,1336,1272,1016,17,8,8.290322580645162,1.6031433955497776,16,7,7.290322580645161,1.6031433955497778,14,5,5.290322580645161,1.6031433955497778,282,7,20.875,55.784591375402535,281,6,19.875,55.784591375402535,277,2,15.875,55.784591375402535,15.670130637982775,14.602867686422865,11.384138149972351,1.0672629515599077,944472.0240000001,993726.659251925,2001910.0,205.0,118058685.0,1935388.2786885246,303639.9456556581,2002254.0,316996.0,118058759.0,1873948.5555555557,454114.4107353443,2002167.0,391.0,620,62,124,640,64,256,0.5251611348945577,0.54210181666535,14.682539682539682,7,282,40.11935209719136,1609.5624126984128,13.682539682539682,6,281,40.11935209719136,1609.5624126984128,10.666666666666666,2,277,39.973591282245344,1597.888,0,0,0,0,0,0,0,0,1,12,126,MASTER,1,129,0,0,0,62,64,NORMAL
1,192.168.1.11-192.168.1.4-58807-20002,192.168.1.11,192.168.1.4,58807,20002,6, 18/05/2020  23:40:01 ,118407241.0,62,64,514,452,328,1336,1272,1016,17,8,8.290322580645162,1.6031433955497776,16,7,7.290322580645161,1.603143395549778,14,5,5.290322580645161,1.603143395549778,282,7,20.875,55.784591375402535,281,6,19.875,55.784591375402535,277,2,15.875,55.784591375402535,15.624044478833856,14.559920368383553,11.350657178136597,1.0641241104503059,947257.928,994616.8953971931,2077498.0,200.0,118406982.0,1941098.0655737703,290364.1251379532,2077785.0,351019.0,118407009.0,1879476.333333333,446408.2753395653,2077750.0,372.0,620,62,124,640,64,256,0.5236166257771347,0.5405074846731713,14.682539682539682,7,282,40.11935209719136,1609.562412698413,13.682539682539682,6,281,40.11935209719136,1609.562412698413,10.666666666666666,2,277,39.973591282245344,1597.888,0,0,0,0,0,0,0,0,3,12,126,MASTER,1,129,0,0,0,62,64,INIT_DATA
2,192.168.1.2-192.168.1.4-58174-20000,192.168.1.2,192.168.1.4,58174,20000,6, 18/05/2020  23:42:01 ,118059455.0,62,64,514,452,328,1336,1272,1016,17,8,8.290322580645162,1.6031433955497776,16,7,7.290322580645161,1.6031433955497778,14,5,5.290322580645161,1.6031433955497778,282,7,20.875,55.784591375402535,281,6,19.875,55.784591375402535,277,2,15.875,55.784591375402535,15.670070643643069,14.602811778184135,11.384094564895287,1.0672588654589334,944475.64,992517.0740870469,2001128.0,165.0,118059134.0,1935395.6393442624,295414.03774792835,2001556.0,375157.0,118059127.0,1873954.396825397,448827.5303243797,2001575.0,387.0,620,62,124,640,64,256,0.5251591242734434,0.54209974118549,14.682539682539682,7,282,40.11935209719136,1609.5624126984128,13.682539682539682,6,281,40.11935209719136,1609.5624126984128,10.666666666666666,2,277,39.973591282245344,1597.888,0,0,0,0,0,0,0,0,1,12,126,MASTER,1,129,0,0,0,62,64,NORMAL
3,192.168.1.11-192.168.1.4-58807-20002,192.168.1.11,192.168.1.4,58807,20002,6, 18/05/2020  23:42:02 ,118789368.0,64,64,530,466,338,1336,1272,1016,17,8,8.28125,1.5783128424274535,16,7,7.28125,1.5783128424274535,14,5,5.28125,1.5783128424274535,282,7,20.875,55.784591375402535,281,6,19.875,55.784591375402535,277,2,15.875,55.784591375402535,15.708476536384973,14.630939024778714,11.398326489959945,1.0775375116062575,935349.3543307086,988499.7635784618,2082195.0,221.0,118789064.0,1885540.6984126985,407930.0174832979,2082195.0,121963.0,118789069.0,1885540.7777777775,430951.5708373082,2207119.0,370.0,640,64,128,640,64,256,0.5387687558031288,0.5387687558031288,14.578125,7,282,39.810893411878716,1584.9072342519685,13.578125,6,281,39.810893411878716,1584.9072342519685,10.578125,2,277,39.66386510265848,1573.2221948818897,0,0,0,0,0,0,0,0,3,12,128,MASTER,1,129,0,0,0,64,64,INIT_DATA
4,192.168.1.2-192.168.1.4-58174-20000,192.168.1.2,192.168.1.4,58174,20000,6, 18/05/2020  23:44:01 ,118059026.0,62,64,514,452,328,1336,1272,1016,17,8,8.290322580645162,1.6031433955497776,16,7,7.290322580645161,1.6031433955497778,14,5,5.290322580645161,1.6031433955497778,282,7,20.875,55.784591375402535,281,6,19.875,55.784591375402535,277,2,15.875,55.784591375402535,15.670127585162357,14.602864841524275,11.384135932139573,1.0672627436380848,944472.208,991462.7421606331,2001079.0,131.0,118058871.0,1935391.3278688525,287757.5793368856,2001293.0,432795.0,118058616.0,1873946.2857142857,443987.525493658,2001401.0,392.0,620,62,124,640,64,256,0.5251610325838195,0.5421017110542653,14.682539682539682,7,282,40.11935209719136,1609.5624126984128,13.682539682539682,6,281,40.11935209719136,1609.5624126984128,10.666666666666666,2,277,39.973591282245344,1597.888,0,0,0,0,0,0,0,0,1,12,126,MASTER,1,129,0,0,0,62,64,NORMAL
5,192.168.1.11-192.168.1.4-58807-20002,192.168.1.11,192.168.1.4,58807,20002,6, 18/05/2020  23:44:02 ,118418675.0,62,64,514,452,328,1336,1272,1016,17,8,8.290322580645162,1.6031433955497776,16,7,7.290322580645161,1.603143395549778,14,5,5.290322580645161,1.603143395549778,282,7,20.875,55.784591375402535,281,6,19.875,55.784591375402535,277,2,15.875,55.784591375402535,15.622535888026107,14.558514524841629,11.349561207301129,1.0640213631844808,947349.4,998173.9280673581,2077909.0,181.0,118418388.0,1941285.0491803281,314098.91881769913,2078158.0,177012.0,118418487.0,1879658.523809524,461644.84760812,2078171.0,395.0,620,62,124,640,64,256,0.5235660675987128,0.5404552955857681,14.682539682539682,7,282,40.11935209719136,1609.562412698413,13.682539682539682,6,281,40.11935209719136,1609.562412698413,10.666666666666666,2,277,39.973591282245344,1597.888,0,0,0,0,0,0,0,0,3,12,126,MASTER,1,129,0,0,0,62,64,INIT_DATA
6,192.168.1.2-192.168.1.4-58174-20000,192.168.1.2,192.168.1.4,58174,20000,6, 18/05/2020  23:46:01 ,118060291.0,62,64,514,452,328,1336,1272,1016,17,8,8.290322580645162,1.6031433955497776,16,7,7.290322580645161,1.6031433955497778,14,5,5.290322580645161,1.6031433955497778,282,7,20.875,55.784591375402535,281,6,19.875,55.784591375402535,277,2,15.875,55.784591375402535,15.669959681871356,14.602708373808769,11.384013952667624,1.0672513080625898,944482.328,990473.037222308,2001370.0,104.0,118059931.0,1935408.7049180327,280627.4053182941,2001723.0,489949.0,118060076.0,1873969.4603174604,439543.2155002335,2001654.0,468.0,620,62,124,640,64,256,0.5251554055546077,0.5420959025079821,14.682539682539682,7,282,40.11935209719136,1609.5624126984128,13.682539682539682,6,281,40.11935209719136,1609.5624126984128,10.666666666666666,2,277,39.973591282245344,1597.888,0,0,0,0,0,0,0,0,1,12,126,MASTER,1,129,0,0,0,62,64,NORMAL
7,192.168.1.11-192.168.1.4-58807-20002,192.168.1.11,192.168.1.4,58807,20002,6, 18/05/2020  23:46:03 ,118439368.0,63,64,522,459,333,1336,1272,1016,17,8,8.285714285714286,1.5905828859417204,16,7,7.2857142857142865,1.5905828859417206,14,5,5.285714285714286,1.5905828859417206,282,7,20.875,55.784591375402535,281,6,19.875,55.784591375402535,277,2,15.875,55.784591375402535,15.687351523186107,14.615072920686304,11.389793974584535,1.0722786024998041,939994.984126984,998196.2387376863,2092821.0,122.0,118439136.0,1910308.6451612904,398408.213516793,2093027.0,23775.0,118439148.0,1879986.476190476,473560.48468874657,2206108.0,359.0,630,63,126,640,64,256,0.5319177319487216,0.5403608705510823,14.62992125984252,7,282,39.96423066360008,1597.1397325334328,13.62992125984252,6,281,39.96423066360008,1597.1397325334328,10.622047244094489,2,277,39.81782506115728,1585.4591926009243,0,0,0,0,0,0,0,0,3,12,127,MASTER,1,129,0,0,0,63,64,INIT_DATA
8,192.168.1.2-192.168.1.4-58174-20000,192.168.1.2,192.168.1.4,58174,20000,6, 18/05/2020  23:48:01 ,118059300.0,62,64,514,452,328,1336,1272,1016,17,8,8.290322580645162,1.6031433955497776,16,7,7.290322580645161,1.6031433955497778,14,5,5.290322580645161,1.6031433955497778,282,7,20.875,55.784591375402535,281,6,19.875,55.784591375402535,277,2,15.875,55.784591375402535,15.670091216871526,14.602830950208919,11.384109511067743,1.067260266662601,944474.4,989533.5458037141,2001145.0,196.0,118058922.0,1935392.163934426,274053.6775912206,2001354.0,548887.0,118058971.0,1873951.920634921,435516.73277162865,2001493.0,429.0,620,62,124,640,64,256,0.5251598137546132,0.5421004529079878,14.682539682539682,7,282,40.11935209719136,1609.5624126984128,13.682539682539682,6,281,40.11935209719136,1609.5624126984128,10.666666666666666,2,277,39.973591282245344,1597.888,0,0,0,0,0,0,0,0,1,12,126,MASTER,1,129,0,0,0,62,64,NORMAL
9,192.168.1.11-192.168.1.4-58807-20002,192.168.1.11,192.168.1.4,58807,20002,6, 18/05/2020  23:48:03 ,118541276.0,62,64,514,452,328,1336,1272,1016,17,8,8.290322580645162,1.6031433955497776,16,7,7.290322580645161,1.6031433955497778,14,5,5.290322580645161,1.6031433955497778,282,7,20.875,55.784591375402535,281,6,19.875,55.784591375402535,277,2,15.875,55.784591375402535,15.606378321758573,14.543457419844207,11.337822953753257,1.0629209019143675,948330.208,992589.5315431192,2201522.0,205.0,118541055.0,1943295.9836065571,267674.19895459304,2201844.0,576867.0,118540918.0,1881601.8730158731,432762.00252658775,2201924.0,343.0,620,62,124,640,64,256,0.5230245707832604,0.5398963311311075,14.682539682539682,7,282,40.11935209719136,1609.562412698413,13.682539682539682,6,281,40.11935209719136,1609.562412698413,10.666666666666666,2,277,39.973591282245344,1597.888,0,0,0,0,0,0,0,0,3,12,126,MASTER,1,129,0,0,0,62,64,INIT_DATA
