,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE,Label
0,192.168.1.12-192.168.1.5-57624-20003,192.168.1.12,192.168.1.5,57624,20003,6, 18/05/2020  23:40:01 ,74220620.0,39,40,321,282,204,724,684,524,17,8,8.23076923076923,1.4411533842457844,16,7,7.230769230769232,1.4411533842457844,14,5,5.230769230769232,1.4411533842457844,282,7,18.1,50.448653764661216,281,6,17.1,50.448653764661216,277,2,13.1,50.448653764661216,14.07964525222236,13.015251017843829,9.808594969969262,1.0643942343785326,951546.4102564105,999931.7552590215,2071806.0,419.0,74219977.0,1953157.2894736843,273063.4729103966,2072473.0,355025.0,74219890.0,1903074.1025641025,412831.88505764963,2072473.0,419.0,390,39,78,400,40,160,0.5254604448197819,0.5389337895587507,13.227848101265822,7,282,36.03059574757749,1298.2038299253488,12.227848101265822,6,281,36.03059574757749,1298.2038299253488,9.215189873417721,2,277,35.905742304152476,1289.2223304122047,0,0,0,0,0,0,0,0,4,13,79,MASTER,1,129,0,0,0,39,40,INIT_DATA
1,192.168.1.12-192.168.1.5-57624-20003,192.168.1.12,192.168.1.5,57624,20003,6, 18/05/2020  23:41:17 ,74221892.0,40,42,338,298,218,1182,1140,972,17,8,8.45,1.98649285076837,16,7,7.45,1.9864928507683703,14,5,5.45,1.9864928507683703,282,7,28.142857142857146,68.00235699952825,281,6,27.142857142857146,68.00235699952825,277,2,23.142857142857146,68.00235699952825,20.479133029915214,19.374337695406638,16.03300546420994,1.104795334508584,916319.6543209876,983250.3298331656,2069798.0,221.0,74221029.0,1903103.3076923082,333225.93731053075,2070567.0,564952.0,74221161.0,1810272.219512195,527035.3417126081,2070433.0,221.0,400,40,80,420,42,168,0.5389245534188215,0.5658707810897626,18.536585365853654,7,282,49.40340247240717,2440.6961758506463,17.536585365853654,6,281,49.40340247240717,2440.6961758506463,14.51219512195122,2,277,49.211622611535816,2421.7838000602233,0,0,0,0,0,0,0,0,4,13,82,MASTER,1,129,0,0,0,40,42,INIT_DATA
2,192.168.1.12-192.168.1.5-57624-20003,192.168.1.12,192.168.1.5,57624,20003,6, 18/05/2020  23:42:33 ,74267884.0,39,39,321,282,204,273,234,78,17,8,8.23076923076923,1.4411533842457842,16,7,7.230769230769232,1.4411533842457844,14,5,5.230769230769232,1.4411533842457844,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,7.998073568381186,6.947821483644264,3.797065229433493,1.0502520847369234,964517.974025974,995448.879346226,2074651.0,607.0,74267038.0,1954395.7368421047,227437.12501779766,2075488.0,861611.0,74267047.0,1954395.9736842103,227428.20270243255,2075381.0,861871.0,390,39,78,390,39,156,0.5251260423684617,0.5251260423684617,7.615384615384616,7,17,1.1868409365165191,1.4085914085914089,6.615384615384616,6,16,1.1868409365165191,1.4085914085914089,3.615384615384616,2,14,1.915288925549268,3.6683316683316702,0,0,0,0,0,0,0,0,4,13,78,MASTER,1,129,0,0,0,39,39,INIT_DATA
3,192.168.1.12-192.168.1.5-57624-20003,192.168.1.12,192.168.1.5,57624,20003,6, 18/05/2020  23:43:49 ,74286624.0,39,40,321,282,204,724,684,524,17,8,8.23076923076923,1.4411533842457844,16,7,7.230769230769232,1.4411533842457844,14,5,5.230769230769232,1.4411533842457844,282,7,18.1,50.448653764661216,281,6,17.1,50.448653764661216,277,2,13.1,50.448653764661216,14.067135424003114,13.003686908695702,9.799879989161976,1.0634485153074125,952392.6153846155,995391.3199251294,2070452.0,313.0,74285963.0,1954893.7631578946,228966.70461438148,2071318.0,952016.0,74285775.0,1904763.4615384613,386021.1271897355,2071166.0,313.0,390,39,78,400,40,160,0.5249935708479632,0.5384549444594494,13.227848101265822,7,282,36.03059574757749,1298.2038299253488,12.227848101265822,6,281,36.03059574757749,1298.2038299253488,9.215189873417721,2,277,35.905742304152476,1289.2223304122047,0,0,0,0,0,0,0,0,4,13,79,MASTER,1,129,0,0,0,39,40,INIT_DATA
4,192.168.1.12-192.168.1.5-57624-20003,192.168.1.12,192.168.1.5,57624,20003,6, 18/05/2020  23:45:06 ,74272726.0,39,40,321,282,204,724,684,524,17,8,8.23076923076923,1.4411533842457844,16,7,7.230769230769232,1.4411533842457844,14,5,5.230769230769232,1.4411533842457844,282,7,18.1,50.448653764661216,281,6,17.1,50.448653764661216,277,2,13.1,50.448653764661216,14.069767682958073,13.006120173911484,9.801713754252134,1.063647509046591,952214.435897436,995892.4020257344,2070059.0,271.0,74271936.0,1954524.6315789474,234850.7038636802,2070811.0,767074.0,74272015.0,1904410.641025641,389395.4582890392,2070756.0,271.0,390,39,78,400,40,160,0.5250918082635071,0.5385557007830842,13.227848101265822,7,282,36.03059574757749,1298.2038299253488,12.227848101265822,6,281,36.03059574757749,1298.2038299253488,9.215189873417721,2,277,35.905742304152476,1289.2223304122047,0,0,0,0,0,0,0,0,4,13,79,MASTER,1,129,0,0,0,39,40,INIT_DATA
5,192.168.1.12-192.168.1.5-57624-20003,192.168.1.12,192.168.1.5,57624,20003,6, 18/05/2020  23:46:22 ,74306790.0,40,41,338,298,218,731,690,526,17,8,8.45,1.98649285076837,16,7,7.45,1.9864928507683703,14,5,5.45,1.9864928507683703,282,7,17.829268292682926,49.844208509627464,281,6,16.829268292682926,49.844208509627464,277,2,12.829268292682926,49.844208509627464,14.386303055212045,13.296227706781574,10.01254394113916,1.090075348430473,928834.875,989547.9043870844,2074549.0,239.0,74306040.0,1905283.0769230768,359801.63120350696,2075222.0,326397.0,74305966.0,1857649.15,465680.6065125814,2075232.0,239.0,400,40,80,410,41,164,0.5383088140397398,0.5517665343907333,13.197530864197534,7,282,35.58666174042123,1266.41049382716,12.197530864197534,6,281,35.58666174042123,1266.41049382716,9.185185185185183,2,277,35.46727756366109,1257.9277777777775,0,0,0,0,0,0,0,0,4,13,81,MASTER,1,129,0,0,0,40,41,INIT_DATA
6,192.168.1.12-192.168.1.5-57624-20003,192.168.1.12,192.168.1.5,57624,20003,6, 18/05/2020  23:47:38 ,74312945.0,39,40,321,282,204,724,684,524,17,8,8.23076923076923,1.4411533842457842,16,7,7.230769230769232,1.4411533842457844,14,5,5.230769230769232,1.4411533842457844,282,7,18.1,50.448653764661216,281,6,17.1,50.448653764661216,277,2,13.1,50.448653764661216,14.062152966754313,12.999081115679104,9.796408956743674,1.0630718510752064,952730.064102564,1006107.3460435077,2065211.0,256.0,74311999.0,1955578.921052632,309088.784586406,2065957.0,107026.0,74312140.0,1905439.4871794872,437077.7643662071,2065912.0,256.0,390,39,78,400,40,160,0.5248076226826968,0.5382642283925095,13.227848101265822,7,282,36.03059574757749,1298.2038299253488,12.227848101265822,6,281,36.03059574757749,1298.2038299253488,9.215189873417721,2,277,35.90574230415247,1289.2223304122044,0,0,0,0,0,0,0,0,4,13,79,MASTER,1,129,0,0,0,39,40,INIT_DATA
7,192.168.1.12-192.168.1.5-57624-20003,192.168.1.12,192.168.1.5,57624,20003,6, 18/05/2020  23:48:54 ,74333739.0,39,40,321,282,204,724,684,524,17,8,8.23076923076923,1.4411533842457844,16,7,7.230769230769232,1.4411533842457844,14,5,5.230769230769232,1.4411533842457844,282,7,18.1,50.448653764661216,281,6,17.1,50.448653764661216,277,2,13.1,50.448653764661216,14.058219242812473,12.995444773738614,9.793668525136344,1.0627744690738616,952996.6538461541,1004208.8075154778,2204018.0,477.0,74332981.0,1956131.0789473685,294085.86371094955,2204746.0,217015.0,74332973.0,1905973.666666667,427016.06279366935,2204849.0,477.0,390,39,78,400,40,160,0.5246608138465899,0.5381136552272717,13.227848101265822,7,282,36.03059574757749,1298.2038299253488,12.227848101265822,6,281,36.03059574757749,1298.2038299253488,9.215189873417721,2,277,35.90574230415247,1289.2223304122044,0,0,0,0,0,0,0,0,4,13,79,MASTER,1,129,0,0,0,39,40,INIT_DATA
8,192.168.1.12-192.168.1.5-57624-20003,192.168.1.12,192.168.1.5,57624,20003,6, 18/05/2020  23:50:11 ,74125963.0,39,40,321,282,204,724,684,524,17,8,8.23076923076923,1.4411533842457844,16,7,7.230769230769232,1.4411533842457844,14,5,5.230769230769232,1.4411533842457844,282,7,18.1,50.448653764661216,281,6,17.1,50.448653764661216,277,2,13.1,50.448653764661216,14.097624606914046,13.031871167731069,9.821120300319066,1.0657534391829755,950332.8589743591,997445.2374757772,2065691.0,240.0,74125001.0,1950657.921052632,263707.17585695896,2066461.0,424979.0,74125211.0,1900646.435897436,406539.1030905557,2066401.0,240.0,390,39,78,400,40,160,0.52613144465995,0.5396219945230256,13.227848101265822,7,282,36.03059574757749,1298.2038299253488,12.227848101265822,6,281,36.03059574757749,1298.2038299253488,9.215189873417721,2,277,35.90574230415247,1289.2223304122044,0,0,0,0,0,0,0,0,4,13,79,MASTER,1,129,0,0,0,39,40,INIT_DATA
9,192.168.1.12-192.168.1.5-57624-20003,192.168.1.12,192.168.1.5,57624,20003,6, 18/05/2020  23:51:27 ,74123535.0,40,42,338,298,218,1182,1140,972,17,8,8.45,1.98649285076837,16,7,7.45,1.9864928507683703,14,5,5.45,1.9864928507683703,282,7,28.142857142857146,68.00235699952825,281,6,27.142857142857146,68.00235699952825,277,2,23.142857142857146,68.00235699952825,20.50630747710562,19.400046152682812,16.0542801958919,1.106261324422803,915105.3703703705,985392.6689865752,2063689.0,352.0,74122915.0,1900587.564102564,353495.16417631775,2064429.0,453994.0,74122707.0,1807870.9024390243,539007.995317732,2064226.0,352.0,400,40,80,420,42,168,0.5396396704501478,0.5666216539726552,18.536585365853654,7,282,49.40340247240717,2440.6961758506463,17.536585365853654,6,281,49.40340247240717,2440.6961758506463,14.51219512195122,2,277,49.211622611535816,2421.7838000602233,0,0,0,0,0,0,0,0,4,13,82,MASTER,1,129,0,0,0,40,42,INIT_DATA
