,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,192.168.1.2-192.168.1.4-58174-20000-6,192.168.1.2,58174,192.168.1.4,20000,6,18/05/2020 11:40:01 PM,118059481,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.34265349684199,1.0672586304186784,944475.848,993185.8640931477,2001341.0,361.0,116058106.0,1934301.7666666661,306085.52056875045,2002338.0,316963.0,118059481.0,1844679.390625,507712.3512395832,2002102.0,361.0,0,1,0,0,1952,2080,0.5166887020280904,0.5505699283905882,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
1,192.168.1.2-192.168.1.5-34871-20000-6,192.168.1.2,34871,192.168.1.5,20000,6,18/05/2020 11:40:01 PM,118059190,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.342718427934326,1.0672612610674357,944473.5199999996,993336.4793884457,2000842.0,328.0,116057400.0,1934290.0,307138.8205021041,2001514.0,311106.0,118059190.0,1844674.8437499998,508317.0224506731,2001612.0,328.0,0,1,0,0,1952,2080,0.5166899755961395,0.5505712854712962,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
2,192.168.1.2-192.168.1.3-60980-20000-6,192.168.1.2,60980,192.168.1.3,20000,6,18/05/2020 11:40:01 PM,118059984,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.342541262753354,1.0672540833141229,944479.8720000002,993306.7831411931,2000668.0,374.0,116058269.0,1934304.4833333327,307096.101121208,2001614.0,310162.0,118059984.0,1844687.25,508268.7722825894,2001451.0,374.0,0,1,0,0,1952,2080,0.5166865006520753,0.5505675826620474,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
3,192.168.1.2-192.168.1.5-34871-20000-6,192.168.1.2,34871,192.168.1.5,20000,6,18/05/2020 11:42:01 PM,118059953,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.34254817973712,1.0672543635520506,944479.624,992118.7467362188,2000547.0,340.0,116058158.0,1934302.6333333328,299024.5043435923,2001505.0,366186.0,118059953.0,1844686.7656249998,503775.92145569203,2001622.0,340.0,0,1,0,0,1952,2080,0.5166866363228182,0.5505677272292324,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
4,192.168.1.2-192.168.1.4-58174-20000-6,192.168.1.2,58174,192.168.1.4,20000,6,18/05/2020 11:42:01 PM,118059925,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.34255442733849,1.0672546166703052,944479.4,991989.0596140908,2000571.0,308.0,116057796.0,1934296.6,297788.15172536136,2001549.0,375098.0,118059925.0,1844686.328125,503058.05504461564,2001542.0,308.0,0,1,0,0,1952,2080,0.5166867588641955,0.5505678578061098,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
5,192.168.1.2-192.168.1.3-60980-20000-6,192.168.1.2,60980,192.168.1.3,20000,6,18/05/2020 11:42:01 PM,118061687,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.34216128048382,1.0672386885340712,944493.4959999996,992051.366935734,2000420.0,338.0,116059456.0,1934324.2666666668,298574.8421521794,2002074.0,368365.0,118061687.0,1844713.8593750002,503496.4968926816,2001908.0,338.0,0,1,0,0,1952,2080,0.5166790476236376,0.5505596409104335,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
6,192.168.1.2-192.168.1.4-58174-20000-6,192.168.1.2,58174,192.168.1.4,20000,6,18/05/2020 11:44:01 PM,118059651,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.342615564736853,1.0672570936195636,944477.208,990928.2111418622,2000527.0,319.0,116057961.0,1934299.350000001,290054.5421603058,2001315.0,432906.0,118059651.0,1844682.046875,498804.3544381167,2001441.0,319.0,0,1,0,0,1952,2080,0.5166879580221696,0.5505691355973938,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
7,192.168.1.2-192.168.1.3-60980-20000-6,192.168.1.2,60980,192.168.1.3,20000,6,18/05/2020 11:44:01 PM,118059117,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.34273471654036,1.0672619209916672,944472.936,991028.8196422015,2000676.0,404.0,116057267.0,1934287.7833333332,290955.7004645495,2001560.0,426060.0,118059117.0,1844673.703125,499311.590719891,2001463.0,404.0,0,1,0,0,1952,2080,0.5166902950832675,0.5505716259083998,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
8,192.168.1.2-192.168.1.5-34871-20000-6,192.168.1.2,34871,192.168.1.5,20000,6,18/05/2020 11:44:01 PM,118060872,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.342343126179856,1.0672460559159684,944486.9759999999,991058.2145209856,2000509.0,476.0,116059035.0,1934317.25,291419.99284215696,2001651.0,421790.0,118060872.0,1844701.125,499581.0645546959,2001648.0,476.0,0,1,0,0,1952,2080,0.5166826143720165,0.550563441543952,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
9,192.168.1.2-192.168.1.5-34871-20000-6,192.168.1.2,34871,192.168.1.5,20000,6,18/05/2020 11:46:01 PM,118058271,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.342923487334488,1.0672695689402396,944466.1680000002,990061.247245127,2000461.0,441.0,116056834.0,1934280.566666667,284290.8825393377,2001412.0,479351.0,118058271.0,1844660.484375,495714.8556271639,2001492.0,441.0,0,1,0,0,1952,2080,0.5166939976615446,0.5505755712786949,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
