,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:45:01 PM,106311180,65,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6114126472869552,1661112.1875000002,8493230.940461809,57996328.0,2.0,106311180.0,1661112.1875000002,8493230.940461809,57996328.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.6114126472869552,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1589798769070056.5,35323537.56412709,1589798808148592.0,1589798701847675.0,ARP_POISONING
1,192.168.1.2-192.168.1.3-33391-20000-6,192.168.1.2,33391,192.168.1.3,20000,6,18/05/2020 01:45:03 PM,104626632,11,0,198.0,0.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,1.8924435988726085,0.10513575549292267,10462663.2,16841864.314434335,52287853.0,202832.0,104626632.0,10462663.2,16841864.314434335,52287853.0,202832.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,352,0,0.10513575549292267,0.0,18.0,18.0,18.0,0.0,0.0,0,0,0,11,11,0,0,0,0.0,19.63636363636364,18.0,0.0,0,0,0,0,5,55,1,18,0,0,296,0,10,32,0,0,0,0,1589798720717533.0,26187447.511907127,1589798781776862.0,1589798703530140.0,MITM_DOS
2,8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:47:46 PM,68003037,60,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8823135354969514,1152593.847457627,7537414.056337524,57996472.0,2.0,68003037.0,1152593.847457627,7537414.056337524,57996472.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.8823135354969514,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1589798900146847.8,31732814.46033624,1589798934148165.0,1589798866145169.0,ARP_POISONING
3,8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:49:52 PM,115285958,71,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6158599124448444,1646942.2571428572,3484690.6896883864,10179072.0,2.0,115285958.0,1646942.2571428572,3484690.6896883864,10179072.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.6158599124448444,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1589799030585334.0,32575592.57407948,1589799097420086.0,1589798992144676.0,ARP_POISONING
4,8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:51:57 PM,110113630,72,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6538700068284008,1550896.1971830982,3327595.33411076,10010436.0,2.0,110113630.0,1550896.1971830982,3327595.33411076,10010436.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.6538700068284008,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1589799155186867.2,32154879.672327265,1589799217544263.0,1589799117440949.0,ARP_POISONING
5,8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:53:57 PM,111607762,81,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7257559738542199,1395097.025,2790966.048803029,10010270.0,4.0,111607762.0,1395097.025,2790966.048803029,10010270.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.7257559738542199,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1569926792465433.8,177744962680428.62,1589799346185564.0,6579634.0,ARP_POISONING
6,8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:55:57 PM,80462551,71,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8823980736081807,1149465.0142857148,3553861.704117285,25403931.0,7.0,80462551.0,1149465.0142857148,3553861.704117285,25403931.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.8823980736081807,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1589799400635487.5,30602582.62766159,1589799438148192.0,1589799360676105.0,ARP_POISONING
7,8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:58:16 PM,68011407,60,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8822049512958906,1152735.7118644072,7536784.413316362,57992711.0,4.0,68011407.0,1152735.7118644072,7536784.413316362,57992711.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.8822049512958906,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1589799530148703.5,31733259.64779713,1589799564152359.0,1589799496148536.0,ARP_POISONING
8,8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 02:00:22 PM,68011386,60,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8822052236959265,1152735.3559322036,7536191.052553946,57988793.0,8.0,68011386.0,1152735.3559322036,7536191.052553946,57988793.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.8822052236959265,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1589799656150193.0,31732831.14596967,1589799690152564.0,1589799622148776.0,ARP_POISONING
9,8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 02:02:28 PM,68011428,60,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8822046788960233,1152736.0677966105,7536178.596071213,57988699.0,4.0,68011428.0,1152736.0677966105,7536178.596071213,57988699.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.8822046788960233,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1589799782150374.5,31732807.902193297,1589799816152754.0,1589799748149026.0,ARP_POISONING
