,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:45:01 PM,106311769,65,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6208155561779807,1635565.676923077,8429150.416887933,57996574.0,2.0,106301529.0,1660961.3906249998,8493278.343407786,57996574.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.6114092598722537,0.00940629630572698,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,65,0,1,0,-1,-1,0,0,3316329.5,2386070.3148240414,5003536.0,1629123.0,47337850.0,15073712.038391605,57996574.0,36679126.0,ARP_POISONING
1,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:47:46 PM,68003282,59,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8823103567266063,1152597.9999999998,7537430.80227356,57996608.0,2.0,68003267.0,1172470.1206896552,7601701.919209475,57996608.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.8676051841144962,0.014705172612110103,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,59,0,1,0,-1,-1,0,0,5003345.0,0.0,5003345.0,5003345.0,57996608.0,0.0,57996608.0,57996608.0,ARP_POISONING
2,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:49:52 PM,115286071,70,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6158593087971572,1646943.8714285712,3484693.4439373193,10179054.0,1.0,115286032.0,1670812.0579710144,3504454.0885365936,10179054.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.6071852340253663,0.008674074771790947,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,70,0,1,0,-1,-1,0,0,5003381.5,47.37615433949868,5003415.0,5003348.0,9570846.181818182,1027819.8329444536,10179054.0,7241151.0,ARP_POISONING
3,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:51:57 PM,110113509,72,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6629522631959718,1529354.291666667,3304138.1467708987,10010442.0,1.0,109409955.0,1540985.2816901403,3326170.686288064,10010442.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.6538707253439722,0.009081537851999614,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,72,0,1,0,-1,-1,0,0,10010354.0,169.7056274847714,10010474.0,10010234.0,9997166.333333332,39482.45378646002,10010442.0,9891880.0,ARP_POISONING
4,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:53:57 PM,110232311,83,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7620270249074249,1328100.1325301204,3082680.3699757336,9891697.0,5.0,110113830.0,1342851.5853658542,3098701.989336586,9891697.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.7529552746109079,0.009071750296516962,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,83,0,1,0,-1,-1,0,0,1007700.818181818,1977431.547937921,5007307.0,118481.0,9002563.636363637,1589998.3096208796,9891697.0,5377106.0,ARP_POISONING
5,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:55:57 PM,80581730,71,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8935027828268269,1134953.943661971,3716978.982512775,25403870.0,2.0,80462366.0,1149462.371428571,3741791.277232813,25403870.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.8810930219542321,0.012409760872594818,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,71,0,1,0,-1,-1,0,0,2120910.0,4476851.275686127,10129345.0,118518.0,12993947.0,6937357.861244186,25403870.0,9891013.0,ARP_POISONING
6,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:58:16 PM,68011303,59,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8822063003262854,1152733.949152542,7536779.909840875,57992677.0,5.0,68011276.0,1172608.2068965521,7601044.871893237,57992677.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.867502861987514,0.014703438338771425,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,59,0,1,0,-1,-1,0,0,5007347.0,0.0,5007347.0,5007347.0,57992677.0,0.0,57992677.0,57992677.0,ARP_POISONING
7,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 02:00:22 PM,68011215,59,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.882207441816765,1152732.4576271188,7536162.768543688,57988578.0,5.0,68011199.0,1172606.879310345,7600422.187126776,57988578.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.8675039844531522,0.014703457363612747,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,59,0,1,0,-1,-1,0,0,5011274.0,0.0,5011274.0,5011274.0,57988578.0,0.0,57988578.0,57988578.0,ARP_POISONING
8,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 02:02:28 PM,119952102,64,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5418829592498513,1874251.59375,7653220.372321315,57988414.0,5.0,119952088.0,1904001.396825397,7710961.767430063,57988414.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5335462983383151,0.008336660911536174,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,64,0,1,0,-1,-1,0,0,5011435.5,40.30508652763321,5011464.0,5011407.0,18321538.5,19447407.987912472,57988414.0,10010248.0,ARP_POISONING
9,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 02:04:34 PM,114076060,71,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6311578432845595,1606705.0704225346,3433804.8473976017,10010499.0,5.0,114076046.0,1629657.7999999996,3453107.7516258513,10010499.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.6223917621278294,0.008766081156729992,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,71,0,1,0,-1,-1,0,0,5011241.5,136.4716087690037,5011338.0,5011145.0,9459416.090909092,1212657.4353099435,10010499.0,6023527.0,ARP_POISONING
