,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:45:01 PM,106194993,63,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6026649486195644,1685634.8095238097,8559230.31693213,57996739.0,2.0,106184710.0,1712656.6129032252,8626393.153934496,57996739.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5932483087973837,0.009416639822180694,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,63,0,1,0,-1,-1,0,0,3257675.5,2469149.7047592117,5003628.0,1511723.0,47338123.5,15073558.596220087,57996739.0,36679508.0,ARP_POISONING
1,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:47:46 PM,68003280,59,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8823103826756591,1152597.966101695,7537436.326739332,57996645.0,2.0,68003249.0,1172469.8103448271,7601707.536453487,57996645.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.8676052096310648,0.014705173044594318,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,59,0,1,0,-1,-1,0,0,5003347.0,0.0,5003347.0,5003347.0,57996645.0,0.0,57996645.0,57996645.0,ARP_POISONING
2,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:49:52 PM,115285947,70,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6158599712070718,1646942.1,3484691.859250898,10179143.0,2.0,115285902.0,1670810.1739130437,3504452.5440993835,10179143.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.6071858871055638,0.008674084101508054,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,70,0,1,0,-1,-1,0,0,5003349.5,40.30508652763321,5003378.0,5003321.0,9570840.727272727,1027800.5731057064,10179143.0,7241220.0,ARP_POISONING
3,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:51:57 PM,110113425,71,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6538712241490989,1550893.3098591543,3327590.014897013,10010453.0,2.0,109409815.0,1562997.3571428573,3350041.5894942717,10010453.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.6447896793692504,0.009081544779848596,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,71,0,1,0,-1,-1,0,0,10010302.5,108.18733752154179,10010379.0,10010226.0,10010313.333333334,98.2776678598877,10010453.0,10010191.0,ARP_POISONING
4,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:53:57 PM,111607468,80,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7257578856640668,1395093.35,2790953.146768568,10010246.0,4.0,105027866.0,1329466.658227848,2745963.858232389,10010246.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.7167979117669796,0.008959973897087246,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,80,0,1,0,-1,-1,0,0,2274808.888888889,1549124.4430370538,5007301.0,1493715.0,8149146.818181817,1177701.364419845,10010246.0,5496392.0,ARP_POISONING
5,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:55:57 PM,80462257,70,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8824012977910873,1149460.8142857144,3553861.0782145844,25403962.0,7.0,78968899.0,1144476.7971014492,3579650.598296865,25403962.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.8699731104982552,0.012428187292832215,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,70,0,1,0,-1,-1,0,0,3995812.0,5005058.000289774,11503399.0,1493234.0,11894335.0,7552111.080875898,25403962.0,8516847.0,ARP_POISONING
6,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:58:16 PM,68011589,59,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8822025905026274,1152738.7966101696,7536793.6214792775,57992785.0,7.0,68011556.0,1172613.034482759,7601058.709243587,57992785.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.8674992139942503,0.014703376508377126,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,59,0,1,0,-1,-1,0,0,5007479.0,0.0,5007479.0,5007479.0,57992785.0,0.0,57992785.0,57992785.0,ARP_POISONING
7,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 02:00:22 PM,68011356,59,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8822056128391264,1152734.8474576273,7536187.621578367,57988758.0,5.0,68011329.0,1172609.1206896554,7600447.285672458,57988758.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.8675021859584743,0.014703426880652104,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,59,0,1,0,-1,-1,0,0,5011189.0,0.0,5011189.0,5011189.0,57988758.0,0.0,57988758.0,57988758.0,ARP_POISONING
8,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 02:02:28 PM,68011604,59,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8822023959323176,1152739.0508474577,7536191.518453423,57988796.0,6.0,68011592.0,1172613.6551724141,7600451.165411807,57988796.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.8674990226667789,0.014703373265538625,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,59,0,1,0,-1,-1,0,0,5011344.0,0.0,5011344.0,5011344.0,57988796.0,0.0,57988796.0,57988796.0,ARP_POISONING
9,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 02:04:29 PM,110113527,71,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6538706184572581,1550894.746478873,3322781.1707576774,10010441.0,8.0,105676795.0,1509668.5,3328433.0663398304,10010441.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.6447890820897962,0.00908153636746192,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,71,0,1,0,-1,-1,0,0,7510773.5,3534804.8788413345,10010258.0,5011289.0,9509198.0,1058243.9911605136,10010441.0,7375071.0,ARP_POISONING
