,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,192.168.1.2-192.168.1.5-51789-20000-6,192.168.1.2,51789,192.168.1.5,20000,6,18/05/2020 10:33:41 PM,72127586,6,6,108.0,102.0,18.0,18.0,18.0,0.0,17.0,17.0,17.0,0.0,2.911507394688074,0.1663718511250328,6557053.2727272725,6590808.10349728,23219344.0,2005892.0,62077929.0,12415585.8,6197157.345679767,23219344.0,7786755.0,70060153.0,14012030.6,26840701.5733416,62026137.0,2005892.0,0,1,0,0,192,192,0.0831859255625164,0.0831859255625164,17.0,18.0,17.46153846153846,0.5188745216627713,0.2692307692307697,0,0,0,1,1,0,0,0,1.0,18.916666666666668,18.0,17.0,0,0,0,0,0,0,6,108,6,102,-1,645,6,0,10049657.0,0.0,10049657.0,10049657.0,12002099.2,6375863.553124722,23219344.0,7786755.0,REPLAY
1,192.168.1.2-192.168.1.5-51789-20000-6,192.168.1.2,51789,192.168.1.5,20000,6,18/05/2020 06:35:01 PM,118041660,15,15,270.0,273.0,18.0,18.0,18.0,0.0,34.0,17.0,18.2,4.378518992927697,4.600070856340041,0.2541475611237592,4070402.0689655175,3409518.67429494,12840562.0,10531.0,107889006.0,7706357.571428573,5376649.888667087,22438789.0,10531.0,118041660.0,8431547.142857144,8362805.875098757,26197321.0,2004104.0,0,1,0,0,480,480,0.1270737805618796,0.1270737805618796,17.0,34.0,18.096774193548384,2.992822956225748,8.956989247311828,0,0,0,1,1,0,0,0,1.0,18.7,18.0,18.2,0,0,0,0,0,0,15,270,15,273,-1,227,15,0,4391670.428571429,5282168.8686775835,14044809.0,10531.0,7915406.6,2835352.911931626,12840562.0,5036358.0,REPLAY
2,192.168.1.2-192.168.1.5-51789-20000-6,192.168.1.2,51789,192.168.1.5,20000,6,18/05/2020 06:37:01 PM,118027560,8,12,153.0,1126.0,27.0,18.0,19.125,3.181980515339464,664.0,17.0,93.83333333333334,196.1895342094816,10.836452096442562,0.16945194834155686,6211976.842105264,6802357.401730866,22000123.0,198416.0,114006072.0,16286581.714285715,6782733.815033278,26018984.0,9285552.0,99604274.0,9054934.0,15963945.419971405,52966206.0,414573.0,0,1,0,0,256,384,0.06778077933662274,0.1016711690049341,17.0,664.0,61.714285714285715,150.39186908112515,22617.714285714286,0,0,0,1,1,0,0,0,1.0,64.8,19.125,93.83333333333331,0,0,0,0,0,0,8,153,12,1126,-1,227,8,0,3888443.75,3245278.464012436,8299384.0,668426.0,12809223.125,5616737.469223328,22000123.0,5031221.0,REPLAY
3,192.168.1.2-192.168.1.5-51789-20000-6,192.168.1.2,51789,192.168.1.5,20000,6,18/05/2020 06:40:01 PM,49898721,3,2,72.0,35.0,27.0,18.0,24.0,5.196152422706632,18.0,17.0,17.5,0.7071067811865476,2.1443435393865102,0.10020296913021076,12474680.25,13214679.04281428,31812810.0,3239500.0,41843372.0,20921686.0,15402375.270287113,31812810.0,10030562.0,3239500.0,3239500.0,0.0,3239500.0,3239500.0,0,1,0,0,96,64,0.06012178147812646,0.040081187652084314,17.0,27.0,20.833333333333336,4.7923550230201695,22.96666666666666,0,0,0,1,1,0,0,0,0.0,25.0,24.0,17.5,0,0,0,0,0,0,3,72,2,35,-1,227,3,0,8055349.0,0.0,8055349.0,8055349.0,20921686.0,15402375.270287113,31812810.0,10030562.0,REPLAY
4,192.168.1.2-192.168.1.5-51789-20000-6,192.168.1.2,51789,192.168.1.5,20000,6,18/05/2020 06:42:05 PM,117872285,6,4,144.0,513.0,27.0,18.0,24.0,4.6475800154489,292.0,17.0,128.25,135.00709857880312,5.57382933570856,0.08483758501839511,13096920.555555554,19442340.31918333,62000105.0,676527.0,55872180.0,11174436.0,6647980.128036938,22000082.0,4835065.0,84548811.0,28182937.0,34430041.01169749,67087591.0,1641982.0,0,1,0,0,192,128,0.05090255101103707,0.03393503400735805,17.0,292.0,61.36363636363636,91.0717000250602,8294.054545454546,0,0,0,1,1,0,0,0,0.0,67.5,24.0,128.25,0,0,0,0,0,0,6,144,4,513,-1,227,6,0,5713295.0,5757706.061265892,9784608.0,1641982.0,21289139.0,23729717.184544694,62000105.0,5087486.0,REPLAY
5,192.168.1.2-192.168.1.5-51789-20000-6,192.168.1.2,51789,192.168.1.5,20000,6,18/05/2020 06:44:11 PM,96215103,2,5,45.0,805.0,27.0,18.0,22.5,6.363961030678928,292.0,17.0,161.0,137.96013917070394,8.834371876107642,0.07275365074441588,16035850.500000002,13914538.1762706,31962202.0,4735.0,26127937.0,26127937.0,0.0,26127937.0,26127937.0,96215103.0,24053775.75,31184021.01216732,67132038.0,4735.0,0,1,0,0,64,160,0.020786757355547397,0.05196689338886848,17.0,292.0,108.5,127.01855882395408,16133.714285714286,0,0,0,1,1,0,0,0,2.0,124.0,22.5,161.0,0,0,0,0,0,0,2,45,5,805,-1,227,2,0,2247281.0,0.0,2247281.0,2247281.0,23490771.75,9977426.971067954,31962202.0,9041899.0,REPLAY
6,192.168.1.2-192.168.1.5-51789-20000-6,192.168.1.2,51789,192.168.1.5,20000,6,18/05/2020 06:46:17 PM,97886481,9,9,207.0,153.0,45.0,18.0,23.0,9.124143795447331,17.0,17.0,17.0,0.0,3.6777295120048286,0.18388647560024146,5758028.294117647,6253827.286833998,27202362.0,1826605.0,87843107.0,10980388.375,7165403.060950085,27202362.0,2800679.0,90914543.0,11364317.875,21201164.05048199,62857690.0,2005909.0,0,1,0,0,288,288,0.09194323780012073,0.09194323780012073,17.0,45.0,19.84210526315789,6.817161008112272,46.47368421052632,0,0,0,1,1,0,0,0,1.0,20.944444444444443,23.0,17.0,0,0,0,0,0,0,9,207,9,153,-1,235,9,0,7894344.333333334,4429144.062097138,10838980.0,2800679.0,10600492.571428573,7548950.537398645,27202362.0,5028166.0,REPLAY
7,192.168.1.2-192.168.1.5-51789-20000-6,192.168.1.2,51789,192.168.1.5,20000,6,18/05/2020 06:48:27 PM,111368773,10,15,198.0,1161.0,27.0,18.0,19.8,3.794733192202056,292.0,17.0,77.4,106.79941144835155,12.20270245771676,0.22447944182701912,4640365.541666665,3997112.0107919546,14001178.0,8764.0,109128100.0,12125344.444444446,9513422.04595104,34069885.0,2466521.0,80035570.0,5716826.428571429,8451193.751145845,30122855.0,8764.0,0,1,0,0,320,480,0.08979177673080765,0.13468766509621147,17.0,292.0,52.96153846153846,85.08653513652125,7239.718461538464,0,0,0,1,1,0,0,0,1.0,55.08,19.8,77.4,0,0,0,0,0,0,10,198,15,1161,-1,243,10,0,5168910.2,3467688.711125423,10048372.0,1974061.0,8552422.2,3100058.03684235,14001178.0,5026042.0,REPLAY
8,192.168.1.2-192.168.1.5-51789-20000-6,192.168.1.2,51789,192.168.1.5,20000,6,18/05/2020 06:50:48 PM,119142167,7,15,126.0,700.0,18.0,18.0,18.0,0.0,292.0,17.0,46.66666666666666,80.6160801636521,6.932893876271362,0.18465334779415246,5673436.523809523,7411583.81945251,30966894.0,9077.0,100066163.0,16677693.833333332,16642127.712812848,49034372.0,6068931.0,111127753.0,7937696.642857143,15089248.150738984,51914601.0,9077.0,0,1,0,0,224,480,0.058753337934503075,0.12590000985964944,17.0,292.0,36.69565217391304,65.80718030912094,4330.584980237154,0,0,0,1,1,0,0,0,2.0,38.36363636363637,18.0,46.66666666666666,0,0,0,0,0,0,7,126,15,700,-1,252,7,0,8722448.0,2298016.369017636,10053064.0,6068931.0,13282117.57142857,8965702.221540762,30966894.0,7000178.0,REPLAY
9,192.168.1.2-192.168.1.5-51789-20000-6,192.168.1.2,51789,192.168.1.5,20000,6,18/05/2020 06:52:53 PM,111175865,15,5,297.0,529.0,27.0,18.0,19.8,3.7263540204487127,292.0,17.0,105.8,127.23875195867019,7.42967009971094,0.17989515979929638,5851361.315789472,5811071.928377473,20652617.0,250205.0,110526879.0,7894777.07142857,7217933.272319485,20652617.0,1033656.0,103348850.0,25837212.5,22716076.90530372,45138727.0,250205.0,0,1,0,0,492,160,0.13492136984947228,0.044973789949824095,17.0,292.0,40.142857142857146,68.28271063328236,4662.528571428571,0,0,0,1,1,0,0,0,0.0,42.15,19.8,105.8,0,0,0,0,0,0,15,297,5,529,-1,252,15,0,5801054.5,6230424.571641567,14531564.0,250205.0,10996455.875,5721241.554468961,20652617.0,5291213.0,REPLAY
