,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,192.168.1.2-192.168.1.5-51789-20000-6,192.168.1.2,51789,192.168.1.5,20000,6,18/05/2020 06:35:01 PM,118053881,32,35,594.0,1501.0,27.0,18.0,18.5625,2.2134121957708413,292.0,17.0,42.885714285714286,73.80609389337928,17.74613407245798,0.5675374619831429,1788695.1666666672,3165139.427285083,17519173.0,49.0,116034097.0,3743035.3870967724,4190095.595412939,17519173.0,212065.0,118053881.0,3472172.970588236,5655184.85576868,30166406.0,390.0,0,1,0,0,1024,1120,0.2710626684098594,0.2964747935732837,17.0,292.0,31.073529411764714,54.00727319080816,2916.785557506585,0,0,0,1,1,0,0,0,1.0,31.537313432835823,18.5625,42.885714285714286,0,0,0,0,0,0,32,594,35,1501,-1,227,32,0,18593892.666666668,23598222.74920892,45601862.0,1958884.0,13027382.0,3607530.2744715344,17519173.0,8688317.0,NORMAL
1,192.168.1.2-192.168.1.4-48948-20000-6,192.168.1.2,48948,192.168.1.4,20000,6,18/05/2020 06:35:01 PM,116610053,16,17,351.0,2320.0,45.0,18.0,21.9375,7.325469268244867,664.0,17.0,136.47058823529414,212.30229557374636,22.905400789072623,0.28299446875304995,3644064.1562500005,5090422.8605000805,17819341.0,29.0,114605164.0,7640344.266666668,8411100.868247446,31225100.0,2000988.0,116610024.0,7288126.5,9301820.186642503,31940763.0,401.0,0,1,0,0,536,544,0.13720943939541816,0.1457850293576318,17.0,664.0,79.08823529411767,158.96719075389544,25270.56773618538,0,0,0,1,1,0,0,0,1.0,81.48484848484848,21.9375,136.47058823529414,0,0,0,0,0,0,16,351,17,2320,-1,589,16,0,5533618.4,5742543.450290412,15296143.0,41.0,11117741.5,4806958.208922888,17819341.0,5069978.0,NORMAL
2,192.168.1.2-192.168.1.3-40837-20000-6,192.168.1.2,40837,192.168.1.3,20000,6,18/05/2020 06:35:01 PM,116109057,31,41,585.0,1789.0,27.0,18.0,18.870967741935488,2.7048343816688787,664.0,17.0,43.634146341463406,111.09809991569634,20.446294727895342,0.6201066640305243,1635338.8309859156,2207503.032178128,10675231.0,33.0,114108009.0,3803600.3,3113807.4932739236,10914893.0,579059.0,114109196.0,2852729.8999999994,3199028.1233422607,12865432.0,448.0,0,1,0,0,992,1312,0.2669903692353646,0.3531162947951597,17.0,664.0,32.76712328767124,83.7470597407497,7013.570015220699,0,0,0,1,1,0,0,0,1.0,33.22222222222222,18.870967741935484,43.634146341463406,0,0,0,0,0,0,31,585,41,1789,-1,283,31,0,12946078.2,9604718.613641094,26101161.0,2423292.0,8210592.6,1715989.7787288243,10675231.0,6577834.0,NORMAL
3,192.168.1.2-192.168.1.5-51789-20000-6,192.168.1.2,51789,192.168.1.5,20000,6,18/05/2020 06:37:01 PM,118028022,17,21,333.0,1449.0,27.0,18.0,19.58823529411765,3.5365736159701915,664.0,17.0,69.0,152.6453405774313,15.098109498098678,0.3219574415980639,3189946.54054054,4691405.786268982,18418460.0,28.0,116017047.0,7251065.4375,6817405.114239083,22000046.0,981063.0,99609562.0,4980478.1,6277766.617265278,21264012.0,469.0,0,1,0,0,544,672,0.14403359229387067,0.1779238493041932,17.0,664.0,46.15384615384616,113.55071634378284,12893.765182186235,0,0,0,1,1,0,0,0,1.0,47.368421052631575,19.58823529411765,69.0,0,0,0,0,0,0,17,333,21,1449,-1,227,17,0,5216739.833333334,4963654.058590402,12687589.0,37.0,10840947.875,4563396.759645743,18418460.0,5310393.0,NORMAL
4,192.168.1.2-192.168.1.3-40837-20000-6,192.168.1.2,40837,192.168.1.3,20000,6,18/05/2020 06:37:08 PM,108556276,20,27,477.0,2252.0,99.0,18.0,23.850000000000005,18.2994823050156,478.0,17.0,83.40740740740743,124.96315126383922,25.139034798872427,0.4329551614316615,2359919.0434782607,4882127.409939268,25769681.0,16.0,108556260.0,5713487.368421053,7671199.658160929,29792768.0,4871.0,101513152.0,3904352.0,6324467.274892228,25769864.0,362.0,0,1,0,0,640,864,0.18423623890708998,0.2487189225245715,17.0,478.0,57.20833333333335,98.36730090088281,9676.125886524824,0,0,0,1,1,0,0,0,1.0,58.42553191489362,23.85,83.4074074074074,0,0,0,0,0,0,20,477,27,2252,-1,283,20,0,7555147.8,11928485.716084447,28726575.0,36.0,11796756.166666664,8865247.160097577,25769681.0,5051454.0,NORMAL
5,192.168.1.2-192.168.1.4-48948-20000-6,192.168.1.2,48948,192.168.1.4,20000,6,18/05/2020 06:37:03 PM,118328895,10,18,270.0,1665.0,72.0,18.0,27.0,16.97056274847714,292.0,17.0,92.5,111.2343842311995,16.352726018442073,0.23662859354851576,4382551.666666668,9211789.407410046,33384991.0,31.0,79166043.0,8796227.0,10823073.393156737,27631027.0,163972.0,118328895.0,6960523.235294118,11033198.787418785,33384991.0,360.0,0,1,0,0,320,576,0.08451021198161278,0.15211838156690302,17.0,292.0,67.65517241379311,93.01047401159758,8650.948275862069,0,0,0,1,1,0,0,0,1.0,70.07142857142857,27.0,92.5,0,0,0,0,0,0,10,270,18,1665,-1,602,10,0,1945550.0,2722103.485606061,6003064.0,165597.0,18092305.83333333,12210231.090131512,33384991.0,5776275.0,NORMAL
6,192.168.1.2-192.168.1.5-51789-20000-6,192.168.1.2,51789,192.168.1.5,20000,6,18/05/2020 06:39:04 PM,108813379,4,5,99.0,973.0,27.0,18.0,24.75,4.5,292.0,17.0,194.6,112.54243644066,9.851729721581385,0.08271041743864971,13601672.375,17039550.935597274,39868103.0,464.0,70032478.0,23344159.33333333,15175614.121188715,39868103.0,10030581.0,108813379.0,27203344.75,33473722.76687264,70031294.0,464.0,0,1,0,0,128,160,0.03676018552828876,0.04595023191036095,17.0,292.0,108.9,117.48139332582748,13801.877777777778,0,0,0,1,1,0,0,0,1.0,121.0,24.75,194.6,0,0,0,0,0,0,4,99,5,973,-1,227,4,0,1652.0,0.0,1652.0,1652.0,26914337.0,14301635.649376405,39868103.0,10030581.0,NORMAL
7,192.168.1.2-192.168.1.3-40837-20000-6,192.168.1.2,40837,192.168.1.3,20000,6,18/05/2020 06:39:16 PM,109704890,10,14,207.0,1126.0,27.0,18.0,20.7,4.347413023856832,292.0,17.0,80.42857142857143,108.14784345494849,12.150780152097141,0.21876873492147889,4769777.826086956,9831588.759677866,44041433.0,498.0,82320700.0,9146744.444444444,13458361.221864644,44042992.0,2001014.0,109704890.0,8438837.692307692,13280799.47274878,44052547.0,498.0,0,1,0,0,320,448,0.0911536395506162,0.12761509537086269,17.0,292.0,53.99999999999999,85.25794195655126,7268.916666666665,0,0,0,1,1,0,0,0,1.0,56.25,20.7,80.42857142857143,0,0,0,0,0,0,10,207,14,1126,-1,283,10,0,3655481.0,2110992.50157195,6023965.0,1972238.0,13466195.714285715,14973119.827345733,44041433.0,5029293.0,NORMAL
8,192.168.1.2-192.168.1.4-48948-20000-6,192.168.1.2,48948,192.168.1.4,20000,6,18/05/2020 06:39:39 PM,106434624,15,16,324.0,1842.0,45.0,18.0,21.6,7.4527080408974244,664.0,17.0,115.12499999999996,199.53675517725216,20.350520522344308,0.29125860396707004,3547820.8,4819302.836740111,17189785.0,33.0,103047211.0,7360515.071428573,7383518.030138515,27633839.0,2000915.0,106434624.0,7095641.6,7426976.015510666,23175889.0,895.0,0,1,0,0,504,512,0.14093158256471128,0.15032702140235868,17.0,664.0,68.25,146.82950393502816,21558.903225806447,0,0,0,1,1,0,0,0,1.0,70.45161290322581,21.6,115.125,0,0,0,0,0,0,15,324,16,1842,-1,614,15,0,3775447.5000000005,3476517.3221964967,8003998.0,37.0,10299430.875,4504295.09178801,17189785.0,5074131.0,NORMAL
9,192.168.1.2-192.168.1.5-51789-20000-6,192.168.1.2,51789,192.168.1.5,20000,6,18/05/2020 06:41:10 PM,116928033,5,8,135.0,1946.0,45.0,18.0,27.0,11.0227038425243,495.0,17.0,243.25,137.07636036687205,17.797271933925373,0.11117949790534833,9744002.75,16620559.458508145,45128205.0,24.0,116928009.0,29232002.25,17347216.99094498,45129987.0,11796156.0,71799828.0,10257118.285714284,19086979.641805824,52181758.0,383.0,0,1,0,0,160,256,0.0427613453482109,0.06841815255713743,17.0,495.0,169.5,149.88854833868038,22466.57692307692,0,0,0,1,1,0,0,0,1.0,182.53846153846158,27.0,243.25,0,0,0,0,0,0,5,135,8,1946,-1,227,5,0,14395.666666666668,21655.538375513395,39401.0,1782.0,23376969.2,19010556.719800115,45128205.0,7818104.0,NORMAL
10,192.168.1.2-192.168.1.3-40837-20000-6,192.168.1.2,40837,192.168.1.3,20000,6,18/05/2020 06:41:25 PM,118950839,7,9,225.0,1963.0,90.0,18.0,32.142857142857146,25.906425016641283,495.0,17.0,218.11111111111111,148.75772622324902,18.39415357129175,0.13450934969865996,7930055.933333335,16611311.726532942,57506666.0,21.0,118950818.0,19825136.33333333,22549367.76986419,57952286.0,3103721.0,58340452.0,7292556.499999999,14819176.73509254,40623304.0,322.0,0,1,0,0,224,288,0.058847840493163724,0.07566150920549622,17.0,495.0,145.88235294117644,145.75616725928842,21244.86029411765,0,0,0,1,1,0,0,0,1.0,155.0,32.142857142857146,218.11111111111111,0,0,0,0,0,0,7,225,9,1963,-1,303,7,0,1704706.666666667,2430238.8349749357,4493386.0,39237.0,27683249.5,23905250.395994216,57506666.0,5287690.0,NORMAL
11,192.168.1.2-192.168.1.4-48948-20000-6,192.168.1.2,48948,192.168.1.4,20000,6,18/05/2020 06:41:44 PM,118543278,7,10,171.0,1244.0,45.0,18.0,24.42857142857143,10.014275524755364,292.0,17.0,124.4,119.0799917888998,11.936568853781823,0.14340754099949893,7408954.875,10911955.29528164,42336647.0,29.0,118542124.0,19757020.666666664,17362255.334908374,49999942.0,2000988.0,118543278.0,13171475.333333336,17245377.616917815,49373697.0,879.0,0,1,0,0,224,320,0.05905016394097015,0.08435737705852879,17.0,292.0,79.55555555555554,101.02953687046892,10206.967320261441,0,0,0,1,1,0,0,0,1.0,84.23529411764707,24.42857142857143,124.4,0,0,0,0,0,0,7,171,10,1244,-1,614,7,0,1127781.5,1539478.2357670732,2216357.0,39206.0,15617507.714285715,12439502.477191007,42336647.0,7037050.0,NORMAL
