,Unnamed: 0,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE, Label
0,0,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:35:03 ,119134181.0,16,17,137,121,89,1041,1024,956,17,8,8.5625,2.25,16,7,7.5625,2.25,14,5,5.5625,2.25,654,7,61.235294117647065,166.62627696876203,653,6,60.235294117647065,166.62627696876203,649,2,56.235294117647065,166.62627696876203,9.88801022604923,9.611011637373828,8.771621974721093,0.2769985886754029,3722943.15625,3946383.6518121487,14692855.0,7084.0,114108042.0,7607202.8,5962417.447569952,20969162.0,40211.0,117117817.0,7319863.5625,10099407.654470196,39118814.0,11604.0,160,16,32,170,17,68,0.13430234602443775,0.14269624265096514,35.69696969696969,7,654,120.82696430445606,14599.155303030298,34.69696969696969,6,653,120.82696430445606,14599.155303030298,31.66666666666667,2,649,120.60645366922395,14545.916666666668,4007196.444444445,5261248.083038975,14088503.0,0.0,9229934.777777778,2726011.9971459117,14692855.0,5026139.0,1,11,33,MASTER,1,129,0,0,0,16,17,REPLAY
1,1,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:37:08 ,118584908.0,7,8,74,67,53,56,48,16,26,8,10.571428571428571,6.803360514166089,25,7,9.571428571428571,6.803360514166089,23,5,7.571428571428571,6.803360514166089,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,1.0962609171143431,0.9697692728319188,0.5818615636991513,0.1264916442824242,8470350.57142857,11967288.37283972,43507306.0,15129.0,108556316.0,18092719.33333333,14059319.933789538,43507306.0,4010139.0,31090129.0,4441447.0,9448764.793690478,25814532.0,15129.0,70,7,14,80,8,32,0.05902943399846462,0.06746221028395957,8.666666666666666,7,26,4.820590756130958,23.23809523809524,7.666666666666668,6,25,4.820590756130957,23.23809523809524,4.6,2,23,5.30229061013122,28.114285714285717,1547622.666666667,2430733.3459451008,5275597.0,0.0,18216528.666666668,13052606.102912745,43507306.0,9036995.0,1,11,15,MASTER,1,129,0,0,0,7,8,REPLAY
2,2,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:39:15 ,105520119.0,7,2,74,67,53,14,12,4,17,8,10.571428571428571,4.3915503282684,16,7,9.571428571428571,4.3915503282684,14,5,7.571428571428571,4.3915503282684,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,0.8339641845930822,0.7486723929869715,0.540181346838701,0.08529179160611068,13190014.875,16854711.58693868,51043422.0,273158.0,105520119.0,17586686.5,20763863.182256714,57066917.0,273158.0,2011104.0,2011104.0,-1.0,2011104.0,2011104.0,70,7,14,20,2,8,0.06633806013808609,0.0189537314680246,9.777777777777779,7,17,4.116363011742823,16.944444444444443,8.777777777777779,6,16,4.116363011742823,16.944444444444443,6.333333333333332,2,14,4.527692569068709,20.5,1259330.6,2665874.1299762824,6023495.0,0.0,19844693.2,18648749.159358334,51043422.0,5295845.0,1,11,9,MASTER,1,129,0,0,0,7,2,REPLAY
3,3,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:41:37 ,113037058.0,4,1,41,37,29,7,6,2,17,8,10.25,4.5,16,7,9.25,4.5,14,5,7.25,4.5,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,0.42463950185256943,0.38040622040959343,0.2742463449464511,0.04423328144297598,28259264.5,28626855.98832961,61999993.0,3103682.0,107103644.0,35701214.666666664,29949116.71428632,61999993.0,3103682.0,0.0,0.0,0.0,0.0,0.0,40,4,8,10,1,4,0.035386625154380784,0.008846656288595196,9.6,7,17,4.159326868617084,17.299999999999994,8.6,6,16,4.159326868617084,17.299999999999994,6.2,2,14,4.54972526643093,20.7,1034560.6666666664,1791911.638178996,3103682.0,0.0,36644458.66666666,28414370.279642664,61999993.0,5933414.0,1,11,5,MASTER,1,129,0,0,0,4,1,REPLAY
4,4,192.168.1.3-192.168.1.2-20000-40837,192.168.1.3,192.168.1.2,20000,40837,6, 18/05/2020  18:44:27 ,118722379.0,11,12,77,66,22,96,84,60,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,8,8,8.0,0.0,7,7,7.0,0.0,5,5,5.0,0.0,1.4571810425058949,1.2634517709588686,0.6906869681241815,0.1937292715470265,5396471.7727272725,6079655.449558407,30004694.0,115036.0,118722379.0,11872237.9,14169068.13831161,42939177.0,2007729.0,105134334.0,9557666.727272727,10638274.903421337,40048164.0,115036.0,110,11,44,120,12,24,0.09265312987031704,0.10107614167670947,7.521739130434782,7,8,0.5107539184552493,0.2608695652173914,6.521739130434782,6,7,0.5107539184552493,0.2608695652173914,3.565217391304348,2,5,1.5322617553657474,2.347826086956521,3049972.25,3754853.41493824,10043470.0,0.0,10212045.75,8127924.465199776,30004694.0,5658369.0,11,1,23,OUTSTATION,1,129,0,0,0,12,11,REPLAY
5,5,192.168.1.3-192.168.1.2-20000-40837,192.168.1.3,192.168.1.2,20000,40837,6, 18/05/2020  18:46:28 ,119446644.0,13,14,1030,1017,965,112,98,70,485,7,79.23076923076924,148.64227407109206,484,6,78.23076923076924,148.64227407109206,480,2,74.23076923076924,148.64227407109206,8,8,8.0,0.0,7,7,7.0,0.0,5,5,5.0,0.0,9.560754172381767,9.334711823297438,8.664956714899414,0.2260423490843325,4594101.692307692,4074532.894765796,16755985.0,959.0,93641131.0,7803427.583333332,11160837.363420099,37094805.0,7606.0,109442821.0,8418678.538461538,4839140.444258095,16755985.0,959.0,130,13,52,140,14,28,0.10883520511467863,0.11720714396965393,42.2962962962963,7,485,107.29822380593649,11512.908831908833,41.2962962962963,6,484,107.29822380593649,11512.908831908833,38.333333333333336,2,480,106.95829525135919,11440.07692307693,3213533.8,4127272.387012323,11309831.0,0.0,8731130.6,3457441.415970204,16755985.0,5033517.0,11,1,27,OUTSTATION,1,129,0,0,0,14,13,REPLAY
6,6,192.168.1.3-192.168.1.2-20000-40837,192.168.1.3,192.168.1.2,20000,40837,6, 18/05/2020  18:48:35 ,99883046.0,11,8,1477,1466,1422,118,110,94,688,7,134.27272727272728,215.72903880057083,687,6,133.27272727272728,215.72903880057083,683,2,129.27272727272728,215.72903880057083,62,8,14.75,19.091883092036785,61,7,13.75,19.091883092036785,59,5,11.75,19.091883092036785,15.96867600533528,15.778453532544455,15.177750986889208,0.1902224727908278,5549058.111111111,6375823.517253455,20864861.0,932.0,90847404.0,9084740.4,13170765.919315293,33326928.0,6322.0,92839722.0,13262817.42857143,15395095.530237995,38922391.0,932.0,110,11,44,80,8,16,0.11012880003679504,0.08009367275403276,83.94736842105263,7,688,172.2573893542292,29672.608187134512,82.94736842105263,6,687,172.2573893542292,29672.608187134512,79.78947368421052,2,683,171.90293738921662,29550.619883040938,1171335.5,2815131.022885486,8043062.0,0.0,11007792.5,6010814.43971295,20864861.0,5258930.0,11,1,19,OUTSTATION,1,129,0,0,0,8,11,REPLAY
7,7,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:50:48 ,119611988.0,13,9,104,91,65,63,54,18,8,8,8.0,0.0,7,7,7.0,0.0,5,5,5.0,0.0,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,1.3961811252564418,1.2122530728274494,0.6939103796184711,0.18392805242899232,5695808.952380952,3545698.166961487,11002441.0,944023.0,119611988.0,9967665.666666666,6655780.29126024,24031045.0,3073658.0,100246241.0,12530780.125,13253617.447413055,35969715.0,1958319.0,130,13,26,90,9,36,0.10868475825349548,0.07524329417549687,7.590909090909091,7,8,0.5032362797401964,0.2532467532467532,6.590909090909091,6,7,0.5032362797401964,0.2532467532467532,3.772727272727273,2,5,1.5097088392205893,2.279220779220779,2259257.1818181816,3337612.787351996,9233033.0,0.0,8614559.909090908,2117866.0906707705,11002441.0,5034676.0,1,11,22,MASTER,1,129,0,0,0,13,9,REPLAY
8,8,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:52:56 ,90367597.0,8,8,118,110,94,500,492,460,35,8,14.75,12.498571346929445,34,7,13.75,12.498571346929445,32,5,11.75,12.498571346929445,282,7,62.5,106.59938354150353,281,6,61.5,106.59938354150353,277,2,57.5,106.59938354150353,6.838734463637447,6.661679849692142,6.130516007856222,0.17705461394530608,6024506.466666668,4864447.633554721,16931586.0,247148.0,90367597.0,12909656.714285715,7087600.243287537,26967215.0,3978527.0,51033376.0,7290482.285714285,9156878.36024171,23971207.0,247148.0,80,8,16,80,8,32,0.08852730697265304,0.08852730697265304,38.625,7,282,77.35534887776022,5983.85,37.625,6,281,77.35534887776022,5983.85,34.625,2,277,77.03235251070379,5933.983333333334,888985.6666666665,1764060.2563481212,4022344.0,0.0,9151858.444444444,3678060.2682892894,16931586.0,5027872.0,1,11,16,MASTER,1,129,0,0,0,8,8,REPLAY
9,9,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:54:58 ,111166837.0,5,4,49,44,34,933,929,913,17,8,9.8,4.024922359499621,16,7,8.8,4.024922359499621,14,5,6.8,4.024922359499621,468,7,233.25,193.17586978364213,467,6,232.25,193.17586978364213,463,2,228.25,193.17586978364213,8.833569673301039,8.75261027710989,8.518727577002123,0.08095939619115006,13895854.625,17098185.0997447,42000021.0,379670.0,111166837.0,27791709.25,22598270.13513353,52026129.0,7166703.0,48002955.0,16000985.0,25856691.81790913,45846828.0,379670.0,50,5,10,40,4,16,0.0449774423284167,0.03598195386273336,109.11111111111113,7,468,166.9471806024621,27871.361111111117,108.11111111111113,6,467,166.9471806024621,27871.361111111117,105.22222222222223,2,463,166.20527802823966,27624.194444444438,431225.4,964249.308024538,2156127.0,0.0,21573545.2,17744704.268603444,42000021.0,6023719.0,1,11,9,MASTER,1,129,0,0,0,5,4,REPLAY
