,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE, Label
0,192.168.1.2-192.168.1.4-48948-20000,192.168.1.2,192.168.1.4,48948,20000,6, 18/05/2020  18:35:01 ,116610156.0,14,5,157,143,115,479,474,454,35,8,11.214285714285712,7.577076475269858,34,7,10.214285714285714,7.577076475269858,32,5,8.214285714285714,7.577076475269858,282,7,95.8,127.23875195867019,281,6,94.8,127.23875195867019,277,2,90.8,127.23875195867019,5.454070398465121,5.291134333102169,4.879506378501029,0.16293606536295174,6478342.0,6162794.272494618,21999943.0,10309.0,116610156.0,8970012.0,6081864.768283162,21999943.0,750826.0,105130636.0,26282659.0,18347924.942669913,45290494.0,1224975.0,140,14,28,50,5,20,0.12005815342533288,0.04287791193761888,33.473684210526315,7,282,71.43946032290607,5103.596491228069,32.473684210526315,6,281,71.43946032290607,5103.596491228069,29.947368421052627,2,277,70.9588876934388,5035.163742690061,1509514.0,2044782.2741370904,5055034.0,0.0,11344143.222222222,5115170.0894655185,21999943.0,6029555.0,1,12,19,MASTER,1,129,0,0,0,14,5,REPLAY
1,192.168.1.2-192.168.1.4-48948-20000,192.168.1.2,192.168.1.4,48948,20000,6, 18/05/2020  18:37:03 ,108723388.0,4,2,95,91,83,14,12,4,62,8,23.75,25.85053190942113,61,7,22.75,25.85053190942113,59,5,20.75,25.85053190942113,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,1.0025441812023004,0.947358262970981,0.8001958143541296,0.055185918231319284,21744677.6,28889984.359932587,70000454.0,431763.0,108723388.0,36241129.333333336,33006490.88959833,72959386.0,9035778.0,2527169.0,2527169.0,-1.0,2527169.0,2527169.0,40,4,8,20,2,8,0.03679061215421285,0.018395306077106426,18.166666666666668,7,62,21.81207616589184,475.76666666666665,17.166666666666668,6,61,21.81207616589184,475.76666666666665,14.5,2,59,22.241852440837746,494.7,986310.6666666665,1708340.1867137975,2958932.0,0.0,35254818.666666664,31363992.768833905,70000454.0,9035778.0,1,12,6,MASTER,1,129,0,0,0,4,2,REPLAY
2,192.168.1.2-192.168.1.4-48948-20000,192.168.1.2,192.168.1.4,48948,20000,6, 18/05/2020  18:39:47 ,98430104.0,8,8,118,110,94,978,970,938,35,8,14.75,9.315885051121784,34,7,13.75,9.315885051121784,32,5,11.75,9.315885051121784,654,7,122.25,235.42469223572482,653,6,121.25,235.42469223572482,649,2,117.25,235.42469223572482,11.134804856042821,10.972252960334167,10.484597273208204,0.16255189570865433,6562006.933333334,9290402.371584924,33636906.0,1997.0,97044223.0,13863460.42857143,9735270.446505407,33636906.0,4977865.0,88356753.0,12622393.285714285,21773987.66980757,58299965.0,1997.0,80,8,16,80,8,32,0.08127594785432718,0.08127594785432718,68.5,7,654,170.2558858502891,28987.066666666666,67.5,6,653,170.2558858502891,28987.066666666666,64.5,2,649,169.9219428639711,28873.46666666667,1120741.666666667,2168907.485343961,5417469.0,0.0,15053295.5,9774761.199757522,33636906.0,7457777.0,1,12,16,MASTER,1,129,0,0,0,8,8,REPLAY
3,192.168.1.2-192.168.1.4-48948-20000,192.168.1.2,192.168.1.4,48948,20000,6, 18/05/2020  18:41:57 ,119004114.0,7,4,74,67,53,472,468,452,17,8,10.571428571428571,4.3915503282684,16,7,9.571428571428571,4.3915503282684,14,5,7.571428571428571,4.3915503282684,282,7,118.0,135.27995663314897,281,6,117.0,135.27995663314897,277,2,113.0,135.27995663314897,4.588076677752502,4.495642898530382,4.2435507733791455,0.09243377922212,11900411.4,12706938.24465533,42963899.0,736528.0,119004114.0,19834019.0,15552059.295356033,49999939.0,9001005.0,43465819.0,14488606.333333336,16981953.951352663,33470306.0,736528.0,70,7,14,40,4,16,0.05882149586862182,0.03361228335349818,49.63636363636363,7,282,91.86650393617113,8439.454545454546,48.63636363636363,6,281,91.86650393617113,8439.454545454546,45.90909090909091,2,277,91.27480982774442,8331.090909090908,921491.7142857143,1581208.1952423502,3490969.0,0.0,16079096.0,13178026.604330005,42963899.0,5570299.0,1,12,11,MASTER,1,129,0,0,0,7,4,REPLAY
4,192.168.1.2-192.168.1.4-48948-20000,192.168.1.2,192.168.1.4,48948,20000,6, 18/05/2020  18:44:03 ,90007201.0,3,3,24,21,15,465,462,450,8,8,8.0,0.0,7,7,7.0,0.0,5,5,5.0,0.0,282,7,155.0,138.69751259485514,281,6,154.0,138.69751259485514,277,2,150.0,138.69751259485514,5.432898641076506,5.366237308057164,5.166253308999132,0.06666133301934364,18001440.2,19924228.02030019,48339889.0,10511.0,76000176.0,38000088.0,14622686.806438893,48339889.0,27660287.0,4962914.0,2481457.0,3494445.345091549,4952403.0,10511.0,30,3,6,30,3,12,0.03333066650967182,0.03333066650967182,81.5,7,282,119.06930754816707,14177.5,80.5,6,281,119.06930754816707,14177.5,77.5,2,277,118.33131453677002,14002.3,0.0,0.0,0.0,0.0,28348095.66666667,19656916.15507828,48339889.0,9044111.0,1,12,6,MASTER,1,129,0,0,0,3,3,REPLAY
5,192.168.1.2-192.168.1.4-48948-20000,192.168.1.2,192.168.1.4,48948,20000,6, 18/05/2020  18:46:21 ,115022044.0,6,7,48,42,30,493,486,458,8,8,8.0,0.0,7,7,7.0,0.0,5,5,5.0,0.0,282,7,70.42857142857143,112.56384431787609,281,6,69.42857142857143,112.56384431787609,277,2,65.42857142857143,112.56384431787609,4.703446236792662,4.5904244233392335,4.242664997328686,0.11302181345342813,9585170.333333334,14535627.638169115,53978769.0,7879.0,115022044.0,23004408.8,30497849.80634482,76018754.0,960648.0,88193517.0,14698919.5,20261329.85630021,53978769.0,7879.0,60,6,12,70,7,28,0.052163913901582204,0.06085789955184591,41.615384615384606,7,282,85.9336356940037,7384.589743589742,40.615384615384606,6,281,85.9336356940037,7384.589743589742,37.53846153846154,2,277,85.54785735151933,7318.435897435898,423947.375,788939.3503734595,2195480.0,0.0,13953808.125,16314630.355254184,53978769.0,5845040.0,1,12,13,MASTER,1,129,0,0,0,6,7,REPLAY
6,192.168.1.2-192.168.1.4-48948-20000,192.168.1.2,192.168.1.4,48948,20000,6, 18/05/2020  18:48:23 ,116541342.0,8,7,64,56,40,49,42,14,8,8,8.0,0.0,7,7,7.0,0.0,5,5,5.0,0.0,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,0.9696129979351018,0.8409033079437167,0.4633548839689867,0.1287096899913852,8324381.571428573,8031081.864947765,30929164.0,207443.0,104868126.0,14981160.857142854,8911556.82960754,30929164.0,8037089.0,102539804.0,17089967.333333332,23436787.621055875,62488195.0,207443.0,80,8,16,70,7,28,0.06864516799540545,0.06006452199597976,7.533333333333332,7,8,0.5163977794943223,0.2666666666666668,6.533333333333332,6,7,0.5163977794943223,0.2666666666666668,3.6,2,5,1.5491933384829668,2.400000000000001,633068.5555555555,875690.9121448204,2116169.0,0.0,12292920.222222222,7405947.8374903975,30929164.0,5920920.0,1,12,15,MASTER,1,129,0,0,0,8,7,REPLAY
7,192.168.1.2-192.168.1.4-48948-20000,192.168.1.2,192.168.1.4,48948,20000,6, 18/05/2020  18:50:27 ,119361248.0,6,4,48,42,30,472,468,452,8,8,8.0,0.0,7,7,7.0,0.0,5,5,5.0,0.0,282,7,118.0,135.27995663314897,281,6,117.0,135.27995663314897,277,2,113.0,135.27995663314897,4.356522813836531,4.27274352895506,4.0381615312869386,0.08377928488147175,13262360.888888888,14324645.785229085,48003397.0,49582.0,119361248.0,23872249.6,19613018.54905309,58020907.0,9527927.0,63935897.0,21311965.666666668,36681052.48312815,63667484.0,49582.0,60,6,12,40,4,16,0.05026757092888304,0.0335117139525887,52.0,7,282,96.5758193798473,9326.888888888889,51.0,6,281,96.5758193798473,9326.888888888889,48.2,2,277,95.97198665351378,9210.622222222222,38344.71428571428,101450.57809382572,268413.0,0.0,17013262.14285714,14132514.493949173,48003397.0,6067727.0,1,12,10,MASTER,1,129,0,0,0,6,4,REPLAY
8,192.168.1.4-192.168.1.2-20000-48948,192.168.1.4,192.168.1.2,20000,48948,6, 18/05/2020  18:52:28 ,115985514.0,15,9,549,534,474,72,63,45,282,7,36.6,80.64188915020709,281,6,35.6,80.64188915020709,277,2,31.6,80.64188915020709,8,8,8.0,0.0,7,7,7.0,0.0,5,5,5.0,0.0,5.3541168942873325,5.147194502237581,4.474696728075887,0.206922392049752,5042848.434782608,9237408.558071107,42000384.0,10328.0,103487972.0,7391998.0,14225153.441661913,47575592.0,10328.0,110370843.0,13796355.375,15742631.917867038,50016109.0,3125974.0,150,15,60,90,9,18,0.129326495031095,0.077595897018657,25.875,7,282,64.48613770820624,4158.461956521739,24.875,6,281,64.48613770820624,4158.461956521739,21.625,2,277,64.27644947040665,4131.461956521739,4262586.5,6693359.809879572,17193878.0,0.0,15068332.5,14437820.653452165,42000384.0,5575208.0,12,1,24,OUTSTATION,1,129,0,0,0,9,15,REPLAY
9,192.168.1.4-192.168.1.2-20000-48948,192.168.1.4,192.168.1.2,20000,48948,6, 18/05/2020  18:54:47 ,119309849.0,6,4,1886,1880,1856,95,91,83,654,7,314.3333333333333,228.11459108673137,653,6,313.3333333333333,228.11459108673137,649,2,309.3333333333333,228.11459108673137,62,8,23.75,25.85053190942113,61,7,22.75,25.85053190942113,59,5,20.75,25.85053190942113,16.603826227288245,16.52001085006821,16.25180164296411,0.08381537722003153,13256649.888888888,15667965.327301113,35656576.0,4231.0,88313734.0,17662746.8,29992525.492282704,70658505.0,4231.0,118880289.0,39626763.0,30732718.342806853,66002275.0,5878140.0,60,6,24,40,4,8,0.05028922633201891,0.033526150888012606,198.1,7,654,227.263650121762,51648.76666666665,197.1,6,653,227.263650121762,51648.76666666665,193.9,2,649,226.58304830189255,51339.87777777779,1211566.6,2473606.677583726,5624042.0,0.0,22650403.2,15486640.890605738,35656576.0,5719256.0,12,1,10,OUTSTATION,1,129,0,0,0,4,6,REPLAY
