,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE,Label
0,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:35:03 ,233727920.0,23,24,211,188,142,1090,1066,970,26,8,9.173913043478262,4.11926928552144,25,7,8.173913043478262,4.11926928552144,23,5,6.173913043478262,4.11926928552144,654,7,45.41666666666666,141.23890234716455,653,6,44.41666666666666,141.23890234716455,649,2,40.41666666666666,141.23890234716455,5.56630119328491,5.3652126797688515,4.7576686602097,0.20108851351605747,5081041.739130435,7514256.337356326,43507306.0,7084.0,233727920.0,10623996.363636363,9654577.242332816,43507306.0,40211.0,215925616.0,9388070.260869564,20355672.603546727,93532202.0,11604.0,230,23,46,240,24,96,0.09840501725253877,0.1026834962635187,27.680851063829788,7,654,101.57608122742685,10317.700277520811,26.680851063829788,6,653,101.57608122742685,10317.700277520811,23.659574468085108,2,649,101.39875580141924,10281.707678075853,3023366.933333333,4413990.6266624285,14088503.0,0.0,12558494.4,9408277.58911137,43507306.0,5026139.0,1,11,47,MASTER,1,129,0,0,0,23,24,REPLAY
1,192.168.1.3-192.168.1.2-20000-40837,192.168.1.3,192.168.1.2,20000,40837,6, 18/05/2020  18:39:07 ,191996478.0,3,9,21,18,6,90,81,63,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,17,8,10.0,3.9686269665968865,16,7,9.0,3.9686269665968865,14,5,7.0,3.9686269665968865,0.5781356051750074,0.5156344586696012,0.3593815924060857,0.06250114650540621,17454225.272727273,17734072.982433654,51043422.0,273158.0,95983074.0,47991537.0,65026151.95238742,93971970.0,2011104.0,183224354.0,22903044.25,20191355.444535896,57066917.0,273158.0,30,3,12,90,9,18,0.015625286626351553,0.046875859879054654,9.25,7,17,3.6462932610329832,13.295454545454545,8.25,6,16,3.6462932610329832,13.295454545454545,5.75,2,14,4.070403151799809,16.568181818181817,787081.625,2117988.5144936075,6023495.0,0.0,23212478.125,17587949.04914632,51043422.0,5295845.0,11,1,12,OUTSTATION,1,129,0,0,0,9,3,REPLAY
2,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:43:21 ,239234162.0,21,22,177,156,114,1093,1071,983,17,8,8.428571428571429,1.9639610121239317,16,7,7.428571428571429,1.9639610121239317,14,5,5.428571428571429,1.9639610121239317,485,7,49.68181818181818,118.09616193256859,484,6,48.68181818181818,118.09616193256859,480,2,44.68181818181818,118.09616193256859,5.3086063854041035,5.128866169205383,4.5854655155813395,0.17974021619872166,5696051.476190477,9447305.186032316,56968725.0,959.0,239234162.0,11961708.1,16726355.44706696,72914271.0,959.0,227133253.0,10815869.19047619,15305827.854747558,56968725.0,7606.0,210,21,42,220,22,88,0.08778010558542221,0.09196011061329944,29.534883720930228,7,485,86.08449582137013,7410.540420819491,28.534883720930228,6,484,86.08449582137013,7410.540420819491,25.51162790697675,2,480,85.84492443964712,7369.351052048725,4291502.285714285,7026654.932161309,26170260.0,0.0,12577808.357142854,14206147.135506932,56968725.0,5658369.0,1,11,43,MASTER,1,129,0,0,0,21,22,REPLAY
3,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:47:26 ,230289732.0,21,17,222,201,159,1519,1502,1434,62,8,10.571428571428571,11.783766072743587,61,7,9.571428571428571,11.783766072743587,59,5,7.571428571428571,11.783766072743587,688,7,89.35294117647058,181.70681783317548,687,6,88.35294117647058,181.70681783317548,683,2,84.3529411764706,181.70681783317548,7.5600417998662675,7.395032271781878,6.917373111537599,0.1650095280843872,6224046.810810811,6907571.323824747,32828295.0,932.0,230289732.0,11514486.6,10749597.58980091,38922391.0,932.0,197156633.0,12322289.5625,16448139.416665524,53215106.0,6322.0,210,21,42,170,17,68,0.09118947604663503,0.07382005203775217,45.81578947368421,7,688,126.20914758108331,15928.748933143666,44.81578947368421,6,687,126.20914758108331,15928.748933143666,41.92105263157895,2,683,125.89579165174177,15849.750355618771,1906360.0588235292,3383112.668722409,9233033.0,0.0,11343686.76470588,7318424.773332497,32828295.0,5033517.0,1,11,38,MASTER,1,129,0,0,0,21,17,REPLAY
4,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:51:27 ,210756986.0,16,14,182,166,134,542,528,472,35,8,11.375,9.22225568936364,34,7,10.375,9.22225568936364,32,5,8.375,9.22225568936364,282,7,38.714285714285715,83.25348555551807,281,6,37.714285714285715,83.25348555551807,277,2,33.714285714285715,83.25348555551807,3.4352360685211165,3.2928920325326723,2.87534952696657,0.14234403598844406,7267482.275862069,6133913.502634326,30971272.0,247148.0,210756986.0,14050465.733333332,8113693.7433394,30971272.0,3978527.0,137719108.0,10593777.538461538,11944392.298365865,34326721.0,247148.0,160,16,32,140,14,56,0.07591681919383682,0.06642721679460722,24.13333333333333,7,282,57.822995863019,3343.4988505747133,23.13333333333333,6,281,57.822995863019,3343.4988505747133,20.2,2,277,57.5879537211829,3316.372413793103,977933.2105263157,1982432.6297176625,5974317.0,0.0,10114539.736842103,5747553.784860573,30971272.0,5027872.0,1,11,30,MASTER,1,129,0,0,0,16,14,REPLAY
5,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:55:40 ,227188265.0,11,10,142,131,109,2324,2314,2274,17,8,12.909090909090908,4.700096710803842,16,7,11.909090909090908,4.700096710803842,14,5,9.909090909090908,4.700096710803842,468,7,232.4,118.9063123266007,467,6,231.4,118.9063123266007,463,2,227.4,118.9063123266007,10.854433876679325,10.761999524931447,10.489098105485336,0.09243435174787748,11359413.25,12958771.65694848,40000181.0,11455.0,227188265.0,22718826.5,16202574.592201082,52026129.0,7166703.0,111444624.0,12382736.0,15171333.118096074,45846828.0,379670.0,110,11,22,100,10,40,0.048417993772697725,0.04401635797517975,117.42857142857143,7,468,137.80804455058907,18991.057142857142,116.42857142857143,6,467,137.80804455058907,18991.057142857142,113.4761904761905,2,463,136.97504117452166,18762.161904761906,1824340.3636363638,3269534.1666214857,10979432.0,0.0,18829138.272727273,13451863.263155548,40000181.0,5030548.0,1,11,21,MASTER,1,129,0,0,0,11,10,REPLAY
6,192.168.1.3-192.168.1.2-20000-40837,192.168.1.3,192.168.1.2,20000,40837,6, 18/05/2020  18:59:49 ,239261641.0,9,19,63,54,18,170,151,113,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,17,8,8.947368421052632,2.8377159087807518,16,7,7.947368421052633,2.8377159087807518,14,5,5.947368421052633,2.8377159087807518,0.9738293151638128,0.8568026163458438,0.5475177694697829,0.1170266988179689,8861542.25925926,7590506.127020178,31959512.0,1538439.0,239261641.0,29907705.125,31190623.63661724,89585191.0,1594138.0,224181939.0,12454552.166666664,9466353.705086578,41999903.0,4968819.0,90,9,36,190,19,38,0.037615724620061436,0.07941097419790748,8.321428571428571,7,17,2.495233551431704,6.226190476190474,7.321428571428571,6,16,2.495233551431704,6.226190476190474,4.678571428571429,2,14,2.9820893921640153,8.892857142857146,1147045.4210526315,2979102.668716228,11002114.0,0.0,11445672.52631579,7666915.510740956,31959512.0,5031099.0,11,1,28,OUTSTATION,1,129,0,0,0,19,9,REPLAY
7,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  19:04:43 ,235032254.0,9,6,72,63,45,42,36,12,8,8,8.0,0.0,7,7,7.0,0.0,5,5,5.0,0.0,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,0.4850398107486984,0.4212187830186065,0.2425199053743492,0.06382102773009189,16788018.14285714,21577848.04398249,62000545.0,2008065.0,235032254.0,29379031.75,26950254.08369436,70031772.0,7000155.0,210075348.0,42015069.6,48602232.62116137,117635278.0,2008065.0,90,9,18,60,6,24,0.03829261663805513,0.025528411092036758,7.6,7,8,0.5070925528371099,0.25714285714285706,6.6,6,7,0.5070925528371099,0.25714285714285706,3.8,2,5,1.5212776585113297,2.3142857142857136,1743233.7777777778,2883194.569130081,8031227.0,0.0,24371461.11111111,23977416.801985674,62000545.0,5077548.0,1,11,15,MASTER,1,129,0,0,0,9,6,REPLAY
8,192.168.1.3-192.168.1.2-20000-40837,192.168.1.3,192.168.1.2,20000,40837,6, 18/05/2020  19:08:47 ,212388129.0,12,9,2338,2326,2278,108,99,81,654,7,194.83333333333331,186.69753532644643,653,6,193.83333333333331,186.69753532644643,649,2,189.83333333333331,186.69753532644643,17,8,12.0,4.743416490252568,16,7,11.0,4.743416490252568,14,5,9.0,4.743416490252568,11.51665119664009,11.41777561400336,11.107023782859352,0.09887558263673014,10619406.45,11956078.267742135,36754278.0,10004.0,156970560.0,14270050.909090908,16451023.339200772,41997845.0,10004.0,179418335.0,22427291.875,16106401.905957842,50612194.0,6599736.0,120,12,48,90,9,18,0.056500332935274365,0.04237524970145577,116.4761904761905,7,654,166.66001891504126,27775.561904761904,115.4761904761905,6,653,166.66001891504126,27775.561904761904,112.33333333333331,2,649,166.0979630619633,27588.533333333336,814352.6153846155,2381363.39754826,8611041.0,0.0,15523195.76923077,12244856.486550767,36754278.0,5038578.0,11,1,21,OUTSTATION,1,129,0,0,0,9,12,REPLAY
9,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  19:12:51 ,233072184.0,11,10,151,140,118,70,60,20,35,8,13.727272727272727,10.854408404799493,34,7,12.727272727272727,10.854408404799493,32,5,10.727272727272727,10.854408404799493,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,0.9482040980059636,0.8581032561139943,0.5920912467186561,0.0901008418919694,11653609.2,17761420.572381213,58973021.0,196274.0,233072184.0,23307218.4,25168818.035693794,68003109.0,5033306.0,119976594.0,13330732.666666664,22896763.67075168,71619238.0,406872.0,110,11,22,100,10,40,0.04719567908626969,0.04290516280569971,10.523809523809524,7,35,8.41200955550484,70.76190476190473,9.523809523809524,6,34,8.41200955550484,70.76190476190473,6.571428571428571,2,32,8.880154438811461,78.85714285714286,2445146.5555555555,5696585.210506577,16973013.0,0.0,23451762.777777776,21470285.43922343,58973021.0,5968567.0,1,11,21,MASTER,1,129,0,0,0,11,10,REPLAY
10,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  19:16:56 ,212018296.0,11,13,97,86,64,1440,1427,1375,17,8,8.818181818181818,2.7136021011998723,16,7,7.8181818181818175,2.7136021011998723,14,5,5.8181818181818175,2.7136021011998723,468,7,110.76923076923076,153.0000837941785,467,6,109.76923076923076,153.0000837941785,463,2,105.76923076923076,153.0000837941785,7.2493743653142095,7.1361765873262195,6.787150105196582,0.11319777798799024,9218186.782608695,11161832.659374317,42000557.0,4834.0,212018296.0,21201829.6,17476948.78933782,51892080.0,7000219.0,188288112.0,15690676.0,25106803.16410189,68966203.0,4834.0,110,11,22,130,13,52,0.0518823149111622,0.06131546307682805,64.04166666666667,7,468,122.10347684636592,14909.259057971014,63.04166666666666,6,467,122.10347684636592,14909.259057971014,59.95833333333334,2,463,121.67436197621436,14804.650362318842,1209550.5454545454,2704382.690592601,8031466.0,0.0,17334469.09090909,11484135.32295324,42000557.0,7000219.0,1,11,24,MASTER,1,129,0,0,0,11,13,REPLAY
11,192.168.1.3-192.168.1.2-20000-40837,192.168.1.3,192.168.1.2,20000,40837,6, 18/05/2020  19:21:02 ,237538525.0,18,15,126,108,36,120,105,75,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,8,8,8.0,0.0,7,7,7.0,0.0,5,5,5.0,0.0,1.0356214849780685,0.8966966516273518,0.4672926212705918,0.13892483335071648,7423078.90625,8963814.574700909,39565054.0,177927.0,235528133.0,13854596.05882353,25942988.87521851,81382986.0,405201.0,221491106.0,15820793.285714285,12402914.321575608,49575605.0,177927.0,180,18,72,150,15,30,0.07577718182766352,0.06314765152305295,7.454545454545454,7,8,0.5056498968474316,0.2556818181818182,6.454545454545454,6,7,0.5056498968474316,0.2556818181818182,3.363636363636364,2,5,1.5169496905422948,2.301136363636364,1340788.4,3220498.191497658,10037303.0,0.0,13824816.466666667,9664432.53592615,39565054.0,5722234.0,11,1,33,OUTSTATION,1,129,0,0,0,15,18,REPLAY
12,192.168.1.3-192.168.1.2-20000-40837,192.168.1.3,192.168.1.2,20000,40837,6, 18/05/2020  19:25:09 ,229894114.0,10,12,1144,1134,1094,123,111,87,282,7,114.4,116.36838058510568,281,6,113.4,116.36838058510568,277,2,109.4,116.36838058510568,17,8,10.25,4.070403151799809,16,7,9.25,4.070403151799809,14,5,7.25,4.070403151799809,5.511232880020581,5.415536650059688,5.137147617446177,0.09569622996089408,10947338.76190476,12918056.946070502,49999421.0,4811.0,213900165.0,23766685.0,27388254.25497329,82967261.0,4811.0,225694409.0,20517673.545454547,21407832.28091312,66001793.0,10520.0,100,10,40,120,12,24,0.04349828634586095,0.05219794361503314,57.59090909090909,7,282,92.89608074715431,8629.681818181818,56.59090909090909,6,281,92.89608074715431,8629.681818181818,53.68181818181818,2,277,92.31745765028946,8522.512987012986,2143246.7,4505053.980543015,10997176.0,0.0,20846164.7,12616656.34075596,49999421.0,9032487.0,11,1,22,OUTSTATION,1,129,0,0,0,12,10,REPLAY
13,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  19:29:10 ,236029156.0,13,13,113,100,74,2379,2366,2314,17,8,8.692307692307693,2.496150883013531,16,7,7.6923076923076925,2.496150883013531,14,5,5.6923076923076925,2.496150883013531,671,7,183.0,211.0935811435298,670,6,182.0,211.0935811435298,666,2,178.0,211.0935811435298,10.558017671342263,10.447861788735963,10.117394140917066,0.1101558826062997,9441166.24,11466068.545597276,44005213.0,9108.0,213022313.0,17751859.416666668,15639081.954923995,50976205.0,3523926.0,198340605.0,16528383.75,25369695.34246483,72122917.0,9108.0,130,13,26,130,13,52,0.05507794130314985,0.05507794130314985,95.84615384615385,7,671,171.148051068703,29291.65538461538,94.84615384615385,6,670,171.148051068703,29291.65538461538,91.84615384615385,2,666,170.62067689648694,29111.415384615386,1082030.0,1566297.9058464046,4687460.0,0.0,17073358.307692308,11392468.9502627,44005213.0,5119969.0,1,11,26,MASTER,1,129,0,0,0,13,13,REPLAY
