,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE,Label
0,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:35:01 ,59041731.0,18,22,162,144,108,154,132,44,17,8,9.0,2.910427500435996,16,7,8.0,2.910427500435996,14,5,6.0,2.910427500435996,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,5.352146602883307,4.6746596911259255,2.5744502646780463,0.6774869117573805,1513890.5384615385,2038390.4942713452,9034960.0,33.0,59041731.0,3473043.0,2932048.004047043,10914893.0,2000979.0,55219808.0,2629514.666666666,3077596.64323214,12865432.0,206623.0,180,18,36,220,22,88,0.30486911029082125,0.3726178014665593,7.9,7,17,2.169721712038737,4.707692307692309,6.9,6,16,2.169721712038737,4.707692307692309,3.8,2,14,2.7845728853535423,7.753846153846152,18508043.5,10738289.74919249,26101161.0,10914926.0,8559959.0,671752.8563407825,9034960.0,8084958.0,1,11,40,MASTER,1,129,0,0,0,18,22,NORMAL
1,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:35:01 ,54290179.0,22,21,185,163,119,591,570,486,17,8,8.409090909090908,1.9188064472004935,16,7,7.409090909090909,1.918806447200493,14,5,5.409090909090909,1.918806447200493,282,7,28.142857142857146,68.8471391666246,281,6,27.142857142857146,68.8471391666246,277,2,23.142857142857146,68.8471391666246,14.293561271919913,13.501521149893428,11.143820321535502,0.7920401220264902,1292623.3095238095,1595427.8474905612,8688317.0,390.0,54290179.0,2585246.619047619,1857891.146181807,8688317.0,212065.0,43595151.0,2179757.55,1117826.3414749687,5333170.0,390.0,220,22,44,210,21,84,0.4052298298740183,0.3868102921524721,18.046511627906977,7,282,48.56510283868453,2358.5692137320043,17.046511627906977,6,281,48.56510283868453,2358.5692137320043,14.069767441860465,2,277,48.36734206586152,2339.3997785160573,45601862.0,-1.0,45601862.0,45601862.0,8688317.0,-1.0,8688317.0,8688317.0,1,13,43,MASTER,1,129,0,0,0,22,21,NORMAL
2,192.168.1.2-192.168.1.4-48948-20000,192.168.1.2,192.168.1.4,48948,20000,6, 18/05/2020  18:35:01 ,46787982.0,7,7,92,85,71,971,964,936,35,8,13.142857142857142,10.205040771249138,34,7,12.142857142857142,10.205040771249138,32,5,10.142857142857142,10.205040771249138,654,7,138.71428571428572,249.26339100485268,653,6,137.71428571428572,249.26339100485268,649,2,133.71428571428572,249.26339100485268,22.719509467196087,22.420287329340262,21.522620915772773,0.299222137855828,3599075.538461538,5230553.855603911,17819341.0,29.0,46787982.0,7797997.0,7583227.496998807,21999945.0,2004889.0,28963754.0,4827292.333333333,5205266.33216302,11822068.0,408.0,70,7,14,70,7,28,0.149611068927914,0.149611068927914,75.92857142857143,7,654,181.57577959701493,32969.76373626373,74.92857142857143,6,653,181.57577959701493,32969.76373626373,71.92857142857143,2,649,181.20598745656804,32835.60989010989,4123969.333333334,96239.89046821145,4180604.0,4012848.0,11472024.666666664,5704157.686132138,17819341.0,6774852.0,1,12,14,MASTER,1,129,0,0,0,7,7,NORMAL
3,192.168.1.3-192.168.1.2-20000-40837,192.168.1.3,192.168.1.2,20000,40837,6, 18/05/2020  18:36:01 ,55688009.0,18,14,1217,1199,1127,121,107,79,654,7,67.6111111111111,163.89887086029924,653,6,66.6111111111111,163.89887086029924,649,2,62.611111111111114,163.89887086029924,17,8,8.642857142857142,2.40535117721182,16,7,7.642857142857142,2.4053511772118203,14,5,5.642857142857142,2.4053511772118203,24.02671641573682,23.452086426720694,21.6563677110453,0.5746299890161273,1796387.3870967743,2461562.4656132497,10675231.0,33.0,53688148.0,3158126.3529411764,3476788.0687919413,12675516.0,448.0,49008029.0,3769848.384615385,3251839.2333409707,10675264.0,579059.0,180,18,72,140,14,28,0.3232293688215716,0.2514006201945557,41.8125,7,654,124.96797976978718,15616.995967741936,40.8125,6,653,124.96797976978718,15616.995967741936,37.6875,2,649,124.73208385149141,15558.092741935483,7143087.0,10344760.17309048,19005969.0,0.0,7977681.666666668,2336704.4647653527,10675231.0,6577834.0,11,1,32,OUTSTATION,1,129,0,0,0,14,18,NORMAL
4,192.168.1.4-192.168.1.2-20000-48948,192.168.1.4,192.168.1.2,20000,48948,6, 18/05/2020  18:36:02 ,55700649.0,9,10,1171,1162,1126,107,97,77,485,7,130.11111111111111,204.07072575729995,484,6,129.11111111111111,204.07072575729995,480,2,125.11111111111113,204.07072575729995,17,8,10.7,4.347413023856832,16,7,9.7,4.347413023856832,14,5,7.7,4.347413023856832,22.944077366136256,22.602968234714822,21.59759395263061,0.341109131421431,3094480.5,4600141.491678697,17103678.0,29.0,55700620.0,6962577.5,8145145.301027881,24368561.0,401.0,38596971.0,4288552.333333333,3106120.9196898225,10965926.0,2000988.0,90,9,36,100,10,20,0.16157800962067784,0.17953112180075315,67.26315789473685,7,485,149.2335388671294,22270.64912280701,66.26315789473685,6,484,149.2335388671294,22270.64912280701,63.31578947368421,2,480,148.8153414401661,22146.005847953216,3824046.0,7648064.666691087,15296143.0,0.0,10101109.0,5264354.596305926,17103678.0,5069978.0,12,1,19,OUTSTATION,1,129,0,0,0,10,9,NORMAL
5,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:36:13 ,52266551.0,14,15,121,107,79,566,551,491,17,8,8.642857142857142,2.40535117721182,16,7,7.642857142857142,2.4053511772118203,14,5,5.642857142857142,2.4053511772118203,282,7,37.73333333333333,80.3149751795718,281,6,36.73333333333333,80.3149751795718,277,2,32.73333333333333,80.3149751795718,13.144161741225282,12.589313574565118,10.905636379182546,0.5548481666601648,1866662.5357142857,3307214.465575171,13068258.0,49.0,52266551.0,4020503.923076923,4571163.755036027,14792664.0,762912.0,48307249.0,3450517.7857142864,4623533.517962528,15068335.0,538.0,140,14,28,150,15,60,0.267857735629045,0.2869904310311197,23.689655172413797,7,282,58.709395359246166,3446.7931034482754,22.689655172413797,6,281,58.709395359246166,3446.7931034482754,19.655172413793107,2,277,58.4613888831576,3417.733990147783,5089908.0,4427936.604915658,8220932.0,1958884.0,12951019.0,165800.98383905928,13068258.0,12833780.0,1,13,29,MASTER,1,129,0,0,0,14,15,NORMAL
6,192.168.1.2-192.168.1.4-48948-20000,192.168.1.2,192.168.1.4,48948,20000,6, 18/05/2020  18:37:03 ,39326863.0,3,6,60,57,51,947,941,917,26,17,20.0,5.196152422706632,25,16,19.0,5.196152422706632,23,14,17.0,5.196152422706632,282,7,157.83333333333334,120.13062335086201,281,6,156.83333333333334,120.13062335086201,277,2,152.83333333333334,120.13062335086201,25.60590708697004,25.37705588162473,24.61421853047369,0.2288512053453132,4915857.875,11677908.263239725,33384991.0,35.0,39325273.0,19662636.5,27575275.784062807,39161301.0,163972.0,33550588.0,6710117.6,14911795.466856372,33384991.0,375.0,30,3,6,60,6,24,0.07628373511510439,0.15256747023020878,111.88888888888887,7,282,117.37061434239456,13775.861111111111,110.88888888888887,6,281,117.37061434239456,13775.861111111111,107.55555555555556,2,277,116.78624823915605,13639.027777777781,0.0,0.0,0.0,0.0,19580633.0,19522310.30345353,33384991.0,5776275.0,1,12,9,MASTER,1,129,0,0,0,3,6,NORMAL
7,192.168.1.3-192.168.1.2-20000-40837,192.168.1.3,192.168.1.2,20000,40837,6, 18/05/2020  18:37:08 ,58519359.0,19,15,1482,1463,1387,210,195,165,468,7,78.0,134.3945270049673,467,6,77.0,134.3945270049673,463,2,73.0,134.3945270049673,89,8,14.0,20.877191929403317,88,7,13.0,20.877191929403317,86,5,11.0,20.877191929403317,28.9135087757882,28.33250446232673,26.52113807329981,0.581004313461465,1773313.9090909092,4499958.484782355,25769681.0,16.0,56519480.0,3139971.1111111115,5834159.852194708,25769864.0,362.0,58519343.0,4179953.0714285714,7519040.411142281,29792768.0,4871.0,190,19,76,150,15,30,0.3246788810519951,0.2563254324094698,49.764705882352935,7,468,105.24864033485237,11077.276292335117,48.764705882352935,6,467,105.24864033485237,11077.276292335117,45.647058823529406,2,463,104.94410701486744,11013.265597147949,4023103.0,-1.0,4023103.0,4023103.0,25769681.0,-1.0,25769681.0,25769681.0,11,1,34,OUTSTATION,1,129,0,0,0,15,19,NORMAL
8,192.168.1.5-192.168.1.2-20000-51789,192.168.1.5,192.168.1.2,20000,51789,6, 18/05/2020  18:37:16 ,45129285.0,16,11,556,540,476,97,86,64,282,7,34.75,78.25811991949034,281,6,33.75,78.25811991949034,277,2,29.75,78.25811991949034,17,8,8.818181818181818,2.7136021011998723,16,7,7.8181818181818175,2.7136021011998723,14,5,5.8181818181818175,2.7136021011998723,14.469540122339628,13.871258984049936,11.965622765793874,0.5982811382896936,1735741.730769231,2547685.755911,9714493.0,28.0,45129285.0,3008619.0,3207124.382557884,11714467.0,469.0,39753585.0,3975358.5,3668174.095123235,9714521.0,981063.0,160,16,64,110,11,22,0.35453697083833696,0.2437441674513567,24.18518518518519,7,282,60.866207017483504,3704.695156695158,23.18518518518519,6,281,60.866207017483504,3704.695156695158,20.0,2,277,60.660467420654676,3679.6923076923076,7346141.0,6577041.7511924,12687589.0,37.0,7696954.0,2225119.5765313376,9714493.0,5310393.0,13,1,27,OUTSTATION,1,129,0,0,0,11,16,NORMAL
9,192.168.1.2-192.168.1.4-48948-20000,192.168.1.2,192.168.1.4,48948,20000,6, 18/05/2020  18:38:10 ,51372595.0,8,11,127,119,103,521,510,466,62,8,15.875,18.901530550271765,61,7,14.875,18.901530550271765,59,5,12.875,18.901530550271765,282,7,47.36363636363637,92.87870878438473,281,6,46.36363636363637,92.87870878438473,277,2,42.36363636363637,92.87870878438473,12.613729168246222,12.243882171029124,11.075944285080402,0.369846997217096,2854033.0555555555,6263438.399899066,25875354.0,31.0,51371044.0,7338720.571428573,9064358.306382786,26728215.0,1991309.0,51371646.0,5137164.6,8138055.179267563,25875354.0,360.0,80,8,16,110,11,44,0.1557250514598299,0.21412194575726606,34.10526315789474,7,282,72.01766352534024,5186.543859649121,33.10526315789474,6,281,72.01766352534024,5186.543859649121,29.947368421052627,2,277,71.79946895827334,5155.163742690059,2538867.666666666,3000435.9613313414,6003064.0,760685.0,13921044.0,10410156.928231005,25875354.0,6852000.0,1,12,19,MASTER,1,129,0,0,0,8,11,NORMAL
