,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE,Label
0,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:35:01 ,87638190.0,27,28,234,207,153,1562,1534,1422,17,8,8.666666666666666,2.4019223070763074,16,7,7.666666666666668,2.4019223070763065,14,5,5.666666666666668,2.4019223070763065,654,7,55.78571428571429,140.34068525024358,653,6,54.78571428571429,140.34068525024358,649,2,50.78571428571429,140.34068525024358,20.493348847117904,19.86576856505138,17.971617168268768,0.6275802820665284,1622929.4444444443,2540095.089220857,12864945.0,228.0,87637841.0,3370686.1923076925,3226943.7639316004,14899883.0,35779.0,87637962.0,3245850.4444444445,2940311.0605653008,12865233.0,504.0,270,27,54,280,28,112,0.30808486574175026,0.3194954163247781,32.654545454545456,7,654,102.0572131085047,10415.674747474744,31.654545454545456,6,653,102.0572131085047,10415.674747474744,28.63636363636364,2,649,101.82689807569108,10368.717171717177,8384346.8,9530261.12268487,24100314.0,347.0,8036694.0,3343112.4209594717,12864945.0,5049646.0,1,11,55,MASTER,1,129,0,0,0,27,28,REPLAY
1,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:36:34 ,88613568.0,19,21,242,223,185,1496,1475,1391,89,8,12.73684210526316,18.582674443515504,88,7,11.73684210526316,18.582674443515504,86,5,9.736842105263158,18.582674443515504,468,7,71.23809523809524,129.27409050614307,467,6,70.23809523809524,129.27409050614307,463,2,66.23809523809524,129.27409050614307,19.613249293832745,19.161851151281933,17.78508681650196,0.4513981425508112,2272142.769230769,4706058.6434662985,25782042.0,236.0,88613568.0,4922976.0,6116097.5651337765,25782314.0,4849.0,88583090.0,4429154.5,7982826.961451107,35830077.0,365.0,190,19,38,210,21,84,0.21441411771163527,0.23698402483917586,43.45,7,468,98.00443475052154,9604.869230769233,42.45,6,467,98.00443475052154,9604.869230769233,39.4,2,463,97.70384345378142,9546.041025641025,866913.8,1190125.282516803,2292377.0,0.0,11904722.8,7954269.92821929,25782042.0,6365200.0,1,11,40,MASTER,1,129,0,0,0,19,21,REPLAY
2,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:38:05 ,71111857.0,9,9,99,90,72,507,498,462,26,8,11.0,6.363961030678928,25,7,10.0,6.363961030678928,23,5,8.0,6.363961030678928,282,7,56.33333333333334,101.41622158215124,281,6,55.33333333333334,101.41622158215124,277,2,51.33333333333334,101.41622158215124,8.521785614458079,8.268663269474175,7.5092962345224645,0.2531223449839033,4183050.411764706,5417154.143811053,17071866.0,228.0,71111857.0,8888982.125,4922445.709977872,17073129.0,852.0,62065828.0,7758228.5,7951556.379255142,21939111.0,610.0,90,9,18,90,9,36,0.12656117249195165,0.12656117249195165,33.666666666666664,7,282,73.50630225081545,5403.176470588236,32.666666666666664,6,281,73.50630225081545,5403.176470588236,29.66666666666667,2,277,73.1863053727789,5356.235294117647,432396.4285714286,1143057.0285823971,3024606.0,0.0,9726440.285714284,3992228.661774052,17071866.0,5259963.0,1,11,18,MASTER,1,129,0,0,0,9,9,REPLAY
3,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:39:44 ,80975035.0,9,11,90,81,63,965,954,910,17,8,10.0,3.9686269665968865,16,7,9.0,3.9686269665968865,14,5,7.0,3.9686269665968865,282,7,87.72727272727273,116.91286576685295,281,6,86.72727272727273,116.91286576685295,277,2,82.72727272727273,116.91286576685295,13.028706934180393,12.78171722926702,12.016049144035563,0.24698970491337235,4261843.947368422,10307990.457154583,44041966.0,200.0,80974769.0,10121846.125,14333715.367545653,44043000.0,969966.0,80974706.0,8097470.6,13341858.94591372,44042207.0,557.0,90,9,18,110,11,44,0.11114536721101756,0.1358443377023548,52.75,7,282,93.67293323608816,8774.618421052632,51.75,6,281,93.67293323608816,8774.618421052632,48.65,2,277,93.24516355455542,8694.66052631579,1741704.25,1721104.8300066588,4023256.0,329.0,18501988.0,17082925.46010624,44041966.0,8030528.0,1,11,20,MASTER,1,129,0,0,0,9,11,REPLAY
4,192.168.1.3-192.168.1.2-20000-40837,192.168.1.3,192.168.1.2,20000,40837,6, 18/05/2020  18:41:25 ,61914487.0,9,5,1873,1864,1828,130,125,115,485,7,208.11111111111111,148.75772622324902,484,6,207.11111111111111,148.75772622324902,480,2,203.11111111111111,148.75772622324902,80,8,26.0,30.5204849240637,79,7,25.0,30.5204849240637,77,5,23.0,30.5204849240637,32.351071567466924,32.124953243979874,31.38199303823675,0.22611832348703784,4762652.846153846,11305963.700498665,39010567.0,21.0,58340562.0,7292570.25,14819187.797456818,40623325.0,320.0,61913894.0,15478473.5,17091000.355676737,39010567.0,1749427.0,90,9,36,50,5,10,0.14536177938452433,0.08075654410251352,143.07142857142858,7,485,148.67541532102447,22104.379120879115,142.07142857142858,6,484,148.67541532102447,22104.379120879115,138.78571428571428,2,480,148.0718009674977,21925.258241758238,894358.0,1209250.1765648,1749427.0,39289.0,28053337.0,15495863.272041347,39010567.0,17096107.0,11,1,14,OUTSTATION,1,129,0,0,0,5,9,REPLAY
5,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:43:30 ,83147486.0,11,14,97,86,64,986,972,916,17,8,8.818181818181818,2.7136021011998723,16,7,7.8181818181818175,2.7136021011998723,14,5,5.8181818181818175,2.7136021011998723,282,7,70.42857142857143,108.14784345494844,281,6,69.42857142857143,108.14784345494844,277,2,65.42857142857143,108.14784345494844,13.0250480453492,12.724377499519347,11.786285396530205,0.30067054582985225,3464478.583333333,9654333.15287744,47543192.0,299.0,79088995.0,7908899.5,16004357.610600488,52963533.0,3114.0,83147111.0,6395931.615384615,12744574.549991306,47543498.0,572.0,110,11,22,140,14,56,0.132295040165135,0.16837550566471726,43.32,7,282,85.51399495599145,7312.6433333333325,42.32,6,281,85.51399495599145,7312.6433333333325,39.2,2,277,85.14937854539319,7250.416666666668,3004675.0,6008504.00096269,12017431.0,322.0,16767573.75,20548148.668151494,47543192.0,5419394.0,1,11,25,MASTER,1,129,0,0,0,11,14,REPLAY
6,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:45:04 ,89900910.0,24,24,219,195,147,1534,1510,1414,17,8,9.125,3.040487661114793,16,7,8.125,3.040487661114793,14,5,6.125,3.040487661114793,485,7,63.91666666666666,124.95352759314564,484,6,62.91666666666666,124.95352759314564,480,2,58.91666666666666,124.95352759314564,19.499246448117155,18.965325267564033,17.363561725904667,0.5339211805531223,1912785.3191489358,3143901.9460785827,13968317.0,301.0,89900587.0,3908721.173913044,3576315.24813825,13968687.0,30283.0,89900540.0,3908719.130434783,4210704.198005778,13968680.0,506.0,240,24,48,240,24,96,0.2669605902765612,0.2669605902765612,36.520833333333336,7,485,91.71486563264533,8411.616578014186,35.520833333333336,6,484,91.71486563264533,8411.616578014186,32.520833333333336,2,480,91.41488066940424,8356.680407801421,5598786.2,7800999.317633652,16040333.0,321.0,10021819.0,2206243.220671624,13968317.0,9003991.0,1,11,48,MASTER,1,129,0,0,0,24,24,REPLAY
7,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:46:36 ,85645428.0,27,21,225,198,144,608,587,503,17,8,8.333333333333334,1.7320508075688774,16,7,7.333333333333332,1.7320508075688776,14,5,5.333333333333333,1.7320508075688776,282,7,28.952380952380953,68.68586185706357,281,6,27.952380952380953,68.68586185706357,277,2,23.952380952380953,68.68586185706357,9.726146736052273,9.165696503962828,7.554402086705668,0.5604502320894468,1822243.1489361704,2496795.2416759557,8029499.0,216.0,85645185.0,3294045.576923077,2550742.6096845944,8029783.0,222140.0,85645106.0,4282255.3,4499230.704400231,18169785.0,617.0,270,27,54,210,21,84,0.3152532555503138,0.24519697653913294,17.354166666666668,7,282,46.00068897880577,2116.063386524823,16.354166666666668,6,281,46.00068897880577,2116.063386524823,13.479166666666664,2,277,45.7858054670823,2096.3399822695033,3989344.875,4780585.588186107,11973558.0,0.0,6716303.25,1122135.1012642628,8029499.0,5032042.0,1,11,48,MASTER,1,129,0,0,0,27,21,REPLAY
8,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:48:10 ,85213408.0,21,21,204,183,141,1547,1526,1442,35,8,9.714285714285714,6.1167218110917645,34,7,8.714285714285714,6.1167218110917645,32,5,6.7142857142857135,6.1167218110917645,688,7,73.66666666666667,165.86721596907975,687,6,72.66666666666667,165.86721596907975,683,2,68.66666666666667,165.86721596907975,20.54840947096025,20.0555292894752,18.57688874502003,0.4928801814850545,2078375.8048780488,3625594.932768912,13477410.0,252.0,85213129.0,4260656.45,4246102.44411358,13477410.0,1080.0,78462617.0,3923130.85,7514084.107488967,33326934.0,571.0,210,21,42,210,21,84,0.2464400907425273,0.2464400907425273,41.69047619047619,7,688,120.358304119406,14486.12137049942,40.69047619047619,6,687,120.358304119406,14486.12137049942,37.69047619047619,2,683,120.0901060271885,14421.633565621374,4116336.166666666,6794506.550756499,16057204.0,0.0,10085672.0,2994615.1943391324,13477410.0,6114456.0,1,11,42,MASTER,1,129,0,0,0,21,21,REPLAY
9,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:49:45 ,86504351.0,21,20,276,255,213,1045,1025,945,107,8,13.142857142857142,21.594642192649808,106,7,12.142857142857142,21.594642192649808,104,5,10.142857142857142,21.594642192649808,282,7,52.25,95.54710879979572,281,6,51.25,95.54710879979572,277,2,47.25,95.54710879979572,15.270908165070214,14.796943566457136,13.386609882779194,0.4739645986130802,2162608.775,4435323.491433075,24823864.0,212.0,86504028.0,4325201.4,5525994.791615499,24824076.0,860068.0,85594999.0,4504999.947368422,7550248.652716452,33859915.0,455.0,210,21,42,200,20,80,0.2427623553871874,0.2312022432258928,32.21951219512195,7,282,70.4359681537501,4961.225609756098,31.21951219512195,6,281,70.4359681537501,4961.225609756098,28.243902439024392,2,277,70.15831400760885,4922.189024390244,5966378.8,5970888.491145577,12490700.0,0.0,11334426.8,7736169.342538767,24823864.0,5511236.0,1,11,41,MASTER,1,129,0,0,0,21,20,REPLAY
