,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE,Label
0,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:35:03 ,58411201.0,9,11,81,72,54,999,988,944,17,8,9.0,3.0,16,7,8.0,3.0,14,5,6.0,3.0,654,7,90.8181818181818,204.1944260658543,653,6,89.81818181818181,204.1944260658543,649,2,85.81818181818181,204.1944260658543,18.489604416796702,18.14720433500417,17.085764081447326,0.3424000817925316,3074273.736842105,3614203.8558361013,10914948.0,7084.0,52134894.0,6516861.75,5345471.4421957135,16044302.0,2008967.0,56394837.0,5639483.7,11810943.269048395,39118814.0,11604.0,90,9,18,110,11,44,0.1540800368066392,0.1883200449858924,54.0,7,654,153.92445173560068,23692.736842105263,53.0,6,653,153.92445173560068,23692.736842105263,49.9,2,649,153.6506289914678,23608.515789473688,3522125.75,7044251.5,14088503.0,0.0,9511597.75,1222355.5134319898,10914948.0,8084792.0,1,11,20,MASTER,1,129,0,0,0,9,11,REPLAY
1,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:36:16 ,56077687.0,9,6,72,63,45,42,36,12,8,8,8.0,0.0,7,7,7.0,0.0,5,5,5.0,0.0,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,2.032894117048729,1.7654080490160018,1.0164470585243646,0.2674860680327276,4005549.0714285714,3084144.9299288145,10302782.0,40211.0,56077687.0,7009710.875,4336951.900060866,11063562.0,40211.0,44525042.0,8905008.4,6222232.419024566,17812792.0,1533162.0,90,9,18,60,6,24,0.16049164081963652,0.10699442721309102,7.6,7,8,0.5070925528371099,0.25714285714285706,6.6,6,7,0.5070925528371099,0.25714285714285706,3.8,2,5,1.5212776585113297,2.3142857142857136,3139991.6,4438152.167567973,10658000.0,0.0,7273518.0,1991239.3879418413,10302782.0,5026139.0,1,11,15,MASTER,1,129,0,0,0,9,6,REPLAY
2,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:37:56 ,45252931.0,4,7,50,46,38,49,42,14,26,8,12.5,9.0,25,7,11.5,9.0,23,5,9.5,9.0,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,2.187703598690657,1.9446254210583618,1.1490968397163048,0.24307817763229525,4525293.1,6689505.881533727,19938409.0,15129.0,40202057.0,13400685.666666664,5938287.017058567,20163132.0,9036995.0,5275597.0,879266.1666666665,739104.9459283617,1803564.0,15129.0,40,4,8,70,7,28,0.08839206459356191,0.15468611303873336,9.0,7,26,5.656854249492381,32.0,8.0,6,25,5.656854249492381,32.0,4.727272727272728,2,23,6.21435288812776,38.61818181818183,0.0,0.0,0.0,0.0,13325778.0,5810370.809610778,19938409.0,9036995.0,1,11,11,MASTER,1,129,0,0,0,4,7,REPLAY
3,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:38:57 ,52957140.0,5,1,49,44,34,7,6,2,17,8,9.8,4.024922359499621,16,7,8.8,4.024922359499621,14,5,6.8,4.024922359499621,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,1.0574589186651695,0.9441597488081872,0.6797950191418947,0.11329916985698245,10591428.0,8098990.988258815,22926241.0,273158.0,52957140.0,13239285.0,9968212.66830094,22926241.0,273158.0,0.0,0.0,0.0,0.0,0.0,50,5,10,10,1,4,0.09441597488081872,0.018883194976163743,9.333333333333334,7,17,3.777124126457412,14.26666666666667,8.333333333333334,6,16,3.777124126457412,14.26666666666667,6.0,2,14,4.09878030638384,16.8,68289.5,136579.0,273158.0,0.0,13170995.5,6564836.894913815,22926241.0,8772124.0,1,11,6,MASTER,1,129,0,0,0,5,1,REPLAY
4,192.168.1.3-192.168.1.2-20000-40837,192.168.1.3,192.168.1.2,20000,40837,6, 18/05/2020  18:40:41 ,56024539.0,2,4,14,12,4,41,37,29,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,17,8,10.25,4.5,16,7,9.25,4.5,14,5,7.25,4.5,0.9817126741551592,0.8746167460655053,0.5890276044930954,0.10709592808965372,11204907.8,13930644.336645585,35704266.0,2011104.0,2011104.0,2011104.0,-1.0,2011104.0,2011104.0,50001044.0,16667014.666666664,16590497.973789468,35704266.0,5295845.0,20,2,8,40,4,8,0.035698642696551236,0.07139728539310249,9.166666666666666,7,17,3.8686776379877745,14.966666666666667,8.166666666666666,6,16,3.8686776379877745,14.966666666666667,5.5,2,14,4.415880433163924,19.5,2007831.666666667,3477666.459712365,6023495.0,0.0,16667014.666666664,16590497.973789468,35704266.0,5295845.0,11,1,6,OUTSTATION,1,129,0,0,0,4,2,REPLAY
5,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:42:19 ,0.0,1,0,8,7,5,0,0,0,8,8,8.0,-1.0,7,7,7.0,-1.0,5,5,5.0,-1.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,2,0,0,0,0.0,0.0,8.0,8,8,-1.0,-1.0,7.0,7,7,-1.0,-1.0,5.0,5,5,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11,1,MASTER,1,0,0,0,0,1,0,REPLAY
6,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:43:21 ,9037096.0,2,1,25,23,19,7,6,2,17,8,12.5,6.363961030678928,16,7,11.5,6.363961030678928,14,5,9.5,6.363961030678928,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,3.5409605032413065,3.2089954560624343,2.323755330252108,0.3319650471788725,4518548.0,2000922.6861405715,5933414.0,3103682.0,3103682.0,3103682.0,-1.0,3103682.0,3103682.0,0.0,0.0,0.0,0.0,0.0,20,2,4,10,1,4,0.22131003145258168,0.11065501572629084,10.666666666666666,7,17,5.507570547286101,30.333333333333336,9.666666666666666,6,16,5.507570547286101,30.333333333333336,7.0,2,14,6.2449979983983965,39.0,3103682.0,-1.0,3103682.0,3103682.0,5933414.0,-1.0,5933414.0,5933414.0,1,11,3,MASTER,1,129,0,0,0,2,1,REPLAY
7,192.168.1.3-192.168.1.2-20000-40837,192.168.1.3,192.168.1.2,20000,40837,6, 18/05/2020  18:44:27 ,59016874.0,3,5,21,18,6,40,35,25,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,8,8,8.0,0.0,7,7,7.0,0.0,5,5,5.0,0.0,1.0336026947140575,0.8980482429482795,0.5252735005923899,0.13555445176577804,8430982.0,10089669.44639871,30004694.0,115036.0,59016874.0,29508437.0,18993934.66070682,42939177.0,16077697.0,19000048.0,4750012.0,4984154.650702631,10757751.0,115036.0,30,3,12,50,5,10,0.05083291941216676,0.08472153235361128,7.625,7,8,0.5175491695067657,0.26785714285714285,6.625,6,7,0.5175491695067657,0.26785714285714285,3.875,2,5,1.5526475085202969,2.4107142857142856,1510446.75,3020893.5,6041787.0,0.0,13243771.75,11302430.792714588,30004694.0,6065565.0,11,1,8,OUTSTATION,1,129,0,0,0,5,3,REPLAY
8,192.168.1.3-192.168.1.2-20000-40837,192.168.1.3,192.168.1.2,20000,40837,6, 18/05/2020  18:45:28 ,59931654.0,9,7,541,532,496,56,49,35,485,7,60.111111111111114,159.33333333333334,484,6,59.111111111111114,159.33333333333334,480,2,55.111111111111114,159.33333333333334,8,8,8.0,0.0,7,7,7.0,0.0,5,5,5.0,0.0,9.961346970333906,9.694376197259633,8.86009253140252,0.2669707730742756,3995443.6,2236314.5740394527,9001132.0,2007462.0,59931654.0,7491456.75,9754716.636907557,29948011.0,2007729.0,46086122.0,7681020.333333332,1670217.1409194274,9050448.0,4922442.0,90,9,36,70,7,14,0.15017105985428,0.11679971321999555,37.3125,7,485,119.38437572256542,14252.629166666668,36.3125,6,484,119.38437572256542,14252.629166666668,33.1875,2,480,119.15939954531493,14198.9625,4087486.5,3340384.5370207005,8035425.0,0.0,7180319.75,1375544.3769691996,9001132.0,5658369.0,11,1,16,OUTSTATION,1,129,0,0,0,7,9,REPLAY
9,192.168.1.3-192.168.1.2-20000-40837,192.168.1.3,192.168.1.2,20000,40837,6, 18/05/2020  18:46:30 ,55943389.0,9,8,524,515,479,64,56,40,282,7,58.22222222222222,100.53703021496331,281,6,57.22222222222222,100.53703021496331,277,2,53.22222222222222,100.53703021496331,8,8,8.0,0.0,7,7,7.0,0.0,5,5,5.0,0.0,10.510625303733388,10.2067466810064,9.277235599723856,0.3038786227269856,3496461.8125,3102275.0387603445,11002385.0,959.0,46942747.0,5867843.375,7508443.0542924125,18169826.0,7606.0,48204774.0,6886396.285714285,5288578.022400058,14066198.0,959.0,90,9,36,80,8,16,0.16087691791428652,0.14300170481269914,34.588235294117645,7,282,75.64064616951111,5721.507352941176,33.588235294117645,6,281,75.64064616951111,5721.507352941176,30.529411764705888,2,277,75.29534982907212,5669.389705882352,3703149.6,3697885.3831054983,9044623.0,0.0,7485528.2,2007350.4448936412,11002385.0,5936829.0,11,1,17,OUTSTATION,1,129,0,0,0,8,9,REPLAY
