,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE,Label
0,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:35:01 ,41270573.0,15,20,120,105,75,140,120,40,8,8,8.0,0.0,7,7,7.0,0.0,5,5,5.0,0.0,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,6.299888300557398,5.451826413943902,2.786489056015772,0.8480618866134958,1213840.3823529412,1605843.817372869,8084958.0,33.0,34186152.0,2441868.0,1624214.0759073412,8084991.0,2000979.0,41269719.0,2172090.4736842103,2085611.1833943804,10085225.0,206623.0,150,15,30,200,20,80,0.3634550942629268,0.48460679235056897,7.428571428571429,7,8,0.5020964452534339,0.2521008403361345,6.428571428571429,6,7,0.5020964452534339,0.2521008403361345,3.2857142857142856,2,5,1.506289335760301,2.2689075630252096,26101161.0,-1.0,26101161.0,26101161.0,8084958.0,-1.0,8084958.0,8084958.0,1,11,35,MASTER,1,129,0,0,0,15,20,NORMAL
1,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:35:01 ,43601830.0,20,21,169,149,109,591,570,486,17,8,8.45,2.01246117974981,16,7,7.45,2.012461179749811,14,5,5.45,2.012461179749811,282,7,28.142857142857146,68.8471391666246,281,6,27.142857142857146,68.8471391666246,277,2,23.142857142857146,68.8471391666246,17.43046106092336,16.490133556320917,13.646216225328155,0.9403275046024444,1090045.75,1103871.6452102421,3667218.0,390.0,43600899.0,2294784.157894737,1287619.1296218971,7000053.0,212065.0,43595151.0,2179757.55,1117826.3414749687,5333170.0,390.0,200,20,40,210,21,84,0.4586963437085095,0.481631160893935,18.536585365853654,7,282,49.71121481163762,2471.2048780487794,17.536585365853654,6,281,49.71121481163762,2471.2048780487794,14.51219512195122,2,277,49.5182400491069,2452.056097560976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13,41,MASTER,1,129,0,0,0,20,21,NORMAL
2,192.168.1.2-192.168.1.4-48948-20000,192.168.1.2,192.168.1.4,48948,20000,6, 18/05/2020  18:35:01 ,28968641.0,6,7,84,78,66,971,964,936,35,8,14.0,10.899541274750971,34,7,13.0,10.899541274750971,32,5,11.0,10.899541274750971,654,7,138.71428571428572,249.26339100485268,653,6,137.71428571428572,249.26339100485268,649,2,133.71428571428572,249.26339100485268,36.418691508517774,35.969930380924666,34.589126911407405,0.4487611275931101,2414053.416666666,3151291.866263061,9821881.0,29.0,24788037.0,4957607.4,3372399.1446205326,9821910.0,2004889.0,28963754.0,4827292.333333333,5205266.33216302,11822068.0,408.0,60,6,12,70,7,28,0.20712052042758924,0.2416406071655208,81.15384615384616,7,654,187.89130109092602,35303.14102564102,80.15384615384616,6,653,187.89130109092602,35303.14102564102,77.07692307692308,2,649,187.53642381257637,35169.91025641025,4095652.0,117102.53981874176,4178456.0,4012848.0,8298366.5,2154574.8683720645,9821881.0,6774852.0,1,12,13,MASTER,1,129,0,0,0,6,7,NORMAL
3,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:35:46 ,41005952.0,12,13,123,111,87,1182,1169,1117,17,8,10.25,4.070403151799809,16,7,9.25,4.070403151799809,14,5,7.25,4.070403151799809,654,7,90.92307692307692,189.56857226276608,653,6,89.92307692307692,189.56857226276608,649,2,85.92307692307692,189.56857226276608,31.82464828520504,31.21498069353444,29.361591214855828,0.6096675916705946,1708581.333333333,2298618.5963376705,9034960.0,51.0,41005952.0,3727813.8181818174,2986015.957336961,9035011.0,579059.0,30030994.0,2502582.833333333,2305906.2231617244,6680807.0,448.0,120,12,24,130,13,52,0.2926404440018854,0.31702714766870915,52.2,7,654,140.24205265658847,19667.83333333333,51.2,6,653,140.24205265658847,19667.83333333333,48.16,2,649,139.94632304327732,19584.97333333333,3142521.5,4444196.525349041,6285043.0,0.0,7857470.0,1665222.327558696,9034960.0,6679980.0,1,11,25,MASTER,1,129,0,0,0,12,13,NORMAL
4,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:35:47 ,43218824.0,5,3,40,35,25,38,35,23,8,8,8.0,0.0,7,7,7.0,0.0,5,5,5.0,0.0,24,7,12.666666666666664,9.814954576223636,23,6,11.666666666666664,9.814954576223636,19,2,7.666666666666668,9.814954576223636,1.8047691441118343,1.6196646165106203,1.1106271656072826,0.18510452760121374,6174117.714285715,6930120.4541372815,17519173.0,7692.0,43211132.0,10802783.0,6814668.606504696,17519173.0,2210978.0,15052450.0,7526225.0,7803774.686958102,13044327.0,2008123.0,50,5,10,30,3,12,0.11569032975075863,0.06941419785045516,9.75,7,24,5.775564289066727,33.357142857142854,8.75,6,23,5.775564289066727,33.357142857142854,6.0,2,19,5.42481072744215,29.42857142857143,652961.3333333335,1130962.2047112507,1958884.0,0.0,13013756.666666664,4418178.145298392,17519173.0,8688317.0,1,13,8,MASTER,1,129,0,0,0,5,3,NORMAL
5,192.168.1.2-192.168.1.4-48948-20000,192.168.1.2,192.168.1.4,48948,20000,6, 18/05/2020  18:35:48 ,43852839.0,4,3,50,46,38,668,665,653,17,8,12.5,5.196152422706632,16,7,11.5,5.196152422706632,14,5,9.5,5.196152422706632,485,7,222.66666666666663,242.39293169012447,484,6,221.66666666666663,242.39293169012447,480,2,217.66666666666663,242.39293169012447,16.37294223983993,16.213317454771854,15.757246640291633,0.15962478506807734,7308806.5,7071172.47898165,17103678.0,41.0,43560002.0,14520000.666666664,14508607.954870425,31225100.0,5069978.0,29731417.0,14865708.5,13439062.886731073,24368561.0,5362856.0,40,4,8,30,3,12,0.0912141628960442,0.06841062217203314,102.57142857142857,7,485,179.49452836865453,32218.285714285717,101.57142857142857,6,484,179.49452836865453,32218.285714285717,98.71428571428572,2,480,178.82739749612782,31979.238095238084,10.25,20.5,41.0,0.0,10889990.25,5658798.805799712,17103678.0,5069978.0,1,12,7,MASTER,1,129,0,0,0,4,3,NORMAL
6,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:36:32 ,43507357.0,12,13,105,93,69,535,522,470,17,8,8.75,2.598076211353316,16,7,7.75,2.598076211353316,14,5,5.75,2.598076211353316,282,7,41.153846153846146,86.13056576485701,281,6,40.153846153846146,86.13056576485701,277,2,36.153846153846146,86.13056576485701,14.710155801925636,14.13554034091292,12.388709339434246,0.5746154610127202,1812806.541666667,3247292.4490483636,13068258.0,37.0,43507357.0,3955214.272727273,4076438.756740302,13068307.0,762912.0,43506152.0,3625512.666666666,4850441.758567495,15068335.0,538.0,120,12,24,130,13,52,0.2758154212861057,0.2988000397266145,25.6,7,282,63.12949653952053,3985.333333333334,24.6,6,281,63.12949653952053,3985.333333333334,21.56,2,277,62.87028975067106,3952.6733333333336,10093300.5,8614535.544092003,16184697.0,4001904.0,11660359.5,1991069.1531447368,13068258.0,10252461.0,1,13,25,MASTER,1,129,0,0,0,12,13,NORMAL
7,192.168.1.3-192.168.1.2-20000-40837,192.168.1.3,192.168.1.2,20000,40837,6, 18/05/2020  18:36:34 ,38510996.0,9,6,63,54,18,48,42,30,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,8,8,8.0,0.0,7,7,7.0,0.0,5,5,5.0,0.0,2.882293670098795,2.492794525490849,1.2463972627454247,0.3894991446079452,2750785.4285714286,3709930.1301242183,11063667.0,16.0,38510996.0,4813874.5,5160836.090892498,13063528.0,10893.0,34065780.0,6813156.0,4516091.715083022,11063683.0,2000946.0,90,9,36,60,6,12,0.23369948676476715,0.1557996578431781,7.4,7,8,0.5070925528371099,0.25714285714285706,6.4,6,7,0.5070925528371099,0.25714285714285706,3.2,2,5,1.5212776585113297,2.3142857142857136,6374497.5,5587848.405823167,10325703.0,2423292.0,10869449.0,274665.7296569777,11063667.0,10675231.0,11,1,15,OUTSTATION,1,129,0,0,0,6,9,NORMAL
8,192.168.1.2-192.168.1.4-48948-20000,192.168.1.2,192.168.1.4,48948,20000,6, 18/05/2020  18:36:34 ,34822888.0,8,7,82,74,58,510,503,475,17,8,10.25,4.166190448976482,16,7,9.25,4.166190448976482,14,5,7.25,4.166190448976482,468,7,72.85714285714286,174.24162205725375,467,6,71.85714285714286,174.24162205725375,463,2,67.85714285714286,174.24162205725375,17.00031312738909,16.56956195017484,15.306025163679704,0.4307511772142506,2487349.1428571427,3156586.5422723973,10965897.0,29.0,29046613.0,4149516.142857143,3271605.732915333,10965926.0,2000988.0,34822087.0,5803681.166666668,5316871.690602225,12965923.0,401.0,80,8,16,70,7,28,0.22973396118093364,0.20101721603331693,39.46666666666667,7,468,118.59767925136444,14065.40952380952,38.46666666666667,6,467,118.59767925136444,14065.40952380952,35.53333333333333,2,463,118.32030780088108,13999.695238095239,4334332.0,7507258.12614892,13002967.0,0.0,7273297.333333332,3216902.857673252,10965897.0,5077720.0,1,12,15,MASTER,1,129,0,0,0,8,7,NORMAL
9,192.168.1.5-192.168.1.2-20000-51789,192.168.1.5,192.168.1.2,20000,51789,6, 18/05/2020  18:37:24 ,37063272.0,15,10,549,534,474,89,79,59,282,7,36.6,80.64188915020709,281,6,35.6,80.64188915020709,277,2,31.6,80.64188915020709,17,8,8.9,2.846049894151541,16,7,7.9,2.846049894151541,14,5,5.9,2.846049894151541,17.213806703304556,16.539284497062216,14.38081343708672,0.6745222062423415,1544303.0,2267956.943582484,9714493.0,28.0,37063272.0,2647376.5714285714,2994801.5975214764,11714467.0,469.0,31006072.0,3445119.1111111115,3460413.0510598887,9714521.0,981063.0,150,15,60,100,10,20,0.4047133237454049,0.26980888249693663,25.52,7,282,63.15333192582426,3988.3433333333332,24.52,6,281,63.15333192582426,3988.3433333333332,21.32,2,277,62.941586676325024,3961.643333333335,11019193.0,2359468.250609022,12687589.0,9350797.0,7512443.0,3114168.975023674,9714493.0,5310393.0,13,1,25,OUTSTATION,1,129,0,0,0,10,15,NORMAL
