,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE, Label
0,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  18:35:01 ,116109057.0,32,40,283,251,187,1371,1331,1171,17,8,8.84375,2.665301229722691,16,7,7.84375,2.665301229722691,14,5,5.84375,2.665301229722691,654,7,34.275,112.43664597885495,653,6,33.275,112.43664597885495,649,2,29.275,112.43664597885495,14.245228087590101,13.625121423559575,11.695900691020167,0.6201066640305243,1635338.8309859154,2207503.032178128,10675231.0,33.0,116109057.0,3745453.4516129033,3078541.3110152977,10914893.0,579059.0,114108342.0,2925854.923076923,3206800.8192435936,12865432.0,448.0,320,32,64,400,40,160,0.2756029617913441,0.3445037022391801,22.972222222222218,7,654,84.31630123616138,7109.238654147106,21.972222222222218,6,653,84.31630123616138,7109.238654147106,18.86111111111111,2,649,84.17107086510798,7084.769170579029,12946078.2,9604718.613641094,26101161.0,2423292.0,8210592.6,1715989.7787288243,10675231.0,6577834.0,1,11,72,MASTER,1,129,0,0,0,32,40,NORMAL
1,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:35:01 ,118053881.0,33,34,282,249,183,1143,1109,973,17,8,8.545454545454545,2.180752580689019,16,7,7.545454545454546,2.180752580689019,14,5,5.545454545454546,2.180752580689019,282,7,33.617647058823536,74.78697614128082,281,6,32.617647058823536,74.78697614128082,277,2,28.617647058823533,74.78697614128082,12.07075945262655,11.503221990643409,9.79213889630617,0.5675374619831429,1788695.166666667,3165139.427285083,17519173.0,49.0,118040953.0,3688779.78125,4133369.9223344875,17519173.0,212065.0,118047202.0,3577187.9393939395,5709102.497998284,30166406.0,390.0,330,33,66,340,34,136,0.2795333767976675,0.2880040851854756,21.26865671641791,7,282,54.390725058696106,2958.3509724106734,20.26865671641791,6,281,54.390725058696106,2958.3509724106734,17.253731343283587,2,277,54.165667109728105,2933.919493441881,13945419.5,21393549.395532,45601862.0,0.0,13027382.0,3607530.2744715344,17519173.0,8688317.0,1,13,67,MASTER,1,129,0,0,0,33,34,NORMAL
2,192.168.1.2-192.168.1.4-48948-20000,192.168.1.2,192.168.1.4,48948,20000,6, 18/05/2020  18:35:01 ,116610053.0,17,16,199,182,148,2142,2126,2062,35,8,11.705882352941178,7.156856030080116,34,7,10.705882352941176,7.156856030080116,32,5,8.705882352941176,7.156856030080116,654,7,133.875,216.98598265018563,653,6,132.875,216.98598265018563,649,2,128.875,216.98598265018563,20.07545610154212,19.79246163278907,18.952053816492132,0.28299446875304995,3644064.15625,5090422.86050008,17819341.0,29.0,116610053.0,7288128.3125,8247125.188938464,31225100.0,2000988.0,116605137.0,7773675.8,9416080.213861106,31940763.0,401.0,170,17,34,160,16,64,0.1457850293576318,0.13720943939541816,70.93939393939394,7,654,161.05937169913838,25940.121212121212,69.93939393939394,6,653,161.05937169913838,25940.121212121212,66.96969696969697,2,649,160.67134250708898,25815.280303030297,3458511.5,5200569.607991142,15296143.0,0.0,11117741.5,4806958.208922888,17819341.0,5069978.0,1,12,33,MASTER,1,129,0,0,0,17,16,NORMAL
3,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:37:01 ,118028022.0,18,20,171,153,117,1231,1211,1131,17,8,9.5,3.451342449813167,16,7,8.5,3.451342449813167,14,5,6.5,3.451342449813167,654,7,61.55,156.15123404807548,653,6,60.55,156.15123404807548,649,2,56.55,156.15123404807548,11.878535082118043,11.556577640519974,10.573760187220623,0.3219574415980639,3189946.5405405406,4691405.786268982,18418460.0,28.0,118028022.0,6942824.823529412,6722157.979744397,22000046.0,981063.0,99598306.0,5242016.105263158,6336858.280468168,21264012.0,469.0,180,18,36,200,20,80,0.1525061565464513,0.16945128505161255,36.89473684210526,7,654,114.97938463250452,13220.258890469418,35.89473684210526,6,653,114.97938463250452,13220.258890469418,32.8421052631579,2,649,114.7517947373725,13167.974395448078,3912554.875,4840467.359369266,12687589.0,0.0,10840947.875,4563396.759645743,18418460.0,5310393.0,1,13,38,MASTER,1,129,0,0,0,18,20,NORMAL
4,192.168.1.2-192.168.1.4-48948-20000,192.168.1.2,192.168.1.4,48948,20000,6, 18/05/2020  18:37:03 ,118328895.0,11,17,187,176,154,1468,1451,1383,62,8,17.0,16.099689437998485,61,7,16.0,16.099689437998485,59,5,14.0,16.099689437998485,282,7,86.35294117647058,113.41292980546277,281,6,85.3529411764706,113.41292980546277,277,2,81.3529411764706,113.41292980546277,13.986440082956914,13.749811489408398,12.989219581573884,0.23662859354851576,4382551.666666667,9211789.407410046,33384991.0,31.0,118327344.0,11832734.4,14011682.77827941,39161301.0,163972.0,112552620.0,7034538.75,11390678.970391296,33384991.0,360.0,110,11,22,170,17,68,0.09296123317977403,0.14366736036874173,59.10714285714285,7,282,94.38194243710531,8907.951058201059,58.10714285714285,6,281,94.38194243710531,8907.951058201059,54.89285714285714,2,277,94.02298351239143,8840.321428571431,1297033.333333333,2335655.306862694,6003064.0,0.0,18092305.83333333,12210231.090131512,33384991.0,5776275.0,1,12,28,MASTER,1,129,0,0,0,11,17,NORMAL
5,192.168.1.3-192.168.1.2-20000-40837,192.168.1.3,192.168.1.2,20000,40837,6, 18/05/2020  18:37:08 ,108556276.0,27,20,1982,1955,1847,277,257,217,468,7,73.4074074074074,124.96315126383928,467,6,72.4074074074074,124.96315126383928,463,2,68.4074074074074,124.96315126383928,89,8,13.85,18.2994823050156,88,7,12.85,18.2994823050156,86,5,10.85,18.2994823050156,20.809483184555816,20.376528023124155,19.013179855211693,0.4329551614316615,2359919.0434782607,4882127.409939269,25769681.0,16.0,101513152.0,3904352.0,6324467.274892228,25769864.0,362.0,108556260.0,5713487.368421053,7671199.65816093,29792768.0,4871.0,270,27,108,200,20,40,0.2487189225245715,0.18423623890708998,48.06382978723404,7,468,99.25010223525982,9850.582793709526,47.06382978723404,6,467,99.25010223525982,9850.582793709526,43.914893617021285,2,463,98.9549369964263,9792.0795559667,6295956.5,11106052.114187052,28726575.0,0.0,11796756.166666664,8865247.160097577,25769681.0,5051454.0,11,1,47,OUTSTATION,1,129,0,0,0,20,27,NORMAL
6,192.168.1.5-192.168.1.2-20000-51789,192.168.1.5,192.168.1.2,20000,51789,6, 18/05/2020  18:39:04 ,108813379.0,5,4,923,918,898,59,55,47,282,7,184.6,112.54243644066,281,6,183.6,112.54243644066,277,2,179.6,112.54243644066,17,8,14.75,4.5,16,7,13.75,4.5,14,5,11.75,4.5,9.02462554719489,8.941915129756243,8.68459383105822,0.08271041743864971,13601672.375,17039550.935597274,39868103.0,464.0,108813379.0,27203344.75,33473722.76687264,70031294.0,464.0,70032478.0,23344159.33333333,15175614.121188715,39868103.0,10030581.0,50,5,20,40,4,8,0.04595023191036095,0.03676018552828876,109.11111111111113,7,282,119.80864372452896,14354.111111111111,108.11111111111113,6,281,119.80864372452896,14354.111111111111,105.0,2,277,119.02310700027957,14166.5,413.0,826.0,1652.0,0.0,26914337.0,14301635.649376405,39868103.0,10030581.0,13,1,9,OUTSTATION,1,129,0,0,0,4,5,NORMAL
7,192.168.1.3-192.168.1.2-20000-40837,192.168.1.3,192.168.1.2,20000,40837,6, 18/05/2020  18:39:16 ,109704890.0,14,10,986,972,916,107,97,77,282,7,70.42857142857143,108.14784345494844,281,6,69.42857142857143,108.14784345494844,277,2,65.42857142857143,108.14784345494844,17,8,10.7,4.347413023856832,16,7,9.7,4.347413023856832,14,5,7.7,4.347413023856832,9.963092802882349,9.744324067960873,9.051556407376188,0.21876873492147889,4769777.826086956,9831588.759677866,44041433.0,498.0,109704890.0,8438837.692307692,13280799.47274878,44052547.0,498.0,82320700.0,9146744.444444444,13458361.221864644,44042992.0,2001014.0,140,14,56,100,10,20,0.12761509537086269,0.0911536395506162,45.54166666666666,7,282,86.73496820858891,7522.954710144928,44.54166666666666,6,281,86.73496820858891,7522.954710144928,41.375,2,277,86.39082705935856,7463.375,1566634.7142857143,2302889.2147124456,6023965.0,0.0,13466195.714285715,14973119.827345733,44041433.0,5029293.0,11,1,24,OUTSTATION,1,129,0,0,0,10,14,NORMAL
8,192.168.1.2-192.168.1.4-48948-20000,192.168.1.2,192.168.1.4,48948,20000,6, 18/05/2020  18:39:39 ,106434624.0,16,15,182,166,134,1674,1659,1599,35,8,11.375,7.256031973468693,34,7,10.375,7.256031973468693,32,5,8.375,7.256031973468693,654,7,111.6,204.79285701829127,653,6,110.6,204.79285701829127,649,2,106.6,204.79285701829127,17.437934482673608,17.14667587870654,16.282295505642974,0.29125860396707004,3547820.8,4819302.836740111,17189785.0,33.0,105048180.0,7003212.0,7248261.62576206,27633839.0,2000915.0,106433729.0,7602409.214285715,7433338.628528877,23175889.0,1386492.0,160,16,32,150,15,60,0.15032702140235868,0.14093158256471128,59.87096774193547,7,654,148.96526260294908,22190.649462365593,58.87096774193547,6,653,148.96526260294908,22190.649462365593,55.903225806451616,2,649,148.62107406392263,22088.22365591397,2831585.625,3418685.4030574365,8003998.0,0.0,10299430.875,4504295.09178801,17189785.0,5074131.0,1,12,31,MASTER,1,129,0,0,0,16,15,NORMAL
9,192.168.1.5-192.168.1.2-20000-51789,192.168.1.5,192.168.1.2,20000,51789,6, 18/05/2020  18:41:10 ,116928033.0,8,5,1866,1858,1826,85,80,70,485,7,233.25,137.07636036687205,484,6,232.25,137.07636036687205,480,2,228.25,137.07636036687205,35,8,17.0,11.0227038425243,34,7,16.0,11.0227038425243,32,5,14.0,11.0227038425243,16.68547695487189,16.574297456966544,16.21510215604157,0.11117949790534833,9744002.75,16620559.458508145,45128205.0,24.0,71799828.0,10257118.285714284,19086979.641805824,52181758.0,383.0,116928009.0,29232002.25,17347216.99094498,45129987.0,11796156.0,80,8,32,50,5,10,0.06841815255713743,0.0427613453482109,150.0769230769231,7,485,151.63138501997838,22992.07692307692,149.0769230769231,6,484,151.63138501997838,22992.07692307692,145.84615384615384,2,480,150.90164907086896,22771.30769230769,8637.4,17223.580835587007,39401.0,0.0,23376969.2,19010556.71980011,45128205.0,7818104.0,13,1,13,OUTSTATION,1,129,0,0,0,5,8,NORMAL
