,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,192.168.1.2-192.168.1.3-40837-20000-6,192.168.1.2,40837,192.168.1.3,20000,6,18/05/2020 06:35:01 PM,114108610,30,33,558.0,1928.0,27.0,18.0,18.599999999999994,2.2833731853221613,664.0,17.0,58.42424242424242,130.1194235844111,21.78626135223276,0.5521055773091971,1840461.4516129037,2746551.240913341,12864945.0,228.0,112099108.0,3865486.4827586208,3451403.926628705,14899883.0,35779.0,114108610.0,3565894.0625000005,3264626.5097892643,12865233.0,228.0,0,1,0,0,960,1056,0.26290741776628423,0.2891981595429127,17.0,664.0,39.12500000000001,94.89518026799486,9005.09523809524,0,0,0,1,1,0,0,0,1.0,39.746031746031754,18.6,58.42424242424242,0,0,0,0,0,0,30,558,33,1928,-1,283,30,0,6187081.875,7958214.441618267,24100314.0,294.0,7789947.25,2896760.867881954,12864945.0,5049646.0,REPLAY
1,192.168.1.2-192.168.1.3-40837-20000-6,192.168.1.2,40837,192.168.1.3,20000,6,18/05/2020 06:37:02 PM,107550524,21,26,495.0,2236.0,99.0,18.0,23.57142857142857,17.88175446809241,478.0,17.0,86.0,126.6955405687193,25.392716822095636,0.4370039145508952,2338054.869565217,4675314.627880384,25782042.0,228.0,97500969.0,4875048.45,6041638.407468305,25782314.0,852.0,107550524.0,4302020.96,7983311.2305628415,35830077.0,257.0,0,1,0,0,672,832,0.19525706820359146,0.2417468463473037,17.0,478.0,57.270833333333314,98.34151080915396,9671.052748226948,0,0,0,1,1,0,0,0,1.0,58.48936170212766,23.57142857142857,86.0,0,0,0,0,0,0,21,495,26,2236,-1,283,21,0,5345663.6,11952234.695387755,26726471.0,253.0,11113942.857142858,6899495.97439587,25782042.0,5259963.0,REPLAY
2,192.168.1.2-192.168.1.3-40837-20000-6,192.168.1.2,40837,192.168.1.3,20000,6,18/05/2020 06:39:07 PM,118022830,10,13,198.0,1110.0,27.0,18.0,19.8,3.794733192202056,292.0,17.0,85.38461538461539,110.89750407586465,11.082601561070854,0.19487755038580248,5364674.09090909,10890060.178891238,44041966.0,200.0,108976628.0,12108514.222222222,14672938.453655856,44043000.0,969966.0,118022830.0,9835235.833333334,14983324.738019345,44042207.0,243.0,0,1,0,0,320,416,0.0847293697329576,0.11014818065284487,17.0,292.0,55.24999999999999,86.84531475935921,7542.108695652175,0,0,0,1,1,0,0,0,1.0,57.65217391304348,19.8,85.38461538461539,0,0,0,0,0,0,10,198,13,1110,-1,283,10,0,1393412.0,1681721.9847390056,4023256.0,243.0,18509250.666666668,14526856.332271902,44041966.0,8030528.0,REPLAY
3,192.168.1.2-192.168.1.3-40837-20000-6,192.168.1.2,40837,192.168.1.3,20000,6,18/05/2020 06:41:25 PM,61914487,5,9,180.0,1963.0,90.0,18.0,36.0,30.5204849240637,495.0,17.0,218.11111111111111,148.75772622324902,34.612254802337304,0.22611832348703784,4762652.846153846,11305963.700498665,39010567.0,21.0,61913894.0,15478473.499999998,17091000.355676737,39010567.0,1749427.0,58340562.0,7292570.249999997,14819187.797456818,40623325.0,320.0,0,1,0,0,160,288,0.08075654410251352,0.14536177938452433,17.0,495.0,162.33333333333331,147.6896682074887,21812.2380952381,0,0,0,1,1,0,0,0,1.0,173.9285714285714,36.0,218.11111111111111,0,0,0,0,0,0,5,180,9,1963,-1,303,5,0,894358.0,1209250.1765648,1749427.0,39289.0,28053337.0,15495863.272041347,39010567.0,17096107.0,REPLAY
4,192.168.1.2-192.168.1.3-40837-20000-6,192.168.1.2,40837,192.168.1.3,20000,6,18/05/2020 06:43:30 PM,117993870,18,24,342.0,1741.0,27.0,18.0,19.0,2.9104275004359965,292.0,17.0,72.54166666666667,101.83574975192276,17.65345945513949,0.35595069472676844,2877899.268292685,7783698.322788129,47543192.0,299.0,65029966.0,3825292.1176470583,4421266.176089646,14923920.0,3114.0,117993870.0,5130168.260869564,10015442.394064628,47543498.0,375.0,0,1,0,0,576,768,0.1525502977400436,0.2034003969867248,17.0,292.0,48.86046511627906,80.04867013420463,6407.789590254704,0,0,0,1,1,0,0,0,1.0,50.023809523809526,19.0,72.54166666666667,0,0,0,0,0,0,18,342,24,1741,-1,303,18,0,2679593.5,4854043.052832998,12017431.0,322.0,15317340.166666668,16104231.291125787,47543192.0,5419394.0,REPLAY
5,192.168.1.2-192.168.1.3-40837-20000-6,192.168.1.2,40837,192.168.1.3,20000,6,18/05/2020 06:45:30 PM,114132401,31,27,576.0,1399.0,27.0,18.0,18.58064516129032,2.2475793430323665,495.0,17.0,51.814814814814824,107.45912891636702,17.304463786755875,0.5081817213325776,2002322.8245614043,2742451.1469333298,9051259.0,216.0,112120010.0,3737333.666666667,2844757.398236215,9051672.0,30283.0,114132401.0,4389707.73076923,4499980.85134209,18169785.0,339.0,0,1,0,0,992,864,0.27161436829844665,0.23656735303413096,17.0,495.0,33.77966101694917,73.87992770113198,5458.243717124489,0,0,0,1,1,0,0,0,0.0,34.36206896551724,18.580645161290324,51.814814814814824,0,0,0,0,0,0,31,576,27,1399,-1,303,31,0,7235990.333333334,6992930.565481332,17119573.0,321.0,8391843.0,896630.338669175,9051259.0,6742758.0,REPLAY
6,192.168.1.2-192.168.1.3-40837-20000-6,192.168.1.2,40837,192.168.1.3,20000,6,18/05/2020 06:47:31 PM,113620990,29,30,567.0,2355.0,45.0,18.0,19.551724137931032,5.415495010328839,698.0,17.0,78.5,147.892260411609,25.71707921221246,0.5192702510337218,1958982.586206897,3237575.681794934,13477410.0,217.0,112804136.0,4028719.142857143,3690087.6336765857,13477410.0,233184.0,113620990.0,3917965.172413793,6777389.198005997,33326934.0,296.0,0,1,0,0,928,960,0.2552345301691175,0.2640357208646043,17.0,698.0,49.00000000000001,107.93359540453173,11649.661016949152,0,0,0,1,1,0,0,0,1.0,49.83050847457627,19.55172413793104,78.5,0,0,0,0,0,0,29,567,30,2355,-1,322,29,0,2490919.5,3572711.220107147,8640494.0,243.0,8261826.9,3010538.8718473436,13477410.0,5032042.0,REPLAY
7,192.168.1.2-192.168.1.3-40837-20000-6,192.168.1.2,40837,192.168.1.3,20000,6,18/05/2020 06:49:35 PM,118523146,27,27,594.0,1365.0,117.0,18.0,22.000000000000004,19.06466727906728,292.0,17.0,50.55555555555554,84.12597391519155,16.528417158282313,0.455607211101197,2236285.773584905,4095651.206315673,24823864.0,212.0,118521747.0,4558528.730769231,5046190.611205974,24824076.0,860068.0,118523146.0,4558582.538461539,6688125.402433737,33859915.0,391.0,0,1,0,0,864,864,0.2278036055505985,0.2278036055505985,17.0,292.0,35.94545454545454,61.5829516397187,3792.4599326599323,0,0,0,1,1,0,0,0,1.0,36.611111111111114,22.0,50.555555555555564,0,0,0,0,0,0,27,594,27,1365,-1,322,27,0,5537132.857142856,5562603.30482642,12490700.0,299.0,9483802.0,6498378.569333278,24823864.0,5039366.0,REPLAY
8,192.168.1.2-192.168.1.3-40837-20000-6,192.168.1.2,40837,192.168.1.3,20000,6,18/05/2020 06:51:42 PM,119654204,39,40,720.0,2030.0,27.0,18.0,18.461538461538463,2.0111027852786307,292.0,17.0,50.75000000000001,83.670829398947,22.98289494283043,0.6602358910849468,1534028.2564102563,2373157.127928146,11040953.0,207.0,118681107.0,3123187.02631579,2606146.65440988,11041160.0,603279.0,119654204.0,3068056.512820513,3654653.6590986364,15967240.0,325.0,0,1,0,0,1248,1280,0.3259392373710497,0.3342966537138971,17.0,292.0,34.59999999999999,61.009565550064316,3722.1670886075954,0,0,0,1,1,0,0,0,1.0,35.037974683544306,18.46153846153846,50.75,0,0,0,0,0,0,39,720,40,2030,-1,322,39,0,10278422.2,13323889.794876108,32317188.0,297.0,8033670.142857143,2103936.858581346,11040953.0,5039296.0,REPLAY
9,192.168.1.2-192.168.1.3-40837-20000-6,192.168.1.2,40837,192.168.1.3,20000,6,18/05/2020 06:53:44 PM,89170838,16,18,315.0,2117.0,27.0,18.0,19.6875,3.6280159867343467,292.0,17.0,117.61111111111113,120.4423898843167,27.273490465571264,0.38129057394301935,2702146.6060606055,4740671.810430484,22092862.0,129.0,87170124.0,5811341.6000000015,5690411.67704617,22093936.0,867.0,81129115.0,4772300.882352942,6491693.861050769,22093254.0,333.0,0,1,0,0,512,576,0.17943085832612676,0.2018597156168926,17.0,292.0,69.99999999999999,98.6398678497278,9729.823529411764,0,0,0,1,1,0,0,0,1.0,72.05882352941177,19.6875,117.61111111111113,0,0,0,0,0,0,16,315,18,2117,-1,342,16,0,3109958.666666666,5222416.11738443,13411076.0,279.0,10073012.285714284,5786526.348513091,22092862.0,5623632.0,REPLAY
10,192.168.1.2-192.168.1.3-40837-20000-6,192.168.1.2,40837,192.168.1.3,20000,6,18/05/2020 06:55:45 PM,105282932,7,13,171.0,2929.0,27.0,18.0,24.42857142857143,4.3915503282684,478.0,17.0,225.3076923076923,152.14816496614114,29.44446873876955,0.18996431444367448,5541206.947368422,10826541.979176397,45846566.0,362.0,89824140.0,14970690.0,16141913.50154272,46049309.0,1954300.0,105282932.0,8773577.666666668,13000719.581620775,45846928.0,415.0,0,1,0,0,248,416,0.06648751005528608,0.1234768043883884,17.0,478.0,148.9047619047619,154.4525508892309,23855.590476190475,0,0,0,1,1,0,0,0,1.0,156.35,24.42857142857143,225.3076923076923,0,0,0,0,0,0,7,171,13,2929,-1,352,7,0,2584495.0,2813885.6540653,7288020.0,362.0,18366924.8,15563944.029779268,45846566.0,8042716.0,REPLAY
11,192.168.1.2-192.168.1.3-40837-20000-6,192.168.1.2,40837,192.168.1.3,20000,6,18/05/2020 06:57:48 PM,105017147,4,8,90.0,1495.0,27.0,18.0,22.5,5.196152422706632,292.0,17.0,186.875,112.01586303478884,15.092773373475858,0.11426705393167842,9547013.363636363,16626850.089078493,42753851.0,387.0,104995118.0,34998372.666666664,14925743.241811087,45980442.0,18004146.0,105017147.0,15002449.571428575,19113067.36790602,42754559.0,546.0,0,1,0,0,128,256,0.038089017977226136,0.07617803595445229,17.0,292.0,124.0,119.07910535998049,14179.833333333336,0,0,0,1,1,0,0,0,2.0,134.33333333333334,22.5,186.875,0,0,0,0,0,0,4,90,8,1495,-1,352,4,0,1911338.6666666663,1698157.0478505024,3247518.0,387.0,33094009.66666667,15246189.475072036,42753851.0,15518035.0,REPLAY
