,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE,Label
0,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:35:01 ,73756389.0,35,23,289,254,184,622,599,507,17,8,8.257142857142858,1.52127765851133,16,7,7.257142857142857,1.52127765851133,14,5,5.257142857142857,1.52127765851133,282,7,27.04347826086957,65.79408529707706,281,6,26.04347826086957,65.79408529707706,277,2,22.043478260869566,65.79408529707706,12.351472358550525,11.565099804438633,9.368679911919225,0.7863725541118886,1293971.7368421052,1715383.1593793568,7476106.0,246.0,72378697.0,2128785.2058823532,1777593.7450590555,7476106.0,578.0,73756041.0,3352547.3181818184,5224348.741325393,26197243.0,441.0,350,35,70,230,23,92,0.4745351619640707,0.31183739214781786,15.70689655172414,7,282,41.929769444134,1758.1055656382337,14.70689655172414,6,281,41.929769444134,1758.1055656382337,11.913793103448276,2,277,41.722678625368026,1740.7819116757412,17439277.666666668,17400904.94023757,36903245.0,3387922.0,6495044.0,1075960.2110728815,7476106.0,5344340.0,1,13,58,MASTER,1,129,0,0,0,35,23,REPLAY
1,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:36:28 ,66479222.0,23,23,202,179,133,1049,1026,934,17,8,8.782608695652174,2.5929365896802734,16,7,7.782608695652174,2.5929365896802734,14,5,5.782608695652174,2.5929365896802734,282,7,45.60869565217392,88.95542250855698,281,6,44.60869565217392,88.95542250855698,277,2,40.60869565217392,88.95542250855698,18.81790975231329,18.125964229846133,16.050127662444662,0.6919455224671553,1477316.0444444444,2738520.722122446,12046344.0,266.0,66478797.0,3021763.5,3290344.5255629495,12046620.0,234786.0,66478772.0,3021762.3636363638,3412311.8161337967,12046803.0,509.0,230,23,46,230,23,92,0.3459727612335777,0.3459727612335777,27.195652173913047,7,282,64.94976505482009,4218.471980676329,26.195652173913047,6,281,64.94976505482009,4218.471980676329,23.195652173913047,2,277,64.66722321589282,4181.849758454107,7887006.0,8838692.708474992,17440473.0,459.0,10710075.333333334,2106832.514353557,12046344.0,8281392.0,1,13,46,MASTER,1,129,0,0,0,23,23,REPLAY
2,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:37:45 ,55531036.0,8,6,82,74,58,964,958,934,17,8,10.25,4.166190448976482,16,7,9.25,4.166190448976482,14,5,7.25,4.166190448976482,654,7,160.66666666666666,265.53844668271046,653,6,159.66666666666666,265.53844668271046,649,2,155.66666666666666,265.53844668271046,18.836313444611406,18.58420217479825,17.86388426104638,0.25211126981315457,4271618.153846154,5255886.901242324,16603670.0,293.0,54935791.0,7847970.142857143,4782465.754188363,16603670.0,1969977.0,55530672.0,11106134.4,7542778.268486506,21264136.0,2564454.0,80,8,16,60,6,24,0.14406358275037404,0.10804768706278052,74.71428571428571,7,654,181.92281904124093,33095.91208791209,73.71428571428571,6,653,181.92281904124093,33095.91208791209,70.85714285714286,2,649,181.4890787741392,32938.28571428571,932297.6,2084075.9588470615,4660406.0,0.0,9660865.2,4361475.693530539,16603670.0,5396585.0,1,13,14,MASTER,1,129,0,0,0,8,6,REPLAY
3,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:39:04 ,65816850.0,5,4,49,44,34,472,468,452,17,8,9.8,4.024922359499621,16,7,8.8,4.024922359499621,14,5,6.8,4.024922359499621,282,7,118.0,135.27995663314897,281,6,117.0,135.27995663314897,277,2,113.0,135.27995663314897,7.915906033181473,7.779162934719603,7.384127316940874,0.13674309846186805,8227106.25,12699741.321709247,32833926.0,367.0,65816850.0,16454212.5,13994788.06684766,32833926.0,4793509.0,61000058.0,20333352.666666668,18996683.49844836,37627629.0,540.0,50,5,10,40,4,16,0.07596838803437113,0.060774710427496915,57.88888888888889,7,282,100.61243020179519,10122.861111111111,56.88888888888889,6,281,100.61243020179519,10122.861111111111,54.0,2,277,100.01874824251699,10003.75,2397322.5,3388719.446275318,4793509.0,1136.0,28102724.0,6690930.034726713,32833926.0,23371522.0,1,13,9,MASTER,1,129,0,0,0,5,4,REPLAY
4,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:40:51 ,30971639.0,3,7,69,66,60,1859,1852,1824,35,17,23.0,10.392304845413264,34,16,22.0,10.392304845413264,32,14,20.0,10.392304845413264,485,176,265.57142857142856,110.323550134528,484,175,264.57142857142856,110.323550134528,480,171,260.57142857142856,110.323550134528,62.25049956187336,61.927623526801405,60.829845007556756,0.3228760350719573,3441293.222222222,6686457.14490738,18018961.0,19.0,30970268.0,15485134.0,5216759.474163247,19173940.0,11796328.0,30971010.0,5161835.0,7802590.7249964615,18018961.0,525.0,30,3,6,70,7,28,0.09686281052158717,0.2260132245503701,192.8,17,485,147.87742672001474,21867.73333333333,191.8,16,484,147.87742672001474,21867.73333333333,188.4,14,480,147.11310841208768,21642.26666666667,596956.0,788448.1026535608,1154473.0,39439.0,14888178.0,4427595.779447125,18018961.0,11757395.0,1,13,10,MASTER,1,129,0,0,0,3,7,REPLAY
5,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:42:14 ,73855491.0,5,5,58,53,43,754,749,729,17,8,11.6,4.9295030175464944,16,7,10.6,4.9295030175464944,14,5,8.6,4.9295030175464944,282,7,150.8,138.21975256814778,281,6,149.8,138.21975256814778,277,2,145.8,138.21975256814778,10.99444318906498,10.85904364240162,10.452845002411534,0.13539954666336182,8206165.666666668,16276144.063462606,50215617.0,252.0,73854980.0,18463745.0,21306258.1211494,50216902.0,4950386.0,73855239.0,18463809.75,22131314.345861133,50215931.0,604.0,50,5,10,50,5,20,0.06769977333168091,0.06769977333168091,81.2,7,282,117.83114095084449,13884.17777777778,80.2,6,281,117.83114095084449,13884.17777777778,77.2,2,277,117.1777377415276,13730.622222222224,1650641.0,2857663.042687328,4950386.0,252.0,22967685.66666667,23646631.371405974,50215617.0,7818645.0,1,13,10,MASTER,1,129,0,0,0,5,5,REPLAY
6,192.168.1.5-192.168.1.2-20000-51789,192.168.1.5,192.168.1.2,20000,51789,6, 18/05/2020  18:43:30 ,55114757.0,7,3,1567,1560,1532,51,48,42,468,7,223.85714285714286,141.5773387839412,467,6,222.85714285714286,141.5773387839412,463,2,218.85714285714286,141.5773387839412,17,17,17.0,0.0,16,16,16.0,0.0,14,14,14.0,0.0,29.356928853011183,29.17548924328923,28.558594570234607,0.181439609721948,6123861.888888889,8841260.817647653,26974009.0,526.0,55114757.0,9185792.833333334,9610270.301250728,26974535.0,25815.0,37011825.0,18505912.5,12012981.244142542,27000373.0,10011452.0,70,7,28,30,3,6,0.1270077268053636,0.054431882916584386,161.8,7,468,152.79746943803312,23347.066666666666,160.8,6,467,152.79746943803312,23347.066666666666,157.4,2,463,152.1674516226559,23154.93333333333,554958.75,842073.5757883134,1786963.0,0.0,13223730.5,9310081.210265014,26974009.0,6349187.0,13,1,10,OUTSTATION,1,129,0,0,0,3,7,REPLAY
7,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:44:53 ,53934450.0,3,5,42,39,33,923,918,898,17,8,14.0,5.196152422706632,16,7,13.0,5.196152422706632,14,5,11.0,5.196152422706632,282,7,184.6,112.54243644066,281,6,183.6,112.54243644066,277,2,179.6,112.54243644066,17.892089378866388,17.74376117676179,17.261694519921868,0.14832820210459174,7704921.428571427,13156572.411385965,27097291.0,278.0,53929065.0,26964532.5,189311.57720673078,27098396.0,26830669.0,53933900.0,13483475.0,15566636.55501102,27097569.0,555.0,30,3,6,50,5,20,0.05562307578922192,0.09270512631536988,120.625,7,282,122.64226433004244,15041.125,119.625,6,281,122.64226433004244,15041.125,116.375,2,277,121.89918258251659,14859.410714285714,691.5,584.7773080412748,1105.0,278.0,26963841.0,188726.79989868953,27097291.0,26830391.0,1,13,8,MASTER,1,129,0,0,0,3,5,REPLAY
8,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:46:13 ,74887231.0,17,21,163,146,112,1479,1458,1374,17,8,9.588235294117649,3.5365736159701915,16,7,8.588235294117647,3.5365736159701915,14,5,6.588235294117648,3.5365736159701915,282,7,70.42857142857143,106.78743906872728,281,6,69.42857142857143,106.78743906872728,277,2,65.42857142857143,106.78743906872728,21.926301427809506,21.41887179671525,19.843169258054157,0.5074296310942515,2023979.2162162163,3181761.762339993,12898734.0,220.0,74886039.0,4680377.4375,4427870.138363319,15971432.0,1771208.0,74886870.0,3744343.5,3620822.579410251,12899376.0,630.0,170,17,34,210,21,84,0.22700799285795464,0.2804216382362969,43.21052631578947,7,282,84.31702014541304,7109.359886201991,42.21052631578947,6,281,84.31702014541304,7109.359886201991,39.10526315789474,2,277,83.95584086169194,7048.583214793742,7697269.5,6606103.9876343915,14364536.0,317531.0,9780577.0,3030364.783806508,12898734.0,5656582.0,1,13,38,MASTER,1,129,0,0,0,17,21,REPLAY
9,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:47:30 ,73870289.0,19,20,161,142,104,1045,1025,945,17,8,8.473684210526315,2.064741604835056,16,7,7.473684210526316,2.0647416048350564,14,5,5.473684210526316,2.0647416048350564,282,7,52.25,95.54710879979572,281,6,51.25,95.54710879979572,277,2,47.25,95.54710879979572,16.325914198061415,15.797961748870375,14.200567159010305,0.5279524491910408,1943954.9736842103,3221547.1494660513,12963408.0,211.0,73869944.0,4103885.777777778,3637026.3243417377,12963408.0,751247.0,73869906.0,3887889.7894736836,4392038.5274171,16994297.0,8791.0,190,19,38,200,20,80,0.2572076034520455,0.2707448457389953,30.923076923076927,7,282,71.1197598626077,5058.020242914982,29.923076923076927,6,281,71.1197598626077,5058.020242914982,26.897435897435894,2,277,70.81064255121204,5014.147098515518,3207604.4,3350099.946218217,8004374.0,225.0,9198447.2,3091666.3004830745,12963408.0,5999999.0,1,13,39,MASTER,1,129,0,0,0,19,20,REPLAY
