,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE, Label
0,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:35:01 ,118035613.0,47,34,394,347,253,1143,1109,973,17,8,8.382978723404255,1.836267379997209,16,7,7.382978723404255,1.836267379997209,14,5,5.382978723404255,1.836267379997209,282,7,33.617647058823536,74.78697614128082,281,6,32.617647058823536,74.78697614128082,277,2,28.617647058823533,74.78697614128082,13.021493775781044,12.335260206595445,10.386695750883252,0.6862335691855983,1475445.1625,2356942.598068547,12840100.0,246.0,118035248.0,2565983.652173913,2771155.3547702017,14217792.0,578.0,118035265.0,3576826.212121212,4899747.608836658,26197243.0,441.0,470,47,94,340,34,136,0.39818491051510013,0.2880486586704981,18.975308641975307,7,282,49.6600884283954,2466.1243827160497,17.975308641975307,6,281,49.6600884283954,2466.1243827160497,15.135802469135802,2,277,49.418810458776655,2442.2188271604937,12098268.6,14392993.275080996,36903245.0,1953424.0,8825544.4,3301058.1207271707,12840100.0,5344340.0,1,13,81,MASTER,1,129,0,0,0,47,34,REPLAY
1,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:37:01 ,99604570.0,19,18,179,160,122,1492,1474,1402,17,8,9.421052631578947,3.3717089216940983,16,7,8.421052631578947,3.3717089216940983,14,5,6.421052631578947,3.3717089216940983,654,7,82.8888888888889,170.59683773666976,653,6,81.8888888888889,170.59683773666976,649,2,77.8888888888889,170.59683773666976,16.776338676026608,16.404869776557437,15.30050277813558,0.3714688994691709,2766793.611111111,4313908.281234727,16603670.0,266.0,99009325.0,5500518.055555556,4740488.059804757,16603670.0,682540.0,99604230.0,5859072.352941178,6219833.31975729,21264136.0,509.0,190,19,38,180,18,72,0.19075429972741206,0.18071459974175885,45.16216216216216,7,654,123.02337481450729,15134.750750750747,44.16216216216216,6,653,123.02337481450729,15134.750750750747,41.189189189189186,2,649,122.72051305435585,15060.324324324329,2170149.125,3823257.39189744,10687978.0,0.0,9959769.375,3482352.2987246886,16603670.0,5396585.0,1,13,37,MASTER,1,129,0,0,0,19,18,REPLAY
2,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:39:04 ,108813713.0,6,6,66,60,48,930,924,900,17,8,11.0,4.6475800154489,16,7,10.0,4.6475800154489,14,5,8.0,4.6475800154489,282,7,155.0,124.05482658889173,281,6,154.0,124.05482658889173,277,2,150.0,124.05482658889173,9.153258100842493,9.042977882760052,8.712137228512733,0.11028021808243964,9892155.727272727,15317248.40982849,41842390.0,367.0,107659240.0,21531848.0,16607302.042513935,41842390.0,4793509.0,108813311.0,21762662.2,21050226.447301194,46659409.0,540.0,60,6,12,60,6,24,0.05514010904121983,0.05514010904121983,83.0,7,282,112.51828134291617,12660.363636363636,82.0,6,281,112.51828134291617,12660.363636363636,79.0,2,277,111.8229119472554,12504.363636363636,3203800.666666666,2773613.318887897,4816757.0,1136.0,32682612.66666667,9236363.622226518,41842390.0,23371522.0,1,13,12,MASTER,1,129,0,0,0,6,6,REPLAY
3,192.168.1.5-192.168.1.2-20000-51789,192.168.1.5,192.168.1.2,20000,51789,6, 18/05/2020  18:41:10 ,71799991.0,8,4,1866,1858,1826,77,73,65,485,7,233.25,137.07636036687205,484,6,232.25,137.07636036687205,480,2,228.25,137.07636036687205,35,8,19.25,11.324751652906125,34,7,18.25,11.324751652906125,32,5,16.25,11.324751652906125,27.061284729130396,26.894153788960782,26.337050655062054,0.16713094016961644,6527271.909090909,15664069.697557595,52181604.0,19.0,71799991.0,10257141.57142857,19086995.24355972,52181856.0,525.0,71798200.0,23932733.33333333,24546121.995312054,52182975.0,7818897.0,80,8,32,40,4,8,0.11142062677974428,0.05571031338987215,161.91666666666666,7,485,151.96797409821306,23094.265151515152,160.91666666666666,6,484,151.96797409821306,23094.265151515152,157.58333333333334,2,480,151.2868787997482,22887.719696969696,13687.333333333336,22308.61475603838,39439.0,252.0,23919214.66666667,24555048.890448384,52181604.0,7818645.0,13,1,12,OUTSTATION,1,129,0,0,0,4,8,REPLAY
4,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:43:12 ,100857515.0,7,11,101,94,80,2314,2303,2259,17,8,14.428571428571427,4.3915503282684,16,7,13.428571428571427,4.3915503282684,14,5,11.428571428571427,4.3915503282684,468,7,210.3636363636364,132.03807990672442,467,6,209.3636363636364,132.03807990672442,463,2,205.3636363636364,132.03807990672442,23.944670855711642,23.76620125927156,23.19113255963128,0.17846959644008678,5932795.0,9047064.919801723,28280196.0,314.0,100856410.0,16809401.666666668,13734120.620646138,40033941.0,4950386.0,100857201.0,10085720.1,10559831.77511327,28280746.0,555.0,70,7,14,110,11,44,0.06940484306003375,0.10906475338005303,134.16666666666666,7,468,141.14708640280182,19922.5,133.16666666666666,6,467,141.14708640280182,19922.5,129.94444444444446,2,463,140.45031452322633,19726.2908496732,1468749.5,1877190.5616958283,4950386.0,0.0,15340652.166666664,9647668.805781247,28280196.0,6349187.0,1,13,18,MASTER,1,129,0,0,0,7,11,REPLAY
5,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:45:20 ,112190657.0,18,21,171,153,117,1479,1458,1374,17,8,9.5,3.451342449813167,16,7,8.5,3.451342449813167,14,5,6.5,3.451342449813167,282,7,70.42857142857143,106.78743906872728,281,6,69.42857142857143,106.78743906872728,277,2,65.42857142857143,106.78743906872728,14.707107027637782,14.359484497893614,13.289876714065413,0.3476225297441657,2952385.7105263164,6256347.1837669015,26830391.0,220.0,111873126.0,6580772.117647058,8123409.817223882,26830669.0,1771208.0,112190379.0,5609518.95,7825957.339334029,26830927.0,630.0,180,18,36,210,21,84,0.16044116757423035,0.18718136216993544,42.307692307692314,7,282,83.39101107880235,6954.0607287449375,41.307692307692314,6,281,83.39101107880235,6954.0607287449375,38.230769230769226,2,277,83.02360524778528,6892.919028340079,6095442.0,6746124.775965199,14364536.0,278.0,16279183.2,9660949.367535144,26830391.0,5656582.0,1,13,39,MASTER,1,129,0,0,0,18,21,REPLAY
6,192.168.1.5-192.168.1.2-20000-51789,192.168.1.5,192.168.1.2,20000,51789,6, 18/05/2020  18:47:23 ,119913991.0,35,33,1594,1559,1419,282,249,183,282,7,45.542857142857144,88.55019940760185,281,6,44.54285714285713,88.55019940760185,277,2,40.54285714285713,88.55019940760185,17,8,8.545454545454545,2.180752580689019,16,7,7.545454545454546,2.180752580689019,14,5,5.545454545454546,2.180752580689019,15.644546431616973,15.077473320023186,13.359575364312574,0.5670731115937923,1789761.0597014925,2908724.14557756,12963408.0,211.0,119913991.0,3526882.088235294,3733478.94389334,16994297.0,638.0,114939028.0,3591844.625,3291676.7898954917,12963408.0,751247.0,350,35,140,330,33,66,0.29187586626151074,0.2751972453322816,27.588235294117645,7,282,65.79031260497422,4328.365232660229,26.588235294117645,6,281,65.79031260497422,4328.365232660229,23.558823529411764,2,277,65.51230540737586,4291.862159789288,4979007.857142857,5283092.485056407,11840031.0,225.0,9182066.142857144,2804221.081939476,12963408.0,5999999.0,13,1,68,OUTSTATION,1,129,0,0,0,33,35,REPLAY
7,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:49:25 ,119489194.0,32,34,355,323,259,2509,2475,2339,62,8,11.09375,10.626683927280538,61,7,10.09375,10.626683927280538,59,5,8.09375,10.626683927280538,654,7,73.79411764705883,141.54317885189982,653,6,72.79411764705883,141.54317885189982,649,2,68.79411764705883,141.54317885189982,23.96869460848485,23.41634340591501,21.742551882976127,0.5523512025698324,1838295.2923076926,3215181.264580883,15409370.0,25.0,119488910.0,3854480.9677419364,4828940.490549105,24444299.0,901.0,119488936.0,3620876.8484848486,5596223.24348722,29347388.0,422.0,320,32,64,340,34,136,0.2678066436702218,0.2845445588996106,43.39393939393939,7,654,105.9350858981217,11222.242424242424,42.39393939393939,6,653,105.9350858981217,11222.242424242424,39.36363636363637,2,649,105.63924625654212,11159.650349650348,2016290.75,3018114.983028255,7899196.0,0.0,9164411.0,3702845.1654510973,15409370.0,5035780.0,1,13,66,MASTER,1,129,0,0,0,32,34,REPLAY
8,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:51:32 ,113231148.0,34,33,344,310,242,2024,1991,1859,62,8,10.117647058823527,9.415540686392486,61,7,9.117647058823527,9.415540686392486,59,5,7.117647058823528,9.415540686392486,468,7,61.33333333333334,115.60429994886292,467,6,60.33333333333334,115.60429994886292,463,2,56.33333333333334,115.60429994886292,20.91297352209129,20.32126354490374,18.55496510553792,0.5917099771875491,1715623.4545454546,2769083.48591894,12033595.0,220.0,113230928.0,3431240.2424242417,3126818.753083216,12033933.0,645.0,113230760.0,3538461.25,3926287.052034497,15696683.0,357.0,340,34,68,330,33,132,0.3002707346921891,0.29143924249536,35.343283582089555,7,468,84.79128604434966,7189.562189054726,34.343283582089555,6,467,84.79128604434966,7189.562189054726,31.35820895522388,2,463,84.49021845708161,7138.5970149253735,3642115.8888888885,6481157.812189722,16067547.0,0.0,7827417.666666668,2378065.841501397,12033595.0,5042275.0,1,13,67,MASTER,1,129,0,0,0,34,33,REPLAY
9,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:53:33 ,107871190.0,19,16,188,169,131,1922,1906,1842,17,8,9.894736842105264,3.76968517462526,16,7,8.894736842105264,3.76968517462526,14,5,6.894736842105262,3.76968517462526,485,7,120.125,149.72992352899936,484,6,119.125,149.72992352899936,480,2,115.125,149.72992352899936,19.560366396254643,19.235905342288333,18.290333127872234,0.32446105396630925,3172682.058823529,4439856.752693445,16394567.0,225.0,107023896.0,5945772.0,5068882.289622067,16394792.0,32598.0,107870795.0,7191386.333333332,6692464.501186333,18760051.0,558.0,190,19,38,160,16,64,0.1761360007245679,0.1483250532417414,60.28571428571429,7,485,114.02774982912027,13002.327731092437,59.28571428571429,6,484,114.02774982912027,13002.327731092437,56.371428571428574,2,480,113.53726667649592,12890.710924369749,1669497.3,4050608.1664961823,12794545.0,0.0,9032892.3,3854057.6196748815,16394567.0,5069448.0,1,13,35,MASTER,1,129,0,0,0,19,16,REPLAY
10,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:55:53 ,84976029.0,9,9,108,99,81,1002,993,957,35,8,12.0,9.124143795447331,34,7,11.0,9.124143795447331,32,5,9.0,9.124143795447331,502,7,111.33333333333331,177.21526457955025,501,6,110.33333333333331,177.21526457955025,497,2,106.33333333333331,177.21526457955025,13.062507310149783,12.85068286728249,12.215209538680607,0.2118244428672938,4998589.94117647,6555364.728732124,20964580.0,243.0,84975703.0,10621962.875,7880398.463033733,21999895.0,892748.0,84975367.0,10621920.875,8226580.395343438,22885339.0,619.0,90,9,18,90,9,36,0.1059122214336469,0.1059122214336469,61.66666666666666,7,502,132.02272531651514,17430.000000000004,60.66666666666666,6,501,132.02272531651514,17430.000000000004,57.66666666666666,2,497,131.62781754986736,17325.88235294117,257163.1428571429,438438.3483088695,905151.0,0.0,11882223.0,4516630.323130213,20964580.0,8069431.0,1,13,18,MASTER,1,129,0,0,0,9,9,REPLAY
11,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  18:57:54 ,115940327.0,12,15,123,111,87,1437,1422,1362,17,8,10.25,4.070403151799809,16,7,9.25,4.070403151799809,14,5,7.25,4.070403151799809,282,7,95.8,117.80019403331094,281,6,94.8,117.80019403331094,277,2,90.8,117.80019403331094,13.455197517253856,13.222319098685999,12.497808463141563,0.2328784185678552,4459243.346153846,9042534.598167954,42969850.0,283.0,115934544.0,10539504.0,12038752.365625892,42970133.0,309897.0,115939585.0,8281398.928571427,11099454.308004832,42970526.0,590.0,120,12,24,150,15,60,0.1035015193634912,0.129376899204364,57.77777777777778,7,282,96.725357956406,9355.794871794871,56.77777777777778,6,281,96.725357956406,9355.794871794871,53.66666666666666,2,277,96.27604542707873,9269.076923076924,627591.5,1406363.5129132562,4002474.0,0.0,13864226.5,12040985.599449348,42969850.0,5046966.0,1,13,27,MASTER,1,129,0,0,0,12,15,REPLAY
12,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  19:00:04 ,117756877.0,6,6,66,60,48,947,941,917,17,8,11.0,4.6475800154489,16,7,10.0,4.6475800154489,14,5,8.0,4.6475800154489,468,7,157.83333333333334,189.84353206434682,467,6,156.83333333333334,189.84353206434682,463,2,152.83333333333334,189.84353206434682,8.602469985680749,8.500565109246233,8.19485047994267,0.10190487643452023,10705170.636363637,20533523.79142034,59151254.0,355.0,117004480.0,23400896.0,26495010.400549803,59739660.0,508372.0,117756489.0,23551297.8,26029963.005429897,59151637.0,751757.0,60,6,12,60,6,24,0.050952438217260115,0.050952438217260115,84.41666666666667,7,468,149.23773489017955,22271.901515151512,83.41666666666667,6,467,149.23773489017955,22271.901515151512,80.41666666666667,2,463,148.7037679618799,22112.81060606061,1278089.666666667,2213048.5337105314,3833498.0,383.0,37723403.66666666,24485101.65058892,59151254.0,11035887.0,1,13,12,MASTER,1,129,0,0,0,6,6,REPLAY
13,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  19:02:19 ,94658527.0,7,9,83,76,62,1856,1847,1811,17,8,11.857142857142858,4.810702354423639,16,7,10.857142857142858,4.810702354423639,14,5,8.857142857142858,4.810702354423639,468,7,206.22222222222226,144.85922284909734,467,6,205.22222222222226,144.85922284909734,463,2,201.22222222222226,144.85922284909734,20.484155642945925,20.3151270249536,19.786912593727557,0.16902861799233362,6310568.466666668,11235759.562039336,37004371.0,297.0,94658527.0,15776421.166666664,13569281.504476788,37004371.0,957926.0,92403733.0,11550466.625,14395946.45555746,39109847.0,297.0,70,7,14,90,9,36,0.07395002037164597,0.09507859762068767,121.1875,7,468,145.3186011263986,21117.495833333334,120.1875,6,467,145.3186011263986,21117.495833333334,117.0625,2,463,144.6183338999589,20914.4625,970850.5,926536.1210805546,2105133.0,1276.0,22454299.75,10656768.870811496,37004371.0,11366167.0,1,13,16,MASTER,1,129,0,0,0,7,9,REPLAY
14,192.168.1.2-192.168.1.5-51789-20000,192.168.1.2,192.168.1.5,51789,20000,6, 18/05/2020  19:04:32 ,102434506.0,7,10,119,112,98,2324,2314,2274,35,8,17.0,9.0,34,7,16.0,9.0,32,5,14.0,9.0,468,7,232.4,118.9063123266007,467,6,231.4,118.9063123266007,463,2,227.4,118.9063123266007,23.849385284290825,23.683425583172134,23.15625947373632,0.16595970111868358,6402156.625,11877708.596116675,43519215.0,168.0,102433219.0,17072203.166666668,14329803.071300587,43519215.0,5041207.0,102433554.0,11381506.0,16694121.699524058,48978738.0,465.0,70,7,14,100,10,40,0.06833634751945794,0.09762335359922564,143.7058823529412,7,468,141.1518529394329,19923.845588235294,142.7058823529412,6,467,141.1518529394329,19923.845588235294,139.52941176470586,2,463,140.36787276967033,19703.139705882357,1010128.0,2253444.0679415585,5041207.0,0.0,19476515.8,14603281.19372736,43519215.0,5458901.0,1,13,17,MASTER,1,129,0,0,0,7,10,REPLAY
