,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,192.168.1.5-192.168.1.12-20003-57558-6,192.168.1.12,57558,192.168.1.5,20003,6,19/05/2020 11:20:01 AM,118055661,61,65,1116.0,1994.0,27.0,18.0,18.295081967213115,1.616006005507426,292.0,17.0,30.67692307692307,55.37009224648823,26.343505882365104,1.0672931643659171,944445.2879999998,999579.2055600828,2000499.0,352.0,116053996.0,1934233.2666666668,346296.89039045264,2001101.0,73954.0,118055661.0,1844619.703125,531403.350762825,2001267.0,352.0,0,1,0,0,1952,2080,0.5167054208438171,0.5505877435221002,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,STOP_APP
1,192.168.1.5-192.168.1.12-20003-57558-6,192.168.1.12,57558,192.168.1.5,20003,6,19/05/2020 11:22:01 AM,118206768,62,64,1143.0,1533.0,27.0,18.0,18.435483870967747,1.947010888869123,292.0,17.0,23.953125,40.05806487472824,22.638297664986485,1.065928813822234,945654.1439999995,999928.6466291118,2000455.0,162.0,116205129.0,1905002.1147540987,419300.556895532,2001172.0,29881.0,118206768.0,1876297.904761905,477773.63751682173,2001487.0,162.0,0,1,0,0,1984,2048,0.5245046544204643,0.5414241594017696,17.0,292.0,21.21259842519684,28.493003853427357,811.8512685914262,0,0,0,1,1,0,0,0,1.0,21.38095238095238,18.43548387096774,23.953125,0,0,0,0,0,0,62,1143,64,1533,-1,227,62,0,0,0,0,0,0,0,0,0,STOP_APP
2,192.168.1.5-192.168.1.12-20003-57558-6,192.168.1.12,57558,192.168.1.5,20003,6,19/05/2020 11:24:01 AM,118323463,61,65,1116.0,1994.0,27.0,18.0,18.295081967213115,1.616006005507426,292.0,17.0,30.67692307692307,55.37009224648823,26.283882512803057,1.0648775551810885,946587.7040000005,1000049.901848145,2070092.0,230.0,116322013.0,1938700.2166666675,336039.3393212478,2070844.0,55944.0,118323463.0,1848804.109375,525910.5084602855,2070731.0,230.0,0,1,0,0,1952,2080,0.5155359592543366,0.549341595926752,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,STOP_APP
3,192.168.1.5-192.168.1.12-20003-57558-6,192.168.1.12,57558,192.168.1.5,20003,6,19/05/2020 11:26:01 AM,118131958,61,65,1116.0,1994.0,27.0,18.0,18.295081967213115,1.616006005507426,292.0,17.0,30.67692307692307,55.37009224648823,26.326491600181555,1.0666038397501207,945055.6639999995,991319.943179506,2058547.0,245.0,116130009.0,1935500.15,288075.0142654305,2059239.0,450937.0,118131958.0,1845811.8437500002,497956.74958412594,2059118.0,245.0,0,1,0,0,1952,2080,0.516371700196487,0.5502321395536337,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,STOP_APP
4,192.168.1.5-192.168.1.12-20003-57558-6,192.168.1.12,57558,192.168.1.5,20003,6,19/05/2020 11:28:01 AM,118348741,61,65,1116.0,1994.0,27.0,18.0,18.295081967213115,1.616006005507426,292.0,17.0,30.67692307692307,55.37009224648823,26.278268562231684,1.0646501089521518,946789.928,989652.6789359569,2203161.0,273.0,116346969.0,1939116.15,262010.1544492816,2203839.0,709974.0,118348741.0,1849199.078125,484910.35372538,2203819.0,273.0,0,1,0,0,1952,2080,0.5154258463974704,0.5492242625546815,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,STOP_APP
5,192.168.1.5-192.168.1.12-20003-57558-6,192.168.1.12,57558,192.168.1.5,20003,6,19/05/2020 11:30:02 AM,118437723,61,65,1116.0,1994.0,27.0,18.0,18.295081967213115,1.616006005507426,292.0,17.0,30.67692307692307,55.37009224648823,26.25852575703435,1.0638502396740606,947501.784,989762.3985326672,2078776.0,277.0,116436006.0,1940600.1,257179.83571072054,2079619.0,739086.0,118437723.0,1850589.4218750002,482727.88406164065,2079548.0,277.0,0,1,0,0,1952,2080,0.5150386080961722,0.5488116315778884,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,STOP_APP
6,192.168.1.5-192.168.1.12-20003-57558-6,192.168.1.12,57558,192.168.1.5,20003,6,19/05/2020 11:32:02 AM,118435693,61,65,1116.0,1994.0,27.0,18.0,18.295081967213115,1.616006005507426,292.0,17.0,30.67692307692307,55.37009224648823,26.258975830875574,1.0638684741769526,947485.5440000001,995175.3783730016,2080829.0,273.0,116434955.0,1940582.5833333337,298235.3622666985,2081630.0,306020.0,118435693.0,1850557.703125,504328.2739283466,2081448.0,273.0,0,1,0,0,1952,2080,0.5150474359110644,0.5488210382658884,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,STOP_APP
7,192.168.1.5-192.168.1.12-20003-57558-6,192.168.1.12,57558,192.168.1.5,20003,6,19/05/2020 11:34:03 AM,118467628,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.251897269353613,1.063581690012397,947741.0239999995,1001493.4767708536,2076189.0,271.0,116407236.0,1940120.6,338016.7990410726,2077031.0,125002.0,118467628.0,1851056.6875000002,527586.6001490987,2076893.0,271.0,0,1,0,0,1952,2080,0.5149085959583828,0.5486730940540144,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,STOP_APP
8,192.168.1.5-192.168.1.12-20003-57558-6,192.168.1.12,57558,192.168.1.5,20003,6,19/05/2020 11:36:03 AM,118361743,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.275381902748762,1.0645331574747086,946893.944,994119.6052161923,2069590.0,241.0,116359973.0,1939332.883333333,294389.6746049986,2070197.0,344945.0,118361743.0,1849402.234375,502071.1983677893,2070118.0,241.0,0,1,0,0,1952,2080,0.5153692270314065,0.5491639304433021,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,STOP_APP
9,192.168.1.5-192.168.1.12-20003-57558-6,192.168.1.12,57558,192.168.1.5,20003,6,19/05/2020 11:38:04 AM,118339616,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.280294842261444,1.0647322026125214,946716.928,989702.1246961141,2078937.0,221.0,116338013.0,1938966.883333333,262842.32179214945,2079699.0,649994.0,118339616.0,1849056.5,485310.7295253349,2079533.0,221.0,0,1,0,0,1952,2080,0.5154655901536811,0.5492666124588405,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,STOP_APP
