,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,192.168.1.2-192.168.1.4-46729-20000-6,192.168.1.2,46729,192.168.1.4,20000,6,19/05/2020 11:20:01 AM,118059798,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.67692307692307,55.37009224648825,26.342582764710478,1.067255764743897,944478.384,998882.4215571295,2000588.0,448.0,116058051.0,1934300.85,342592.3761653755,2001375.0,93847.0,118059798.0,1844684.34375,529139.6261105866,2001530.0,448.0,0,1,0,0,1952,2080,0.5166873146776009,0.5505684500662961,17.0,292.0,24.62992125984253,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
1,192.168.1.2-192.168.1.3-51609-20000-6,192.168.1.2,51609,192.168.1.3,20000,6,19/05/2020 11:20:01 AM,118058585,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.67692307692307,55.37009224648825,26.34285342315428,1.0672667303271508,944468.6799999996,999013.387550862,2000746.0,433.0,116057427.0,1934290.45,343338.16649362014,2001530.0,89160.0,118058585.0,1844665.390625,529579.644279163,2001491.0,433.0,0,1,0,0,1952,2080,0.5166926234123508,0.5505741069148,17.0,292.0,24.62992125984253,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
2,192.168.1.2-192.168.1.5-51678-20000-6,192.168.1.2,51678,192.168.1.5,20000,6,19/05/2020 11:20:01 AM,118059473,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.67692307692307,55.37009224648825,26.342655281884923,1.067258702738746,944475.784,998845.7129336244,2000645.0,524.0,116058085.0,1934301.4166666663,342790.86887485196,2001573.0,92885.0,118059473.0,1844679.265625,529245.6516215558,2001528.0,524.0,0,1,0,0,1952,2080,0.5166887370401866,0.5505699656985594,17.0,292.0,24.62992125984253,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
3,192.168.1.2-192.168.1.4-46729-20000-6,192.168.1.2,46729,192.168.1.4,20000,6,19/05/2020 11:22:01 AM,118059220,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.67692307692307,55.37009224648825,26.342711733992488,1.067260989865933,944473.76,997328.9830909438,2000675.0,420.0,116057144.0,1934285.7333333332,332875.51215965825,2001275.0,149821.0,118059220.0,1844675.3125,523285.7049638864,2001553.0,420.0,0,1,0,0,1952,2080,0.5166898443001741,0.5505711455657593,17.0,292.0,24.62992125984253,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
4,192.168.1.2-192.168.1.3-51609-20000-6,192.168.1.2,51609,192.168.1.3,20000,6,19/05/2020 11:22:01 AM,118059746,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.67692307692307,55.37009224648825,26.34259436743155,1.0672562348219858,944477.9679999999,997422.7678376177,2000673.0,274.0,116057986.0,1934299.7666666668,333612.71895704267,2001469.0,145513.0,118059746.0,1844683.53125,523724.50611117657,2001530.0,274.0,0,1,0,0,1952,2080,0.5166875422550884,0.5505686925668974,17.0,292.0,24.62992125984253,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
5,192.168.1.2-192.168.1.5-51678-20000-6,192.168.1.2,51678,192.168.1.5,20000,6,19/05/2020 11:22:01 AM,118058606,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.67692307692307,55.37009224648825,26.342848737346607,1.0672665404841388,944468.848,997377.2073627706,2000662.0,328.0,116056877.0,1934281.2833333327,333585.20505486237,2001546.0,145403.0,118058606.0,1844665.7187499998,523692.50092604297,2001527.0,328.0,0,1,0,0,1952,2080,0.516692531504226,0.5505740089799129,17.0,292.0,24.62992125984253,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
6,192.168.1.2-192.168.1.5-51678-20000-6,192.168.1.2,51678,192.168.1.5,20000,6,19/05/2020 11:24:01 AM,118058563,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.67692307692307,55.37009224648825,26.342858332097435,1.0672669292103782,944468.5039999998,995904.5055649535,2000643.0,396.0,116056911.0,1934281.85,324053.15632599767,2001521.0,202183.0,118058563.0,1844665.046875,518073.82555539405,2001545.0,396.0,0,1,0,0,1952,2080,0.516692719697088,0.5505742095132904,17.0,292.0,24.62992125984253,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
7,192.168.1.2-192.168.1.3-51609-20000-6,192.168.1.2,51609,192.168.1.3,20000,6,19/05/2020 11:24:01 AM,118059406,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.67692307692307,55.37009224648825,26.342670231628986,1.0672593084196949,944475.2480000005,995961.5342634136,2000836.0,354.0,116057513.0,1934291.883333333,324162.28363254643,2001597.0,201823.0,118059406.0,1844678.21875,518136.9684157793,2001612.0,354.0,0,1,0,0,1952,2080,0.5166890302666778,0.5505702781530173,17.0,292.0,24.62992125984253,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
8,192.168.1.2-192.168.1.4-46729-20000-6,192.168.1.2,46729,192.168.1.4,20000,6,19/05/2020 11:24:01 AM,118060853,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.67692307692307,55.37009224648825,26.342347365557323,1.067246227672097,944486.8239999998,995801.8796079264,2000784.0,405.0,116058825.0,1934313.75,323345.36108686344,2001585.0,207036.0,118060853.0,1844700.8281249998,517681.2137698335,2001660.0,405.0,0,1,0,0,1952,2080,0.5166826975237931,0.5505635301483042,17.0,292.0,24.62992125984253,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
9,192.168.1.2-192.168.1.3-51609-20000-6,192.168.1.2,51609,192.168.1.3,20000,6,19/05/2020 11:26:01 AM,118058666,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.67692307692307,55.37009224648825,26.342835349333864,1.0672659980759058,944469.3279999995,994559.786497968,2000655.0,336.0,116056957.0,1934282.6166666662,315127.9832443165,2001432.0,257953.0,118058666.0,1844666.65625,512858.8574691661,2001570.0,336.0,0,1,0,0,1952,2080,0.5166922689097639,0.5505737291661419,17.0,292.0,24.62992125984253,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
