,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE,Label
0,192.168.1.11-192.168.1.4-60411-20002,192.168.1.11,192.168.1.4,60411,20002,6, 19/05/2020  11:20:00 ,58402162.0,32,31,265,233,169,217,186,62,17,8,8.28125,1.590990257669732,16,7,7.28125,1.590990257669732,14,5,5.28125,1.590990257669732,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,8.253119122542074,7.174391934325992,3.955333023458961,1.0787271882160798,941970.3548387096,1001780.1708387956,2080358.0,172.0,58401957.0,1883934.0967741932,455886.9828906689,2080701.0,145868.0,58401918.0,1946730.6,343661.6764035876,2234486.0,145826.0,320,32,64,310,31,124,0.5479249209986439,0.5308022672174363,7.650793650793651,7,17,1.2971274735120222,1.6825396825396817,6.650793650793651,6,16,1.2971274735120222,1.6825396825396817,3.6666666666666665,2,14,2.0,4.0,0,0,0,0,0,0,0,0,3,12,63,MASTER,1,129,0,0,0,32,31,STOP_APP
1,192.168.1.2-192.168.1.4-46729-20000,192.168.1.2,192.168.1.4,46729,20000,6, 19/05/2020  11:20:01 ,58029305.0,31,32,257,226,164,668,636,508,17,8,8.290322580645162,1.6164477182409738,16,7,7.290322580645161,1.6164477182409742,14,5,5.290322580645161,1.6164477182409742,282,7,20.875,56.23266758056038,281,6,19.875,56.23266758056038,277,2,15.875,56.23266758056038,15.940221927524377,14.854563569217312,11.580355821942035,1.0856583583070658,935956.5322580644,1003397.2667124212,2001048.0,149.0,58029039.0,1934301.3,348046.8470205927,2001256.0,93750.0,58029069.0,1871905.4516129037,487681.9855264179,2001329.0,534.0,310,31,62,320,32,128,0.5342128429764926,0.5514455153305731,14.682539682539682,7,282,40.28079883438638,1622.542754736303,13.682539682539682,6,281,40.28079883438638,1622.542754736303,10.666666666666666,2,277,40.13445145443485,1610.774193548387,0,0,0,0,0,0,0,0,1,12,63,MASTER,1,129,0,0,0,31,32,NORMAL
2,192.168.1.11-192.168.1.4-60411-20002,192.168.1.11,192.168.1.4,60411,20002,6, 19/05/2020  11:21:00 ,58201185.0,31,32,257,226,164,668,636,508,17,8,8.290322580645162,1.6164477182409742,16,7,7.290322580645161,1.6164477182409742,14,5,5.290322580645161,1.6164477182409742,282,7,20.875,56.23266758056038,281,6,19.875,56.23266758056038,277,2,15.875,56.23266758056038,15.89314719279341,14.810695005608563,11.546156663305053,1.0824521871848485,938728.7903225806,996128.343949058,2067777.0,186.0,58200997.0,1940033.2333333332,280676.4838752952,2068047.0,562021.0,58200914.0,1877448.838709677,444478.71106065344,2068101.0,347.0,310,31,62,320,32,128,0.5326352032179413,0.5498169839669071,14.682539682539682,7,282,40.28079883438638,1622.542754736303,13.682539682539682,6,281,40.28079883438638,1622.542754736303,10.666666666666666,2,277,40.13445145443485,1610.774193548387,0,0,0,0,0,0,0,0,3,12,63,MASTER,1,129,0,0,0,31,32,STOP_APP
3,192.168.1.2-192.168.1.4-46729-20000,192.168.1.2,192.168.1.4,46729,20000,6, 19/05/2020  11:21:01 ,58029231.0,31,32,257,226,164,668,636,508,17,8,8.290322580645162,1.6164477182409738,16,7,7.290322580645161,1.6164477182409742,14,5,5.290322580645161,1.6164477182409742,282,7,20.875,56.23266758056038,281,6,19.875,56.23266758056038,277,2,15.875,56.23266758056038,15.940242254804305,14.854582512044662,11.580370589436212,1.0856597427596446,935955.3387096777,1002597.0753198413,2001150.0,136.0,58029041.0,1934301.366666667,343025.84077522584,2001386.0,121945.0,58028922.0,1871900.7096774196,484212.3678701453,2001330.0,532.0,310,31,62,320,32,128,0.5342135242150633,0.5514462185445814,14.682539682539682,7,282,40.28079883438638,1622.542754736303,13.682539682539682,6,281,40.28079883438638,1622.542754736303,10.666666666666666,2,277,40.13445145443485,1610.774193548387,0,0,0,0,0,0,0,0,1,12,63,MASTER,1,129,0,0,0,31,32,NORMAL
4,192.168.1.11-192.168.1.4-60411-20002,192.168.1.11,192.168.1.4,60411,20002,6, 19/05/2020  11:22:01 ,58286928.0,31,32,257,226,164,668,636,508,17,8,8.290322580645162,1.6164477182409742,16,7,7.290322580645161,1.6164477182409742,14,5,5.290322580645161,1.6164477182409742,282,7,20.875,56.23266758056038,281,6,19.875,56.23266758056038,277,2,15.875,56.23266758056038,15.869767574643838,14.788907729019446,11.529171686660172,1.080859845624391,940111.7419354841,995328.1242511814,2083692.0,198.0,58286705.0,1942890.166666667,263726.8933462697,2083968.0,778998.0,58286569.0,1880211.9032258063,434723.14405564335,2083993.0,498.0,310,31,62,320,32,128,0.5318516700691448,0.5490081755552463,14.682539682539682,7,282,40.28079883438638,1622.542754736303,13.682539682539682,6,281,40.28079883438638,1622.542754736303,10.666666666666666,2,277,40.13445145443485,1610.774193548387,0,0,0,0,0,0,0,0,3,12,63,MASTER,1,129,0,0,0,31,32,STOP_APP
5,192.168.1.2-192.168.1.4-46729-20000,192.168.1.2,192.168.1.4,46729,20000,6, 19/05/2020  11:22:01 ,58028091.0,31,32,257,226,164,668,636,508,17,8,8.290322580645162,1.6164477182409738,16,7,7.290322580645161,1.6164477182409742,14,5,5.290322580645161,1.6164477182409742,282,7,20.875,56.23266758056038,281,6,19.875,56.23266758056038,277,2,15.875,56.23266758056038,15.940555411343789,14.854874340084699,11.5805980934303,1.0856810712590907,935936.9516129032,1001815.6599489246,2001162.0,105.0,58027934.0,1934264.4666666663,338142.3635701525,2001267.0,149791.0,58027811.0,1871864.8709677416,480884.7390612253,2001438.0,611.0,310,31,62,320,32,128,0.5342240191909811,0.5514570520681096,14.682539682539682,7,282,40.28079883438638,1622.542754736303,13.682539682539682,6,281,40.28079883438638,1622.542754736303,10.666666666666666,2,277,40.13445145443485,1610.774193548387,0,0,0,0,0,0,0,0,1,12,63,MASTER,1,129,0,0,0,31,32,NORMAL
6,192.168.1.11-192.168.1.4-60411-20002,192.168.1.11,192.168.1.4,60411,20002,6, 19/05/2020  11:23:01 ,58123300.0,31,32,257,226,164,668,636,508,17,8,8.290322580645162,1.6164477182409742,16,7,7.290322580645161,1.6164477182409742,14,5,5.290322580645161,1.6164477182409742,282,7,20.875,56.23266758056038,281,6,19.875,56.23266758056038,277,2,15.875,56.23266758056038,15.91444394932841,14.830541280347125,11.561628469133721,1.0839026689812865,937472.5806451612,991563.2037647002,2069634.0,130.0,58123071.0,1937435.7,255082.5264918368,2069896.0,982868.0,58123013.0,1874935.9032258063,428895.3951046303,2069852.0,461.0,310,31,62,320,32,128,0.533348932355871,0.5505537366254153,14.682539682539682,7,282,40.28079883438638,1622.542754736303,13.682539682539682,6,281,40.28079883438638,1622.542754736303,10.666666666666666,2,277,40.13445145443485,1610.774193548387,0,0,0,0,0,0,0,0,3,12,63,MASTER,1,129,0,0,0,31,32,STOP_APP
7,192.168.1.2-192.168.1.4-46729-20000,192.168.1.2,192.168.1.4,46729,20000,6, 19/05/2020  11:23:01 ,58029242.0,31,32,257,226,164,668,636,508,17,8,8.290322580645162,1.6164477182409738,16,7,7.290322580645161,1.6164477182409742,14,5,5.290322580645161,1.6164477182409742,282,7,20.875,56.23266758056038,281,6,19.875,56.23266758056038,277,2,15.875,56.23266758056038,15.940239233178337,14.854579696215918,11.580368394265776,1.0856595369624162,935955.5161290322,1001046.2908602385,2000990.0,113.0,58028945.0,1934298.166666667,333275.00659562834,2001249.0,178116.0,58029112.0,1871906.838709677,477585.8445786193,2001296.0,785.0,310,31,62,320,32,128,0.5342134229497604,0.5514461140126559,14.682539682539682,7,282,40.28079883438638,1622.542754736303,13.682539682539682,6,281,40.28079883438638,1622.542754736303,10.666666666666666,2,277,40.13445145443485,1610.774193548387,0,0,0,0,0,0,0,0,1,12,63,MASTER,1,129,0,0,0,31,32,NORMAL
8,192.168.1.2-192.168.1.4-46729-20000,192.168.1.2,192.168.1.4,46729,20000,6, 19/05/2020  11:24:01 ,58030357.0,31,32,257,226,164,668,636,508,17,8,8.290322580645162,1.6164477182409738,16,7,7.290322580645161,1.6164477182409742,14,5,5.290322580645161,1.6164477182409742,282,7,20.875,56.23266758056038,281,6,19.875,56.23266758056038,277,2,15.875,56.23266758056038,15.939932956125016,14.854294279113256,11.580145888125415,1.085638677011758,935973.5,1000218.6685565191,2001260.0,151.0,58030032.0,1934334.4,328443.6229490587,2001559.0,206878.0,58030069.0,1871937.7096774196,474361.837320218,2001578.0,520.0,310,31,62,320,32,128,0.5342031585295951,0.5514355184821627,14.682539682539682,7,282,40.28079883438638,1622.542754736303,13.682539682539682,6,281,40.28079883438638,1622.542754736303,10.666666666666666,2,277,40.13445145443485,1610.774193548387,0,0,0,0,0,0,0,0,1,12,63,MASTER,1,129,0,0,0,31,32,NORMAL
9,192.168.1.11-192.168.1.4-60411-20002,192.168.1.11,192.168.1.4,60411,20002,6, 19/05/2020  11:24:01 ,58028083.0,31,31,257,226,164,217,186,62,17,8,8.290322580645162,1.6164477182409742,16,7,7.290322580645161,1.6164477182409742,14,5,5.290322580645161,1.6164477182409742,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,8.168458709897411,7.100010524214627,3.8946659671662767,1.068448185682784,951280.0491803279,990734.1293856695,2000971.0,122.0,58027900.0,1934263.333333333,254448.8478538681,2001136.0,933098.0,58027908.0,1934263.6,254450.7303098456,2001250.0,933035.0,310,31,62,310,31,124,0.5342240928413919,0.5342240928413919,7.645161290322582,7,17,1.3069395384506204,1.7080909571655207,6.645161290322582,6,16,1.3069395384506204,1.7080909571655207,3.645161290322581,2,14,2.00896983790811,4.035959809624538,0,0,0,0,0,0,0,0,3,12,62,MASTER,1,129,0,0,0,31,31,STOP_APP
