,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,192.168.1.2-192.168.1.5-51678-20000-6,192.168.1.2,51678,192.168.1.5,20000,6,19/05/2020 11:20:01 AM,118058963,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.67692307692307,55.37009224648825,26.34276907887121,1.0672633131632707,944471.704,999354.0128663278,2001142.0,217.0,116058041.0,1934300.683333333,342787.0309311002,2001508.0,92922.0,118058963.0,1844671.296875,529267.7282302312,2001513.0,313.0,0,1,0,0,1952,2080,0.5166909690711072,0.5505723440921635,17.0,292.0,24.62992125984253,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
1,192.168.1.5-192.168.1.12-20003-57558-6,192.168.1.12,57558,192.168.1.5,20003,6,19/05/2020 11:20:01 AM,118055255,61,65,1116.0,1994.0,27.0,18.0,18.295081967213115,1.616006005507426,292.0,17.0,30.67692307692307,55.37009224648823,26.343596479462093,1.067296834859236,944442.04,999992.0109388164,2000944.0,130.0,116053968.0,1934232.8,346313.20510631724,2001160.0,73823.0,118055255.0,1844613.359375,531419.6740977907,2001254.0,282.0,0,1,0,0,1952,2080,0.5167071978286778,0.5505896370305583,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,STOP_APP
2,192.168.1.2-192.168.1.5-51678-20000-6,192.168.1.2,51678,192.168.1.5,20000,6,19/05/2020 11:22:01 AM,118058101,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.67692307692307,55.37009224648825,26.342961420326425,1.0672711057752826,944464.808,997895.4226091051,2001237.0,200.0,116056884.0,1934281.4000000004,333578.01271809865,2001576.0,145514.0,118058101.0,1844657.828125,523719.88978238025,2001556.0,346.0,0,1,0,0,1952,2080,0.5166947416848591,0.5505763640904237,17.0,292.0,24.62992125984253,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
3,192.168.1.5-192.168.1.12-20003-57558-6,192.168.1.12,57558,192.168.1.5,20003,6,19/05/2020 11:22:01 AM,118206402,62,64,1143.0,1533.0,27.0,18.0,18.435483870967747,1.947010888869123,292.0,17.0,23.953125,40.05806487472824,22.638367759472114,1.065932114235234,945651.216,1000347.9437819137,2001011.0,124.0,116205264.0,1905004.3278688525,419299.3932303313,2001241.0,29904.0,118206402.0,1876292.095238095,477792.17200857133,2001321.0,236.0,0,1,0,0,1984,2048,0.5245062784332104,0.5414258358020236,17.0,292.0,21.21259842519684,28.493003853427357,811.8512685914262,0,0,0,1,1,0,0,0,1.0,21.38095238095238,18.43548387096774,23.953125,0,0,0,0,0,0,62,1143,64,1533,-1,227,62,0,0,0,0,0,0,0,0,0,STOP_APP
4,192.168.1.2-192.168.1.5-51678-20000-6,192.168.1.2,51678,192.168.1.5,20000,6,19/05/2020 11:24:01 AM,118058061,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.67692307692307,55.37009224648825,26.342970345752164,1.0672714673841712,944464.488,996430.6560072029,2001201.0,185.0,116056876.0,1934281.2666666668,324052.6507931962,2001494.0,202185.0,118058061.0,1844657.203125,518099.215758397,2001525.0,265.0,0,1,0,0,1952,2080,0.5166949167494798,0.5505765506346916,17.0,292.0,24.62992125984253,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
5,192.168.1.5-192.168.1.12-20003-57558-6,192.168.1.12,57558,192.168.1.5,20003,6,19/05/2020 11:24:01 AM,118323088,61,65,1116.0,1994.0,27.0,18.0,18.295081967213115,1.616006005507426,292.0,17.0,30.67692307692307,55.37009224648823,26.283965814009186,1.0648809300852595,946584.7040000005,1000469.7650260878,2070449.0,177.0,116321883.0,1938698.05,336044.1069098341,2070731.0,55877.0,118323088.0,1848798.25,525920.0133665387,2070724.0,285.0,0,1,0,0,1952,2080,0.5155375931365145,0.5493433369487449,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,STOP_APP
6,192.168.1.2-192.168.1.5-51678-20000-6,192.168.1.2,51678,192.168.1.5,20000,6,19/05/2020 11:26:01 AM,118059468,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.67692307692307,55.37009224648825,26.342656397536878,1.0672587479387932,944475.7439999995,995081.6109827851,2001194.0,199.0,116058053.0,1934300.883333333,315024.15245275927,2001433.0,258683.0,118059468.0,1844679.1875000002,512856.2774916567,2001482.0,271.0,0,1,0,0,1952,2080,0.5166887589227489,0.5505699890160439,17.0,292.0,24.62992125984253,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
7,192.168.1.5-192.168.1.12-20003-57558-6,192.168.1.12,57558,192.168.1.5,20003,6,19/05/2020 11:26:01 AM,118131171,61,65,1116.0,1994.0,27.0,18.0,18.295081967213115,1.616006005507426,292.0,17.0,30.67692307692307,55.37009224648823,26.326666989528107,1.0666109455564443,945049.3679999996,991766.5307625493,2058981.0,191.0,116129954.0,1935499.2333333332,288066.4662575534,2059221.0,450930.0,118131171.0,1845799.546875,497978.2046709149,2059199.0,293.0,0,1,0,0,1952,2080,0.5163751403090722,0.5502358052473721,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,STOP_APP
8,192.168.1.2-192.168.1.5-51678-20000-6,192.168.1.2,51678,192.168.1.5,20000,6,19/05/2020 11:28:01 AM,118059361,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.67692307692307,55.37009224648825,26.34268027251139,1.0672597152207186,944474.8879999996,993822.1171762728,2001191.0,155.0,116057926.0,1934298.7666666661,306472.1093742196,2001468.0,314940.0,118059361.0,1844677.5156250002,507969.7275780146,2001460.0,196.0,0,1,0,0,1952,2080,0.5166892272100304,0.5505704880106881,17.0,292.0,24.62992125984253,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
9,192.168.1.5-192.168.1.12-20003-57558-6,192.168.1.12,57558,192.168.1.5,20003,6,19/05/2020 11:28:01 AM,118348323,61,65,1116.0,1994.0,27.0,18.0,18.295081967213115,1.616006005507426,292.0,17.0,30.67692307692307,55.37009224648823,26.27836137568253,1.0646538692398708,946786.5839999998,990084.48791157,2203609.0,175.0,116346967.0,1939116.116666667,262015.7003982577,2203915.0,709939.0,118348323.0,1849192.546875,484935.06917687954,2203844.0,276.0,0,1,0,0,1952,2080,0.5154276668542233,0.5492262023856477,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,STOP_APP
10,192.168.1.2-192.168.1.5-51678-20000-6,192.168.1.2,51678,192.168.1.5,20000,6,19/05/2020 11:30:01 AM,118059337,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.67692307692307,55.37009224648825,26.3426856276518,1.0672599321813911,944474.6959999995,992615.5922196752,2001253.0,190.0,116057735.0,1934295.583333333,298319.2930623667,2001504.0,371067.0,118059337.0,1844677.140625,503403.0989135581,2001545.0,294.0,0,1,0,0,1952,2080,0.5166893322465465,0.5505705999348446,17.0,292.0,24.62992125984253,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
11,192.168.1.5-192.168.1.12-20003-57558-6,192.168.1.12,57558,192.168.1.5,20003,6,19/05/2020 11:30:02 AM,118437270,61,65,1116.0,1994.0,27.0,18.0,18.295081967213115,1.616006005507426,292.0,17.0,30.67692307692307,55.37009224648823,26.258626190894127,1.0638543086986048,947498.16,990196.565738008,2079270.0,181.0,116435996.0,1940599.9333333329,257180.41411692183,2079544.0,739099.0,118437270.0,1850582.34375,482744.7993871506,2079596.0,246.0,0,1,0,0,1952,2080,0.5150405780207531,0.5488137306778517,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,STOP_APP
12,192.168.1.2-192.168.1.5-51678-20000-6,192.168.1.2,51678,192.168.1.5,20000,6,19/05/2020 11:32:01 AM,118059501,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.67692307692307,55.37009224648825,26.342649034235716,1.0672584496185529,944476.0079999999,991510.892615085,2001366.0,220.0,116058065.0,1934301.0833333337,290818.12178814225,2001715.0,426814.0,118059501.0,1844679.703125,499255.3039084829,2001662.0,304.0,0,1,0,0,1952,2080,0.5166886144978708,0.5505698351206819,17.0,292.0,24.62992125984253,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
13,192.168.1.5-192.168.1.12-20003-57558-6,192.168.1.12,57558,192.168.1.5,20003,6,19/05/2020 11:32:02 AM,118435277,61,65,1116.0,1994.0,27.0,18.0,18.295081967213115,1.616006005507426,292.0,17.0,30.67692307692307,55.37009224648823,26.259068064661175,1.0638722109798415,947482.216,995607.4668618036,2081226.0,183.0,116435027.0,1940583.7833333337,298220.0099747819,2081512.0,306142.0,118435277.0,1850551.203125,504341.58080164064,2081535.0,208.0,0,1,0,0,1952,2080,0.5150492449981774,0.5488229659816644,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,STOP_APP
14,192.168.1.2-192.168.1.5-51678-20000-6,192.168.1.2,51678,192.168.1.5,20000,6,19/05/2020 11:34:01 AM,118059726,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.67692307692307,55.37009224648825,26.342598830019305,1.067256415621361,944477.8080000002,990543.1308317896,2001566.0,165.0,116058857.0,1934314.2833333332,283594.76028012595,2001805.0,484082.0,118059726.0,1844683.21875,495352.9060780318,2001845.0,308.0,0,1,0,0,1952,2080,0.5166876297849446,0.5505687858364164,17.0,292.0,24.62992125984253,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
15,192.168.1.5-192.168.1.12-20003-57558-6,192.168.1.12,57558,192.168.1.5,20003,6,19/05/2020 11:34:03 AM,118467312,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.25196729372909,1.0635845270128184,947738.4959999999,1001936.4016768185,2076674.0,197.0,116407245.0,1940120.75,338018.02271915966,2077014.0,124972.0,118467312.0,1851051.7499999998,527598.1732703614,2077005.0,248.0,0,1,0,0,1952,2080,0.5149099694268406,0.5486745575859778,17.0,292.0,24.62992125984252,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,STOP_APP
