,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:45:01 PM,106311708,64,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6114096106893514,1661120.4375000002,8493290.600810308,57996628.0,3.0,106301365.0,1687323.2539682544,8558902.88069437,57996628.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.6020033089864383,0.009406301702913098,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,64,0,1,0,-1,-1,0,0,3316235.0,2386095.0635613827,5003459.0,1629011.0,47337947.5,15073650.520101642,57996628.0,36679267.0,ARP_POISONING
1,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:47:46 PM,68003180,59,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8823116801302527,1152596.2711864405,7537420.235425702,57996527.0,2.0,68003154.0,1172468.1724137934,7601691.292329287,57996527.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.8676064854614152,0.014705194668837547,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,59,0,1,0,-1,-1,0,0,5003349.0,0.0,5003349.0,5003349.0,57996527.0,0.0,57996527.0,57996527.0,ARP_POISONING
2,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:49:52 PM,68003344,59,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8823095523067219,1152599.0508474577,7537434.042189428,57996637.0,3.0,68003317.0,1172470.98275862,7601705.217719521,57996637.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.8676043931016099,0.01470515920511203,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,59,0,1,0,-1,-1,0,0,5003347.0,0.0,5003347.0,5003347.0,57996637.0,0.0,57996637.0,57996637.0,ARP_POISONING
3,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:51:58 PM,119301978,61,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5196896232516781,1955770.1311475413,9078160.40082128,57996583.0,2.0,119301957.0,1988365.95,9151170.224208517,57996583.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5113075325540705,0.008382090697607713,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,61,0,1,0,-1,-1,0,0,5005336.0,2828.4271247461897,5007336.0,5003336.0,36430435.333333336,24358658.38211079,57996583.0,10010220.0,ARP_POISONING
4,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:54:04 PM,115038231,81,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7128065103852301,1420225.0740740744,2795543.595312407,10010343.0,8.0,115038211.0,1437977.6374999997,2808582.9679262233,10010343.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.704113748063459,0.008692762321771099,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,81,0,1,0,-1,-1,0,0,2291900.8,1431117.0660778554,5007378.0,1612784.0,8227859.0,1074907.1816626776,10010343.0,5377141.0,ARP_POISONING
5,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:56:07 PM,70571367,68,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9777336465651856,1037814.2205882357,3491662.6475282344,25522430.0,4.0,68958890.0,1029237.164179104,3517293.365239732,25522430.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.9635635937164148,0.014170052848770806,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,68,0,1,0,-1,-1,0,0,4948812.0,5779667.352214052,11622597.0,1611739.0,12679390.75,8562026.167477781,25522430.0,8398246.0,ARP_POISONING
6,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:58:16 PM,68011413,59,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8822048734673399,1152735.8135593222,7536789.257194147,57992749.0,5.0,68011394.0,1172610.24137931,7601054.276121825,57992749.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.8675014589095509,0.014703414557789,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,59,0,1,0,-1,-1,0,0,5007399.0,0.0,5007399.0,5007399.0,57992749.0,0.0,57992749.0,57992749.0,ARP_POISONING
7,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 02:00:22 PM,68011443,59,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8822044843247923,1152736.3220338984,7536190.17264184,57988785.0,8.0,68011382.0,1172610.0344827585,7600449.947577593,57988785.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.8675010762527123,0.014703408072079873,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,59,0,1,0,-1,-1,0,0,5011400.0,0.0,5011400.0,5011400.0,57988785.0,0.0,57988785.0,57988785.0,ARP_POISONING
8,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 02:02:28 PM,119952205,64,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5418824939483188,1874253.203125,7653246.128236859,57988612.0,9.0,119952188.0,1904002.9841269841,7710987.7483250415,57988612.0,9.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5335458401952677,0.008336653753051058,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,64,0,1,0,-1,-1,0,0,5011372.5,99.7020561473032,5011443.0,5011302.0,18321576.666666668,19447487.58691596,57988612.0,10010204.0,ARP_POISONING
9,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 02:04:29 PM,118512865,83,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7087838100952162,1427865.8433734938,2725199.755481795,8399724.0,8.0,114076190.0,1391173.048780488,2721263.3001301307,8399724.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.7003459075940827,0.008437902501133526,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,83,0,1,0,-1,-1,0,0,2683484.3636363638,2635419.75223968,10010152.0,1610580.0,8090412.454545454,751280.0601681587,8399724.0,6023456.0,ARP_POISONING
10,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 02:06:29 PM,118513380,83,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7087807300745284,1427872.0481927712,2693213.721369169,8400273.0,6.0,110113715.0,1342850.1829268287,2595295.2695112764,8400273.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.7003428642403078,0.008437865834220577,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,83,0,1,0,-1,-1,0,0,3834888.1111111115,4414214.704346585,11620906.0,1610059.0,8399938.700000001,200.08167776624558,8400273.0,8399665.0,ARP_POISONING
11,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 02:08:29 PM,115919780,114,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9920653748652732,1016840.1754385969,1904948.8145284185,8400583.0,14.0,107519591.0,951500.8053097342,1780503.3527573638,8400583.0,14.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.9834387194316622,0.008626655433611071,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,114,0,1,0,-1,-1,0,0,7526120.428571427,8364961.551734031,23851613.0,1609883.0,7178811.125,1247086.543480608,8400583.0,5069491.0,ARP_POISONING
12,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 02:10:30 PM,119609610,191,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.605222189086646,626228.3246073298,804372.8981304496,4082386.0,9.0,117338386.0,617570.4526315788,797525.078217325,4082386.0,9.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.5968616568518201,0.008360532234826282,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,191,0,1,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARP_POISONING
13,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 02:12:34 PM,119514063,206,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7320137463655638,580165.3543689322,806516.2607046255,4902043.0,8.0,118996734.0,580471.8731707315,808478.5713936206,4902043.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.7236465301995465,0.008367216166017216,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,206,0,1,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARP_POISONING
14,192.168.1.2-192.168.1.5-50733-20000-6,192.168.1.2,50733,192.168.1.5,20000,6,18/05/2020 02:14:29 PM,100004772,3,1,54.0,18.0,18.0,18.0,18.0,0.0,18.0,18.0,18.0,0.0,0.7199656432395046,0.03999809129108359,33334924.0,41814827.837910905,81618017.0,9000959.0,90618976.0,45309488.0,51348014.14161683,81618017.0,9000959.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,96,32,0.029998568468312687,0.009999522822770895,18.0,18.0,18.0,0.0,0.0,0,0,0,1,1,0,0,0,0.0,22.5,18.0,18.0,0,0,0,0,0,0,3,54,1,18,-1,245,3,0,0.0,0.0,0.0,0.0,33334924.0,41814827.837910905,81618017.0,9000959.0,NORMAL
15,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 02:14:35 PM,119154180,210,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7708149223132583,567400.8571428572,613229.4460467332,3113505.0,13.0,119112335.0,569915.4784688995,613615.520079326,3113505.0,13.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.7624224345297832,0.008392487783475159,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,210,0,1,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARP_POISONING
16,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 02:16:35 PM,119275697,202,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7019393313626998,590473.7475247523,783209.1958486256,5300743.0,16.0,119274560.0,593405.7711442782,784052.612346855,5300743.0,16.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.6935553937697805,0.008383937592919704,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,202,0,1,0,-1,-1,0,0,90017160.0,0.0,90017160.0,90017160.0,5300743.0,0.0,5300743.0,5300743.0,ARP_POISONING
17,192.168.1.2-192.168.1.5-50733-20000-6,192.168.1.2,50733,192.168.1.5,20000,6,18/05/2020 02:16:30 PM,82999956,3,1,54.0,18.0,18.0,18.0,18.0,0.0,18.0,18.0,18.0,0.0,0.8674703393818667,0.04819279663232592,27666652.0,12503266.28015332,41999914.0,19000065.0,63999891.0,31999945.5,14142091.076003736,41999914.0,21999977.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,96,32,0.036144597474244436,0.01204819915808148,18.0,18.0,18.0,0.0,0.0,0,0,0,1,1,0,0,0,0.0,22.5,18.0,18.0,0,0,0,0,0,0,3,54,1,18,-1,270,3,0,0.0,0.0,0.0,0.0,27666652.0,12503266.28015332,41999914.0,19000065.0,NORMAL
18,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 02:18:36 PM,119556937,213,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7899421427967832,561300.1737089211,731553.69579903,6696624.0,7.0,118681209.0,559817.023584905,732964.1194475424,6696624.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.7815779271762373,0.008364215620545715,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,213,0,1,0,-1,-1,0,0,50323609.0,0.0,50323609.0,50323609.0,6696624.0,0.0,6696624.0,6696624.0,ARP_POISONING
19,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 02:20:37 PM,119964607,208,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7421805082894155,576752.918269231,819575.9215025489,5597155.0,16.0,119890361.0,579180.4879227057,820812.8163850511,5597155.0,16.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.7338447163837247,0.008335791905690984,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,208,0,1,0,-1,-1,0,0,22214911.0,18730465.25982315,35459350.0,8970472.0,5595964.0,1684.3283527863562,5597155.0,5594773.0,ARP_POISONING
20,192.168.1.2-192.168.1.5-50733-20000-6,192.168.1.2,50733,192.168.1.5,20000,6,18/05/2020 02:22:01 PM,112067456,2,4,45.0,68.0,27.0,18.0,22.5,6.363961030678928,17.0,17.0,17.0,0.0,1.008321273929873,0.05353918268654193,22413491.2,22759457.67160924,61999769.0,6416097.0,21000200.0,21000200.0,0.0,21000200.0,21000200.0,112067456.0,37355818.66666666,28321611.90261092,61999769.0,6416097.0,0,1,0,0,64,128,0.01784639422884731,0.03569278845769462,17.0,27.0,18.57142857142857,3.7352886036263584,13.952380952380947,0,0,0,1,1,0,0,0,2.0,21.66666666666667,22.5,17.0,0,0,0,0,0,0,2,45,4,68,-1,235,2,0,0.0,0.0,0.0,0.0,22413491.2,22759457.67160924,61999769.0,6416097.0,NORMAL
21,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 02:22:37 PM,119753670,220,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8454549242624465,544334.8636363635,609642.7198297427,4543433.0,10.0,118756087.0,542265.2374429221,610264.2603708196,4543433.0,10.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.837104449492028,0.008350474770418309,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,220,0,1,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARP_POISONING
22,192.168.1.2-192.168.1.5-50733-20000-6,192.168.1.2,50733,192.168.1.5,20000,6,18/05/2020 02:24:03 PM,117015653,3,2,54.0,35.0,18.0,18.0,18.0,0.0,18.0,17.0,17.5,0.7071067811865476,0.7605820052125847,0.04272932613553847,29253913.25,11785239.621565316,46002041.0,21001590.0,50012022.0,25006011.0,5655585.699926931,29005114.0,21006908.0,117015653.0,117015653.0,0.0,117015653.0,117015653.0,0,1,0,0,96,64,0.02563759568132308,0.017091730454215387,17.0,18.0,17.833333333333332,0.40824829046386296,0.16666666666666666,0,0,0,1,1,0,0,0,0.0,21.4,18.0,17.5,0,0,0,0,0,0,3,54,2,35,-1,235,3,0,0.0,0.0,0.0,0.0,29253913.25,11785239.621565316,46002041.0,21001590.0,NORMAL
