,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:45:01 PM,116792630,53,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4623579415927186,2203634.5283018863,3240779.219386333,8393652.0,10226.0,116782352.0,2245814.461538461,3257674.10365172,8393652.0,10226.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.4537957574891498,0.008562184103568864,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,53,0,1,0,-1,-1,0,0,2077533.1818181819,1526579.055845639,6680342.0,1616782.0,8393021.545454545,572.518534832693,8393652.0,8392052.0,ARP_POISONING
1,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:47:07 PM,111729572,35,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3222065506524987,3192273.485714286,3619974.063352034,8394642.0,117334.0,111612152.0,3282710.3529411764,3634057.8012054386,8394642.0,117334.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.3132563686899293,0.008950181962569408,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,35,0,1,0,-1,-1,0,0,1616089.9090909092,254.4729669515433,1616466.0,1615708.0,8394267.545454547,235.49452801946242,8394642.0,8393921.0,ARP_POISONING
2,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:49:07 PM,111728775,41,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37591032390715823,2725092.073170732,3527644.1300423318,8394735.0,8.0,111610936.0,2790273.399999999,3547491.7521330817,8394735.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.3669600780998449,0.00895024580731329,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,41,0,1,0,-1,-1,0,0,1615671.1818181816,106.17703912034088,1615829.0,1615527.0,8394622.909090908,111.33593718624304,8394735.0,8394491.0,ARP_POISONING
3,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:51:07 PM,111727934,47,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4296150325307188,2377190.085106383,3416215.2537125293,8396608.0,7.0,111609320.0,2426289.565217391,3437156.9824891663,8396608.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.4206647193529954,0.008950313177723308,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,47,0,1,0,-1,-1,0,0,1614343.1818181819,544.8759158160634,1615351.0,1613620.0,8396036.545454547,514.8089672172042,8396608.0,8395073.0,ARP_POISONING
4,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:53:07 PM,111726492,59,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5370257217061823,1893669.3559322031,3192119.126520018,8397124.0,6.0,111607939.0,1924274.8103448285,3211254.484383855,8397124.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5280752930110792,0.008950428695103041,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,59,0,1,0,-1,-1,0,0,1613401.0,131.15639519290696,1613627.0,1613207.0,8396917.90909091,108.02634358809463,8397124.0,8396745.0,ARP_POISONING
5,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:55:07 PM,111725351,67,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6086353669186504,1667542.5522388062,3055964.1189832394,8398485.0,9.0,111725337.0,1692808.136363637,3072322.3974817223,8398485.0,9.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5996848468169055,0.008950520101744856,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,67,0,1,0,-1,-1,0,0,1612610.4545454546,480.9304239984119,1613096.0,1611848.0,8397720.818181818,538.0737529709929,8398485.0,8397111.0,ARP_POISONING
6,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:57:07 PM,111724952,35,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3222198743929646,3192141.4857142856,3622781.0240253713,8399122.0,118353.0,111606489.0,3282543.7941176468,3636969.57090345,8399122.0,118353.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.3132693223264933,0.008950552066471239,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,35,0,1,0,-1,-1,0,0,1611379.5454545456,118.6274535142592,1611573.0,1611179.0,8398959.90909091,98.0188293594791,8399122.0,8398831.0,ARP_POISONING
7,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 01:59:07 PM,111724693,35,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32222062136254875,3192134.0857142867,3622701.4925985783,8399264.0,118793.0,111605824.0,3282524.2352941167,3636898.847021199,8399264.0,118793.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.3132700485469224,0.008950572815626353,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,35,0,1,0,-1,-1,0,0,1611344.7272727273,194.47369534672873,1611586.0,1611043.0,8398951.272727273,197.3003248395785,8399264.0,8398693.0,ARP_POISONING
8,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 02:01:07 PM,111724465,35,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32222127892937324,3192127.5714285714,3622716.9448074983,8399185.0,118847.0,111605611.0,3282517.970588236,3636914.481647425,8399185.0,118847.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.31327068784800177,0.00895059108137148,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,35,0,1,0,-1,-1,0,0,1611370.6363636362,104.67021804433254,1611557.0,1611175.0,8398945.272727275,133.15111032818214,8399185.0,8398730.0,ARP_POISONING
9,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/05/2020 02:03:08 PM,111724331,47,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4296288871937841,2377113.4255319145,3417690.2036774764,8399396.0,7.0,111605232.0,2426200.6956521743,3438663.894894985,8399396.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.4206782853772469,0.008950601816537168,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,47,0,1,0,-1,-1,0,0,1611033.0,93.52967443543457,1611236.0,1610855.0,8399271.909090908,98.07900340594342,8399396.0,8399081.0,ARP_POISONING
