,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE,Label
0,192.168.1.11-192.168.1.4-38594-20000,192.168.1.11,192.168.1.4,38594,20000,6, 16/05/2020  19:05:00 ,438.0,1,1,1000,999,997,7,6,2,1000,1000,1000.0,-1.0,999,999,999.0,-1.0,997,997,997.0,-1.0,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,2299086.7579908674,2294520.5479452056,2280821.917808219,4566.2100456621,438.0,-1.0,438.0,438.0,0,0,0,0,0,0,0,0,0,0,10,1,2,10,1,4,2283.10502283105,2283.10502283105,503.5,7,1000,702.1570337182417,493024.5,502.5,6,999,702.1570337182417,493024.5,499.5,2,997,703.5712472806148,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_INFO
1,192.168.1.11-192.168.1.4-38596-20000,192.168.1.11,192.168.1.4,38596,20000,6, 16/05/2020  19:05:23 ,368.0,1,1,1000,999,997,7,6,2,1000,1000,1000.0,-1.0,999,999,999.0,-1.0,997,997,997.0,-1.0,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,2736413.0434782607,2730978.2608695654,2714673.913043478,5434.782608695652,368.0,-1.0,368.0,368.0,0,0,0,0,0,0,0,0,0,0,10,1,2,10,1,4,2717.391304347826,2717.391304347826,503.5,7,1000,702.1570337182417,493024.5,502.5,6,999,702.1570337182417,493024.5,499.5,2,997,703.5712472806148,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_INFO
2,192.168.1.11-192.168.1.4-38598-20000,192.168.1.11,192.168.1.4,38598,20000,6, 16/05/2020  19:05:46 ,661.0,1,1,1000,999,997,7,6,2,1000,1000,1000.0,-1.0,999,999,999.0,-1.0,997,997,997.0,-1.0,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,1523449.319213313,1520423.6006051437,1511346.4447806354,3025.7186081694404,661.0,-1.0,661.0,661.0,0,0,0,0,0,0,0,0,0,0,10,1,2,10,1,4,1512.8593040847202,1512.8593040847202,503.5,7,1000,702.1570337182417,493024.5,502.5,6,999,702.1570337182417,493024.5,499.5,2,997,703.5712472806148,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_INFO
3,192.168.1.11-192.168.1.4-38600-20000,192.168.1.11,192.168.1.4,38600,20000,6, 16/05/2020  19:06:12 ,623.0,1,1,1000,999,997,7,6,2,1000,1000,1000.0,-1.0,999,999,999.0,-1.0,997,997,997.0,-1.0,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,1616372.391653291,1613162.1187800963,1603531.3001605137,3210.2728731942216,623.0,-1.0,623.0,623.0,0,0,0,0,0,0,0,0,0,0,10,1,2,10,1,4,1605.1364365971108,1605.1364365971108,503.5,7,1000,702.1570337182417,493024.5,502.5,6,999,702.1570337182417,493024.5,499.5,2,997,703.5712472806148,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_INFO
4,192.168.1.11-192.168.1.4-38602-20000,192.168.1.11,192.168.1.4,38602,20000,6, 16/05/2020  19:06:39 ,169.0,1,1,1000,999,997,7,6,2,1000,1000,1000.0,-1.0,999,999,999.0,-1.0,997,997,997.0,-1.0,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,5958579.881656805,5946745.562130177,5911242.603550296,11834.31952662722,169.0,-1.0,169.0,169.0,0,0,0,0,0,0,0,0,0,0,10,1,2,10,1,4,5917.15976331361,5917.15976331361,503.5,7,1000,702.1570337182417,493024.5,502.5,6,999,702.1570337182417,493024.5,499.5,2,997,703.5712472806148,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_INFO
5,192.168.1.11-192.168.1.4-38604-20000,192.168.1.11,192.168.1.4,38604,20000,6, 16/05/2020  19:07:10 ,681.0,1,1,1000,999,997,7,6,2,1000,1000,1000.0,-1.0,999,999,999.0,-1.0,997,997,997.0,-1.0,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,1478707.7826725403,1475770.9251101322,1466960.3524229075,2936.857562408223,681.0,-1.0,681.0,681.0,0,0,0,0,0,0,0,0,0,0,10,1,2,10,1,4,1468.4287812041116,1468.4287812041116,503.5,7,1000,702.1570337182417,493024.5,502.5,6,999,702.1570337182417,493024.5,499.5,2,997,703.5712472806148,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_INFO
6,192.168.1.11-192.168.1.4-38606-20000,192.168.1.11,192.168.1.4,38606,20000,6, 16/05/2020  19:07:33 ,392.0,1,1,1000,999,997,7,6,2,1000,1000,1000.0,-1.0,999,999,999.0,-1.0,997,997,997.0,-1.0,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,2568877.551020408,2563775.510204082,2548469.387755102,5102.040816326531,392.0,-1.0,392.0,392.0,0,0,0,0,0,0,0,0,0,0,10,1,2,10,1,4,2551.020408163265,2551.020408163265,503.5,7,1000,702.1570337182417,493024.5,502.5,6,999,702.1570337182417,493024.5,499.5,2,997,703.5712472806148,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_INFO
7,192.168.1.11-192.168.1.4-38608-20000,192.168.1.11,192.168.1.4,38608,20000,6, 16/05/2020  19:08:02 ,357.0,1,1,1000,999,997,7,6,2,1000,1000,1000.0,-1.0,999,999,999.0,-1.0,997,997,997.0,-1.0,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,2820728.2913165265,2815126.0504201683,2798319.3277310925,5602.240896358542,357.0,-1.0,357.0,357.0,0,0,0,0,0,0,0,0,0,0,10,1,2,10,1,4,2801.120448179271,2801.120448179271,503.5,7,1000,702.1570337182417,493024.5,502.5,6,999,702.1570337182417,493024.5,499.5,2,997,703.5712472806148,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_INFO
8,192.168.1.11-192.168.1.4-38610-20000,192.168.1.11,192.168.1.4,38610,20000,6, 16/05/2020  19:08:28 ,751.0,1,1,1000,999,997,7,6,2,1000,1000,1000.0,-1.0,999,999,999.0,-1.0,997,997,997.0,-1.0,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,1340878.8282290278,1338215.7123834887,1330226.3648468708,2663.115845539281,751.0,-1.0,751.0,751.0,0,0,0,0,0,0,0,0,0,0,10,1,2,10,1,4,1331.5579227696405,1331.5579227696405,503.5,7,1000,702.1570337182417,493024.5,502.5,6,999,702.1570337182417,493024.5,499.5,2,997,703.5712472806148,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_INFO
9,192.168.1.11-192.168.1.4-38612-20000,192.168.1.11,192.168.1.4,38612,20000,6, 16/05/2020  19:08:48 ,270.0,1,1,1000,999,997,7,6,2,1000,1000,1000.0,-1.0,999,999,999.0,-1.0,997,997,997.0,-1.0,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,3729629.629629629,3722222.222222222,3700000.0,7407.407407407407,270.0,-1.0,270.0,270.0,0,0,0,0,0,0,0,0,0,0,10,1,2,10,1,4,3703.7037037037044,3703.7037037037044,503.5,7,1000,702.1570337182417,493024.5,502.5,6,999,702.1570337182417,493024.5,499.5,2,997,703.5712472806148,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_INFO
