,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE,Label
0,192.168.1.2-192.168.1.5-33285-20000,192.168.1.2,192.168.1.5,33285,20000,6, 16/05/2020  19:05:01 ,22011244.0,12,12,96,84,60,84,72,24,8,8,8.0,0.0,7,7,7.0,0.0,5,5,5.0,0.0,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,8.17763866503865,7.087286843033496,3.816231377018037,1.0903518220051531,957010.6086956522,1021662.4636315132,2000842.0,265.0,22010979.0,2000998.0909090908,113.55038929519752,2001179.0,2000808.0,22010902.0,2000991.0909090908,147.48047636582584,2001204.0,2000731.0,120,12,24,120,12,48,0.5451759110025767,0.5451759110025767,7.5,7,8,0.5107539184552492,0.2608695652173913,6.5,6,7,0.5107539184552492,0.2608695652173913,3.5,2,5,1.5322617553657476,2.347826086956522,0,0,0,0,0,0,0,0,1,13,24,MASTER,1,129,0,0,0,12,12,NORMAL
1,192.168.1.12-192.168.1.5-39884-20000,192.168.1.12,192.168.1.5,39884,20000,6, 16/05/2020  19:05:24 ,292.0,1,1,1000,999,997,7,6,2,1000,1000,1000.0,-1.0,999,999,999.0,-1.0,997,997,997.0,-1.0,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,3448630.1369863013,3441780.821917808,3421232.8767123288,6849.315068493151,292.0,-1.0,292.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,2,10,1,4,3424.6575342465753,3424.6575342465753,503.5,7,1000,702.1570337182417,493024.5,502.5,6,999,702.1570337182417,493024.5,499.5,2,997,703.5712472806148,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_INFO
2,192.168.1.5-192.168.1.2-20000-34405,192.168.1.5,192.168.1.2,20000,34405,6, 16/05/2020  19:05:24 ,24736621.0,16,15,556,540,476,126,111,81,282,7,34.75,78.25811991949034,281,6,33.75,78.25811991949034,277,2,29.75,78.25811991949034,17,5,8.4,2.5014281634983755,16,4,7.4,2.5014281634983755,14,2,5.4,2.5014281634983755,27.570459198934245,26.3172565080736,22.517222542238088,1.2532026908606475,824554.0333333333,981461.9318252952,2000847.0,264.0,24736621.0,1649108.066666667,734690.3064146405,2001173.0,17941.0,24735780.0,1766841.4285714286,607367.9504561799,2001157.0,17998.0,160,16,64,150,15,30,0.6468142920571084,0.6063883988035391,22.0,5,282,56.95846439877629,3244.266666666667,21.0,4,281,56.95846439877629,3244.266666666667,17.967741935483872,2,277,56.728290338517894,3218.0989247311823,0,0,0,0,0,0,0,0,13,1,31,OUTSTATION,1,129,0,0,0,15,16,NORMAL
3,192.168.1.12-192.168.1.5-39886-20000,192.168.1.12,192.168.1.5,39886,20000,6, 16/05/2020  19:05:50 ,155.0,1,1,1000,999,997,7,6,2,1000,1000,1000.0,-1.0,999,999,999.0,-1.0,997,997,997.0,-1.0,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,6496774.193548388,6483870.967741936,6445161.29032258,12903.225806451614,155.0,-1.0,155.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,2,10,1,4,6451.612903225807,6451.612903225807,503.5,7,1000,702.1570337182417,493024.5,502.5,6,999,702.1570337182417,493024.5,499.5,2,997,703.5712472806148,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_INFO
4,192.168.1.5-192.168.1.2-20000-60809,192.168.1.5,192.168.1.2,20000,60809,6, 16/05/2020  19:05:50 ,26959214.0,15,15,105,90,30,117,102,72,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,8,5,7.8,0.7745966692414836,7,4,6.8,0.7745966692414836,5,2,4.8,0.7745966692414836,8.234661440797199,7.121869354202982,3.783493094420335,1.1127920865942158,929628.0689655172,997617.1918063394,2000847.0,270.0,26959214.0,1925658.1428571432,281878.1211314447,2001236.0,946302.0,26958216.0,1925586.8571428568,282150.304806296,2001159.0,945285.0,150,15,60,150,15,30,0.5563960432971079,0.5563960432971079,7.4,5,8,0.6746646676632054,0.4551724137931034,6.4,4,7,0.6746646676632054,0.4551724137931034,3.4,2,5,1.5222487902147743,2.3172413793103455,0,0,0,0,0,0,0,0,13,1,30,OUTSTATION,1,129,0,0,0,15,15,NORMAL
5,192.168.1.12-192.168.1.5-39888-20000,192.168.1.12,192.168.1.5,39888,20000,6, 16/05/2020  19:06:18 ,124.0,1,1,1000,999,997,7,6,2,1000,1000,1000.0,-1.0,999,999,999.0,-1.0,997,997,997.0,-1.0,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,8120967.741935482,8104838.709677419,8056451.612903225,16129.032258064517,124.0,-1.0,124.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,2,10,1,4,8064.5161290322585,8064.5161290322585,503.5,7,1000,702.1570337182417,493024.5,502.5,6,999,702.1570337182417,493024.5,499.5,2,997,703.5712472806148,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_INFO
6,192.168.1.5-192.168.1.2-20000-45604,192.168.1.5,192.168.1.2,20000,45604,6, 16/05/2020  19:06:18 ,23173462.0,15,14,549,534,474,118,104,76,282,7,36.6,80.64188915020708,281,6,35.6,80.64188915020708,277,2,31.6,80.64188915020708,17,5,8.428571428571429,2.593313464522699,16,4,7.428571428571429,2.593313464522699,14,2,5.428571428571429,2.593313464522699,28.78292419147385,27.53149270488803,23.734045435248298,1.2514314865858196,827623.6428571428,982286.2222159086,2000828.0,236.0,23173462.0,1655247.2857142857,727993.5996678108,2001175.0,26987.0,23133207.0,1779477.4615384615,583030.2131397388,2001140.0,27018.0,150,15,60,140,14,28,0.6472921482340446,0.6041393383517749,23.0,5,282,58.821157515205115,3459.9285714285716,22.0,4,281,58.821157515205115,3459.9285714285716,18.96551724137931,2,277,58.581739450483504,3431.8201970443347,0,0,0,0,0,0,0,0,13,1,29,OUTSTATION,1,129,0,0,0,14,15,NORMAL
7,192.168.1.12-192.168.1.5-39890-20000,192.168.1.12,192.168.1.5,39890,20000,6, 16/05/2020  19:06:42 ,219.0,1,1,1000,999,997,7,6,2,1000,1000,1000.0,-1.0,999,999,999.0,-1.0,997,997,997.0,-1.0,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,4598173.515981735,4589041.095890411,4561643.835616438,9132.4200913242,219.0,-1.0,219.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,2,10,1,4,4566.2100456621,4566.2100456621,503.5,7,1000,702.1570337182417,493024.5,502.5,6,999,702.1570337182417,493024.5,499.5,2,997,703.5712472806148,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_INFO
8,192.168.1.5-192.168.1.2-20000-49129,192.168.1.5,192.168.1.2,20000,49129,6, 16/05/2020  19:06:42 ,29294050.0,16,16,112,96,32,125,109,77,7,7,7.0,0.0,6,6,6.0,0.0,2,2,2.0,0.0,8,5,7.8125,0.75,7,4,6.8125,0.75,5,2,4.8125,0.75,8.090380128387848,6.998008127930416,3.720892126558124,1.0923720004574309,944969.3548387096,999833.2455267912,2000785.0,268.0,29294050.0,1952936.666666667,186091.2675596369,2001231.0,1280257.0,29293117.0,1952874.4666666663,186338.50134360566,2001127.0,1279301.0,160,16,64,160,16,32,0.5461860002287154,0.5461860002287154,7.40625,5,8,0.6652370423996586,0.4425403225806452,6.40625,4,7,0.6652370423996586,0.4425403225806452,3.40625,2,5,1.521022046032249,2.313508064516129,0,0,0,0,0,0,0,0,13,1,32,OUTSTATION,1,129,0,0,0,16,16,NORMAL
9,192.168.1.12-192.168.1.5-39892-20000,192.168.1.12,192.168.1.5,39892,20000,6, 16/05/2020  19:07:12 ,69.0,1,1,1000,999,997,7,6,2,1000,1000,1000.0,-1.0,999,999,999.0,-1.0,997,997,997.0,-1.0,7,7,7.0,-1.0,6,6,6.0,-1.0,2,2,2.0,-1.0,14594202.898550725,14565217.391304348,14478260.86956522,28985.50724637681,69.0,-1.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,2,10,1,4,14492.753623188406,14492.753623188406,503.5,7,1000,702.1570337182417,493024.5,502.5,6,999,702.1570337182417,493024.5,499.5,2,997,703.5712472806148,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_INFO
