,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,192.168.1.2-192.168.1.5-44204-20000-6,192.168.1.5,20000,192.168.1.2,44204,6,16/05/2020 07:56:06 PM,27015170,14,16,238.0,284.0,17.0,17.0,17.0,0.0,18.0,15.0,17.75,0.7745966692414832,19.32247696386882,1.1104871818315412,931557.5862068965,997668.3321186069,2000877.0,232.0,26012920.0,2000993.8461538462,157.35937963454612,2001216.0,2000747.0,27014886.0,1800992.3999999997,560696.43504928,2001153.0,488.0,0,1,0,0,448,512,0.5182273515213859,0.5922598303101554,15.0,18.0,17.387096774193548,0.6672040844618543,0.4451612903225812,0,0,0,1,1,0,0,0,1.0,17.966666666666665,17.0,17.75,0,0,0,0,0,0,14,238,16,284,-1,229,14,0,0,0,0,0,0,0,0,0,NORMAL
1,192.168.1.2-192.168.1.5-46082-20000-6,192.168.1.5,20000,192.168.1.2,46082,6,16/05/2020 09:04:18 PM,29034832,17,18,733.0,329.0,292.0,17.0,43.11764705882353,76.07141574939727,27.0,15.0,18.277777777777782,2.2959185155543653,36.57675718598957,1.2054486831540818,853965.6470588235,986617.4976180248,2000831.0,219.0,28013898.0,1750868.625,675609.930375694,2001206.0,547.0,29034521.0,1707913.0,677806.0710141397,2001095.0,578.0,0,1,0,0,544,576,0.5855036461034112,0.6199450370506707,15.0,292.0,29.97222222222223,52.98166049876456,2807.056349206349,0,0,0,1,1,0,0,0,1.0,30.82857142857143,43.11764705882353,18.277777777777782,0,0,0,0,0,0,17,733,18,329,-1,245,17,0,0,0,0,0,0,0,0,0,NORMAL
2,192.168.1.2-192.168.1.5-46827-20000-6,192.168.1.5,20000,192.168.1.2,46827,6,16/05/2020 08:43:23 PM,28962572,17,18,733.0,329.0,292.0,17.0,43.11764705882353,76.07141574939727,27.0,15.0,18.277777777777782,2.2959185155543653,36.6680141528867,1.2084562103117085,851840.3529411764,984374.7834532944,2000964.0,248.0,28014084.0,1750880.25,669587.3650799672,2001427.0,33161.0,28962101.0,1703653.0,683845.5813044528,2001212.0,601.0,0,1,0,0,544,576,0.5869644450085441,0.6214917653031643,15.0,292.0,29.97222222222223,52.98166049876456,2807.056349206349,0,0,0,1,1,0,0,0,1.0,30.82857142857143,43.11764705882353,18.277777777777782,0,0,0,0,0,0,17,733,18,329,-1,245,17,0,0,0,0,0,0,0,0,0,NORMAL
3,192.168.1.5-192.168.1.12-20000-40000-6,192.168.1.12,40000,192.168.1.5,20000,6,16/05/2020 07:30:37 PM,165,0,2,0.0,1027.0,0.0,0.0,0.0,0.0,1010.0,17.0,513.5,702.1570337182417,6224242.424242424,12121.212121212122,165.0,0.0,165.0,165.0,0.0,0.0,0.0,0.0,0.0,165.0,165.0,0.0,165.0,165.0,0,1,0,0,0,64,0.0,12121.212121212122,17.0,1010.0,679.0,573.3088173052984,328683.0,0,0,0,1,1,0,0,0,0.0,1018.5,0.0,513.5,0,0,0,0,0,0,0,0,2,1027,-1,243,0,0,0,0,0,0,0,0,0,0,DNP3_INFO
4,192.168.1.5-192.168.1.12-20000-40460-6,192.168.1.12,40460,192.168.1.5,20000,6,16/05/2020 09:10:45 PM,156,0,2,0.0,1027.0,0.0,0.0,0.0,0.0,1010.0,17.0,513.5,702.1570337182417,6583333.333333333,12820.51282051282,156.0,0.0,156.0,156.0,0.0,0.0,0.0,0.0,0.0,156.0,156.0,0.0,156.0,156.0,0,1,0,0,0,64,0.0,12820.51282051282,17.0,1010.0,679.0,573.3088173052984,328683.0,0,0,0,1,1,0,0,0,0.0,1018.5,0.0,513.5,0,0,0,0,0,0,0,0,2,1027,-1,243,0,0,0,0,0,0,0,0,0,0,DNP3_INFO
5,192.168.1.5-192.168.1.12-20000-40712-6,192.168.1.12,40712,192.168.1.5,20000,6,16/05/2020 10:05:07 PM,216,0,2,0.0,1027.0,0.0,0.0,0.0,0.0,1010.0,17.0,513.5,702.1570337182417,4754629.62962963,9259.25925925926,216.0,0.0,216.0,216.0,0.0,0.0,0.0,0.0,0.0,216.0,216.0,0.0,216.0,216.0,0,1,0,0,0,64,0.0,9259.25925925926,17.0,1010.0,679.0,573.3088173052984,328683.0,0,0,0,1,1,0,0,0,0.0,1018.5,0.0,513.5,0,0,0,0,0,0,0,0,2,1027,-1,243,0,0,0,0,0,0,0,0,0,0,DNP3_INFO
6,192.168.1.2-192.168.1.5-57435-20000-6,192.168.1.5,20000,192.168.1.2,57435,6,16/05/2020 07:13:44 PM,21063656,11,13,187.0,230.0,17.0,17.0,17.0,0.0,18.0,15.0,17.69230769230769,0.8548504142651102,19.797133033315774,1.139403340046951,915811.1304347824,996434.5379250643,2000796.0,307.0,20010039.0,2001003.9,99.68556119675726,2001142.0,2000866.0,21063272.0,1755272.666666667,616176.8350265478,2001208.0,539.0,0,1,0,0,352,416,0.5222265308548525,0.6171768091920984,15.0,18.0,17.359999999999996,0.7000000000000004,0.4900000000000005,0,0,0,1,1,0,0,0,1.0,18.08333333333333,17.0,17.69230769230769,0,0,0,0,0,0,11,187,13,230,-1,229,11,0,0,0,0,0,0,0,0,0,NORMAL
7,192.168.1.2-192.168.1.5-45475-20000-6,192.168.1.5,20000,192.168.1.2,45475,6,16/05/2020 10:59:50 PM,21692338,11,13,187.0,230.0,17.0,17.0,17.0,0.0,18.0,15.0,17.69230769230769,0.8548504142651102,19.223377397125198,1.106381432928069,943145.1304347827,1008859.681766602,2000715.0,268.0,20009622.0,2000962.2,146.55889980178992,2001096.0,2000638.0,21691997.0,1807666.416666667,576404.3506069579,2001106.0,749.0,0,1,0,0,352,416,0.5070914900920316,0.5992899428360373,15.0,18.0,17.359999999999996,0.7000000000000004,0.4900000000000005,0,0,0,1,1,0,0,0,1.0,18.08333333333333,17.0,17.69230769230769,0,0,0,0,0,0,11,187,13,230,-1,229,11,0,0,0,0,0,0,0,0,0,NORMAL
8,192.168.1.2-192.168.1.5-41491-20000-6,192.168.1.5,20000,192.168.1.2,41491,6,16/05/2020 09:54:12 PM,29949690,15,17,255.0,302.0,17.0,17.0,17.0,0.0,18.0,15.0,17.764705882352942,0.7524469885568252,18.59785526995438,1.0684584715234113,966119.0322580644,1013971.4066929923,2000795.0,222.0,28013727.0,2000980.5,108.6432057417752,2001152.0,2000736.0,29949292.0,1871830.75,499275.89285757963,2001104.0,569.0,0,1,0,0,480,544,0.5008399085265991,0.5676185629968123,15.0,18.0,17.393939393939394,0.6585682358056163,0.43371212121212177,0,0,0,1,1,0,0,0,1.0,17.9375,17.0,17.764705882352942,0,0,0,0,0,0,15,255,17,302,-1,229,15,0,0,0,0,0,0,0,0,0,NORMAL
9,192.168.1.2-192.168.1.5-49898-20000-6,192.168.1.5,20000,192.168.1.2,49898,6,16/05/2020 08:34:20 PM,27385396,16,17,716.0,311.0,292.0,17.0,44.75,78.25811991949034,27.0,15.0,18.294117647058822,2.3654995741479468,37.501739978490725,1.2050218298833437,855793.6250000001,987431.0519105349,2000771.0,283.0,26012866.0,1734191.066666667,691196.6074723981,2001140.0,25335.0,27385107.0,1711569.1875,681261.717440732,2001168.0,596.0,0,1,0,0,512,544,0.5842530084282879,0.6207688214550559,15.0,292.0,30.70588235294117,54.47186063200901,2967.1836007130128,0,0,0,1,1,0,0,0,1.0,31.63636363636364,44.75,18.294117647058822,0,0,0,0,0,0,16,716,17,311,-1,245,16,0,0,0,0,0,0,0,0,0,NORMAL
