,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE, Label
0,192.168.1.12-192.168.1.4-56526-20003,192.168.1.12,192.168.1.4,56526,20003,6, 15/05/2020  18:20:01 ,118059638.0,64,66,524,460,332,1350,1284,1020,17,5,8.1875,1.6797108594721206,16,4,7.1875,1.6797108594721206,14,2,5.1875,1.6797108594721206,282,7,20.454545454545453,54.971931808089906,281,6,19.454545454545453,54.971931808089906,277,2,15.454545454545455,54.971931808089906,15.87333344186605,14.7721950494207,11.451839281431644,1.1011383924453504,915190.992248062,985427.3269179222,2000719.0,370.0,118058747.0,1873948.365079365,427020.1603280841,2001526.0,71719.0,118058961.0,1816291.7076923081,532014.8792127353,2001543.0,370.0,640,64,128,660,66,264,0.5420989008961724,0.5590394915491779,14.415384615384614,5,282,39.52151501493497,1561.9501490757307,13.415384615384614,4,281,39.52151501493497,1561.9501490757307,10.4,2,277,39.377638954264434,1550.5984496124029,0,0,0,0,0,0,0,0,4,12,130,MASTER,1,129,0,0,0,64,66,COLD_RESTART
1,192.168.1.12-192.168.1.3-46578-20003,192.168.1.12,192.168.1.3,46578,20003,6, 15/05/2020  18:20:01 ,118060947.0,64,66,524,460,332,1350,1284,1020,17,5,8.1875,1.6797108594721206,16,4,7.1875,1.6797108594721206,14,2,5.1875,1.6797108594721206,282,7,20.454545454545453,54.971931808089906,281,6,19.454545454545453,54.971931808089906,277,2,15.454545454545455,54.971931808089906,15.873157446382331,14.772031262801914,11.451712309236347,1.101126183580418,915201.1395348836,985113.302602142,2000357.0,340.0,118060045.0,1873968.9682539685,425909.3487523042,2001381.0,79008.0,118059915.0,1816306.3846153843,531167.9724149088,2001504.0,340.0,640,64,128,660,66,264,0.542092890378052,0.5590332932023659,14.415384615384614,5,282,39.52151501493497,1561.9501490757307,13.415384615384614,4,281,39.52151501493497,1561.9501490757307,10.4,2,277,39.377638954264434,1550.5984496124029,0,0,0,0,0,0,0,0,4,11,130,MASTER,1,129,0,0,0,64,66,COLD_RESTART
2,192.168.1.12-192.168.1.5-37363-20003,192.168.1.12,192.168.1.5,37363,20003,6, 15/05/2020  18:20:01 ,118059888.0,64,66,524,460,332,1350,1284,1020,17,5,8.1875,1.6797108594721206,16,4,7.1875,1.6797108594721206,14,2,5.1875,1.6797108594721206,282,7,20.454545454545453,54.971931808089906,281,6,19.454545454545453,54.971931808089906,277,2,15.454545454545455,54.971931808089906,15.873299828981711,14.772163768273268,11.45181503136781,1.1011360607084428,915192.9302325582,978528.057444415,2000978.0,229.0,118058952.0,1873951.6190476192,392721.5373958117,2001616.0,195637.0,118059066.0,1816293.3230769231,505763.27523753967,2001917.0,229.0,640,64,128,660,66,264,0.5420977529641566,0.5590383077442865,14.415384615384614,5,282,39.52151501493497,1561.9501490757307,13.415384615384614,4,281,39.52151501493497,1561.9501490757307,10.4,2,277,39.377638954264434,1550.5984496124029,0,0,0,0,0,0,0,0,4,13,130,MASTER,1,129,0,0,0,64,66,COLD_RESTART
3,192.168.1.12-192.168.1.8-43941-20003,192.168.1.12,192.168.1.8,43941,20003,6, 15/05/2020  18:20:01 ,118055895.0,64,66,524,460,332,1350,1284,1020,17,5,8.1875,1.6797108594721206,16,4,7.1875,1.6797108594721206,14,2,5.1875,1.6797108594721206,282,7,20.454545454545453,54.971931808089906,281,6,19.454545454545453,54.971931808089906,277,2,15.454545454545455,54.971931808089906,15.873836710991855,14.772663406600744,11.452202365667553,1.1011733043911105,915161.9767441859,987303.3174117316,2000535.0,461.0,118055008.0,1873889.0158730159,436090.1623793872,2001355.0,59867.0,118055010.0,1816230.9230769232,539080.3845233597,2001455.0,461.0,640,64,128,660,66,264,0.5421160883156236,0.5590572160754871,14.415384615384614,5,282,39.52151501493497,1561.9501490757307,13.415384615384614,4,281,39.52151501493497,1561.9501490757307,10.4,2,277,39.377638954264434,1550.5984496124029,0,0,0,0,0,0,0,0,4,16,130,MASTER,1,129,0,0,0,64,66,COLD_RESTART
4,192.168.1.12-192.168.1.10-55149-20003,192.168.1.12,192.168.1.10,55149,20003,6, 15/05/2020  18:20:01 ,118057963.0,64,66,524,460,332,1350,1284,1020,17,5,8.1875,1.6797108594721206,16,4,7.1875,1.6797108594721206,14,2,5.1875,1.6797108594721206,282,7,20.454545454545453,54.971931808089906,281,6,19.454545454545453,54.971931808089906,277,2,15.454545454545455,54.971931808089906,15.873558651863238,14.772404636525874,11.45200175950859,1.1011540153373645,915178.007751938,987328.6741685198,2001158.0,397.0,118057088.0,1873922.031746032,436027.7474428615,2001968.0,62919.0,118056911.0,1816260.1692307687,539015.1464106658,2001948.0,397.0,640,64,128,660,66,264,0.5421065921660871,0.5590474231712773,14.415384615384614,5,282,39.52151501493497,1561.9501490757307,13.415384615384614,4,281,39.52151501493497,1561.9501490757307,10.4,2,277,39.377638954264434,1550.5984496124029,0,0,0,0,0,0,0,0,4,18,130,MASTER,1,129,0,0,0,64,66,COLD_RESTART
5,192.168.1.12-192.168.1.9-57817-20003,192.168.1.12,192.168.1.9,57817,20003,6, 15/05/2020  18:20:01 ,118061594.0,64,66,524,460,332,1350,1284,1020,17,5,8.1875,1.6797108594721206,16,4,7.1875,1.6797108594721206,14,2,5.1875,1.6797108594721206,282,7,20.454545454545453,54.971931808089906,281,6,19.454545454545453,54.971931808089906,277,2,15.454545454545455,54.971931808089906,15.873070458459166,14.771950309259758,11.45164955167385,1.1011201491994085,915206.1550387596,987181.333481187,2000819.0,415.0,118060465.0,1873975.634920635,435641.39913462935,2001754.0,64126.0,118060831.0,1816320.476923077,538779.7838040518,2001712.0,415.0,640,64,128,660,66,264,0.5420899196058627,0.5590302295935459,14.415384615384614,5,282,39.52151501493497,1561.9501490757307,13.415384615384614,4,281,39.52151501493497,1561.9501490757307,10.4,2,277,39.377638954264434,1550.5984496124029,0,0,0,0,0,0,0,0,4,17,130,MASTER,1,129,0,0,0,64,66,COLD_RESTART
6,192.168.1.12-192.168.1.7-52856-20003,192.168.1.12,192.168.1.7,52856,20003,6, 15/05/2020  18:20:01 ,118058847.0,64,66,524,460,332,1350,1284,1020,17,5,8.1875,1.6797108594721206,16,4,7.1875,1.6797108594721206,14,2,5.1875,1.6797108594721206,282,7,20.454545454545453,54.971931808089906,281,6,19.454545454545453,54.971931808089906,277,2,15.454545454545455,54.971931808089906,15.873439793969867,14.772294023843891,11.451916009310171,1.101145770125978,915184.8604651164,978482.3734986536,2000715.0,436.0,118058094.0,1873938.0,392605.59361527185,2001534.0,187970.0,118058112.0,1816278.6461538458,505648.00703723956,2001527.0,436.0,640,64,128,660,66,264,0.5421025329850968,0.5590432371408811,14.415384615384614,5,282,39.52151501493497,1561.9501490757307,13.415384615384614,4,281,39.52151501493497,1561.9501490757307,10.4,2,277,39.377638954264434,1550.5984496124029,0,0,0,0,0,0,0,0,4,15,130,MASTER,1,129,0,0,0,64,66,COLD_RESTART
7,192.168.1.12-192.168.1.6-36519-20003,192.168.1.12,192.168.1.6,36519,20003,6, 15/05/2020  18:20:01 ,118061724.0,64,66,524,460,332,1350,1284,1020,17,5,8.1875,1.6797108594721206,16,4,7.1875,1.6797108594721206,14,2,5.1875,1.6797108594721206,282,7,20.454545454545453,54.971931808089906,281,6,19.454545454545453,54.971931808089906,277,2,15.454545454545455,54.971931808089906,15.873052980320699,14.771934043585539,11.451636942045669,1.1011189367351606,915207.1627906977,978195.4478650488,2000637.0,328.0,118060932.0,1873983.047619048,391725.3341097984,2001948.0,173924.0,118060954.0,1816322.369230769,504955.7050615483,2002409.0,328.0,640,64,128,660,66,264,0.5420893227003868,0.5590296140347739,14.415384615384614,5,282,39.52151501493497,1561.9501490757307,13.415384615384614,4,281,39.52151501493497,1561.9501490757307,10.4,2,277,39.377638954264434,1550.5984496124029,0,0,0,0,0,0,0,0,4,14,130,MASTER,1,129,0,0,0,64,66,COLD_RESTART
8,192.168.1.12-192.168.1.4-56526-20003,192.168.1.12,192.168.1.4,56526,20003,6, 15/05/2020  18:22:01 ,118059558.0,66,68,534,468,336,1364,1296,1024,17,5,8.090909090909092,1.7429177369463646,16,4,7.090909090909091,1.7429177369463646,14,2,5.090909090909091,1.7429177369463646,282,7,20.058823529411768,54.193650107997826,281,6,19.058823529411768,54.193650107997826,277,2,15.058823529411766,54.193650107997826,16.0766314236074,14.941611080739436,11.519609450003193,1.1350203428679615,887665.8496240602,969553.307354408,2001118.0,289.0,118058903.0,1816290.8153846157,478311.65326711576,2001893.0,130044.0,118058836.0,1762072.1791044774,564696.9583222418,2002049.0,289.0,660,66,132,680,68,272,0.559039870367802,0.5759804725001596,14.164179104477613,5,282,38.949590330516294,1517.0705869150488,13.164179104477613,4,281,38.949590330516294,1517.0705869150488,10.149253731343284,2,277,38.8075078897348,1506.022668611828,0,0,0,0,0,0,0,0,4,12,134,MASTER,1,129,0,0,0,66,68,COLD_RESTART
9,192.168.1.12-192.168.1.3-46578-20003,192.168.1.12,192.168.1.3,46578,20003,6, 15/05/2020  18:22:01 ,118060946.0,66,68,534,468,336,1364,1296,1024,17,5,8.090909090909092,1.7429177369463646,16,4,7.090909090909091,1.7429177369463646,14,2,5.090909090909091,1.7429177369463646,282,7,20.058823529411768,54.193650107997826,281,6,19.058823529411768,54.193650107997826,277,2,15.058823529411766,54.193650107997826,16.07644241644481,14.941435417602026,11.51947401810587,1.1350069988427842,887676.2857142857,969502.1742208777,2000392.0,488.0,118059953.0,1816306.9692307687,478433.4980523668,2001942.0,136942.0,118060164.0,1762092.0,564794.5946415414,2001756.0,488.0,660,66,132,680,68,272,0.5590332979374907,0.5759737009052934,14.164179104477613,5,282,38.949590330516294,1517.0705869150488,13.164179104477613,4,281,38.949590330516294,1517.0705869150488,10.149253731343284,2,277,38.8075078897348,1506.022668611828,0,0,0,0,0,0,0,0,4,11,134,MASTER,1,129,0,0,0,66,68,COLD_RESTART
