,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE, Label
0,192.168.1.2-192.168.1.6-55043-20000,192.168.1.2,192.168.1.6,55043,20000,6, 15/05/2020  18:20:00 ,118063090.0,62,64,514,452,328,1336,1272,1016,17,8,8.290322580645162,1.6031433955497778,16,7,7.290322580645161,1.6031433955497778,14,5,5.290322580645161,1.6031433955497778,282,7,20.875,55.784591375402535,281,6,19.875,55.784591375402535,277,2,15.875,55.784591375402535,15.66958818374142,14.602362177713625,11.38374406429647,1.067226006027794,944504.72,1000473.354878141,2005243.0,123.0,118062917.0,1935457.6557377046,345857.26764547854,2005416.0,57095.0,118062887.0,1874014.0793650798,482469.0617436354,2005422.0,459.0,620,62,124,640,64,256,0.5251429553470098,0.5420830506807843,14.682539682539682,7,282,40.11935209719137,1609.5624126984135,13.682539682539682,6,281,40.11935209719137,1609.5624126984135,10.666666666666666,2,277,39.973591282245344,1597.888,0,0,0,0,0,0,0,0,1,14,126,MASTER,1,129,0,0,0,62,64,NORMAL
1,192.168.1.11-192.168.1.6-56247-20002,192.168.1.11,192.168.1.6,56247,20002,6, 15/05/2020  18:20:00 ,118032254.0,64,66,524,460,332,1350,1284,1020,17,5,8.1875,1.6797108594721206,16,4,7.1875,1.6797108594721206,14,2,5.1875,1.6797108594721206,282,7,20.454545454545453,54.971931808089906,281,6,19.454545454545453,54.971931808089906,277,2,15.454545454545455,54.971931808089906,15.877016124761965,14.775622263385735,11.454496158312795,1.1013938613762304,914978.7131782945,986992.7717700129,2001731.0,151.0,118032085.0,1873525.1587301588,432731.6658362243,2002013.0,75975.0,118032043.0,1815877.5846153847,536419.0810128335,2001894.0,417.0,640,64,128,660,66,264,0.5422246702159903,0.55916919116024,14.415384615384614,5,282,39.52151501493497,1561.9501490757307,13.415384615384614,4,281,39.52151501493497,1561.9501490757307,10.4,2,277,39.377638954264434,1550.5984496124029,0,0,0,0,0,0,0,0,3,14,130,MASTER,1,129,0,0,0,64,66,COLD_RESTART
2,192.168.1.1-192.168.1.6-33180-20001,192.168.1.1,192.168.1.6,33180,20001,6, 15/05/2020  18:20:01 ,118060369.0,65,67,529,464,334,1357,1290,1022,17,5,8.138461538461538,1.7127912441841378,16,4,7.138461538461539,1.7127912441841382,14,2,5.138461538461539,1.7127912441841382,282,7,20.253731343283587,54.578645864027926,281,6,19.253731343283587,54.578645864027926,277,2,15.25373134328358,54.578645864027926,15.97487807275954,14.856806012523982,11.485649346056167,1.1180720602355565,901224.1908396948,976627.397274732,2001482.0,183.0,118060146.0,1844689.78125,448569.496501386,2001723.0,138845.0,118060128.0,1788789.8181818181,544589.926612617,2001807.0,512.0,650,65,130,670,67,268,0.5505657872372057,0.5675062729983505,14.287878787878787,5,282,39.232431338734976,1539.183668748554,13.287878787878787,4,281,39.232431338734976,1539.183668748554,10.272727272727273,2,277,39.089463039922656,1527.9861207494794,0,0,0,0,0,0,0,0,2,14,132,MASTER,1,129,0,0,0,65,67,COLD_RESTART
3,192.168.1.12-192.168.1.6-36519-20003,192.168.1.12,192.168.1.6,36519,20003,6, 15/05/2020  18:20:01 ,118061107.0,64,66,524,460,332,1350,1284,1020,17,5,8.1875,1.6797108594721206,16,4,7.1875,1.6797108594721206,14,2,5.1875,1.6797108594721206,282,7,20.454545454545453,54.971931808089906,281,6,19.454545454545453,54.971931808089906,277,2,15.454545454545455,54.971931808089906,15.87313593459699,14.772011243296234,11.451696789527814,1.1011246913007515,915202.3798449612,978813.3179194286,2002037.0,191.0,118060804.0,1873981.0158730159,391647.647547635,2002379.0,175167.0,118060800.0,1816320.0,504943.15893394133,2002327.0,423.0,640,64,128,660,66,264,0.5420921557172931,0.5590325355834584,14.415384615384614,5,282,39.52151501493497,1561.9501490757307,13.415384615384614,4,281,39.52151501493497,1561.9501490757307,10.4,2,277,39.377638954264434,1550.5984496124029,0,0,0,0,0,0,0,0,4,14,130,MASTER,1,129,0,0,0,64,66,COLD_RESTART
4,192.168.1.2-192.168.1.6-55043-20000,192.168.1.2,192.168.1.6,55043,20000,6, 15/05/2020  18:22:00 ,118062970.0,62,64,514,452,328,1336,1272,1016,17,8,8.290322580645162,1.6031433955497778,16,7,7.290322580645161,1.6031433955497778,14,5,5.290322580645161,1.6031433955497778,282,7,20.875,55.784591375402535,281,6,19.875,55.784591375402535,277,2,15.875,55.784591375402535,15.66960411041667,14.602377019653153,11.383755634810813,1.0672270907635135,944503.76,998725.9427087706,2007874.0,116.0,118062748.0,1935454.8852459013,335175.79043387057,2008084.0,119758.0,118062753.0,1874011.9523809524,475084.78640915576,2008080.0,508.0,620,62,124,640,64,256,0.5251434891058561,0.5420836016576578,14.682539682539682,7,282,40.11935209719137,1609.5624126984135,13.682539682539682,6,281,40.11935209719137,1609.5624126984135,10.666666666666666,2,277,39.973591282245344,1597.888,0,0,0,0,0,0,0,0,1,14,126,MASTER,1,129,0,0,0,62,64,NORMAL
5,192.168.1.11-192.168.1.6-56247-20002,192.168.1.11,192.168.1.6,56247,20002,6, 15/05/2020  18:22:00 ,118745636.0,67,69,539,472,338,1371,1302,1026,17,5,8.044776119402988,1.770403445039846,16,4,7.044776119402986,1.7704034450398458,14,2,5.044776119402986,1.7704034450398458,282,7,19.869565217391305,53.816658541504495,281,6,18.869565217391305,53.816658541504495,277,2,14.869565217391305,53.816658541504495,16.084801634310164,14.939496387050385,11.48673792104663,1.1453052472597811,879597.3037037038,965100.9080018546,2002160.0,121.0,118745437.0,1799173.2878787878,490955.2779234116,2002423.0,93995.0,118745420.0,1746256.1764705882,572407.9581536059,2002316.0,382.0,670,67,134,690,69,276,0.5642312615176864,0.5810739857420949,14.044117647058822,5,282,38.6727710980332,1495.5832244008716,13.044117647058822,4,281,38.6727710980332,1495.5832244008716,10.029411764705884,2,277,38.53155343380003,1484.6806100217866,0,0,0,0,0,0,0,0,3,14,136,MASTER,1,129,0,0,0,67,69,COLD_RESTART
6,192.168.1.1-192.168.1.6-33180-20001,192.168.1.1,192.168.1.6,33180,20001,6, 15/05/2020  18:22:01 ,118065877.0,66,68,534,468,336,1364,1296,1024,17,5,8.090909090909092,1.7429177369463646,16,4,7.090909090909091,1.7429177369463646,14,2,5.090909090909091,1.7429177369463646,282,7,20.058823529411768,54.193650107997826,281,6,19.058823529411768,54.193650107997826,277,2,15.058823529411766,54.193650107997826,16.075770986734806,14.940811391254053,11.518992909356866,1.13495959548075,887713.3609022556,966755.9235041848,2002033.0,160.0,118065498.0,1816392.276923077,464548.4844818914,2004927.0,197098.0,118065679.0,1762174.3134328357,553404.6864537525,2005570.0,518.0,660,66,132,680,68,272,0.5590099500129068,0.5759496454678433,14.164179104477613,5,282,38.949590330516294,1517.0705869150488,13.164179104477613,4,281,38.949590330516294,1517.0705869150488,10.149253731343284,2,277,38.8075078897348,1506.022668611828,0,0,0,0,0,0,0,0,2,14,134,MASTER,1,129,0,0,0,66,68,COLD_RESTART
7,192.168.1.12-192.168.1.6-36519-20003,192.168.1.12,192.168.1.6,36519,20003,6, 15/05/2020  18:22:02 ,118079117.0,66,68,534,468,336,1364,1296,1024,17,5,8.090909090909092,1.7429177369463646,16,4,7.090909090909091,1.7429177369463646,14,2,5.090909090909091,1.7429177369463646,282,7,20.058823529411768,54.193650107997826,281,6,19.058823529411768,54.193650107997826,277,2,15.058823529411766,54.193650107997826,16.073968439313447,14.939136104820294,11.51770130530363,1.1348323344931517,887812.9097744359,973194.616643872,2001938.0,122.0,118078799.0,1816596.907692308,491980.49249159533,2017502.0,77697.0,118078815.0,1762370.3731343285,575956.3591555547,2018206.0,425.0,660,66,132,680,68,272,0.5589472692279702,0.5758850652651815,14.164179104477613,5,282,38.949590330516294,1517.0705869150488,13.164179104477613,4,281,38.949590330516294,1517.0705869150488,10.149253731343284,2,277,38.8075078897348,1506.022668611828,0,0,0,0,0,0,0,0,4,14,134,MASTER,1,129,0,0,0,66,68,COLD_RESTART
8,192.168.1.2-192.168.1.6-55043-20000,192.168.1.2,192.168.1.6,55043,20000,6, 15/05/2020  18:24:00 ,118068141.0,62,64,514,452,328,1336,1272,1016,17,8,8.290322580645162,1.6031433955497778,16,7,7.290322580645161,1.6031433955497778,14,5,5.290322580645161,1.6031433955497778,282,7,20.875,55.784591375402535,281,6,19.875,55.784591375402535,277,2,15.875,55.784591375402535,15.668917832796232,14.601737483103086,11.383257063393588,1.0671803496931491,944545.128,996749.8332807288,2004440.0,104.0,118068004.0,1935541.0491803281,323630.9955909881,2012033.0,189097.0,118067930.0,1874094.1269841269,467322.836948951,2011822.0,605.0,620,62,124,640,64,256,0.5251204895315494,0.5420598601615995,14.682539682539682,7,282,40.11935209719137,1609.5624126984135,13.682539682539682,6,281,40.11935209719137,1609.5624126984135,10.666666666666666,2,277,39.973591282245344,1597.888,0,0,0,0,0,0,0,0,1,14,126,MASTER,1,129,0,0,0,62,64,NORMAL
9,192.168.1.11-192.168.1.6-56247-20002,192.168.1.11,192.168.1.6,56247,20002,6, 15/05/2020  18:24:00 ,118035474.0,65,67,529,464,334,1357,1290,1022,17,5,8.138461538461538,1.7127912441841375,16,4,7.138461538461539,1.7127912441841382,14,2,5.138461538461539,1.7127912441841382,282,7,20.253731343283587,54.578645864027926,281,6,19.253731343283587,54.578645864027926,277,2,15.25373134328358,54.578645864027926,15.978247352994915,14.859939478872258,11.488071797805464,1.1183078741226558,901034.1526717558,980083.9236394031,2003199.0,141.0,118035295.0,1844301.484375,464538.76236706396,2003362.0,125070.0,118035304.0,1788413.6969696968,557372.2737602269,2003386.0,515.0,650,65,130,670,67,268,0.5506819077119138,0.5676259664107419,14.287878787878787,5,282,39.232431338734976,1539.183668748554,13.287878787878787,4,281,39.232431338734976,1539.183668748554,10.272727272727273,2,277,39.089463039922656,1527.9861207494794,0,0,0,0,0,0,0,0,3,14,132,MASTER,1,129,0,0,0,65,67,COLD_RESTART
