,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,192.168.1.2-192.168.1.9-55050-20000-6,192.168.1.9,20000,192.168.1.2,55050,6,15/05/2020 06:20:00 PM,118061447,63,62,1959.0,1133.0,292.0,17.0,31.095238095238106,56.20461302549482,27.0,17.0,18.274193548387107,1.6111227613341084,26.18975185015308,1.0587706925191251,952108.4435483871,1000982.1634566457,2001794.0,186.0,116060312.0,1871940.5161290325,486841.36270953476,2002081.0,492.0,118061130.0,1935428.3606557376,346843.7896614764,2001988.0,53647.0,0,1,0,0,2016,1984,0.5336204290296391,0.5251502634894861,17.0,292.0,24.674603174603178,40.120783514797786,1609.6772698412694,0,0,0,1,1,0,0,0,0.0,24.872,31.095238095238088,18.274193548387093,0,0,0,0,0,0,63,1959,62,1133,-1,346,63,0,0,0,0,0,0,0,0,0,NORMAL
1,192.168.1.9-192.168.1.11-20002-39338-6,192.168.1.11,39338,192.168.1.9,20002,6,15/05/2020 06:20:00 PM,118043379,63,67,1146.0,2028.0,27.0,15.0,18.19047619047619,1.6930326184112958,292.0,17.0,30.268656716417908,54.575103128639014,26.888420400097157,1.1012900604954723,915064.953488372,988780.5424488387,2001140.0,195.0,116042082.0,1871646.4838709668,444279.819647621,2001432.0,22972.0,118043379.0,1788536.0454545456,583254.7835273371,2001642.0,346.0,0,1,0,0,2016,2144,0.5337021062401136,0.5675879542553589,15.0,292.0,24.366412213740453,39.373205669859814,1550.2493247210807,0,0,0,1,1,0,0,0,1.0,24.553846153846155,18.19047619047619,30.268656716417908,0,0,0,0,0,0,63,1146,67,2028,-1,227,63,0,0,0,0,0,0,0,0,0,COLD_RESTART
2,192.168.1.1-192.168.1.9-51971-20001-6,192.168.1.1,51971,192.168.1.9,20001,6,15/05/2020 06:20:01 PM,118060125,64,68,1161.0,2045.0,27.0,15.0,18.140625,1.7262417890567108,292.0,17.0,30.0735294117647,54.1901891700214,27.155654798773078,1.1180743710037575,901222.3282442752,979069.9156388595,2001406.0,164.0,116059496.0,1842214.2222222227,462921.6696850714,2001726.0,57694.0,118060125.0,1762091.417910447,591140.7373880874,2001805.0,294.0,0,1,0,0,2048,2176,0.5420966647290946,0.5759777062746629,15.0,292.0,24.24060150375939,39.08734399062583,1527.8204602415128,0,0,0,1,1,0,0,0,1.0,24.424242424242426,18.140625,30.073529411764714,0,0,0,0,0,0,64,1161,68,2045,-1,227,64,0,0,0,0,0,0,0,0,0,COLD_RESTART
3,192.168.1.9-192.168.1.12-20003-57817-6,192.168.1.12,57817,192.168.1.9,20003,6,15/05/2020 06:20:01 PM,118060792,63,67,1146.0,2028.0,27.0,15.0,18.19047619047619,1.6930326184112965,292.0,17.0,30.268656716417908,54.575103128639014,26.884454578282014,1.1011276292302021,915199.9379844959,987713.7547537951,2001370.0,185.0,116059434.0,1871926.354838709,438914.2980991528,2001810.0,64006.0,118060792.0,1788799.8787878787,579450.72846509,2001730.0,235.0,0,1,0,0,2016,2144,0.533623389550021,0.567504239680181,15.0,292.0,24.36641221374045,39.373205669859814,1550.2493247210807,0,0,0,1,1,0,0,0,1.0,24.553846153846155,18.19047619047619,30.268656716417908,0,0,0,0,0,0,63,1146,67,2028,-1,227,63,0,0,0,0,0,0,0,0,0,COLD_RESTART
4,192.168.1.2-192.168.1.9-55050-20000-6,192.168.1.9,20000,192.168.1.2,55050,6,15/05/2020 06:22:00 PM,118059679,64,62,1976.0,1134.0,292.0,17.0,30.875,55.78459137540253,27.0,18.0,18.290322580645167,1.6031433955497771,26.34260931710648,1.0672568405001341,944477.432,998853.068582148,2001929.0,190.0,118059271.0,1873956.6825396826,476032.5332593869,2002141.0,520.0,118059433.0,1935400.5409836068,336525.2634355294,2002128.0,112910.0,0,1,0,0,2048,1984,0.5420987126349887,0.5251581278651453,17.0,292.0,24.62992125984253,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,0.0,24.825396825396822,30.875,18.29032258064516,0,0,0,0,0,0,64,1976,62,1134,-1,379,64,0,0,0,0,0,0,0,0,0,NORMAL
5,192.168.1.9-192.168.1.11-20002-39338-6,192.168.1.11,39338,192.168.1.9,20002,6,15/05/2020 06:22:00 PM,118773852,66,70,1191.0,2079.0,27.0,15.0,18.045454545454547,1.7839611774131976,292.0,17.0,29.7,53.44409241902003,27.531312194876023,1.1450331677379628,879806.3111111107,965611.4976203208,2000948.0,154.0,118000058.0,1815385.5076923075,479264.0631794922,2001314.0,71062.0,118773852.0,1721360.1739130437,607097.5618744089,2001257.0,362.0,0,1,0,0,2112,2240,0.5556778608140115,0.5893553069239515,15.0,292.0,24.0,38.53378960310639,1484.8529411764707,0,0,0,1,1,0,0,0,1.0,24.176470588235286,18.045454545454547,29.7,0,0,0,0,0,0,66,1191,70,2079,-1,227,66,0,0,0,0,0,0,0,0,0,COLD_RESTART
6,192.168.1.1-192.168.1.9-51971-20001-6,192.168.1.1,51971,192.168.1.9,20001,6,15/05/2020 06:22:01 PM,118059808,65,69,1176.0,2062.0,27.0,15.0,18.0923076923077,1.7564441789724357,292.0,17.0,29.884057971014485,53.813276360973155,27.426776774022876,1.1350179393820459,887667.729323308,968711.9533287651,2001261.0,116.0,116058559.0,1813414.984374999,476139.8081653765,2001481.0,115943.0,118059808.0,1736173.6470588238,595750.3503930615,2001666.0,356.0,0,1,0,0,2080,2208,0.5505684034315895,0.5844495359504566,15.0,292.0,24.11851851851852,38.80761039608732,1506.0306246545051,0,0,0,1,1,0,0,0,1.0,24.298507462686572,18.09230769230769,29.88405797101449,0,0,0,0,0,0,65,1176,69,2062,-1,227,65,0,0,0,0,0,0,0,0,0,COLD_RESTART
7,192.168.1.9-192.168.1.12-20003-57817-6,192.168.1.12,57817,192.168.1.9,20003,6,15/05/2020 06:22:02 PM,118059140,65,69,1176.0,2062.0,27.0,15.0,18.092307692307685,1.7564441789724359,292.0,17.0,29.88405797101449,53.813276360973155,27.426931959694095,1.1350243615191504,887662.7067669176,980713.1900572276,2000975.0,163.0,116057892.0,1813404.5625,525118.4186003169,2001313.0,108733.0,118059140.0,1736163.8235294125,633233.6163412796,2001359.0,500.0,0,1,0,0,2080,2208,0.5505715186473491,0.5844528428718013,15.0,292.0,24.118518518518513,38.80761039608733,1506.0306246545053,0,0,0,1,1,0,0,0,1.0,24.298507462686572,18.09230769230769,29.88405797101449,0,0,0,0,0,0,65,1176,69,2062,-1,227,65,0,0,0,0,0,0,0,0,0,COLD_RESTART
8,192.168.1.2-192.168.1.9-55050-20000-6,192.168.1.9,20000,192.168.1.2,55050,6,15/05/2020 06:24:00 PM,118062646,64,62,1976.0,1134.0,292.0,17.0,30.875,55.78459137540253,27.0,18.0,18.290322580645167,1.6031433955497771,26.34194730821127,1.067230019560971,944501.1679999998,997243.052139754,2001367.0,199.0,118062435.0,1874006.904761905,469444.4378438959,2002664.0,581.0,118062406.0,1935449.2786885244,326767.7811713864,2002485.0,169107.0,0,1,0,0,2048,1984,0.5420850893008107,0.5251449302601604,17.0,292.0,24.62992125984253,39.96423066360008,1597.1397325334333,0,0,0,1,1,0,0,0,0.0,24.825396825396822,30.875,18.29032258064516,0,0,0,0,0,0,64,1976,62,1134,-1,413,64,0,0,0,0,0,0,0,0,0,NORMAL
9,192.168.1.9-192.168.1.11-20002-39338-6,192.168.1.11,39338,192.168.1.9,20002,6,15/05/2020 06:24:00 PM,118036915,64,68,1161.0,2045.0,27.0,15.0,18.140625000000004,1.726241789056711,292.0,17.0,30.073529411764714,54.1901891700214,27.160994507523352,1.1182942217695202,901045.1526717556,980282.0811686768,2000814.0,211.0,116035426.0,1841832.1587301588,468994.1035848204,2001128.0,113864.0,118036915.0,1761744.9999999998,595559.8260508827,2001119.0,255.0,0,1,0,0,2048,2176,0.5422032590397674,0.5760909627297528,15.0,292.0,24.240601503759397,39.08734399062583,1527.820460241513,0,0,0,1,1,0,0,0,1.0,24.424242424242426,18.140625,30.073529411764714,0,0,0,0,0,0,64,1161,68,2045,-1,227,64,0,0,0,0,0,0,0,0,0,COLD_RESTART
