,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,192.168.1.4-192.168.1.12-20003-53174-6,192.168.1.12,53174,192.168.1.4,20003,6,14/05/2020 11:30:00 PM,118056480,65,69,1212.0,2062.0,27.0,18.0,18.646153846153844,2.0873934795484863,292.0,17.0,29.88405797101449,53.813276360973155,27.732488720653034,1.135049935420741,887642.7067669174,971453.0986113704,2000845.0,489.0,116054946.0,1813358.53125,489218.94825099385,2001423.0,103211.0,118056480.0,1736124.705882353,605600.8442570876,2001590.0,489.0,0,1,0,0,2080,2208,0.5505839238981206,0.5844660115226203,17.0,292.0,24.385185185185186,38.774700396310735,1503.47739082366,0,0,0,1,1,0,0,0,1.0,24.56716417910448,18.646153846153847,29.88405797101449,0,0,0,0,0,0,65,1212,69,2062,-1,227,65,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
1,192.168.1.5-192.168.1.12-20003-34359-6,192.168.1.12,34359,192.168.1.5,20003,6,14/05/2020 11:30:00 PM,118046532,65,69,1212.0,2062.0,27.0,18.0,18.646153846153844,2.0873934795484863,292.0,17.0,29.88405797101449,53.813276360973155,27.73482578886773,1.1351455881821246,887567.9097744359,970820.0494658472,2000698.0,386.0,116044919.0,1813201.8593750002,486923.3908845778,2001274.0,119430.0,118046532.0,1735978.411764706,603834.3542823554,2001610.0,386.0,0,1,0,0,2080,2208,0.5506303226256575,0.5845152655564672,17.0,292.0,24.385185185185186,38.774700396310735,1503.47739082366,0,0,0,1,1,0,0,0,1.0,24.56716417910448,18.646153846153847,29.88405797101449,0,0,0,0,0,0,65,1212,69,2062,-1,227,65,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
2,192.168.1.6-192.168.1.12-20003-57231-6,192.168.1.12,57231,192.168.1.6,20003,6,14/05/2020 11:30:00 PM,118045625,65,69,1212.0,2062.0,27.0,18.0,18.646153846153844,2.0873934795484863,292.0,17.0,29.88405797101449,53.813276360973155,27.73503888856533,1.135154310039021,887561.0902255636,969990.8539055022,2000485.0,335.0,116043998.0,1813187.4687499998,483873.06185761077,2005025.0,137600.0,118045625.0,1735965.0735294113,601332.0376649478,2004121.0,335.0,0,1,0,0,2080,2208,0.5506345533771371,0.5845197566618839,17.0,292.0,24.385185185185186,38.774700396310735,1503.47739082366,0,0,0,1,1,0,0,0,1.0,24.56716417910448,18.646153846153847,29.88405797101449,0,0,0,0,0,0,65,1212,69,2062,-1,227,65,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
3,192.168.1.9-192.168.1.12-20003-40017-6,192.168.1.12,40017,192.168.1.9,20003,6,14/05/2020 11:30:00 PM,118057999,65,69,1212.0,2062.0,27.0,18.0,18.646153846153844,2.0873934795484863,292.0,17.0,29.88405797101449,53.813276360973155,27.73213189899992,1.1350353312357937,887654.1278195487,970902.433788702,2000418.0,439.0,116055939.0,1813374.046875,487871.3717638858,2001941.0,101479.0,118057999.0,1736147.044117647,604596.5109834707,2001423.0,439.0,0,1,0,0,2080,2208,0.5505768397785566,0.584458491457237,17.0,292.0,24.385185185185186,38.774700396310735,1503.47739082366,0,0,0,1,1,0,0,0,1.0,24.56716417910448,18.646153846153847,29.88405797101449,0,0,0,0,0,0,65,1212,69,2062,-1,227,65,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
4,192.168.1.10-192.168.1.12-20003-42776-6,192.168.1.12,42776,192.168.1.10,20003,6,14/05/2020 11:30:00 PM,118053552,65,69,1212.0,2062.0,27.0,18.0,18.646153846153844,2.0873934795484863,292.0,17.0,29.88405797101449,53.813276360973155,27.73317655024899,1.1350780872734774,887620.6917293236,971058.2456778256,2000830.0,476.0,116051760.0,1813308.7499999998,487884.5372086857,2001680.0,100916.0,118053552.0,1736081.6470588234,604567.8772291547,2001686.0,476.0,0,1,0,0,2080,2208,0.5505975796475824,0.5844805076258951,17.0,292.0,24.385185185185186,38.774700396310735,1503.47739082366,0,0,0,1,1,0,0,0,1.0,24.56716417910448,18.646153846153847,29.88405797101449,0,0,0,0,0,0,65,1212,69,2062,-1,227,65,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
5,192.168.1.3-192.168.1.12-20003-45423-6,192.168.1.12,45423,192.168.1.3,20003,6,14/05/2020 11:30:00 PM,118056874,65,69,1212.0,2062.0,27.0,18.0,18.646153846153844,2.0873934795484863,292.0,17.0,29.88405797101449,53.813276360973155,27.732396166952554,1.1350461473340383,887645.6691729326,970034.7035533,2000730.0,555.0,116055045.0,1813360.078125,483928.6964784944,2001373.0,136967.0,118056874.0,1736130.5000000002,601580.5476586891,2001486.0,555.0,0,1,0,0,2080,2208,0.5505820863933768,0.5844640609406616,17.0,292.0,24.385185185185186,38.774700396310735,1503.47739082366,0,0,0,1,1,0,0,0,1.0,24.56716417910448,18.646153846153847,29.88405797101449,0,0,0,0,0,0,65,1212,69,2062,-1,227,65,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
6,192.168.1.8-192.168.1.12-20003-57229-6,192.168.1.12,57229,192.168.1.8,20003,6,14/05/2020 11:30:00 PM,118053814,65,69,1212.0,2062.0,27.0,18.0,18.646153846153844,2.0873934795484863,292.0,17.0,29.88405797101449,53.813276360973155,27.73311500126544,1.1350755681641933,887622.6616541353,970977.6880563041,2000586.0,397.0,116051953.0,1813311.765625001,487733.0609750125,2001479.0,102963.0,118053814.0,1736085.5,604449.2899102455,2001479.0,397.0,0,1,0,0,2080,2208,0.5505963576915863,0.5844792104726071,17.0,292.0,24.385185185185186,38.774700396310735,1503.47739082366,0,0,0,1,1,0,0,0,1.0,24.56716417910448,18.646153846153847,29.88405797101449,0,0,0,0,0,0,65,1212,69,2062,-1,227,65,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
7,192.168.1.7-192.168.1.12-20003-54309-6,192.168.1.12,54309,192.168.1.7,20003,6,14/05/2020 11:30:00 PM,118059614,65,69,1212.0,2062.0,27.0,18.0,18.646153846153844,2.0873934795484863,292.0,17.0,29.88405797101449,53.813276360973155,27.731752536477043,1.135019804486232,887666.2706766919,968840.9332814956,2001107.0,547.0,116057997.0,1813406.203125,478889.4780827356,2001935.0,174118.0,118059614.0,1736170.7941176472,597756.22674274,2001987.0,547.0,0,1,0,0,2080,2208,0.5505693081463066,0.5844504963399254,17.0,292.0,24.385185185185186,38.774700396310735,1503.47739082366,0,0,0,1,1,0,0,0,1.0,24.56716417910448,18.646153846153847,29.88405797101449,0,0,0,0,0,0,65,1212,69,2062,-1,227,65,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
8,192.168.1.4-192.168.1.12-20003-53174-6,192.168.1.12,53174,192.168.1.4,20003,6,14/05/2020 11:32:00 PM,118053612,64,68,1188.0,2045.0,27.0,18.0,18.5625,1.991051409252336,292.0,17.0,30.073529411764714,54.1901891700214,27.385862619773125,1.1181360549984696,901172.6106870227,977407.0078846185,2000632.0,504.0,116051972.0,1842094.7936507938,457272.3226667776,2001448.0,154302.0,118053612.0,1761994.2089552234,586973.097004571,2001408.0,504.0,0,1,0,0,2048,2176,0.5421265721204701,0.5760094828779996,17.0,292.0,24.44360902255639,39.061996863927654,1525.8395989974938,0,0,0,1,1,0,0,0,1.0,24.62878787878788,18.5625,30.073529411764714,0,0,0,0,0,0,64,1188,68,2045,-1,227,64,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
9,192.168.1.5-192.168.1.12-20003-34359-6,192.168.1.12,34359,192.168.1.5,20003,6,14/05/2020 11:32:00 PM,118044569,64,68,1188.0,2045.0,27.0,18.0,18.5625,1.991051409252336,292.0,17.0,30.073529411764714,54.1901891700214,27.387960559202014,1.118221711665532,901103.5801526716,977001.5256826208,2000454.0,294.0,116042986.0,1841952.1587301583,455934.4772995987,2001332.0,162666.0,118044569.0,1761859.2388059704,585961.1285379926,2001320.0,294.0,0,1,0,0,2048,2176,0.5421681026257125,0.5760536090398195,17.0,292.0,24.44360902255639,39.061996863927654,1525.8395989974938,0,0,0,1,1,0,0,0,1.0,24.62878787878788,18.5625,30.073529411764714,0,0,0,0,0,0,64,1188,68,2045,-1,227,64,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
