,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE, Label
0,192.168.1.2-192.168.1.6-52786-20000,192.168.1.2,192.168.1.6,52786,20000,6, 14/05/2020  23:30:00 ,118066044.0,62,64,514,452,328,1336,1272,1016,17,8,8.290322580645162,1.6031433955497778,16,7,7.290322580645161,1.6031433955497778,14,5,5.290322580645161,1.6031433955497778,282,7,20.875,55.784591375402535,281,6,19.875,55.784591375402535,277,2,15.875,55.784591375402535,15.669196132293546,14.60199682814815,11.383459244217587,1.0671993041453984,944528.3520000001,996562.1945163757,2007535.0,158.0,118065805.0,1935505.0,321673.8517791481,2007806.0,198087.0,118065744.0,1874059.4285714286,466003.9108632346,2007779.0,474.0,620,62,124,640,64,256,0.5251298163255135,0.5420694878198851,14.682539682539682,7,282,40.11935209719136,1609.562412698413,13.682539682539682,6,281,40.11935209719136,1609.562412698413,10.666666666666666,2,277,39.973591282245344,1597.888,0,0,0,0,0,0,0,0,1,14,126,MASTER,1,129,0,0,0,62,64,NORMAL
1,192.168.1.12-192.168.1.6-57231-20003,192.168.1.12,192.168.1.6,57231,20003,6, 14/05/2020  23:30:00 ,118044822.0,66,68,570,504,372,1364,1296,1024,17,8,8.636363636363637,2.0728008820201462,16,7,7.636363636363638,2.0728008820201462,14,5,5.636363636363638,2.0728008820201462,282,7,20.058823529411768,54.193650107997826,281,6,19.058823529411768,54.193650107997826,277,2,15.058823529411766,54.193650107997826,16.383607236918873,15.248445204991713,11.826016392315793,1.1351620319271607,887555.0526315791,970548.917657912,2003986.0,97.0,118044682.0,1816072.030769231,480431.46120508725,2004107.0,138015.0,118044561.0,1761859.119402985,566392.314936241,2004090.0,531.0,660,66,132,680,68,272,0.5591096575163628,0.5760523744107979,14.432835820895527,7,282,38.91622924519502,1514.472898664572,13.432835820895527,6,281,38.91622924519502,1514.472898664572,10.417910447761194,2,277,38.781108979064214,1503.9744136460556,0,0,0,0,0,0,0,0,4,14,134,MASTER,1,129,0,0,0,66,68,DISABLE_UNSOLICITED
2,192.168.1.1-192.168.1.6-41489-20001,192.168.1.1,192.168.1.6,41489,20001,6, 14/05/2020  23:30:00 ,118059788.0,67,69,584,517,383,1371,1302,1026,17,8,8.716417910447761,2.1588855861809377,16,7,7.7164179104477615,2.1588855861809377,14,5,5.7164179104477615,2.1588855861809377,282,7,19.869565217391305,53.816658541504495,281,6,18.869565217391305,53.816658541504495,277,2,14.869565217391305,53.816658541504495,16.559406323853473,15.407447623063664,11.934630951564982,1.1519587007898069,874516.9481481481,966239.8647077355,2002923.0,105.0,118059530.0,1788780.7575757576,514624.1990455996,2003086.0,122076.0,118059611.0,1736170.75,591329.9217593522,2003096.0,528.0,670,67,134,690,69,276,0.5675090658302724,0.5844496349595343,14.375,7,282,38.63215653466058,1492.4435185185184,13.375,6,281,38.63215653466058,1492.4435185185184,10.360294117647056,2,277,38.499576292833,1482.2173747276684,0,0,0,0,0,0,0,0,2,14,136,MASTER,1,129,0,0,0,67,69,DISABLE_UNSOLICITED
3,192.168.1.11-192.168.1.6-54308-20002,192.168.1.11,192.168.1.6,54308,20002,6, 14/05/2020  23:30:01 ,119705945.0,67,69,584,517,383,1371,1302,1026,17,8,8.716417910447761,2.1588855861809377,16,7,7.7164179104477615,2.1588855861809377,14,5,5.7164179104477615,2.1588855861809377,282,7,19.869565217391305,53.816658541504495,281,6,18.869565217391305,53.816658541504495,277,2,14.869565217391305,53.816658541504495,16.33168678464549,15.195569443104935,11.770509810519435,1.136117341540556,886710.7037037037,970345.7946244674,2005185.0,154.0,119705774.0,1813723.8484848484,484488.81332768564,2005479.0,103004.0,119705727.0,1760378.338235294,568377.9316328285,2005405.0,406.0,670,67,134,690,69,276,0.5597048667883621,0.5764124747521938,14.375,7,282,38.63215653466058,1492.4435185185184,13.375,6,281,38.63215653466058,1492.4435185185184,10.360294117647056,2,277,38.499576292833,1482.2173747276684,0,0,0,0,0,0,0,0,3,14,136,MASTER,1,129,0,0,0,67,69,DISABLE_UNSOLICITED
4,192.168.1.2-192.168.1.6-52786-20000,192.168.1.2,192.168.1.6,52786,20000,6, 14/05/2020  23:32:00 ,118059179.0,62,64,514,452,328,1336,1272,1016,17,8,8.290322580645162,1.6031433955497778,16,7,7.290322580645161,1.6031433955497778,14,5,5.290322580645161,1.6031433955497778,282,7,20.875,55.784591375402535,281,6,19.875,55.784591375402535,277,2,15.875,55.784591375402535,15.67010727730031,14.602845916792289,11.384121178752224,1.0672613605080212,944473.432,995042.0020297192,2001656.0,106.0,118058958.0,1935392.754098361,312132.44573026244,2001964.0,260885.0,118058839.0,1873949.8253968253,459664.724401929,2001878.0,891.0,620,62,124,640,64,256,0.5251603519960104,0.5421010085120107,14.682539682539682,7,282,40.11935209719136,1609.562412698413,13.682539682539682,6,281,40.11935209719136,1609.562412698413,10.666666666666666,2,277,39.973591282245344,1597.888,0,0,0,0,0,0,0,0,1,14,126,MASTER,1,129,0,0,0,62,64,NORMAL
5,192.168.1.12-192.168.1.6-57231-20003,192.168.1.12,192.168.1.6,57231,20003,6, 14/05/2020  23:32:00 ,118048017.0,65,67,556,491,361,1357,1290,1022,17,8,8.553846153846154,1.9766667747654227,16,7,7.553846153846153,1.9766667747654227,14,5,5.553846153846153,1.9766667747654227,282,7,20.253731343283587,54.57864586402792,281,6,19.253731343283587,54.57864586402792,277,2,15.25373134328358,54.57864586402792,16.205270097845016,15.087081047706207,11.715571638954346,1.1181890501388092,901129.9007633588,976733.5835776214,2001249.0,99.0,118047656.0,1844494.625,449208.10233408224,2001431.0,182462.0,118047877.0,1788604.1969696968,545082.2874002735,2001800.0,332.0,650,65,130,670,67,268,0.5506233959016863,0.5675656542371228,14.492424242424242,7,282,39.206732599147905,1537.167881101087,13.492424242424242,6,281,39.206732599147905,1537.167881101087,10.477272727272727,2,277,39.069025998931735,1526.3887925052038,0,0,0,0,0,0,0,0,4,14,132,MASTER,1,129,0,0,0,65,67,DISABLE_UNSOLICITED
6,192.168.1.1-192.168.1.6-41489-20001,192.168.1.1,192.168.1.6,41489,20001,6, 14/05/2020  23:32:00 ,118054781.0,65,67,556,491,361,1357,1290,1022,17,8,8.553846153846154,1.9766667747654227,16,7,7.553846153846153,1.9766667747654227,14,5,5.553846153846153,1.9766667747654227,282,7,20.253731343283587,54.578645864027926,281,6,19.253731343283587,54.578645864027926,277,2,15.25373134328358,54.578645864027926,16.204341609849752,15.086216626838686,11.714900390184114,1.1181249830110649,901181.534351145,977107.2807082081,2002875.0,137.0,118054589.0,1844602.953125,450708.99732217065,2003298.0,182093.0,118054621.0,1788706.3787878791,546293.429496436,2003052.0,459.0,650,65,130,670,67,268,0.5505918476948426,0.5675331353162224,14.492424242424242,7,282,39.206732599147905,1537.1678811010872,13.492424242424242,6,281,39.206732599147905,1537.1678811010872,10.477272727272727,2,277,39.069025998931735,1526.3887925052038,0,0,0,0,0,0,0,0,2,14,132,MASTER,1,129,0,0,0,65,67,DISABLE_UNSOLICITED
7,192.168.1.11-192.168.1.6-54308-20002,192.168.1.11,192.168.1.6,54308,20002,6, 14/05/2020  23:32:01 ,118037623.0,65,67,556,491,361,1357,1290,1022,17,8,8.553846153846154,1.9766667747654227,16,7,7.553846153846153,1.9766667747654227,14,5,5.553846153846153,1.9766667747654227,282,7,20.253731343283587,54.578645864027926,281,6,19.253731343283587,54.578645864027926,277,2,15.25373134328358,54.578645864027926,16.206697079964073,15.08840956582123,11.716603273178418,1.1182875141428423,901050.5572519085,978263.2315601277,2001147.0,154.0,118037294.0,1844332.71875,456540.9495525025,2001402.0,149591.0,118037341.0,1788444.5606060603,550928.6373127615,2001816.0,420.0,650,65,130,670,67,268,0.5506718819642785,0.5676156321785639,14.492424242424242,7,282,39.206732599147905,1537.1678811010872,13.492424242424242,6,281,39.206732599147905,1537.1678811010872,10.477272727272727,2,277,39.069025998931735,1526.3887925052038,0,0,0,0,0,0,0,0,3,14,132,MASTER,1,129,0,0,0,65,67,DISABLE_UNSOLICITED
8,192.168.1.12-192.168.1.6-57231-20003,192.168.1.12,192.168.1.6,57231,20003,6, 14/05/2020  23:34:00 ,118057273.0,66,68,570,504,372,1364,1296,1024,17,8,8.636363636363637,2.0728008820201462,16,7,7.636363636363638,2.0728008820201462,14,5,5.636363636363638,2.0728008820201462,282,7,20.058823529411768,54.193650107997826,281,6,19.058823529411768,54.193650107997826,277,2,15.058823529411766,54.193650107997826,16.381879327332932,15.246837016131993,11.824769152511255,1.1350423112009371,887648.6691729324,968589.6070923428,2001700.0,108.0,118057128.0,1816263.5076923082,472131.16768635256,2002023.0,230039.0,118056993.0,1762044.671641791,559605.0238961673,2001954.0,592.0,660,66,132,680,68,272,0.5590506905915064,0.5759916206094309,14.432835820895527,7,282,38.91622924519502,1514.472898664572,13.432835820895527,6,281,38.91622924519502,1514.472898664572,10.417910447761194,2,277,38.781108979064214,1503.9744136460556,0,0,0,0,0,0,0,0,4,14,134,MASTER,1,129,0,0,0,66,68,DISABLE_UNSOLICITED
9,192.168.1.2-192.168.1.6-52786-20000,192.168.1.2,192.168.1.6,52786,20000,6, 14/05/2020  23:34:00 ,118056012.0,62,64,514,452,328,1336,1272,1016,17,8,8.290322580645162,1.6031433955497778,16,7,7.290322580645161,1.6031433955497778,14,5,5.290322580645161,1.6031433955497778,282,7,20.875,55.784591375402535,281,6,19.875,55.784591375402535,277,2,15.875,55.784591375402535,15.670527647503462,14.603237656376194,11.384426572024136,1.0672899911272626,944448.0959999999,993852.4130748169,2001507.0,103.0,118055805.0,1935341.0655737703,304537.2070655664,2001902.0,313910.0,118055881.0,1873902.8730158731,454659.9771180122,2002715.0,496.0,620,62,124,640,64,256,0.5251744400784942,0.5421155510487683,14.682539682539682,7,282,40.11935209719136,1609.562412698413,13.682539682539682,6,281,40.11935209719136,1609.562412698413,10.666666666666666,2,277,39.973591282245344,1597.888,0,0,0,0,0,0,0,0,1,14,126,MASTER,1,129,0,0,0,62,64,NORMAL
