,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,192.168.1.10-192.168.1.12-20003-42776-6,192.168.1.12,42776,192.168.1.10,20003,6,14/05/2020 11:30:00 PM,118053218,65,69,1212.0,2062.0,27.0,18.0,18.646153846153844,2.0873934795484863,292.0,17.0,29.88405797101449,53.813276360973155,27.73325501385316,1.1350812986732814,887618.1804511277,971506.8181807705,2001309.0,111.0,116051758.0,1813308.71875,487887.757639101,2001699.0,100895.0,118053218.0,1736076.7352941176,604587.6731054012,2001693.0,261.0,0,1,0,0,2080,2208,0.550599137416144,0.5844821612571375,17.0,292.0,24.385185185185186,38.774700396310735,1503.47739082366,0,0,0,1,1,0,0,0,1.0,24.56716417910448,18.646153846153847,29.88405797101449,0,0,0,0,0,0,65,1212,69,2062,-1,227,65,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
1,192.168.1.2-192.168.1.10-40064-20000-6,192.168.1.2,40064,192.168.1.10,20000,6,14/05/2020 11:30:00 PM,118059242,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.34270682510396,1.0672607909849192,944473.9359999995,997793.6258318679,2001184.0,204.0,116058169.0,1934302.8166666662,332703.0677020512,2001437.0,150816.0,118059242.0,1844675.65625,523219.2715621917,2001560.0,337.0,0,1,0,0,1952,2080,0.5166897480165086,0.5505710429684108,17.0,292.0,24.62992125984253,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
2,192.168.1.1-192.168.1.10-36758-20001-6,192.168.1.1,36758,192.168.1.10,20001,6,14/05/2020 11:30:00 PM,118059390,66,70,1236.0,2079.0,27.0,18.0,18.727272727272727,2.1735858677483906,292.0,17.0,29.7,53.44409241902003,28.079087991222053,1.1519625842552634,874513.9999999999,962771.2781893208,2001110.0,186.0,116057779.0,1785504.2923076926,504582.3720219252,2001404.0,192029.0,118059390.0,1711005.6521739129,612625.7584935671,2001405.0,295.0,0,1,0,0,2112,2240,0.5590406658885837,0.5929219183666797,17.0,292.0,24.328467153284674,38.49371787727781,1481.7663160154568,0,0,0,1,1,0,0,0,1.0,24.507352941176467,18.727272727272727,29.7,0,0,0,0,0,0,66,1236,70,2079,-1,227,66,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
3,192.168.1.10-192.168.1.11-20002-36479-6,192.168.1.11,36479,192.168.1.10,20002,6,14/05/2020 11:30:01 PM,119735755,66,70,1236.0,2079.0,27.0,18.0,18.727272727272727,2.1735858677483906,292.0,17.0,29.70000000000001,53.44409241902003,27.68596564994308,1.1358344882027929,886931.5185185188,971445.1499590223,2001364.0,203.0,117734253.0,1811296.2,491596.54355109256,2001666.0,82172.0,119735755.0,1735300.7971014497,605692.7917090568,2001702.0,325.0,0,1,0,0,2112,2240,0.551213795745473,0.5846206924573198,17.0,292.0,24.328467153284674,38.49371787727781,1481.766316015457,0,0,0,1,1,0,0,0,1.0,24.507352941176467,18.727272727272727,29.7,0,0,0,0,0,0,66,1236,70,2079,-1,227,66,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
4,192.168.1.10-192.168.1.12-20003-42776-6,192.168.1.12,42776,192.168.1.10,20003,6,14/05/2020 11:32:00 PM,118058255,64,68,1188.0,2045.0,27.0,18.0,18.5625,1.991051409252336,292.0,17.0,30.073529411764714,54.1901891700214,27.384785587420374,1.118092080896842,901208.0534351142,977428.2400257422,2001478.0,187.0,116056998.0,1842174.5714285718,455424.948048265,2001772.0,150823.0,118058255.0,1762063.5074626862,585638.4134506385,2001739.0,263.0,0,1,0,0,2048,2176,0.5421052513439234,0.5759868295529186,17.0,292.0,24.44360902255639,39.061996863927654,1525.8395989974938,0,0,0,1,1,0,0,0,1.0,24.62878787878788,18.5625,30.073529411764714,0,0,0,0,0,0,64,1188,68,2045,-1,227,64,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
5,192.168.1.2-192.168.1.10-40064-20000-6,192.168.1.2,40064,192.168.1.10,20000,6,14/05/2020 11:32:00 PM,118058246,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.342929065708798,1.0672697949451155,944465.9680000005,996304.7784289556,2001195.0,210.0,116057141.0,1934285.683333333,323315.4073283256,2001455.0,207317.0,118058246.0,1844660.0937499998,517651.27889222204,2001498.0,338.0,0,1,0,0,1952,2080,0.5166941070766036,0.5505756878685121,17.0,292.0,24.62992125984253,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
6,192.168.1.1-192.168.1.10-36758-20001-6,192.168.1.1,36758,192.168.1.10,20001,6,14/05/2020 11:32:00 PM,118052949,64,68,1188.0,2045.0,27.0,18.0,18.5625,1.991051409252336,292.0,17.0,30.073529411764717,54.1901891700214,27.38601642217341,1.118142334589202,901167.5496183204,974521.6633569931,2001147.0,192.0,116051899.0,1842093.6349206348,442374.9476915556,2001442.0,250267.0,118052949.0,1761984.313432836,576149.6097161194,2001443.0,338.0,0,1,0,0,2048,2176,0.5421296167705222,0.5760127178186798,17.0,292.0,24.44360902255639,39.061996863927654,1525.8395989974933,0,0,0,1,1,0,0,0,1.0,24.62878787878788,18.5625,30.073529411764714,0,0,0,0,0,0,64,1188,68,2045,-1,227,64,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
7,192.168.1.10-192.168.1.11-20002-36479-6,192.168.1.11,36479,192.168.1.10,20002,6,14/05/2020 11:32:01 PM,118044804,64,68,1188.0,2045.0,27.0,18.0,18.5625,1.991051409252336,292.0,17.0,30.073529411764714,54.1901891700214,27.3879060360844,1.118219485543811,901105.3740458016,979539.4261598295,2000865.0,220.0,116043549.0,1841961.0952380958,465329.70447382826,2001102.0,114201.0,118044804.0,1761862.7462686563,592869.6390165007,2001160.0,392.0,0,1,0,0,2048,2176,0.5421670232939689,0.5760524622498421,17.0,292.0,24.443609022556394,39.061996863927654,1525.8395989974929,0,0,0,1,1,0,0,0,1.0,24.62878787878788,18.5625,30.073529411764714,0,0,0,0,0,0,64,1188,68,2045,-1,227,64,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
8,192.168.1.10-192.168.1.12-20003-42776-6,192.168.1.12,42776,192.168.1.10,20003,6,14/05/2020 11:34:00 PM,118055650,65,69,1212.0,2062.0,27.0,18.0,18.646153846153844,2.0873934795484863,292.0,17.0,29.88405797101449,53.813276360973155,27.73268369620598,1.135057915483079,887636.4661654134,968669.36538746,2001191.0,204.0,116054338.0,1813349.03125,475821.157329695,2001477.0,202302.0,118055650.0,1736112.4999999998,595487.6512930829,2001576.0,259.0,0,1,0,0,2080,2208,0.5505877948238818,0.5844701206591976,17.0,292.0,24.38518518518518,38.77470039631073,1503.4773908236593,0,0,0,1,1,0,0,0,1.0,24.56716417910448,18.646153846153847,29.88405797101449,0,0,0,0,0,0,65,1212,69,2062,-1,227,65,0,0,0,0,0,0,0,0,0,DISABLE_UNSOLICITED
9,192.168.1.2-192.168.1.10-40064-20000-6,192.168.1.2,40064,192.168.1.10,20000,6,14/05/2020 11:34:00 PM,118057409,61,65,1116.0,1994.0,27.0,18.0,18.29508196721312,1.6160060055074257,292.0,17.0,30.676923076923078,55.37009224648823,26.343115831044532,1.0672773616436049,944459.2719999995,994988.7666273356,2001289.0,206.0,116056290.0,1934271.5,314626.9125880602,2001534.0,261181.0,118057409.0,1844647.0156249998,512610.0762303689,2001585.0,293.0,0,1,0,0,1952,2080,0.5166977703195231,0.550579591324082,17.0,292.0,24.62992125984253,39.96423066360009,1597.1397325334335,0,0,0,1,1,0,0,0,1.0,24.825396825396822,18.295081967213115,30.676923076923078,0,0,0,0,0,0,61,1116,65,1994,-1,227,61,0,0,0,0,0,0,0,0,0,NORMAL
