,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE,Label
0,192.168.1.11-192.168.1.9-34422-20002,192.168.1.11,192.168.1.9,34422,20002,6, 14/05/2020  23:30:01 ,88036817.0,51,53,450,399,297,1259,1206,994,17,8,8.823529411764708,2.32985735488627,16,7,7.8235294117647065,2.3298573548862698,14,5,5.8235294117647065,2.3298573548862698,282,7,23.754716981132077,61.00028551647471,281,6,22.754716981132077,61.00028551647471,277,2,18.754716981132077,61.00028551647471,19.412332910673047,18.23100896526052,14.664319360841954,1.18132394541252,854726.3786407767,962915.0628975042,2000388.0,404.0,88036020.0,1760720.4,552585.4160561598,2001220.0,81861.0,88036029.0,1693000.5576923075,640632.5198439923,2001850.0,404.0,510,51,102,530,53,212,0.579303088615755,0.602020856796765,16.432692307692307,7,282,44.0167144826389,1937.4711538461536,15.432692307692307,6,281,44.0167144826389,1937.4711538461536,12.413461538461537,2,277,43.85669748299581,1923.4099141150107,0,0,0,0,0,0,0,0,3,17,104,MASTER,1,129,0,0,0,51,53,DISABLE_UNSOLICITED
1,192.168.1.11-192.168.1.4-45060-20002,192.168.1.11,192.168.1.4,45060,20002,6, 14/05/2020  23:30:01 ,88034880.0,51,53,450,399,297,1259,1206,994,17,8,8.823529411764708,2.32985735488627,16,7,7.8235294117647065,2.3298573548862698,14,5,5.8235294117647065,2.3298573548862698,282,7,23.754716981132077,61.00028551647471,281,6,22.754716981132077,61.00028551647471,277,2,18.754716981132077,61.00028551647471,19.412760033295893,18.23141009563482,14.66464201461966,1.1813499376610723,854707.5728155341,963066.6707226536,2000844.0,217.0,88034123.0,1760682.46,552712.5751305439,2001446.0,80898.0,88034279.0,1692966.9038461538,640648.784209988,2001615.0,217.0,510,51,102,530,53,212,0.5793158348145644,0.6020341028465082,16.432692307692307,7,282,44.0167144826389,1937.4711538461536,15.432692307692307,6,281,44.0167144826389,1937.4711538461536,12.413461538461537,2,277,43.85669748299581,1923.4099141150107,0,0,0,0,0,0,0,0,3,12,104,MASTER,1,129,0,0,0,51,53,DISABLE_UNSOLICITED
2,192.168.1.11-192.168.1.8-39169-20002,192.168.1.11,192.168.1.8,39169,20002,6, 14/05/2020  23:30:01 ,88036666.0,51,53,450,399,297,1259,1206,994,17,8,8.823529411764708,2.32985735488627,16,7,7.8235294117647065,2.3298573548862698,14,5,5.8235294117647065,2.3298573548862698,282,7,23.754716981132077,61.00028551647471,281,6,22.754716981132077,61.00028551647471,277,2,18.754716981132077,61.00028551647471,19.41236620659851,18.231040234985727,14.664344513000982,1.1813259716127824,854724.9126213592,963119.9345084449,2000694.0,347.0,88036010.0,1760720.2,553047.8111102851,2001938.0,78739.0,88036167.0,1693003.2115384615,640872.1362317514,2001520.0,347.0,510,51,102,530,53,212,0.5793040822331914,0.602021889379591,16.432692307692307,7,282,44.0167144826389,1937.4711538461536,15.432692307692307,6,281,44.0167144826389,1937.4711538461536,12.413461538461537,2,277,43.85669748299581,1923.4099141150107,0,0,0,0,0,0,0,0,3,16,104,MASTER,1,129,0,0,0,51,53,DISABLE_UNSOLICITED
3,192.168.1.11-192.168.1.5-39574-20002,192.168.1.11,192.168.1.5,39574,20002,6, 14/05/2020  23:30:01 ,88035931.0,51,53,450,399,297,1259,1206,994,17,8,8.823529411764708,2.32985735488627,16,7,7.8235294117647065,2.3298573548862698,14,5,5.8235294117647065,2.3298573548862698,282,7,23.754716981132077,61.00028551647471,281,6,22.754716981132077,61.00028551647471,277,2,18.754716981132077,61.00028551647471,19.41252827780057,18.231192443458113,14.664466943616464,1.1813358343424571,854717.776699029,963202.4846761008,2000848.0,406.0,88035206.0,1760704.12,553288.1921281109,2001619.0,76366.0,88035379.0,1692988.0576923075,641143.0327279435,2001453.0,406.0,510,51,102,530,53,212,0.5793089187640896,0.6020269155783676,16.432692307692307,7,282,44.0167144826389,1937.4711538461536,15.432692307692307,6,281,44.0167144826389,1937.4711538461536,12.413461538461537,2,277,43.85669748299581,1923.4099141150107,0,0,0,0,0,0,0,0,3,13,104,MASTER,1,129,0,0,0,51,53,DISABLE_UNSOLICITED
4,192.168.1.11-192.168.1.3-33783-20002,192.168.1.11,192.168.1.3,33783,20002,6, 14/05/2020  23:30:01 ,88035719.0,51,53,450,399,297,1259,1206,994,17,8,8.823529411764708,2.32985735488627,16,7,7.8235294117647065,2.3298573548862698,14,5,5.8235294117647065,2.3298573548862698,282,7,23.754716981132077,61.00028551647471,281,6,22.754716981132077,61.00028551647471,277,2,18.754716981132077,61.00028551647471,19.41257502537124,18.231236346238045,14.664502257316716,1.1813386791331824,854715.718446602,963154.2960115159,2000541.0,413.0,88034899.0,1760697.98,553221.3027539662,2001264.0,77093.0,88035062.0,1692981.9615384615,641095.59734735,2001213.0,413.0,510,51,102,530,53,212,0.5793103138056952,0.6020283653274872,16.432692307692307,7,282,44.0167144826389,1937.4711538461536,15.432692307692307,6,281,44.0167144826389,1937.4711538461536,12.413461538461537,2,277,43.85669748299581,1923.4099141150107,0,0,0,0,0,0,0,0,3,11,104,MASTER,1,129,0,0,0,51,53,DISABLE_UNSOLICITED
5,192.168.1.11-192.168.1.7-41065-20002,192.168.1.11,192.168.1.7,41065,20002,6, 14/05/2020  23:30:01 ,88030613.0,51,53,450,399,297,1259,1206,994,17,8,8.823529411764708,2.32985735488627,16,7,7.8235294117647065,2.3298573548862698,14,5,5.8235294117647065,2.3298573548862698,282,7,23.754716981132077,61.00028551647471,281,6,22.754716981132077,61.00028551647471,277,2,18.754716981132077,61.00028551647471,19.413701004217703,18.23229380442915,14.665352835836778,1.1814071997885554,854666.1456310679,962341.5679379756,2000643.0,410.0,88029869.0,1760597.38,550640.5087944622,2001458.0,77128.0,88029745.0,1692879.7115384615,638927.8747572814,2001426.0,410.0,510,51,102,530,53,212,0.5793439152809262,0.6020632845076291,16.432692307692307,7,282,44.0167144826389,1937.4711538461536,15.432692307692307,6,281,44.0167144826389,1937.4711538461536,12.413461538461537,2,277,43.85669748299581,1923.4099141150107,0,0,0,0,0,0,0,0,3,15,104,MASTER,1,129,0,0,0,51,53,DISABLE_UNSOLICITED
6,192.168.1.11-192.168.1.10-36479-20002,192.168.1.11,192.168.1.10,36479,20002,6, 14/05/2020  23:30:01 ,88029597.0,51,53,450,399,297,1259,1206,994,17,8,8.823529411764708,2.32985735488627,16,7,7.8235294117647065,2.3298573548862698,14,5,5.8235294117647065,2.3298573548862698,282,7,23.754716981132077,61.00028551647471,281,6,22.754716981132077,61.00028551647471,277,2,18.754716981132077,61.00028551647471,19.413925068860646,18.23250423377492,14.665522097073787,1.181420835085727,854656.281553398,962239.9574854376,2000973.0,456.0,88028892.0,1760577.84,550038.7770186182,2001674.0,82204.0,88028916.0,1692863.769230769,638413.7220771316,2001709.0,456.0,510,51,102,530,53,212,0.5793506018208854,0.6020702332648417,16.432692307692307,7,282,44.0167144826389,1937.4711538461536,15.432692307692307,6,281,44.0167144826389,1937.4711538461536,12.413461538461537,2,277,43.85669748299581,1923.4099141150107,0,0,0,0,0,0,0,0,3,18,104,MASTER,1,129,0,0,0,51,53,DISABLE_UNSOLICITED
7,192.168.1.11-192.168.1.6-54308-20002,192.168.1.11,192.168.1.6,54308,20002,6, 14/05/2020  23:30:01 ,88029762.0,51,53,450,399,297,1259,1206,994,17,8,8.823529411764708,2.32985735488627,16,7,7.8235294117647065,2.3298573548862698,14,5,5.8235294117647065,2.3298573548862698,282,7,23.754716981132077,61.00028551647471,281,6,22.754716981132077,61.00028551647471,277,2,18.754716981132077,61.00028551647471,19.413888680058,18.232470059387413,14.665494608516605,1.1814186206705863,854657.8834951456,960800.2229187766,2000429.0,314.0,88029009.0,1760580.18,545055.8987132885,2001172.0,103039.0,88028545.0,1692856.6346153843,634462.6629901482,2004754.0,314.0,510,51,102,530,53,212,0.5793495159057683,0.602069104764818,16.432692307692307,7,282,44.0167144826389,1937.4711538461536,15.432692307692307,6,281,44.0167144826389,1937.4711538461536,12.413461538461537,2,277,43.85669748299581,1923.4099141150107,0,0,0,0,0,0,0,0,3,14,104,MASTER,1,129,0,0,0,51,53,DISABLE_UNSOLICITED
8,192.168.1.11-192.168.1.4-45060-20002,192.168.1.11,192.168.1.4,45060,20002,6, 14/05/2020  23:31:31 ,88032857.0,48,49,405,357,261,787,738,542,17,8,8.4375,1.7492399565330983,16,7,7.4375,1.7492399565330983,14,5,5.4375,1.7492399565330983,282,7,16.061224489795922,45.68068891923648,281,6,15.06122448979592,45.68068891923648,277,2,11.06122448979592,45.68068891923648,13.540398899015624,12.43853757921318,9.12159422475633,1.1018613198024458,917008.9270833335,984276.0218025519,2000904.0,279.0,88032044.0,1873022.2127659572,416800.01890542475,2001485.0,128015.0,88032167.0,1834003.479166667,493062.82593557384,2001588.0,279.0,480,48,96,490,49,196,0.5452509623764681,0.5566103574259779,12.288659793814436,7,282,32.55058843646513,1059.5408075601372,11.288659793814436,6,281,32.55058843646513,1059.5408075601372,8.278350515463918,2,277,32.44763161235129,1052.848797250859,0,0,0,0,0,0,0,0,3,12,97,MASTER,1,129,0,0,0,48,49,DISABLE_UNSOLICITED
9,192.168.1.11-192.168.1.3-33783-20002,192.168.1.11,192.168.1.3,33783,20002,6, 14/05/2020  23:31:31 ,88032792.0,48,49,405,357,261,787,738,542,17,8,8.4375,1.7492399565330983,16,7,7.4375,1.7492399565330983,14,5,5.4375,1.7492399565330983,282,7,16.061224489795922,45.68068891923648,281,6,15.06122448979592,45.68068891923648,277,2,11.06122448979592,45.68068891923648,13.540408896721122,12.438546763347006,9.121600959787802,1.1018621333741179,917008.25,984277.688781982,2000676.0,434.0,88032074.0,1873022.8510638296,417138.3350959861,2001290.0,124138.0,88031957.0,1833999.104166667,493348.14874752075,2001279.0,434.0,480,48,96,490,49,196,0.5452513649686358,0.5566107684054824,12.288659793814436,7,282,32.55058843646513,1059.5408075601372,11.288659793814436,6,281,32.55058843646513,1059.5408075601372,8.278350515463918,2,277,32.44763161235129,1052.848797250859,0,0,0,0,0,0,0,0,3,11,97,MASTER,1,129,0,0,0,48,49,DISABLE_UNSOLICITED
